,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
3,1404433451,117400_1..N02R,20140703,108N,1404433433,1404433433,1,1404360000.0,117400_1..N02R::1404360000.0,False,True
5,1404433451,117900_1..N09R,20140703,111N,1404433451,1404433451,1,1404360000.0,117900_1..N09R::1404360000.0,False,False
9,1404433451,118900_1..N02R,20140703,117N,1404433426,1404433426,1,1404360000.0,118900_1..N02R::1404360000.0,False,True
11,1404433451,119400_1..N02R,20140703,120N,1404433399,1404433399,1,1404360000.0,119400_1..N02R::1404360000.0,False,True
17,1404433451,120800_1..N02R,20140703,129N,1404433448,1404433448,1,1404360000.0,120800_1..N02R::1404360000.0,False,True
19,1404433451,121300_1..N02R,20140703,132N,1404433428,1404433428,1,1404360000.0,121300_1..N02R::1404360000.0,False,True
215,1404433481,118400_1..N02R,20140703,115N,1404433468,1404433468,1,1404360000.0,118400_1..N02R::1404360000.0,False,True
229,1404433481,121800_1..N02R,20140703,136N,1404433490,1404433490,1,1404360000.0,121800_1..N02R::1404360000.0,False,False
414,1404433511,116400_1..N02R,20140703,101N,1404433435,1404433435,1,1404360000.0,116400_1..N02R::1404360000.0,False,True
415,1404433511,116900_1..N02R,20140703,103N,1404433471,1404433561,1,1404360000.0,116900_1..N02R::1404360000.0,True,False
417,1404433511,117400_1..N02R,20140703,107N,1404433521,1404433521,1,1404360000.0,117400_1..N02R::1404360000.0,False,False
427,1404433511,119900_1..N02R,20140703,123N,1404433469,1404433469,1,1404360000.0,119900_1..N02R::1404360000.0,False,True
429,1404433511,120350_1..N02R,20140703,125N,1404433518,1404433518,1,1404360000.0,120350_1..N02R::1404360000.0,False,False
433,1404433511,121300_1..N02R,20140703,131N,1404433508,1404433508,1,1404360000.0,121300_1..N02R::1404360000.0,False,True
437,1404433511,122300_1..N02R,20140703,139N,1404433501,1404433501,1,1404360000.0,122300_1..N02R::1404360000.0,False,True
624,1404433541,117900_1..N09R,20140703,110N,1404433545,1404433545,1,1404360000.0,117900_1..N09R::1404360000.0,False,False
628,1404433541,118900_1..N02R,20140703,116N,1404433539,1404433539,1,1404360000.0,118900_1..N02R::1404360000.0,False,True
630,1404433541,119400_1..N02R,20140703,119N,1404433540,1404433540,1,1404360000.0,119400_1..N02R::1404360000.0,False,True
636,1404433541,120800_1..N02R,20140703,128N,1404433531,1404433531,1,1404360000.0,120800_1..N02R::1404360000.0,False,True
640,1404433541,121800_1..N02R,20140703,135N,1404433551,1404433551,1,1404360000.0,121800_1..N02R::1404360000.0,False,False
642,1404433541,122300_1..N02R,20140703,138N,1404433576,1404433576,1,1404360000.0,122300_1..N02R::1404360000.0,False,False
831,1404433571,118400_1..N02R,20140703,114N,1404433565,1404433565,1,1404360000.0,118400_1..N02R::1404360000.0,False,True
843,1404433571,121300_1..N02R,20140703,130N,1404433589,1404433589,1,1404360000.0,121300_1..N02R::1404360000.0,False,False
1041,1404433601,119900_1..N02R,20140703,122N,1404433584,1404433584,1,1404360000.0,119900_1..N02R::1404360000.0,False,True
1043,1404433601,120350_1..N02R,20140703,124N,1404433600,1404433600,1,1404360000.0,120350_1..N02R::1404360000.0,False,True
1234,1404433631,117400_1..N02R,20140703,106N,1404433623,1404433623,1,1404360000.0,117400_1..N02R::1404360000.0,False,True
1236,1404433631,117900_1..N09R,20140703,109N,1404433631,1404433631,1,1404360000.0,117900_1..N09R::1404360000.0,False,False
1242,1404433631,119400_1..N02R,20140703,118N,1404433620,1404433620,1,1404360000.0,119400_1..N02R::1404360000.0,False,True
