,140S,138S,136S,132S,127S,125S,122S,119S,115S,112S,109S,104S,101S,139S,113S,137S,133S,120S,116S,110S,126S,123S,106S,128S,111S,134S,114S,103S,124S,117S,107S,135S,129S,121S,130S,118S,108S,131S
116550_1..S02R::1404360000.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117050_1..S02R::1404360000.0,66,-16,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,
117550_1..S02R::1404360000.0,49,-24,11,,,,,,,,,,,-7,,-88,,,,,,,,,,,,,,,,,,,,,,
118050_1..S02R::1404360000.0,51,-22,-8,7,,,,,,,,,,4,,-76,14,,,,,,,,,-9,,,,,,-2,,,,,,
118550_1..S02R::1404360000.0,69,-12,9,20,31,,,,,,,,,105,,-72,-3,,,,,,,20,,9,,,,,,-12,2,,29,,,1
119050_1..S02R::1404360000.0,41,-34,6,-8,25,12,,,,,,,,-9,,-69,-1,,,,8,,,18,,11,,,,,,22,5,,12,,,18
119550_1..S02R::1404360000.0,63,-13,-2,2,7,17,2,,,,,,,-13,,68,-19,,,,10,-1,,7,,-5,,,5,,,5,-9,,0,,,11
120050_1..S02R::1404360000.0,49,-15,23,2,63,-3,0,-1,,,,,,53,,-118,-2,86,,,-1,11,,3,,-19,,,-13,,,-4,-4,-12,-24,,,18
120550_1..S02R::1404360000.0,56,-13,6,0,62,-1,0,-2,-15,,,,,-13,,56,-19,16,19,,-1,4,,2,,-5,,,-15,-3,,1,-11,-16,-1,-11,,12
121050_1..S02R::1404360000.0,67,-23,2,0,14,11,-8,-13,14,-11,,,,25,12,-67,3,17,11,,-6,-18,,-1,,15,9,,12,-10,,9,16,13,4,8,,15
121550_1..S02R::1404360000.0,35,-25,-12,13,99,17,-7,-6,-12,-3,19,,,38,-5,-84,-5,-18,-12,-9,-17,-47,,14,-11,-19,6,,3,4,,-5,-33,11,10,59,,-10
122050_1..S02R::1404360000.0,58,-38,-23,11,29,-1,14,0,13,10,15,6,,17,1,-70,0,60,11,9,13,19,14,-7,7,3,7,,-4,13,9,-19,12,16,7,-4,-8,7
122550_1..S02R::1404360000.0,44,-8,89,17,-2,7,0,10,28,-7,9,11,41,-19,20,-56,-2,-8,12,-12,-5,5,-9,-6,-12,-5,-11,8,2,13,-9,5,-14,-11,20,0,6,-9
123050_1..S02R::1404360000.0,61,-8,54,17,47,4,9,19,-2,8,15,14,-49,1070,-1,-35,81,29,19,11,-9,-7,-9,7,-20,-9,-2,23,-3,-5,4,0,21,2,-30,9,14,-28
123550_1..S02R::1404360000.0,,-3,13,42,41,18,169,10,14,48,16,9,-19,-55,16,394,8,17,-1,8,6,-7,8,12,32,6,15,19,39,-1,-10,0,18,4,14,11,-5,20
124050_1..S02R::1404360000.0,47,-3,-7,-5,8,10,3,9,8,-1,48,-3,-19,331,-9,-40,2,24,8,-36,-8,6,5,-9,-2,9,3,-12,7,13,-2,-19,4,11,31,-3,-16,81
124550_1..S02R::1404360000.0,,,,,,,,25,17,0,-17,-6,101,,-8,,,612,-47,-12,,,4,,10,,26,-5,,9,2,,,,,21,14,
125050_1..S02R::1404360000.0,45,-12,,,,,,846,46,-3,1,12,-19,-24,19,,416,928,1,-1,,,-14,28,-4,,-2,12,447,-25,-17,,233,264,,13,-1,
125550_1..S02R::1404360000.0,,,,,,,,661,18,-27,-11,9,11,,1,,,-49,15,-3,,,-12,,-2,,-21,4,,0,-2,,,,,-11,-14,
126050_1..S02R::1404360000.0,,,,,,,,,221,-56,-14,-5,11,,14,,,,121,-13,,,5,,-12,,-11,-8,,,-1,,,,,,11,
126550_1..S02R::1404360000.0,,,,,,,,,731,64,15,9,11,,-5,,,,-79,-11,,,-10,,-5,,281,-5,,,-9,,,,,,8,
