,140S,138S,136S,132S,127S,125S,122S,119S,115S,112S,109S,104S,101S,139S,113S,137S,133S,120S,116S,110S,126S,123S,106S,128S,111S,134S,114S,103S,124S,117S,107S,135S,129S,121S,130S,118S,108S,131S
127050_1..S02R::1404360000.0,,,,,,,,,1001,193,14,-19,-79,,11,,,,124,-13,,,-61,,13,,484,8,,,8,,,,,,16,
127650_1..S02R::1404360000.0,37,-38,-8,24,14,13,5,-9,36,548,34,-13,-19,119,37,-74,-2,-10,-4,7,-15,-10,-4,16,6,-20,260,10,4,11,-14,-3,-14,-8,-12,4,0,2
128250_1..S02R::1404360000.0,,,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,
128850_1..S02R::1404360000.0,,,,,,,,,,,,,-409,,,,,,,,,,,,,,,,,,,,,,,,,
129450_1..S02R::1404360000.0,71,-19,-4,29,29,13,-8,3,40,9,40,-55,-49,12,14,-79,-6,27,5,15,4,31,3,4,9,0,6,-10,19,11,-37,-4,21,-13,23,-5,17,20
130050_1..S02R::1404360000.0,,,,,,,,,,,,,-619,,,,,,,,,,,,,,,,,,,,,,,,,
130650_1..S02R::1404360000.0,,,,,,,,,,,,,-1279,,,,,,,,,,,,,,,,,,,,,,,,,
128450_1..S02R::1404360000.0,69,-13,-7,11,36,17,8,11,20,65,398,1,41,81,23,-52,-6,-1,-16,2,14,0,4,17,-7,-21,-14,-4,9,8,-8,-3,2,2,11,-2,4,-11
131450_1..S02R::1404360000.0,65,-21,-2,5,10,11,55,15,-13,-14,16,4,-19,-18,12,-80,-16,23,10,-16,3,19,13,-1,15,-4,13,0,10,-8,1,5,14,-18,-12,11,-15,20
130450_1..S02R::1404360000.0,25,-5,-7,1,31,6,-4,16,4,7,12,4,-169,-8,17,-83,2,12,-6,8,16,20,11,4,7,1,44,146,16,1,1,-1,14,-3,14,16,14,21
132450_1..S02R::1404360000.0,54,-27,-5,18,6,-10,24,12,9,17,-26,4,-19,-1,21,-51,-6,23,-6,-7,1,19,8,15,21,1,18,3,17,-2,-37,4,-6,6,-8,13,7,2
133450_1..S02R::1404360000.0,47,-11,8,42,16,-8,18,-34,10,4,-6,13,-19,1,2,-40,-10,13,8,-4,16,10,-7,0,-2,3,6,6,12,16,-6,-17,12,8,18,4,2,-2
134450_1..S02R::1404360000.0,39,-18,1,1,51,0,-15,-15,-35,10,0,-4,-19,-25,6,52,-18,90,-4,5,-2,15,9,6,6,-8,-9,-12,-11,-20,7,5,-5,0,1,4,-5,13
132050_1..S02R::1404360000.0,70,-61,-4,23,-109,,,,,,,,,1,,-84,-6,,,,,,,2,,2,,,,,,-21,9,,9,,,14
135450_1..S02R::1404360000.0,52,-16,-2,10,-34,19,-8,6,2,-9,-18,-13,131,15,-10,-71,-10,0,-4,-12,11,18,27,-4,-10,1,-1,-19,-17,5,-8,11,15,21,-27,0,9,-7
136450_1..S02R::1404360000.0,52,-5,-16,-28,-70,20,8,-26,-4,3,-6,2,-19,-4,0,-65,10,9,-5,-1,11,4,9,19,0,-12,3,-35,10,6,-1,-5,2,-2,7,-5,-5,18
137450_1..S02R::1404360000.0,37,-5,-8,-9,-3,-26,-13,-34,9,-7,64,-4,-19,-2,-9,69,3,84,-20,-17,-1,15,10,-6,-14,-14,0,-14,-9,-2,8,-3,16,4,22,-9,-4,0
138450_1..S02R::1404360000.0,-140,-8,-19,0,49,-6,13,-36,2,7,0,-15,-79,-9,7,64,-17,182,-34,-3,-5,7,3,1,-35,1,-8,6,8,17,3,-18,-6,1,-2,2,-35,11
139450_1..S02R::1404360000.0,,,,-8,16,-8,8,42,-5,47,-16,-12,-49,,16,,,8,-7,21,-9,7,1,5,13,,-7,-22,12,5,-5,,13,-3,-9,-3,-21,3
140650_1..S02R::1404360000.0,,,,,,,-11,-3,6,-3,250,4,-109,,-1,,,74,7,-18,,9,-65,,-11,,-5,-156,,-7,-17,,,3,,-13,2,
141850_1..S02R::1404360000.0,,,,,,,,,1,2,294,11,-169,,-7,,,,-81,9,,,-8,,6,,-7,-82,,,16,,,,,,-4,
143250_1..S02R::1404360000.0,,,,,,,,,,,-66,10,-79,,,,,,,,,,6,,,,,16,,,15,,,,,,15,
000650_1..S02R::1404360000.0,,,,,,,,,,,,,-409,,,,,,,,,,,,,,,,,,,,,,,,,
002550_1..S02R::1404360000.0,,,,,,,,,,,,,-1549,,,,,,,,,,,,,,,,,,,,,,,,,
000650_1..S02R::1404446400.0,38,-24,-12,15,68,10,8,-10,1,9,-10,-1,-409,-52,10,-40,0,32,3,-4,8,36,-18,26,-1,-15,-8,-32,-2,-7,8,-4,7,-3,18,-16,-12,-4
002550_1..S02R::1404446400.0,34,-10,28,-28,54,-9,-8,-7,-16,-6,50,-16,-1549,19,-6,-69,-17,100,-12,-19,-32,-3,0,-4,-16,-36,5,0,4,10,-10,-17,-51,8,3,5,-18,15
138450_1..S02R::1404446400.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139450_1..S02R::1404446400.0,57,-16,-10,,,,,,,,,,,-25,,-87,0,,,,,,,,,-17,,,,,,-4,,,,,,
140650_1..S02R::1404446400.0,44,-65,-7,-16,51,2,,,,,,,,-24,,-56,-1,,,,-3,,,-9,,-15,,,-12,,,-8,-26,,18,,,-2
141850_1..S02R::1404446400.0,38,-20,-4,28,12,20,-9,15,,,,,,6,,-83,-6,14,-7,,-20,18,,-21,,2,,,17,0,,5,-2,14,25,-18,,24
143250_1..S02R::1404446400.0,32,-3,5,14,25,5,21,29,1,4,8,-52,11,58,-15,-89,16,20,19,31,-7,2,-4,3,-21,22,23,-6,0,19,8,-14,11,21,10,-28,-42,4
004550_1..S02R::1404446400.0,44,-5,-20,9,2,-2,13,-35,10,11,13,-15,-19,-8,2,-68,-11,14,9,14,-1,7,-12,25,40,0,1,-12,-17,-93,7,-23,13,0,9,7,-11,-9
006550_1..S02R::1404446400.0,48,-34,0,10,9,13,8,0,8,-3,-7,-7,161,7,-8,-69,-17,16,11,-9,9,-12,5,6,-8,-3,0,-12,-4,-7,4,2,-3,-5,7,-14,-10,-8
008550_1..S02R::1404446400.0,32,-24,20,-4,13,8,1,3,14,58,8,10,-19,-16,3,-88,2,6,-14,-15,6,-2,-7,4,-10,-15,21,4,-2,0,-8,-12,-3,1,3,-9,7,-18
010550_1..S02R::1404446400.0,42,-27,-8,15,31,7,-4,-16,-54,-8,11,-22,71,-23,18,-84,-7,25,-47,-11,4,-11,18,12,-13,11,5,8,0,7,-9,-7,-2,-17,9,1,5,-7
012550_1..S02R::1404446400.0,42,-35,10,1,21,-5,-1,-15,-1,1,-2,5,71,-13,-5,-77,2,19,1,-3,11,-9,-15,14,-3,11,24,7,-7,-16,13,5,1,-2,16,5,-6,16
014550_1..S02R::1404446400.0,48,-30,6,12,14,8,-20,-13,-10,0,10,10,-19,1,-1,78,-10,1,-6,-12,-18,13,-8,6,-8,-2,0,2,-4,9,-14,-18,0,-4,12,3,4,-9
016550_1..S02R::1404446400.0,57,-5,3,1,21,-14,-7,-7,-74,6,0,-2,11,12,3,-77,10,40,7,4,-12,-10,6,7,4,-4,6,-3,1,-7,20,10,-12,9,0,12,0,12
018550_1..S02R::1404446400.0,42,-11,-10,5,36,9,4,-12,-11,56,-5,-18,-19,-6,0,-80,5,43,-7,8,10,12,1,17,-16,-9,9,4,-4,12,-6,6,5,-16,24,4,-16,27
020550_1..S02R::1404446400.0,61,-13,6,20,31,,-17,-4,-13,4,-6,6,11,-37,-1,48,-16,3,17,0,2,11,-13,1,0,-1,9,-1,-8,-2,-18,12,-7,0,-23,-11,-6,14
022550_1..S02R::1404446400.0,63,-15,0,9,40,-14,-26,-9,7,-108,-14,-20,11,19,-5,-79,-8,-12,6,-9,13,13,-7,-14,-7,6,0,5,53,-12,-6,-12,12,-23,78,-23,-18,0
024550_1..S02R::1404446400.0,65,-15,-20,3,71,7,-12,3,7,-2,13,5,11,-19,-38,86,-20,65,12,-61,6,17,-12,4,-7,-2,1,0,-8,-7,-52,-15,-11,-1,-1,-14,9,16
026550_1..S02R::1404446400.0,17,-11,-52,13,-16,-11,5,3,-15,-3,-15,-11,101,-38,-4,59,-37,-6,-14,-8,-35,-2,2,11,-11,-18,6,-17,7,2,-11,-7,-2,-9,10,-8,8,-7
028550_1..S02R::1404446400.0,56,-33,-12,-2,48,3,-10,-11,8,1,-12,-2,11,-1,-2,-65,1,56,8,-7,-1,19,8,4,-5,15,5,-7,-10,-95,3,-14,-10,-23,-3,9,-11,12
030350_1..S02R::1404446400.0,64,-12,9,-3,66,6,16,-15,-6,-21,1,-10,-49,-14,7,58,-19,64,-5,-22,4,7,4,6,5,-2,-16,-18,-10,9,-8,-24,-12,3,-4,0,6,10
032050_1..S02R::1404446400.0,63,-15,-1,4,9,11,0,15,6,-8,10,-6,-19,9,-12,78,10,60,8,12,6,-4,-2,12,17,-4,-3,-8,0,16,-3,-1,-1,-11,3,4,-24,-14
033150_1..S02R::1404446400.0,68,-68,14,13,104,8,3,-16,-7,3,-18,-7,41,-10,1,59,-6,-2,-8,-9,12,7,-1,9,-5,-20,-14,-14,-8,6,-7,-9,2,-10,14,-1,8,-6
034350_1..S02R::1404446400.0,50,-26,-10,-8,1,15,-27,-14,18,-4,7,-6,71,30,-13,-85,30,1,14,6,8,-2,4,0,1,-10,17,-10,5,-8,-7,-1,-14,-7,-5,5,6,5
035350_1..S02R::1404446400.0,66,-69,5,0,2,6,-7,1,18,-3,2,12,-19,27,-4,55,22,110,13,-19,2,13,-6,3,-15,-6,10,7,-8,-121,-9,9,-10,-21,1,-13,4,13
036350_1..S02R::1404446400.0,62,-13,-34,-5,57,5,-15,0,-19,61,12,10,-19,-10,2,-77,7,48,12,-10,-2,12,-59,-11,-48,-6,4,3,-8,-5,-13,5,-22,3,-10,-13,4,6
037350_1..S02R::1404446400.0,57,-62,-12,-22,47,-14,-10,5,20,3,-53,4,11,31,-1,64,-7,84,-15,-4,-13,-11,-66,4,-2,7,11,-2,3,1,10,-13,-3,2,11,-8,-3,-10
038350_1..S02R::1404446400.0,60,-66,-19,7,60,-18,9,-5,4,-6,7,-11,11,20,-14,63,-12,73,4,-16,8,-10,-1,-1,-13,4,-3,14,-2,-12,-11,-14,-7,-3,2,-16,6,17
039150_1..S02R::1404446400.0,39,-17,-14,-9,16,-14,11,3,-10,-13,17,-12,-19,8,10,89,-1,8,-13,19,-14,2,0,-2,14,-14,-16,18,3,1,-6,-7,11,1,18,-7,-20,1
039950_1..S02R::1404446400.0,76,-11,-8,-5,72,-11,-3,-8,11,15,20,-13,11,48,-2,163,5,30,4,-59,-15,6,0,-1,15,-10,5,15,11,-10,-2,2,-9,-14,0,11,-15,5
040750_1..S02R::1404446400.0,57,-20,-17,-47,83,5,-18,9,0,-17,-1,-9,-19,34,-16,54,-3,71,-12,-22,3,16,2,-5,8,9,-9,-19,-9,4,4,-9,11,-6,23,-4,-7,1
041550_1..S02R::1404446400.0,65,-20,6,13,71,-14,-15,0,-17,10,50,-16,-19,-1,6,83,-4,13,-16,10,-19,-8,-2,9,6,10,8,7,1,-2,-2,-12,0,1,15,-9,-16,
042350_1..S02R::1404446400.0,76,-25,-7,-5,6,-20,-22,-20,7,-18,-9,12,71,6,-18,91,6,60,10,3,10,35,-8,0,6,-10,-5,1,-9,-3,-1,-1,-9,-6,29,-8,-13,0
043150_1..S02R::1404446400.0,53,-9,10,2,58,21,2,-2,-6,10,-10,-8,41,25,10,87,-16,-35,-52,-2,13,-1,-3,-4,3,0,-16,-16,9,-25,-2,-17,-15,-8,-2,-9,-18,13
043950_1..S02R::1404446400.0,40,-64,8,-3,26,7,-8,-16,-22,-2,6,10,-19,2,-8,141,-21,64,-5,-64,2,-14,-7,24,-9,-4,-1,1,-2,9,11,-19,8,23,-9,4,1,7
044750_1..S02R::1404446400.0,56,-33,-18,-4,79,14,12,3,0,-1,76,-7,-19,43,-1,127,-20,120,4,-19,-17,18,-21,13,-12,-2,-10,-20,-3,-7,-17,-21,7,-2,-7,-12,6,4
045550_1..S02R::1404446400.0,55,-16,-7,18,67,15,-11,5,14,1,-17,-6,-19,39,-3,105,-1,75,10,-7,8,-10,4,-28,-5,-71,6,-13,-2,-4,0,-9,19,5,16,-10,-14,0
046350_1..S02R::1404446400.0,54,-69,-10,10,63,9,-10,14,-11,14,51,9,-19,48,9,100,-8,64,-12,3,7,-6,-10,-25,7,9,19,2,3,5,-7,-7,-5,6,7,-1,-18,-9
047150_1..S02R::1404446400.0,48,-18,-11,-8,1,-11,-9,12,14,6,-2,-16,-19,14,2,66,2,25,9,2,6,13,-6,-3,5,-16,7,14,9,15,13,-14,-16,12,-6,1,-2,6
047950_1..S02R::1404446400.0,48,-23,4,10,-2,5,7,10,-6,3,-2,11,71,29,0,78,-7,30,-10,3,0,11,-10,-2,2,6,-14,8,-7,4,8,16,15,-3,10,-1,-7,-8
048750_1..S02R::1404446400.0,54,-32,1,15,48,-1,-11,6,-32,0,-3,-19,-19,60,-43,45,-8,16,-2,-2,-9,11,-5,-6,-36,2,-2,10,-14,10,10,5,12,9,18,0,-33,-3
049550_1..S02R::1404446400.0,46,-21,4,9,-2,14,10,21,17,17,16,3,-19,12,9,77,-14,22,13,-12,5,2,12,-5,17,0,13,-3,4,-11,0,10,10,4,19,10,-16,-2
050350_1..S02R::1404446400.0,64,-19,-38,-43,13,-6,-7,-13,11,6,13,-56,-19,43,1,109,5,30,6,13,-9,24,0,6,7,-10,5,-18,13,-15,-9,-4,-14,13,-2,4,8,10
051150_1..S02R::1404446400.0,63,-17,8,2,49,-2,0,-3,16,7,2,12,-19,18,2,89,-15,78,10,4,-31,3,-14,5,3,-1,7,4,-16,-8,-17,-23,-38,-10,0,-14,-1,-17
051950_1..S02R::1404446400.0,66,-37,-9,-1,65,-5,-1,-8,-6,65,13,-7,-19,31,4,137,-15,74,-4,-10,0,30,-20,15,-4,5,-17,-19,7,-19,-16,-9,6,-19,-7,5,6,7
052750_1..S02R::1404446400.0,53,-15,2,26,55,10,-8,-31,-6,-8,-15,-4,11,77,12,-69,-6,12,15,-9,10,-1,8,3,-13,-2,-10,-10,0,-2,-4,13,12,14,9,-45,12,16
053550_1..S02R::1404446400.0,47,-27,7,5,21,3,-16,10,-10,9,-11,-16,-19,32,-24,80,-18,84,-8,-4,-6,7,-1,6,-34,-4,14,8,8,7,-8,-19,-9,4,1,1,-19,14
054350_1..S02R::1404446400.0,45,-37,1,-3,61,12,-17,-16,-5,-15,-49,-10,-19,100,-16,-69,-19,119,-6,4,7,-12,6,-11,10,-5,-11,-9,-2,9,-1,7,12,1,-28,0,-38,-24
055150_1..S02R::1404446400.0,43,-26,-22,19,12,3,15,11,22,-9,-10,-8,-19,113,13,85,-37,22,4,-6,-5,17,-1,1,-8,8,-15,-10,-8,14,1,15,15,5,18,2,-14,1
055950_1..S02R::1404446400.0,93,-32,-7,17,10,4,-5,8,6,18,-6,10,11,115,9,-86,10,-10,23,-5,18,14,10,24,19,5,5,6,-3,-10,-1,8,1,-9,-1,4,0,7
056750_1..S02R::1404446400.0,46,-22,-16,-13,59,1,10,10,-5,80,-14,-4,-19,14,1,126,-22,0,-1,-2,-2,14,-19,10,7,-2,-10,-16,-17,-13,-17,-14,-5,-4,6,73,5,-9
057550_1..S02R::1404446400.0,43,-24,-7,50,15,6,-9,7,6,-10,84,12,-19,-6,-12,93,4,15,2,-17,0,15,-7,19,-16,-17,-5,1,-8,-12,-3,-4,6,7,20,6,-15,0
058350_1..S02R::1404446400.0,60,-14,-6,2,26,11,3,2,12,17,14,8,11,97,11,-49,11,16,4,17,3,-2,16,19,15,-9,9,-24,0,14,4,-6,3,3,9,1,17,18
059150_1..S02R::1404446400.0,67,-9,-42,0,152,10,-12,8,14,-8,58,11,11,44,-3,-78,-70,79,12,8,6,22,-7,25,14,-3,7,-3,-6,-2,-42,0,-10,4,1,-8,-12,13
059950_1..S02R::1404446400.0,48,-11,-10,14,39,29,-3,-3,12,6,-8,-13,11,75,7,-70,-4,32,9,-3,14,15,1,8,-3,5,5,13,-9,-8,12,-1,-15,-10,-4,8,-11,2
060750_1..S02R::1404446400.0,65,-4,-2,8,14,-7,7,14,10,-14,13,-12,11,83,28,-79,-10,16,-3,-13,10,-8,-1,8,14,-1,6,-6,-9,5,-12,5,18,1,22,21,18,-5
061550_1..S02R::1404446400.0,63,-34,-2,5,-2,12,12,-7,-3,8,8,2,-19,63,-3,-72,-16,36,14,11,3,-4,2,24,10,-5,-5,2,4,-7,-8,6,19,1,10,10,6,22
062350_1..S02R::1404446400.0,59,-15,-4,15,67,11,-15,3,-9,54,-13,-17,-19,49,-3,79,6,59,-12,-9,7,-9,-3,13,-7,-10,15,2,0,1,-5,3,-1,2,13,-6,-18,-6
063150_1..S02R::1404446400.0,45,-87,-14,-5,45,-3,1,-2,-12,14,5,-10,11,72,9,-86,3,18,-12,12,-12,25,0,10,12,-15,14,-15,-8,1,-2,-11,15,-5,0,-11,5,9
063950_1..S02R::1404446400.0,54,-18,-23,15,3,-13,8,7,6,13,-15,-23,-19,-24,4,55,-9,49,-2,20,12,-1,-10,-2,-18,3,0,3,6,9,14,-22,12,-1,14,-4,-10,
064750_1..S02R::1404446400.0,42,-32,10,16,5,19,13,4,-1,-9,-12,-19,-19,33,15,-95,-14,15,-4,-7,8,61,-12,-3,-9,-3,-7,13,19,1,14,-6,15,4,21,-7,-6,1
065550_1..S02R::1404446400.0,46,-35,10,-3,14,4,1,21,11,6,-3,-3,11,49,2,-64,-1,25,9,-1,-5,-3,9,1,0,-17,7,-10,-1,-8,10,-6,18,-3,20,13,-4,22
066350_1..S02R::1404446400.0,69,-26,-10,-5,18,9,18,19,-4,-2,29,11,11,125,-10,-83,2,28,-51,3,-1,0,-10,13,1,-16,-57,5,1,1,10,-4,-2,11,-4,18,-4,6
067150_1..S02R::1404446400.0,40,-12,5,18,35,26,7,-1,8,21,-1,-1,11,21,6,-104,-7,31,6,-56,14,24,9,19,-10,-25,6,-6,-6,15,-2,13,1,9,-3,2,12,3
067950_1..S02R::1404446400.0,65,-17,9,9,1,6,5,-6,-8,-13,-23,14,-19,46,14,81,-66,7,-12,5,0,-1,-7,17,11,4,-8,-26,3,-1,-13,-20,-2,-3,10,-12,7,16
068750_1..S02R::1404446400.0,47,,6,-42,14,9,2,7,13,5,0,4,-19,96,-1,-66,0,48,8,5,-2,0,-15,34,4,3,10,-36,-25,20,9,13,9,-1,16,3,-4,10
069550_1..S02R::1404446400.0,34,-32,5,75,30,2,15,1,15,3,1,3,11,56,21,-94,11,12,-6,9,15,15,-16,17,6,11,19,-1,5,3,12,16,-1,20,120,16,-1,0
070350_1..S02R::1404446400.0,47,-5,6,19,26,10,5,16,23,-14,-2,10,-19,30,12,79,-4,54,12,4,-23,0,-14,16,9,5,-14,1,3,-3,12,13,-5,-22,2,11,-6,7
071150_1..S02R::1404446400.0,44,-15,7,21,79,-7,7,6,-4,56,5,-8,-19,23,5,60,9,59,-11,-18,-9,6,6,15,-12,-4,-14,-20,10,1,8,11,4,-1,-8,-5,-2,3
071950_1..S02R::1404446400.0,44,-31,-44,19,30,25,-8,10,13,8,51,11,-19,31,1,-91,-3,35,13,2,10,12,-11,2,7,-17,6,-2,15,-8,-6,-2,-13,14,26,7,-15,0
072750_1..S02R::1404446400.0,50,-37,2,13,87,12,18,28,8,7,7,1,11,80,-2,-9,-13,33,1,5,2,69,8,19,4,-34,3,0,12,9,-2,3,27,14,20,-6,11,
073550_1..S02R::1404446400.0,64,-16,-3,-11,88,5,13,11,-12,14,-7,13,-19,37,38,79,3,49,-9,2,4,12,0,15,7,-10,16,3,-7,6,-8,2,4,-1,20,-2,-15,1
074350_1..S02R::1404446400.0,59,-12,-16,5,56,-10,-11,4,-5,66,-16,-3,-19,54,0,92,-10,49,-1,-5,-8,-11,-19,-37,-4,7,-13,-13,27,5,-20,-17,-14,9,-4,-10,3,10
075150_1..S02R::1404446400.0,33,-36,9,12,33,34,5,12,12,1,16,-7,11,76,19,-65,18,15,147,13,15,17,-5,20,5,20,16,-9,5,-9,15,-10,-2,1,25,6,-9,-2
075950_1..S02R::1404446400.0,59,9,1,0,101,13,4,2,-59,10,-11,-17,-19,74,6,45,0,38,13,-1,12,-1,-3,20,4,4,13,1,5,3,-4,18,5,-15,7,-3,-17,14
076750_1..S02R::1404446400.0,58,-78,6,4,-5,12,15,2,3,14,56,-11,-19,48,-21,117,-15,52,-2,8,0,7,4,-3,12,-1,-4,-22,5,9,1,7,-12,8,0,0,-12,12
077550_1..S02R::1404446400.0,46,-4,-2,31,5,13,8,18,8,31,2,15,-19,78,10,-87,-10,20,-3,-1,24,17,-59,15,0,-1,6,18,12,7,-1,2,12,4,14,-9,1,
078350_1..S02R::1404446400.0,57,-20,5,-13,13,-2,6,12,13,7,19,11,11,74,-4,-96,-5,60,8,-15,-37,-42,-14,-27,13,10,19,11,-5,15,7,-16,15,7,19,-1,-11,0
079150_1..S02R::1404446400.0,59,-27,-16,57,25,3,6,-32,6,2,-1,-4,-19,35,-2,-90,-3,14,-5,-1,-3,32,4,15,-2,7,1,-5,-34,2,-10,-16,-9,0,-5,-9,4,6
079950_1..S02R::1404446400.0,40,-11,-14,5,22,3,9,5,-9,5,14,-10,11,50,28,-63,5,39,-14,16,12,0,-2,13,10,-16,-13,-6,3,-5,-16,-7,-10,10,-5,10,21,34
080750_1..S02R::1404446400.0,42,-5,-12,14,28,11,11,1,0,-50,-3,7,-19,61,20,-59,17,19,-5,1,3,33,16,31,-2,-9,-36,0,4,4,12,-2,-4,5,-1,-6,-3,3
081550_1..S02R::1404446400.0,63,-25,-6,12,22,11,-5,1,10,15,-17,0,41,43,7,-82,-11,3,5,-14,4,20,5,2,16,0,10,-5,10,15,-4,3,13,-8,21,0,11,-2
082350_1..S02R::1404446400.0,58,-19,-9,-7,18,5,13,15,-4,47,0,-9,-19,74,16,-79,-26,18,-11,9,-6,10,5,12,12,-15,-12,-45,8,0,7,-4,-15,5,-6,20,-5,6
083150_1..S02R::1404446400.0,48,-20,3,24,29,-3,-38,38,16,2,10,11,11,56,24,-70,-3,14,8,3,-16,21,9,13,4,3,13,4,-9,16,1,12,-3,-8,4,3,15,11
083950_1..S02R::1404446400.0,18,-14,-12,-6,26,17,-9,2,15,3,-2,12,-19,78,0,-84,6,40,7,3,5,17,-10,19,6,-15,9,7,14,16,10,-3,-6,25,1,-26,-6,9
084750_1..S02R::1404446400.0,45,-18,4,6,23,21,11,33,7,0,0,9,-19,18,-8,-66,-14,27,21,5,8,36,13,25,8,1,4,9,19,22,13,12,9,8,13,3,-4,20
085550_1..S02R::1404446400.0,55,-14,-15,46,13,-8,-4,-2,-12,26,-25,-10,-19,-7,1,129,-14,14,-11,-14,15,10,7,6,-14,2,7,-23,12,3,9,-65,-1,20,8,20,0,-8
086350_1..S02R::1404446400.0,52,-34,8,19,-20,13,6,-5,4,7,16,0,-19,69,0,-65,-6,29,0,7,-5,23,8,22,4,5,7,-37,13,5,-1,-23,12,4,9,26,17,10
087150_1..S02R::1404446400.0,59,-10,-14,-10,49,-2,-11,13,11,4,-3,2,11,54,1,96,-1,37,3,1,-8,-14,12,14,-2,12,5,0,-12,8,5,-8,-24,10,-11,-1,-9,2
087950_1..S02R::1404446400.0,66,-25,1,2,22,10,12,0,8,-17,9,14,-19,38,11,83,7,68,10,16,1,7,-8,11,12,-8,17,8,2,-4,-13,6,-3,7,8,-8,3,21
088750_1..S02R::1404446400.0,55,-12,4,3,12,41,11,19,2,-5,-53,-6,-19,50,-15,48,-16,32,-9,-6,-19,37,7,11,-50,-3,-3,-10,2,-3,-4,7,-7,-19,1,16,-14,9
089550_1..S02R::1404446400.0,67,-76,0,2,32,16,29,22,9,8,13,4,-19,100,-12,-75,0,25,9,11,23,32,5,13,8,4,18,-3,49,13,18,5,9,23,36,21,19,20
