,639S,634S,632S,628S,627S,623S,621S,615S,612S,604S,601S,635S,624S,606S,640S,629S,625S,616S,607S,602S,633S,622S,613S,617S,636S,626S,608S,630S,603S,618S,614S,637S,631S,609S,619S,610S,638S,611S
060550_6..S01R::1404446400.0,-11,5,16,13,10,-1,30,-7,4,-12,-19,33,11,5,5,49,-13,-3,-2,-3,11,12,126,-10,13,164,4,-10,7,12,-6,2,22,12,35,-5,-5,-18
061350_6..S01R::1404446400.0,13,17,8,17,24,16,39,-7,8,18,-19,39,-4,0,12,15,-3,17,12,16,-3,1,63,10,11,8,-5,12,11,2,-1,20,33,-3,23,5,3,-3
062150_6..S01R::1404446400.0,-22,1,-6,-4,0,-2,17,-3,0,-10,11,17,10,6,12,29,10,5,-4,13,12,18,56,2,-12,0,13,17,-14,17,5,0,79,-16,12,-6,18,-15
062950_6..S01R::1404446400.0,-7,-1,-17,-13,17,-1,8,-12,-11,-9,11,26,0,-18,5,50,3,-7,8,-15,10,15,126,-8,-37,22,2,-3,0,11,-10,-16,36,-17,6,0,3,-34
063750_6..S01R::1404446400.0,21,15,15,-4,16,-2,39,15,10,15,11,45,2,-7,12,16,19,12,9,-4,0,23,16,1,14,26,3,-25,1,19,-7,20,66,0,14,-19,3,2
064550_6..S01R::1404446400.0,-2,-7,10,8,-12,8,23,-10,-12,-9,-19,47,-9,10,11,-22,-9,-2,-3,-6,3,-4,57,-5,8,-5,10,3,2,14,-5,-12,34,-15,31,25,6,6
065350_6..S01R::1404446400.0,7,19,13,23,-2,16,24,-2,16,7,-19,67,-4,-9,11,24,24,-8,3,3,35,0,27,2,-7,7,14,16,-2,-13,20,5,36,13,29,18,17,8
066150_6..S01R::1404446400.0,-24,4,-7,14,14,9,24,-5,-8,3,-19,26,-10,5,10,12,-6,-26,18,13,13,-5,-3,16,-9,15,-4,9,4,5,-27,2,36,1,30,4,18,-5
066950_6..S01R::1404446400.0,-76,9,4,17,-5,23,43,13,3,-1,-19,37,0,-16,40,19,31,8,5,39,-48,24,9,4,6,4,23,0,-15,-5,-43,20,29,-9,20,-27,4,-7
067750_6..S01R::1404446400.0,13,-36,-12,-11,-13,-10,3,-2,-9,-13,-19,60,3,2,25,81,4,5,-37,13,13,7,19,1,-4,21,6,3,11,-10,1,8,33,12,20,-9,-4,16
059750_6..S::1404446400.0,25,,,,,,,,,,,26,,,26,,,,,,,,,,20,,,,,,,-4,55,,,,8,
068550_6..S01R::1404446400.0,12,7,-5,-4,-3,3,29,-3,16,15,-19,30,13,1,15,-10,18,1,-13,7,18,20,-7,-4,0,2,8,11,12,14,1,11,46,5,36,15,-3,7
069350_6..S01R::1404446400.0,2,1,2,15,28,16,34,11,7,0,11,60,18,18,4,18,15,14,2,5,17,6,8,12,0,1,19,15,-2,0,14,8,36,4,20,8,18,-1
070150_6..S01R::1404446400.0,-3,-3,16,7,14,-9,41,14,-8,11,-19,21,2,-4,-3,5,-28,-33,15,15,11,16,121,5,18,19,-4,-1,-7,19,-10,-3,33,4,12,-15,10,10
070950_6..S01R::1404446400.0,13,-6,5,10,11,-3,-24,-4,-8,10,-19,52,6,0,25,107,13,2,-7,-5,0,16,126,1,12,4,18,9,3,-10,0,-4,15,-4,24,10,-13,6
071750_6..S01R::1404446400.0,4,7,-8,17,24,-6,11,13,5,57,-19,30,6,15,10,80,10,-12,5,-7,-11,17,7,17,-6,-8,23,11,-23,8,14,-2,48,-37,34,7,16,1
072550_6..S01R::1404446400.0,-2,-5,6,9,13,-9,4,-4,11,-1,-19,15,1,-72,11,12,2,2,10,-7,1,8,76,-1,13,17,6,11,-25,17,-3,-7,71,-1,10,10,13,4
