,639S,634S,632S,628S,627S,623S,621S,615S,612S,604S,601S,635S,624S,606S,640S,629S,625S,616S,607S,602S,633S,622S,613S,617S,636S,626S,608S,630S,603S,618S,614S,637S,631S,609S,619S,610S,638S,611S
133750_6..S01R::1404446400.0,-7,-8,7,10,21,1,19,2,-6,12,11,20,9,7,26,7,5,-2,-10,23,-27,20,10,-8,20,-11,0,-8,9,11,14,22,17,3,5,10,3,0
134650_6..S01R::1404446400.0,-17,5,-21,-12,-22,12,32,14,7,-13,131,37,-4,-20,4,-6,6,-4,6,-17,8,-9,-6,-4,8,-1,31,-15,-28,-10,-15,-7,4,-12,20,3,-16,0
135650_6..S01R::1404446400.0,18,7,2,16,24,-5,-1,5,-1,21,-19,31,31,0,25,12,13,14,18,-4,-5,-8,7,8,0,-1,7,0,-3,-2,14,12,16,-1,102,3,-1,-11
136650_6..S01R::1404446400.0,0,18,-1,-2,-5,14,22,-4,1,-7,-19,14,-5,8,33,-3,-2,-1,-7,20,-5,0,-1,0,14,-9,10,-3,-14,-11,-3,-4,4,2,18,11,14,0
137650_6..S01R::1404446400.0,14,9,-8,2,2,11,20,9,12,16,-19,13,-11,1,3,8,-6,-16,20,5,-10,0,1,15,18,10,8,6,6,5,12,-1,10,3,8,-16,-10,2
138650_6..S01R::1404446400.0,,0,3,16,22,16,21,-1,8,-6,11,,21,1,,7,19,1,14,-13,20,14,6,-6,,-1,27,-1,-19,8,11,,31,21,25,19,,5
139650_6..S01R::1404446400.0,,,,18,-4,6,27,-3,12,-10,41,,15,0,,,14,-1,9,-3,,0,17,10,,-1,26,,-7,-11,8,,,17,22,21,,6
140650_6..S01R::1404446400.0,,,,,,-68,-10,6,12,-5,-19,,,-15,,,,-14,25,13,,99,-11,15,,,-1,,-10,7,6,,,3,7,14,,-3
141750_6..S01R::1404446400.0,,,,,,,,,5,-1,311,,,13,,,,,-2,21,,,-102,,,,7,,14,,,,,7,,17,,9
000700_6..S01R::1404532800.0,-9,11,-37,-8,8,4,27,-5,9,-4,-439,7,1,-25,28,26,10,-1,0,29,-10,-1,20,-5,-24,3,21,22,-10,-12,-5,19,21,-10,19,1,0,-4
002200_6..S01R::1404532800.0,6,-1,-16,16,17,9,28,3,18,12,-1339,24,-8,-20,13,16,-2,10,27,-31,8,-26,-4,4,19,19,-5,12,8,-6,5,1,23,1,19,10,18,5
138650_6..S01R::1404532800.0,14,7,-38,38,7,-3,45,-3,-2,-13,11,28,9,-54,19,14,5,4,19,-19,-11,16,14,6,-84,15,-2,2,14,-1,-4,9,22,-1,3,11,-35,8
139650_6..S01R::1404532800.0,1,5,-38,4,-2,13,36,23,5,17,-19,91,-6,-11,10,62,-4,-1,5,-9,16,-1,46,0,-4,-9,25,30,-11,-7,-7,4,12,-15,24,-1,14,-5
140650_6..S01R::1404532800.0,12,2,-67,9,12,-28,28,-7,0,-1,-19,33,-11,-14,-4,13,-81,6,-1,-66,10,19,11,5,13,5,10,-21,22,14,-1,-3,18,-13,46,-1,-14,-4
141750_6..S01R::1404532800.0,-8,-5,3,13,11,-1,-16,-79,-16,9,-19,25,11,-18,8,19,12,-2,21,-20,1,11,4,24,-8,6,8,-8,7,2,2,5,25,-1,29,4,-2,12
143250_6..S01R::1404532800.0,-38,-7,10,-2,-1,-1,16,-2,21,18,-19,16,8,17,5,-5,11,1,14,-13,3,19,24,-4,14,1,-13,-5,-8,13,5,-6,30,18,10,-7,9,11
003950_6..S01R::1404532800.0,9,-4,8,-6,-3,9,26,12,-10,29,161,16,-10,-27,19,1,-2,-7,15,-28,4,-6,0,-79,16,-8,1,3,3,14,-15,-3,14,5,17,-66,15,11
005950_6..S01R::1404532800.0,-8,-4,15,12,17,-7,38,-3,-33,-10,11,49,-1,-27,5,14,24,1,9,-24,7,13,94,-74,9,15,28,8,10,9,3,14,10,-60,37,2,1,-12
007950_6..S01R::1404532800.0,15,2,7,-8,-11,-11,38,0,9,3,-19,33,5,-9,34,143,14,12,4,-19,7,5,12,12,15,10,11,28,9,4,0,-2,61,-11,1,2,-45,-3
009950_6..S01R::1404532800.0,-12,-4,15,17,-13,15,1,15,4,-1,-19,18,-3,-14,2,14,64,-12,-1,-111,7,3,9,-15,-14,12,20,10,-6,7,-12,2,52,-5,155,6,-7,-1
011950_6..S01R::1404532800.0,6,-44,31,4,0,-13,117,-11,-5,-2,11,34,1,-17,10,9,3,-3,-4,-34,1,2,21,15,17,-6,-4,15,-4,5,0,-3,80,1,26,11,14,5
013950_6..S01R::1404532800.0,-2,14,-3,5,5,-3,21,-2,21,12,41,28,-22,-25,1,4,14,1,14,-29,-11,29,20,-2,18,4,26,4,-5,-10,2,0,8,-7,19,0,13,26
015950_6..S01R::1404532800.0,-7,-7,12,16,17,-22,25,10,20,-2,11,14,-9,-21,-2,16,-4,16,-6,-26,5,-2,26,9,11,17,12,17,2,-1,15,18,23,14,43,-9,3,-17
017950_6..S01R::1404532800.0,-5,14,8,20,-11,14,27,-3,-6,5,-19,37,-6,-15,4,19,-2,4,31,-34,-7,2,28,0,5,21,-26,16,32,21,1,17,24,3,31,-14,4,11
019950_6..S01R::1404532800.0,-4,-40,8,7,3,19,-1,-11,-4,22,11,21,0,-34,5,100,6,-1,10,-15,3,5,7,-4,2,-1,1,7,-5,-13,-11,12,19,7,-10,-12,2,13
021950_6..S01R::1404532800.0,5,-38,-15,1,5,-19,-6,-5,0,-15,-19,52,-11,-27,20,2,-61,-24,13,-11,11,-2,-1,17,-3,-26,-2,1,12,-26,2,2,8,-2,35,4,14,-3
023950_6..S01R::1404532800.0,20,0,10,-8,-13,-7,-32,-76,9,-14,11,29,9,-25,26,90,-14,6,19,-37,7,10,13,5,2,10,-24,7,-3,-2,-4,12,18,3,30,-19,1,4
025950_6..S01R::1404532800.0,14,-8,2,13,10,-7,10,10,14,9,-19,20,8,,23,72,-12,-12,10,-33,-2,12,4,16,-10,10,-25,6,2,7,13,2,14,0,9,12,-8,6
027950_6..S01R::1404532800.0,2,16,1,6,-26,2,11,3,0,-8,41,-16,11,-27,-74,11,11,7,15,15,-6,22,0,2,15,0,-2,7,5,-9,11,-5,10,-2,18,6,-17,-2
029950_6..S01R::1404532800.0,16,-8,7,12,9,0,16,-5,0,30,11,36,12,-27,18,10,15,2,15,-28,2,30,-1,-34,-1,5,25,7,4,17,-2,14,32,-3,15,7,3,-3
031500_6..S01R::1404532800.0,13,-7,2,4,0,2,14,15,-19,9,-19,16,5,-5,24,96,6,-7,9,-26,-2,18,6,-78,-10,0,-5,14,4,13,-41,4,15,8,10,-13,-10,-16
033000_6..S01R::1404532800.0,-9,19,5,-7,-8,-9,8,-4,14,-7,101,43,1,-25,0,20,2,0,-9,-38,0,11,20,-5,7,-8,5,19,-4,10,3,15,22,12,7,-11,1,10
034000_6..S01R::1404532800.0,,,,,,,,,,,671,,,,,,,,,-100,,,,,,,,,,,,,,,,,,
035000_6..S01R::1404532800.0,-10,-23,-8,-10,-15,-3,10,10,-8,-49,251,21,10,-28,17,109,-16,-17,15,,16,11,-2,13,5,10,2,11,,3,11,14,22,10,0,-8,0,-12
035850_6..S01R::1404532800.0,,,,,,,,,,-6,11,,,,,,,,,-589,,,,,,,,,-8,,,,,,,,,
036650_6..S01R::1404532800.0,14,9,-15,92,0,15,19,49,0,0,101,18,-28,-13,0,10,5,-12,0,-24,-15,-4,-4,-11,7,-1,-7,11,-20,10,-10,-7,-1,0,7,-16,-12,8
037350_6..S01R::1404532800.0,12,-8,6,6,7,2,27,-8,3,18,161,18,15,-17,22,13,18,3,-2,54,0,24,-24,-2,-12,5,19,6,3,21,-6,3,45,-6,16,3,-8,-34
038050_6..S01R::1404532800.0,-1,-10,-7,-5,-11,-12,7,-81,-37,5,-19,16,1,-20,5,116,-1,2,14,-23,-8,10,1,-7,-6,-11,0,-19,-19,-11,-10,-18,0,-21,-8,-61,5,-11
038750_6..S01R::1404532800.0,-4,-4,8,0,0,-6,9,-6,8,-27,-19,7,8,-13,-83,122,5,0,-1,-14,5,13,15,-8,10,-2,18,8,-9,14,-5,21,37,-13,14,-2,-24,-11
039450_6..S01R::1404532800.0,10,0,-10,5,11,-3,18,10,-7,-11,-19,20,6,-2,17,3,8,-3,-2,-32,-18,17,15,18,-4,53,4,-4,-9,5,18,6,31,-3,21,4,-9,26
040150_6..S01R::1404532800.0,12,15,11,-34,-35,12,31,25,6,16,-19,32,14,3,10,22,15,-8,11,-25,-1,-1,1,12,-3,4,15,19,-13,-3,4,61,12,16,15,16,3,4
040850_6..S01R::1404532800.0,11,12,4,12,11,8,-9,5,5,17,11,33,-41,-20,20,14,-8,1,1,-13,-7,-3,7,-7,-3,8,19,14,-6,16,12,3,25,13,13,14,-10,5
041550_6..S01R::1404532800.0,17,14,0,11,8,-3,-3,8,17,-3,71,36,9,-21,9,16,16,13,21,-15,-8,17,-7,11,-6,9,-1,16,12,3,8,8,18,3,35,-15,-7,10
042250_6..S01R::1404532800.0,20,-11,2,2,1,-7,23,18,2,4,41,11,4,-23,26,95,11,-8,-6,-14,-2,13,-17,-11,8,-3,15,7,-4,10,-8,20,18,-15,12,-7,1,14
042950_6..S01R::1404532800.0,-71,1,13,-7,-7,14,7,-2,-2,0,-19,59,-2,-14,8,87,2,4,-1,-82,8,6,36,0,-26,-11,21,-3,-4,-12,1,17,1,-64,17,-1,6,-43
043650_6..S01R::1404532800.0,5,-8,-26,10,6,8,13,6,-1,17,11,15,19,-42,-5,13,17,8,1,-34,-1,-4,6,2,-6,6,16,12,-6,21,14,3,9,-11,9,-3,-13,-11
044350_6..S01R::1404532800.0,-1,11,-24,-8,-9,10,28,14,-1,33,11,37,-4,-25,10,86,0,-6,11,-74,-12,-4,6,-7,-15,17,24,5,9,12,18,-3,51,-6,14,0,12,-8
045050_6..S01R::1404532800.0,-7,13,0,6,9,14,16,18,8,-4,131,40,-6,-28,26,3,-4,11,9,-11,-4,4,15,0,7,13,18,-8,-10,-10,-8,18,46,18,18,17,4,5
045750_6..S01R::1404532800.0,0,-1,14,-6,-85,-72,54,9,-4,-10,71,24,-26,-20,7,-6,-24,8,-9,-32,7,15,63,4,15,-7,13,20,-2,-6,12,-4,15,8,11,-8,11,-12
046450_6..S01R::1404532800.0,7,-12,-1,12,9,-16,-6,6,-6,21,-19,14,-12,-10,25,50,23,6,3,-36,-6,1,84,4,10,3,16,5,-10,-4,8,-6,15,-7,-8,6,15,-5
047150_6..S01R::1404532800.0,-12,-4,-1,3,-5,7,25,26,-22,9,101,24,-7,-32,4,103,-2,-15,12,-33,0,-5,52,-14,-8,-10,2,13,-1,11,-3,8,47,-17,16,-2,-4,20
047850_6..S01R::1404532800.0,,-5,15,-3,0,12,24,9,15,16,71,42,19,-30,,-2,19,12,11,-27,7,12,10,9,-2,6,1,22,14,-3,-19,3,51,4,25,-15,,-22
048550_6..S01R::1404532800.0,,-56,-8,-6,-1,-4,43,-11,-3,-3,-19,,9,-20,,55,13,-5,-7,-22,-17,11,156,-7,,-1,-23,-1,-20,-15,-7,,35,-19,20,-4,,-10
049250_6..S01R::1404532800.0,,,,-3,-4,-1,20,-9,14,-14,-49,,10,-27,,60,14,-2,17,-112,,18,135,-6,,-1,0,,-19,14,-6,,,5,10,-13,,10
049950_6..S01R::1404532800.0,,,,,,-9,34,6,10,15,161,,7,-12,,,-20,-10,2,-37,,4,28,-13,,,-9,,28,9,10,,,-5,12,7,,1
050650_6..S01R::1404532800.0,,,,,,,-98,14,20,6,11,,,-11,,,,16,2,-28,,,98,10,,,19,,6,-7,-13,,,16,25,-8,,16
051350_6..S01R::1404532800.0,,,,,,,,-95,15,22,101,,,-22,,,,,22,-13,,,10,,,,16,,22,,16,,,16,,3,,14
052050_6..S01R::1404532800.0,,,,,,,,,-25,11,71,,,-30,,,,,12,-17,,,,,,,7,,18,,,,,12,,-7,,-14
052750_6..S01R::1404532800.0,,,,,,,,,,6,101,,,-14,,,,,2,-12,,,,,,,,,-6,,,,,,,,,
053450_6..S01R::1404532800.0,22,,,,,,,,,,11,26,,,-1,,,,,-100,,,,,-2,,,,,,,10,,,,,-1,
054150_6..S01R::1404532800.0,-6,4,-8,,,,,,,,-349,34,,,-4,,,,,,13,,,,8,,,,,,,17,66,,,,3,
054850_6..S01R::1404532800.0,15,11,0,10,14,,,,,,-769,65,,,20,13,,,,,-8,,,,8,,,8,,,,16,78,,,,-2,
055550_6..S01R::1404532800.0,0,9,-12,-15,18,0,,,,,-1189,31,-16,,16,84,-7,,,,-17,17,,,5,16,,11,,,,-7,38,,,,11,
056250_6..S01R::1404532800.0,-10,2,29,3,11,18,40,,,,-1609,27,-6,,3,-2,-5,,,,11,14,,,-37,10,,-6,,18,,-17,26,,28,,-1,
056950_6..S01R::1404532800.0,-3,4,7,8,32,1,35,7,16,,,23,6,,0,1,3,0,,,21,26,-2,11,17,18,,-10,,-7,30,-4,13,,16,,10,
057650_6..S01R::1404532800.0,8,23,22,9,21,22,18,11,17,,,14,-6,,5,28,22,10,,,-24,13,15,1,8,-28,54,20,,15,19,-15,43,-1,35,2,25,19
058350_6..S01R::1404532800.0,10,14,6,17,21,-1,19,2,6,30,,34,10,-15,12,18,9,-4,15,-25,-3,-15,4,-5,0,28,5,-14,0,16,12,10,25,9,17,16,21,8
059050_6..S01R::1404532800.0,6,-9,10,1,-85,14,29,9,18,20,101,26,20,-15,3,1,22,-13,26,-1,1,0,2,15,-3,-1,-8,2,35,2,15,9,41,-2,5,6,20,0
059750_6..S01R::1404532800.0,-10,-10,-2,-9,-6,10,34,-16,0,8,11,17,-30,-11,5,81,5,-4,1,-20,-8,-2,50,0,-14,-10,-4,6,-7,-10,-16,2,48,-21,-2,-5,-4,-10
060450_6..S01R::1404532800.0,7,-15,-8,-11,20,9,18,-2,-34,9,-19,15,-36,-30,17,119,-4,6,13,-38,-13,-9,102,4,-14,16,0,12,12,-2,-3,3,54,6,1,-10,13,-14
061150_6..S01R::1404532800.0,18,-6,19,10,13,18,29,-10,6,-14,11,19,-1,-9,-93,18,2,-36,6,-21,8,7,15,-5,-3,19,20,13,2,-14,-6,10,40,-6,12,4,-1,-3
061850_6..S01R::1404532800.0,3,15,15,-3,5,0,16,17,-4,3,11,44,10,-25,3,21,25,8,15,0,,23,-4,-9,3,36,12,24,12,9,-5,-25,24,-16,1,-61,15,16
062550_6..S01R::1404532800.0,-5,12,-6,-8,-8,-12,23,1,-5,10,-19,37,4,-31,27,-3,6,7,9,-25,-11,8,-4,6,3,-9,-3,-4,-10,-2,4,16,65,6,-2,-10,1,-17
063250_6..S01R::1404532800.0,-10,19,0,11,18,-3,24,3,-5,-15,-19,33,1,-28,5,36,27,-1,10,-26,8,21,58,20,-4,34,21,16,-6,6,13,-2,43,-14,23,-6,-23,14
063950_6..S01R::1404532800.0,0,2,0,-31,15,4,45,21,3,20,11,43,10,-22,28,30,-19,19,-11,-11,-15,1,3,7,10,23,38,17,11,22,0,5,21,5,16,10,13,1
064650_6..S01R::1404532800.0,5,-11,0,-3,-3,-9,14,15,13,-7,71,16,6,-24,2,64,11,-1,-12,5,-5,-8,-2,-2,15,-3,6,8,14,,-15,-2,15,-16,-4,-5,19,-5
065350_6..S01R::1404532800.0,10,-14,1,7,7,5,13,-4,10,-1,-19,19,-13,-13,21,100,-8,5,3,1,-3,-9,44,3,15,12,18,5,-11,-40,-3,0,9,-5,28,8,-12,4
066050_6..S01R::1404532800.0,9,-2,16,9,13,14,44,-7,6,8,-19,26,-5,-25,14,66,-1,-4,18,-18,8,5,14,-11,-3,18,-1,4,3,10,-4,7,30,-32,10,8,24,1
066750_6..S01R::1404532800.0,9,-3,16,-11,25,4,27,-5,9,3,41,50,17,-17,6,51,11,-25,-2,-13,9,24,52,3,-13,-2,22,6,-36,-42,0,-28,33,-36,28,8,50,3
067450_6..S01R::1404532800.0,6,-11,4,15,23,9,26,3,-60,-3,-19,17,21,-20,0,16,17,-1,18,-12,-4,-4,-3,-9,-11,0,19,9,6,12,-23,1,35,-12,9,-2,15,16
068150_6..S01R::1404532800.0,31,20,22,29,-18,21,40,16,23,-9,11,32,15,-28,20,15,13,16,44,4,7,17,23,12,12,24,-3,23,25,-6,-4,13,90,-6,20,-1,20,15
068850_6..S01R::1404532800.0,3,-16,-2,19,-4,5,226,-3,15,14,11,40,-10,-21,12,11,19,3,-6,-3,-8,19,-5,1,15,2,11,2,-65,-7,2,0,31,-14,23,-2,8,-6
069550_6..S01R::1404532800.0,14,25,15,11,23,8,260,-10,-1,-9,41,39,15,-26,14,24,17,7,-12,-25,7,-5,76,8,7,30,11,28,12,1,-9,21,57,10,549,-10,-2,10
070250_6..S01R::1404532800.0,,,,,,,,,,40,11,,,-25,,,,,-51,4,,,,,,,,,8,,,,,,,,,
070950_6..S01R::1404532800.0,,,,,,,,,,,641,,,,,,,,,,,,,,,,,,,,,,,,,,,
071650_6..S01R::1404532800.0,-8,-13,-3,-4,-2,14,28,6,21,-4,341,29,-7,-4,9,28,21,4,-5,-21,-9,10,19,2,5,6,4,8,-5,20,16,19,46,9,40,-12,-2,10
072350_6..S01R::1404532800.0,11,-43,4,-12,-13,-1,19,7,17,42,131,36,8,-31,-41,-1,6,9,16,-21,-1,16,-61,6,-35,-8,-1,22,-2,-3,9,12,11,-2,25,7,-4,1
073050_6..S01R::1404532800.0,18,-12,-4,-14,-6,15,30,18,24,14,101,41,-6,-78,20,10,22,16,20,-8,6,4,51,10,13,9,21,2,36,-4,-6,21,37,15,23,20,4,17
073750_6..S01R::1404532800.0,13,2,-6,-1,-1,24,18,15,19,-8,101,53,-7,-23,6,-3,-11,14,16,-26,14,12,15,8,8,6,-4,19,-8,-6,-12,19,44,-3,10,1,1,-6
074450_6..S01R::1404532800.0,8,7,6,4,8,17,35,-1,-2,17,-79,24,-4,-15,5,-1,0,1,-13,1,25,6,-3,-6,6,16,6,-7,0,12,1,9,23,7,33,14,21,3
075150_6..S01R::1404532800.0,160,19,10,2,7,-12,22,6,2,0,101,13,5,-14,12,-1,13,-40,1,-7,2,22,3,-85,15,6,-9,-4,-18,10,13,-1,13,-3,9,0,18,16
070250_6..S::1404532800.0,-8,23,19,20,32,22,18,,,,,76,-7,,-6,15,-5,,,,6,11,51,,11,9,19,21,,-44,,18,29,,-7,,-27,
075850_6..S01R::1404532800.0,-14,15,14,13,24,1,34,-8,6,16,131,43,2,-30,12,23,1,18,8,-2,3,26,5,4,16,12,15,29,12,25,6,25,38,10,-8,15,0,-24
076550_6..S01R::1404532800.0,-3,-4,-17,1,6,-3,46,-4,5,-9,-19,40,11,-25,28,3,-15,-1,-19,-8,10,19,0,2,8,8,-1,3,6,12,-4,-4,12,-4,37,10,15,7
077250_6..S01R::1404532800.0,-2,-15,-7,-2,-6,6,13,1,14,7,-19,17,-10,-20,12,122,-3,6,-6,-28,-13,-5,95,7,-4,-14,15,13,7,28,-28,12,56,-16,17,-5,2,-8
068450_6..S01R::1404532800.0,,,,,,,,,,,3311,,,,,,,,,,,,,,,,,,,,,,,,,,,
074700_6..S01R::1404532800.0,-2,9,-8,14,37,15,-10,13,18,26,161,38,-4,-17,26,9,3,18,27,6,-13,2,3,-18,20,19,16,7,6,1,14,1,47,13,2,18,16,0
077950_6..S01R::1404532800.0,19,-11,12,10,24,20,40,18,2,8,11,43,-7,-74,-5,22,22,14,0,-8,4,21,-2,7,9,5,-11,2,4,22,-5,-10,32,14,14,-63,4,8
078650_6..S01R::1404532800.0,3,5,5,4,10,16,33,10,0,-13,-19,30,-4,-29,11,35,-2,9,12,-17,23,2,69,4,19,14,28,20,-2,-7,14,0,16,-11,19,-6,13,18
079350_6..S01R::1404532800.0,16,-5,21,18,20,15,20,-3,3,13,11,50,19,-7,24,20,17,6,5,-19,11,-27,17,0,4,29,15,6,4,18,12,15,36,1,14,6,0,-2
080050_6..S01R::1404532800.0,1,-12,-4,9,13,-2,24,10,18,-8,131,16,10,-25,3,17,-15,11,-7,-9,-7,24,-8,7,15,-21,9,9,-8,3,11,-3,76,-14,4,0,13,-6
080750_6..S01R::1404532800.0,4,-8,7,-11,-6,-4,23,11,9,25,-19,49,10,-10,17,22,13,-10,6,-27,1,12,51,9,9,35,24,14,-4,-3,23,-9,47,-5,25,6,14,2
081450_6..S01R::1404532800.0,24,5,15,18,-10,6,16,-7,-35,5,11,38,17,-11,23,20,14,1,4,0,-2,2,21,-5,108,31,23,7,12,12,0,2,12,11,10,-9,-17,15
082150_6..S01R::1404532800.0,11,0,-5,2,25,-3,28,20,11,13,251,28,7,-9,4,200,26,-9,0,-36,13,21,7,15,10,6,22,13,31,6,-9,19,37,14,36,-10,-38,14
082850_6..S01R::1404532800.0,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,
083550_6..S01R::1404532800.0,5,12,-32,14,24,-11,15,4,-10,-6,251,15,2,-21,19,3,29,3,-6,-6,-7,10,-12,1,17,8,12,-8,-14,21,6,-3,27,-17,13,-3,14,19
084250_6..S01R::1404532800.0,7,1,7,-86,-12,10,23,4,11,1,11,35,-6,-15,7,89,1,13,0,-35,5,-5,86,13,2,25,-5,11,-8,5,3,-11,54,-4,12,9,14,5
084950_6..S01R::1404532800.0,19,2,6,1,19,-2,47,12,7,8,11,32,2,-12,10,19,0,7,0,-20,16,25,6,12,20,8,11,23,19,0,5,27,45,11,21,-11,5,11
085650_6..S01R::1404532800.0,-6,8,-10,2,5,-4,-13,18,-5,0,131,30,8,-20,25,64,10,-7,-6,-99,-14,11,6,20,4,2,9,4,-2,-2,-45,14,10,13,0,-7,0,9
086350_6..S01R::1404532800.0,0,9,7,11,25,9,54,3,-16,16,41,34,-10,-13,11,6,-7,8,2,-30,-9,3,0,3,-12,8,18,26,23,-6,12,0,21,14,24,9,12,3
087050_6..S01R::1404532800.0,16,-5,11,8,10,-1,20,-10,3,2,131,18,14,-19,24,11,-8,-2,-34,-34,-1,16,17,-1,-8,13,15,-2,-4,-7,-6,4,64,-66,28,-32,-43,-5
087750_6..S01R::1404532800.0,-3,-4,-5,-27,26,2,50,0,13,-15,161,45,8,-27,1,23,3,7,-11,-18,11,32,26,4,3,10,5,27,8,-2,3,8,28,0,26,12,18,-1
088450_6..S01R::1404532800.0,-6,-2,16,16,31,-6,19,9,3,12,41,55,4,-10,6,14,-37,5,4,-38,8,15,70,-3,6,15,-3,4,-4,17,-11,16,39,-2,15,4,5,-6
089150_6..S01R::1404532800.0,-4,8,10,31,20,0,29,-1,4,7,-19,70,7,-12,23,8,31,22,-3,-27,-5,22,58,24,6,38,28,20,-3,2,14,8,36,-9,14,24,16,6
089850_6..S01R::1404532800.0,8,14,5,-12,19,-5,39,12,16,26,11,39,5,-9,16,23,6,15,38,-23,-3,24,55,7,-1,24,-2,14,13,-3,22,6,52,2,25,7,19,-3
090550_6..S01R::1404532800.0,25,0,4,31,17,4,4,25,-28,23,-49,75,5,-13,19,18,2,17,29,-24,17,62,-1,11,1,41,12,26,11,-2,3,31,46,9,-12,13,17,-4
091250_6..S01R::1404532800.0,3,10,9,-3,18,9,29,-2,-32,4,11,34,14,-24,7,17,13,-6,15,-14,-7,-5,52,6,-1,55,-27,1,-9,-7,12,5,21,24,-14,-22,20,0
091950_6..S01R::1404532800.0,-10,22,9,-8,0,20,15,16,-3,42,11,43,-5,-18,-1,25,-2,-6,20,-6,6,9,10,-6,7,11,33,19,-11,13,-10,18,58,-11,15,1,4,-9
092650_6..S01R::1404532800.0,9,-3,4,7,13,10,29,0,8,7,41,59,-8,-36,-4,70,2,-14,9,-86,2,7,123,-12,4,27,4,10,-2,9,-4,-9,55,7,50,-11,12,13
093350_6..S01R::1404532800.0,3,3,-17,21,0,14,29,-2,13,4,-49,0,0,-32,-7,81,9,-13,8,-35,10,3,247,-12,7,1,-24,13,2,10,-1,-8,57,-20,14,-4,13,-6
094050_6..S01R::1404532800.0,-3,12,-6,9,23,-22,29,54,17,4,-19,38,-12,-14,10,26,25,-3,1,-92,-12,-4,119,-3,5,40,21,11,0,16,-2,18,-8,-4,13,4,6,30
094750_6..S01R::1404532800.0,0,-10,20,7,22,23,30,9,19,27,41,43,-37,-10,3,1,-5,11,7,-33,10,25,49,5,1,14,23,-9,-5,-6,19,9,34,-8,19,-2,14,19
095450_6..S01R::1404532800.0,,,,,-87,25,43,12,21,20,41,,-3,-29,,,18,18,36,-19,,25,-23,20,,341,24,,11,23,-2,,,19,39,18,,2
096150_6..S01R::1404532800.0,10,6,-14,7,15,-3,11,19,10,20,11,33,0,-29,24,10,6,-4,15,-34,13,17,102,14,14,17,-1,6,-3,2,-4,-1,41,3,17,13,-11,-25
096850_6..S01R::1404532800.0,7,1,10,6,19,-7,35,9,8,10,-19,26,2,-11,6,7,9,14,3,-21,11,13,64,-20,-7,31,20,2,12,1,14,-27,43,-8,0,2,20,-1
097550_6..S01R::1404532800.0,10,6,-36,12,13,-8,12,-8,7,20,-19,29,-1,-13,-68,39,5,-3,-30,-9,17,15,134,-6,-8,24,5,19,19,14,0,4,-10,8,10,-17,20,3
098250_6..S01R::1404532800.0,24,-8,6,14,12,30,62,4,16,-36,-19,40,-2,-26,13,-6,25,-1,13,-14,-18,23,49,20,-6,2,22,24,10,2,12,-1,43,-63,18,-7,12,13
098950_6..S01R::1404532800.0,11,2,12,13,19,-22,24,9,-4,23,11,27,-7,-29,1,15,-2,-12,12,-37,7,-2,82,13,-3,19,5,8,-7,-2,12,9,35,4,26,9,-7,2
099650_6..S01R::1404532800.0,14,5,-4,1,27,3,31,15,-5,13,11,33,-21,-6,21,28,7,18,7,-22,16,28,98,10,4,20,18,16,6,1,-8,15,44,17,29,-8,-2,13
100350_6..S01R::1404532800.0,3,-7,9,20,-6,-36,35,-9,-3,22,11,46,-14,-29,13,11,12,-1,12,-13,3,34,96,-5,19,1,13,5,17,-49,-38,-1,75,12,18,-7,15,17
101050_6..S01R::1404532800.0,18,12,-3,15,16,-5,27,6,10,16,11,39,12,-16,4,80,18,-12,25,-27,-10,25,-5,16,4,40,17,33,32,7,5,13,55,-10,-20,-29,-3,-1
101750_6..S01R::1404532800.0,-14,25,10,0,4,11,28,2,-2,18,101,17,21,-11,,2,18,7,-2,-15,4,2,1,-5,-8,8,13,-4,-6,17,9,7,61,-69,18,-6,-7,-12
102450_6..S01R::1404532800.0,,-5,2,9,6,-10,31,-1,-12,1,71,,8,-76,,102,17,6,2,-20,-1,6,10,9,,5,-1,12,-34,4,-3,,50,2,64,-67,,-17
103150_6..S01R::1404532800.0,,,,10,12,14,31,-7,-3,-21,-19,,-1,-21,,87,4,7,-9,-20,,-2,63,5,,28,10,-115,15,-3,-6,,,9,30,-8,,18
095450_6..S::1404532800.0,0,22,-2,,,,,,,,,42,,,4,5,,,,,11,,,,1,,,24,,,,6,50,,,,17,
103850_6..S01R::1404532800.0,,,,,,0,19,15,19,24,131,,-27,-29,,,,6,10,-16,,20,15,12,,,21,,18,-3,9,,,-12,21,-6,,13
104550_6..S01R::1404532800.0,,,,,,,-90,11,11,-3,161,,,-16,,,,-14,-6,-14,,,0,13,,,11,,-10,3,-16,,,4,26,11,,6
105250_6..S01R::1404532800.0,,,,,,,,12,-11,-10,11,,,-26,,,,-6,17,-35,,,54,-109,,,2,,-1,,18,,,9,,19,,1
105950_6..S01R::1404532800.0,,,,,,,,,-2,58,-19,,,-27,,,,,-13,-29,,,-78,,,,11,,2,,,,,6,,-17,,9
106650_6..S01R::1404532800.0,,,,,,,,,,9,11,,,-25,,,,,-13,-33,,,,,,,-22,,0,,,,,,,,,
107350_6..S01R::1404532800.0,,,,,,,,,,,11,,,,,,,,,-23,,,,,,,,,,,,,,,,,,
108050_6..S01R::1404532800.0,,,,,,,,,,,-319,,,,,,,,,,,,,,,,,,,,,,,,,,,
