,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
157,1404433451,116950_6..N02R,20140703,604N,1404433447,1404433447,6,1404360000.0,116950_6..N02R::1404360000.0,False,True
169,1404433451,119950_6..N02R,20140703,625N,1404433456,1404433456,6,1404360000.0,119950_6..N02R::1404360000.0,False,False
175,1404433451,121950_6..N02R,20140703,636N,1404433449,1404433449,6,1404360000.0,121950_6..N02R::1404360000.0,False,True
177,1404433451,122450_6..N01R,20140703,640N,0,1404433470,6,1404360000.0,122450_6..N01R::1404360000.0,True,False
375,1404433481,119450_6..N03R,20140703,621N,1404433428,1404433428,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
399,1404433481,122150_6..N03R,20140703,638N,1404433484,1404433484,6,1404360000.0,122150_6..N03R::1404360000.0,False,False
573,1404433511,117450_6..N01R,20140703,608N,1404433436,1404433436,6,1404360000.0,117450_6..N01R::1404360000.0,False,True
577,1404433511,118450_6..N01R,20140703,614N,1404433502,1404433502,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
587,1404433511,120950_6..N02R,20140703,632N,1404433501,1404433501,6,1404360000.0,120950_6..N02R::1404360000.0,False,True
788,1404433541,119950_6..N02R,20140703,624N,1404433549,1404433549,6,1404360000.0,119950_6..N02R::1404360000.0,False,False
980,1404433571,116950_6..N02R,20140703,603N,1404433543,1404433543,6,1404360000.0,116950_6..N02R::1404360000.0,False,True
998,1404433571,121950_6..N02R,20140703,635N,1404433533,1404433533,6,1404360000.0,121950_6..N02R::1404360000.0,False,True
1000,1404433571,122450_6..N01R,20140703,639N,1404433554,1404433554,6,1404360000.0,122450_6..N01R::1404360000.0,False,True
1014,1404433571,122150_6..N03R,20140703,637N,1404433558,1404433558,6,1404360000.0,122150_6..N03R::1404360000.0,False,True
1197,1404433601,120450_6..N01R,20140703,631N,1404433518,1404433518,6,1404360000.0,120450_6..N01R::1404360000.0,False,True
1383,1404433631,116950_6..N02R,20140703,602N,1404433631,1404433631,6,1404360000.0,116950_6..N02R::1404360000.0,False,False
1385,1404433631,117450_6..N01R,20140703,607N,1404433620,1404433620,6,1404360000.0,117450_6..N01R::1404360000.0,False,True
1387,1404433631,117950_6..N02R,20140703,608N,1404433565,1404433565,6,1404360000.0,117950_6..N02R::1404360000.0,False,True
1393,1404433631,119450_6..N03R,20140703,619N,1404433630,1404433630,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
1395,1404433631,119950_6..N02R,20140703,623N,1404433629,1404433629,6,1404360000.0,119950_6..N02R::1404360000.0,False,True
1599,1404433661,121950_6..N02R,20140703,634N,1404433668,1404433668,6,1404360000.0,121950_6..N02R::1404360000.0,False,False
1601,1404433661,122450_6..N01R,20140703,638N,1404433643,1404433643,6,1404360000.0,122450_6..N01R::1404360000.0,False,True
1780,1404433691,117450_6..N01R,20140703,606N,1404433685,1404433685,6,1404360000.0,117450_6..N01R::1404360000.0,False,True
1811,1404433691,122150_6..N03R,20140703,636N,1404433655,1404433655,6,1404360000.0,122150_6..N03R::1404360000.0,False,True
1988,1404433721,119450_6..N03R,20140703,618N,1404433718,1404433718,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
1990,1404433721,119950_6..N02R,20140703,622N,1404433704,1404433704,6,1404360000.0,119950_6..N02R::1404360000.0,False,True
1997,1404433721,122450_6..N01R,20140703,637N,1404433713,1404433713,6,1404360000.0,122450_6..N01R::1404360000.0,False,True
2182,1404433751,117450_6..N01R,20140703,604N,1404433758,1404433758,6,1404360000.0,117450_6..N01R::1404360000.0,False,False
2186,1404433751,118450_6..N01R,20140703,613N,1404433604,1404433604,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
2188,1404433751,118950_6..N02R,20140703,613N,1404433731,1404433731,6,1404360000.0,118950_6..N02R::1404360000.0,False,True
2197,1404433751,121950_6..N02R,20140703,633N,1404433737,1404433737,6,1404360000.0,121950_6..N02R::1404360000.0,False,True
2389,1404433781,119450_6..N03R,20140703,617N,1404433784,1404433784,6,1404360000.0,119450_6..N03R::1404360000.0,False,False
2575,1404433811,120450_6..N,20140703,629N,1404433759,1404433759,6,1404360000.0,120450_6..N::1404360000.0,False,True
2580,1404433811,117950_6..N02R,20140703,607N,1404433796,1404433796,6,1404360000.0,117950_6..N02R::1404360000.0,False,True
2593,1404433811,121950_6..N02R,20140703,632N,1404433804,1404433804,6,1404360000.0,121950_6..N02R::1404360000.0,False,True
2774,1404433841,117450_6..N01R,20140703,603N,1404433844,1404433844,6,1404360000.0,117450_6..N01R::1404360000.0,False,False
2778,1404433841,118450_6..N01R,20140703,612N,1404433844,1404433844,6,1404360000.0,118450_6..N01R::1404360000.0,False,False
2784,1404433841,119950_6..N02R,20140703,621N,1404433804,1404433804,6,1404360000.0,119950_6..N02R::1404360000.0,False,True
2791,1404433841,122450_6..N01R,20140703,636N,1404433804,1404433804,6,1404360000.0,122450_6..N01R::1404360000.0,False,True
2793,1404433841,122950_6..N01R,20140703,640N,0,1404433805,6,1404360000.0,122950_6..N01R::1404360000.0,True,True
2806,1404433841,122150_6..N03R,20140703,635N,1404433755,1404433755,6,1404360000.0,122150_6..N03R::1404360000.0,False,True
2971,1404433871,117950_6..N02R,20140703,606N,1404433873,1404433873,6,1404360000.0,117950_6..N02R::1404360000.0,False,False
2982,1404433871,120950_6..N02R,20140703,631N,1404433684,1404433684,6,1404360000.0,120950_6..N02R::1404360000.0,False,True
3171,1404433901,119450_6..N03R,20140703,616N,1404433897,1404433897,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
3373,1404433931,122950_6..N01R,20140703,639N,1404433921,1404433921,6,1404360000.0,122950_6..N01R::1404360000.0,False,True
3386,1404433931,122150_6..N03R,20140703,634N,1404433936,1404433936,6,1404360000.0,122150_6..N03R::1404360000.0,False,False
3548,1404433961,117950_6..N02R,20140703,604N,1404433954,1404433954,6,1404360000.0,117950_6..N02R::1404360000.0,False,True
3550,1404433961,118450_6..N01R,20140703,611N,1404433940,1404433940,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
3554,1404433961,119450_6..N03R,20140703,615N,1404433969,1404433969,6,1404360000.0,119450_6..N03R::1404360000.0,False,False
3562,1404433961,122450_6..N01R,20140703,635N,1404433935,1404433935,6,1404360000.0,122450_6..N01R::1404360000.0,False,True
3737,1404433991,117450_6..N01R,20140703,602N,1404433925,1404433925,6,1404360000.0,117450_6..N01R::1404360000.0,False,True
3747,1404433991,119950_6..N02R,20140703,619N,1404433976,1404433976,6,1404360000.0,119950_6..N02R::1404360000.0,False,True
3930,1404434021,120450_6..N,20140703,626N,1404433977,1404433977,6,1404360000.0,120450_6..N::1404360000.0,False,True
3938,1404434021,118450_6..N01R,20140703,610N,1404434017,1404434017,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
3952,1404434021,122950_6..N01R,20140703,638N,1404434007,1404434007,6,1404360000.0,122950_6..N01R::1404360000.0,False,True
3967,1404434021,122150_6..N03R,20140703,633N,1404434013,1404434013,6,1404360000.0,122150_6..N03R::1404360000.0,False,True
4132,1404434051,120950_6..N,20140703,631N,1404433410,1404433410,6,1404360000.0,120950_6..N::1404360000.0,False,True
4133,1404434051,116950_6..N02R,20140703,601N,1404433996,1404433996,6,1404360000.0,116950_6..N02R::1404360000.0,False,True
4137,1404434051,117950_6..N02R,20140703,603N,1404434051,1404434051,6,1404360000.0,117950_6..N02R::1404360000.0,False,False
4143,1404434051,119450_6..N03R,20140703,614N,1404434060,1404434060,6,1404360000.0,119450_6..N03R::1404360000.0,False,False
4155,1404434051,123450_6..N01R,20140703,640N,0,1404434070,6,1404360000.0,123450_6..N01R::1404360000.0,True,False
4339,1404434081,118950_6..N02R,20140703,608N,1404434025,1404434115,6,1404360000.0,118950_6..N02R::1404360000.0,True,False
4349,1404434081,122450_6..N01R,20140703,634N,1404434065,1404434065,6,1404360000.0,122450_6..N01R::1404360000.0,False,True
4351,1404434081,122950_6..N01R,20140703,637N,1404434079,1404434079,6,1404360000.0,122950_6..N01R::1404360000.0,False,True
4534,1404434111,118450_6..N01R,20140703,609N,1404434099,1404434099,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
4727,1404434141,117950_6..N02R,20140703,602N,1404434129,1404434129,6,1404360000.0,117950_6..N02R::1404360000.0,False,True
4920,1404434171,117450_6..N01R,20140703,601N,1404434104,1404434104,6,1404360000.0,117450_6..N01R::1404360000.0,False,True
4928,1404434171,119450_6..N03R,20140703,613N,1404434153,1404434153,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
4938,1404434171,122950_6..N01R,20140703,636N,1404434166,1404434166,6,1404360000.0,122950_6..N01R::1404360000.0,False,True
5309,1404434231,118450_6..N01R,20140703,608N,1404434185,1404434185,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
5311,1404434231,118950_6..N02R,20140703,607N,1404434228,1404434228,6,1404360000.0,118950_6..N02R::1404360000.0,False,True
5497,1404434261,120950_6..N,20140703,629N,1404434228,1404434228,6,1404360000.0,120950_6..N::1404360000.0,False,True
5504,1404434261,119450_6..N03R,20140703,612N,1404434255,1404434255,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
5692,1404434291,118950_6..N02R,20140703,606N,1404434302,1404434302,6,1404360000.0,118950_6..N02R::1404360000.0,False,False
5704,1404434291,122950_6..N01R,20140703,635N,1404434251,1404434251,6,1404360000.0,122950_6..N01R::1404360000.0,False,True
5880,1404434321,120450_6..N,20140703,621N,1404434284,1404434284,6,1404360000.0,120450_6..N::1404360000.0,False,True
5914,1404434321,122150_6..N03R,20140703,632N,1404434086,1404434086,6,1404360000.0,122150_6..N03R::1404360000.0,False,True
6084,1404434351,119450_6..N03R,20140703,611N,1404434344,1404434344,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
6086,1404434351,119950_6..N02R,20140703,613N,1404434326,1404434326,6,1404360000.0,119950_6..N02R::1404360000.0,False,True
6097,1404434351,123950_6..N01R,20140703,640N,0,1404434370,6,1404360000.0,123950_6..N01R::1404360000.0,True,False
6274,1404434381,117950_6..N02R,20140703,601N,1404434317,1404434317,6,1404360000.0,117950_6..N02R::1404360000.0,False,True
6276,1404434381,118450_6..N01R,20140703,607N,1404434361,1404434361,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
6278,1404434381,118950_6..N02R,20140703,604N,1404434382,1404434382,6,1404360000.0,118950_6..N02R::1404360000.0,False,False
6474,1404434411,119450_6..N03R,20140703,610N,1404434413,1404434413,6,1404360000.0,119450_6..N03R::1404360000.0,False,False
6482,1404434411,122450_6..N01R,20140703,633N,1404434142,1404434142,6,1404360000.0,122450_6..N01R::1404360000.0,False,True
6661,1404434441,120950_6..N,20140703,626N,1404434426,1404434426,6,1404360000.0,120950_6..N::1404360000.0,False,True
6680,1404434441,123950_6..N01R,20140703,639N,1404434438,1404434438,6,1404360000.0,123950_6..N01R::1404360000.0,False,True
6855,1404434471,118450_6..N01R,20140703,606N,1404434450,1404434450,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
6857,1404434471,118950_6..N02R,20140703,603N,1404434478,1404434478,6,1404360000.0,118950_6..N02R::1404360000.0,False,False
6865,1404434471,121950_6..N02R,20140703,631N,1404434173,1404434173,6,1404360000.0,121950_6..N02R::1404360000.0,False,True
7044,1404434501,120450_6..N,20140703,619N,1404434462,1404434462,6,1404360000.0,120450_6..N::1404360000.0,False,True
7051,1404434501,119450_6..N03R,20140703,609N,1404434499,1404434499,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
7064,1404434501,123950_6..N01R,20140703,638N,1404434517,1404434517,6,1404360000.0,123950_6..N01R::1404360000.0,False,False
7076,1404434501,120500_6..N01R,20140703,630N,1404433238,1404433238,6,1404360000.0,120500_6..N01R::1404360000.0,False,True
7238,1404434561,118450_6..N01R,20140703,604N,1404434542,1404434542,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
7240,1404434561,118950_6..N02R,20140703,602N,1404434561,1404434561,6,1404360000.0,118950_6..N02R::1404360000.0,False,False
7242,1404434561,119450_6..N03R,20140703,608N,1404434550,1404434550,6,1404360000.0,119450_6..N03R::1404360000.0,False,True
7432,1404434591,119950_6..N02R,20140703,608N,1404434587,1404434587,6,1404360000.0,119950_6..N02R::1404360000.0,False,True
7437,1404434591,122450_6..N01R,20140703,632N,1404434480,1404434480,6,1404360000.0,122450_6..N01R::1404360000.0,False,True
7442,1404434591,123950_6..N01R,20140703,637N,1404434586,1404434586,6,1404360000.0,123950_6..N01R::1404360000.0,False,True
7618,1404434621,120450_6..N,20140703,618N,1404434609,1404434609,6,1404360000.0,120450_6..N::1404360000.0,False,True
7634,1404434621,122950_6..N01R,20140703,634N,1404434378,1404434378,6,1404360000.0,122950_6..N01R::1404360000.0,False,True
8018,1404434651,121950_6..N02R,20140703,630N,1404434546,1404434546,6,1404360000.0,121950_6..N02R::1404360000.0,False,True
8020,1404434651,118450_6..N01R,20140703,603N,1404434638,1404434638,6,1404360000.0,118450_6..N01R::1404360000.0,False,True
