,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
120750_1..N02R::1404619200.0,20,22,33,7,25,35,53,29,4,14,-4,13,11,70,-12,11,8,25,-11,-4,30,-10,7,10,-61,-5,-34,7,24,74,-4,-16,2,7,-3,-28,11,13
121550_1..N02R::1404619200.0,15,4,31,14,4,22,14,33,-6,17,17,-85,-19,60,3,14,13,20,18,-12,9,-21,20,-1,20,-10,-23,8,-5,30,11,55,6,-1,-14,-16,8,22
122350_1..N02R::1404619200.0,4,-10,9,0,5,16,-1,6,-18,11,-14,17,-19,57,-6,4,-12,31,25,-5,1,6,-23,-8,0,3,-30,8,-7,15,-11,64,20,-4,2,-1,4,17
123150_1..N02R::1404619200.0,6,17,-2,28,-24,14,30,21,16,8,22,-4,11,40,12,-5,-2,24,32,-1,21,-44,2,20,5,8,-18,-4,-3,36,-2,-18,-17,21,3,4,3,3
123950_1..N02R::1404619200.0,-6,16,-12,24,-24,14,27,9,15,7,6,-11,-49,70,11,-10,-13,-13,2,-5,17,4,33,-18,2,-1,-19,-8,-2,23,-16,76,14,-9,-7,-5,26,-6
124750_1..N02R::1404619200.0,-8,-4,24,16,15,-97,21,25,11,21,10,-13,-19,66,-3,5,1,11,25,2,14,3,-7,-19,-10,4,-27,7,5,15,8,-29,14,9,-4,13,-4,17
125550_1..N02R::1404619200.0,18,-5,18,-7,-2,15,49,26,12,9,-18,2,11,54,-2,9,13,14,6,-3,-8,9,15,16,-11,2,-5,10,16,30,-14,55,20,-10,17,-3,25,10
126350_1..N02R::1404619200.0,-27,-42,24,21,1,58,29,21,4,14,1,10,11,27,-9,9,12,-2,18,15,11,-3,7,6,4,1,-30,6,-1,35,3,-5,15,10,5,6,-3,8
127150_1..N02R::1404619200.0,-61,-15,-4,108,2,11,-7,26,3,-5,-15,-12,-19,64,-6,-33,-3,-1,-1,-13,9,-15,-29,-5,-11,-6,-53,-19,-14,115,-2,-29,-10,7,4,10,-13,-1
127950_1..N02R::1404619200.0,14,0,3,18,-21,4,25,15,1,12,-24,-2,-19,53,0,-8,0,16,-2,-1,15,8,-2,-2,-13,-16,-10,4,-6,146,-15,-46,17,1,9,-3,0,-4
128750_1..N02R::1404619200.0,12,11,24,4,9,15,1,3,14,10,-5,-10,11,63,4,18,-36,-3,-3,-4,-3,-19,20,20,0,3,-27,-8,1,20,-6,92,6,21,8,1,22,32
129550_1..N02R::1404619200.0,14,-14,16,82,18,4,-4,-12,-1,-3,-7,-4,11,66,-11,13,6,-4,16,-16,10,-8,5,-6,-14,-7,-20,-10,3,69,2,-22,15,-28,11,14,6,-34
130350_1..N02R::1404619200.0,-2,5,16,5,14,25,-1,23,-1,4,-10,-14,-19,49,8,-14,1,-4,18,17,-9,6,-33,-7,-12,-24,-27,18,3,15,-12,53,-1,-4,-4,-57,18,-26
131150_1..N02R::1404619200.0,1,15,-24,74,7,48,10,-4,-2,-17,8,-2,-19,47,-10,12,-3,5,-10,-25,5,3,14,4,4,-14,-46,-29,-12,51,-14,72,14,-14,-8,-1,-1,5
131950_1..N02R::1404619200.0,-6,0,5,7,-12,6,5,-6,11,0,-68,9,-19,56,4,8,34,-1,35,-7,8,-6,2,-1,0,0,-27,9,6,41,5,46,-69,6,8,-12,2,5
132900_1..N02R::1404619200.0,2,1,17,-27,-7,9,28,17,10,17,13,16,11,55,-3,13,4,3,-6,1,-37,-1,12,-17,3,18,-4,17,-20,12,11,-17,22,13,5,16,24,15
133900_1..N02R::1404619200.0,12,15,13,5,3,-9,54,12,13,6,-3,-16,-19,63,-7,-16,-9,9,3,-8,5,-2,11,13,-9,1,-26,-8,-13,61,6,63,-10,-8,15,-11,8,-14
