,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
057850_1..N09R::1404705600.0,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,
058300_1..N02R::1404705600.0,,,,,,,,,,,,,-289,,,,,,,,,,,,,,,,,,,,,,,,,
058750_1..N02R::1404705600.0,,,,,,,,,,,,-77,251,,,,,,,,,,,,,,,,,,,,,,,,,
059200_1..N02R::1404705600.0,-352,-6,-4,15,27,-24,19,-13,16,-4,-7,9,71,63,24,22,27,15,16,11,9,7,4,-19,28,9,-7,17,-10,43,16,18,13,8,-1,16,-2,4
059600_1..N02R::1404705600.0,-296,14,-3,-14,15,31,4,-6,20,21,-15,17,-49,37,13,-4,5,-4,4,4,19,3,-23,-1,-6,11,-28,-1,5,26,16,96,12,3,13,11,-1,17
060100_1..N02R::1404705600.0,-70,22,-2,-2,4,-7,51,9,8,6,2,13,71,54,17,-2,17,17,7,15,0,-5,25,-11,8,21,-34,-35,-7,58,2,-36,9,-5,-9,37,1,20
060550_1..N02R::1404705600.0,-168,-44,-5,7,-8,24,-3,17,-8,10,4,-11,-19,74,-2,3,-3,4,10,16,8,-1,-32,-8,-15,2,-22,-34,10,36,0,2,10,-3,-2,1,-6,2
061050_1..N02R::1404705600.0,-186,-8,-37,16,-5,23,16,19,8,8,-15,9,-19,76,9,0,12,0,-2,-2,13,7,21,13,-9,3,-34,-25,11,21,-8,12,10,-8,110,-6,-7,-2
058150_1..N09R::1404705600.0,,4,18,-26,14,12,12,22,-27,81,6,-14,11,,25,15,-7,10,18,10,-3,-28,,5,-5,15,-27,-133,16,40,-22,-10,-35,12,,8,18,12
061600_1..N02R::1404705600.0,-152,1,-6,-18,0,17,1,5,16,54,-8,-3,-19,74,10,-6,-9,7,0,-3,-13,18,0,4,2,5,-9,2,15,54,-4,57,-2,14,63,-23,48,10
062150_1..N02R::1404705600.0,-19,-5,-4,-24,3,-22,19,20,6,-1,-13,-11,-19,50,-11,0,-5,3,-7,-10,6,-15,0,-4,-6,-1,-26,8,-15,17,-1,1,9,8,5,-18,-7,-4
062700_1..N02R::1404705600.0,-153,-1,0,7,-2,18,22,27,18,68,-1,-4,11,57,10,-1,-13,3,-6,11,12,-7,2,20,23,6,-18,5,13,28,9,14,14,17,-5,-8,-1,-3
063250_1..N02R::1404705600.0,-44,52,-4,-8,14,28,-13,-24,-3,25,1,-9,11,57,-2,-4,-1,12,-10,14,-1,-13,-8,-11,10,-11,-20,0,-5,46,2,44,2,0,-11,12,-6,-13
059850_1..N02R::1404705600.0,-267,2,-18,-10,-2,8,0,27,-5,60,-11,6,,9,-67,-15,6,-5,-9,-16,-12,-14,-10,2,-66,-2,-31,9,-12,24,7,-60,-11,-14,-36,-6,2,-32
063850_1..N02R::1404705600.0,-137,-7,-9,14,-1,14,5,-4,-34,5,12,-12,-49,54,1,-7,-9,1,-13,7,-14,1,-1,6,-2,-16,-18,-38,12,11,10,63,1,13,37,-13,-7,3
064350_1..N02R::1404705600.0,-105,-6,-12,0,20,6,5,30,,31,-7,7,-79,52,-9,-8,4,-11,7,-3,5,-10,10,1,-6,10,-29,-4,4,27,1,76,-14,4,12,-17,-1,10
064850_1..N02R::1404705600.0,-92,8,19,18,17,26,3,23,19,49,-8,-84,11,69,8,-12,-5,4,5,9,16,17,-6,-3,9,8,-26,-9,12,21,-4,9,-15,2,-2,-25,18,7
065350_1..N02R::1404705600.0,17,-16,5,-4,11,31,-2,18,6,80,-5,-84,-19,73,14,11,-1,-18,-6,-8,-3,-8,4,-9,-8,-2,-28,-12,-6,15,0,8,10,-1,10,5,9,-6
065850_1..N02R::1404705600.0,-129,-4,-6,14,-9,41,-8,27,40,60,7,-9,-49,76,5,-2,12,-4,-3,-8,-14,-2,6,7,-59,2,-16,5,12,39,7,2,-7,11,14,-13,20,3
066350_1..N02R::1404705600.0,-19,14,10,80,5,11,1,18,-14,13,-9,-2,-49,69,-9,13,-6,4,8,7,8,17,15,1,-10,3,-13,-12,-12,13,-6,109,7,-20,-6,-1,3,-8
066850_1..N02R::1404705600.0,-147,19,1,115,15,0,-5,21,-37,11,9,-19,-49,50,-10,-2,4,-10,16,4,6,0,-11,-6,-62,-16,-27,4,0,14,-15,89,12,0,-2,-5,0,-4
067350_1..N02R::1404705600.0,35,18,-8,-12,10,12,12,3,23,-1,-9,7,11,73,8,-10,1,-12,3,11,-10,16,-4,6,9,14,-33,-22,-2,26,-8,12,2,13,0,-4,15,18
067850_1..N02R::1404705600.0,-107,15,11,4,8,25,0,0,9,-20,-2,-1,11,47,-10,7,-8,17,-2,-5,3,-3,10,-4,6,1,-16,7,-5,18,1,-2,-1,-2,10,6,12,16
068350_1..N02R::1404705600.0,-78,-2,-15,-21,-11,14,-1,19,4,15,-20,3,-79,45,-1,12,-8,-13,-2,-10,12,-26,13,0,-10,-1,,8,0,16,-12,124,7,10,-11,0,15,-3
068850_1..N02R::1404705600.0,18,12,-4,42,-1,-7,11,1,-7,83,-15,-19,-19,50,-7,0,-6,3,-15,-3,7,15,-3,16,4,10,-33,-18,19,47,-3,5,-13,-14,8,7,-17,6
069300_1..N02R::1404705600.0,-77,-4,8,94,-12,27,8,-3,22,114,-13,-16,-19,66,5,-17,9,-59,5,0,8,-15,2,-16,3,6,-25,-6,-2,11,-2,-24,13,-5,-28,7,7,4
069800_1..N02R::1404705600.0,-120,15,11,0,7,-3,20,19,6,12,-13,3,-19,42,-7,13,26,12,8,-3,0,-13,20,-6,19,-11,-34,-12,-9,-5,-5,119,12,-4,-59,-1,4,4
070400_1..N02R::1404705600.0,-121,-15,-27,1,-11,45,7,-1,11,56,-7,-18,11,60,-6,-25,13,-2,-39,-46,2,-13,-14,4,5,-23,-27,-16,7,22,1,65,14,13,-7,11,4,5
071000_1..N02R::1404705600.0,-107,1,-4,6,4,10,2,-7,-10,58,-6,2,-19,46,-19,-3,21,3,10,-35,-22,-48,3,-6,-2,12,-5,5,-12,25,3,52,1,6,12,12,-37,1
071600_1..N02R::1404705600.0,-104,1,12,0,1,34,6,12,-10,70,-16,6,-19,42,5,6,-14,10,12,-4,3,-25,12,4,12,31,-28,8,20,47,-7,-64,-2,9,12,-5,11,20
072200_1..N02R::1404705600.0,-119,-14,2,-6,-21,-1,45,8,13,104,-14,-4,11,39,-4,9,2,11,-1,-3,-3,14,16,-36,5,5,-22,-12,-8,23,-8,-20,6,-3,-7,0,-5,16
072800_1..N02R::1404705600.0,-132,9,-1,15,11,0,17,11,-2,55,-4,-16,11,54,-60,1,-5,-14,14,-7,8,-13,-20,-14,-74,-1,-25,10,-3,40,2,60,10,-3,14,12,-2,-14
073400_1..N02R::1404705600.0,-111,1,-13,6,-7,7,10,7,-14,89,-6,-11,-19,54,-23,-10,-16,-5,4,-3,12,-15,-24,9,1,6,-18,1,2,32,2,60,-8,8,9,-17,14,15
074000_1..N02R::1404705600.0,-133,-7,-2,0,6,19,28,17,24,11,-11,9,11,45,-3,-6,-9,22,27,7,19,-12,18,17,6,-18,-32,-2,-7,45,-86,49,19,-7,14,-35,3,-2
074600_1..N02R::1404705600.0,-132,10,-14,46,-2,96,-8,1,-7,11,1,-9,-19,61,-8,-51,-15,-5,14,0,7,-5,-4,-10,-20,12,-17,7,-22,12,11,109,-14,1,7,-60,14,14
075200_1..N02R::1404705600.0,-105,14,7,-23,-1,18,22,1,20,-4,-6,3,11,65,16,3,13,18,4,12,3,14,26,-7,-2,12,-11,-1,22,32,18,83,3,-3,24,19,19,12
075800_1..N02R::1404705600.0,-104,-4,8,24,10,9,15,-12,9,9,14,2,11,72,19,9,14,18,23,-5,-11,-1,21,2,-63,-3,-13,13,-2,16,-7,-22,-12,7,17,-3,5,-30
076400_1..N02R::1404705600.0,-102,14,14,-6,-2,0,36,0,27,24,19,-14,11,70,-63,13,6,11,0,2,-8,6,14,1,1,-17,-27,-12,21,53,10,51,-4,-28,16,16,12,-21
077000_1..N02R::1404705600.0,-129,8,3,-5,-11,20,-1,-3,-13,-36,-18,-5,11,68,-18,4,9,-1,0,6,-5,10,10,-6,-34,13,-16,10,5,29,19,46,-6,-3,-17,-9,4,6
077600_1..N02R::1404705600.0,-109,10,0,17,19,0,10,7,-31,20,11,-4,-19,72,16,-10,2,9,9,-27,-13,4,5,4,1,-1,-45,-12,12,12,6,71,20,7,9,8,1,23
078200_1..N02R::1404705600.0,-123,8,17,-1,1,19,3,4,27,50,-10,-12,-19,64,7,16,13,26,30,21,22,-21,-2,24,-4,-7,-30,17,-30,20,11,-13,-3,-7,-4,14,17,16
078800_1..N02R::1404705600.0,-127,-12,7,-12,6,17,6,2,6,55,-7,-6,11,71,0,11,-1,10,15,-8,-5,-14,14,7,-1,1,-16,-11,-12,6,-2,49,9,13,15,7,0,15
079400_1..N02R::1404705600.0,-130,-2,7,-14,10,33,11,-18,-10,51,-6,-2,-19,52,-1,-2,-3,-2,3,-21,-10,-8,-11,0,9,10,-9,2,-1,31,-1,56,-3,7,-8,8,13,-7
080000_1..N02R::1404705600.0,-117,-22,-2,1,6,15,-10,31,-20,28,-10,-6,-19,66,-17,18,-8,11,-38,8,1,12,4,14,22,-1,-17,16,0,23,15,66,-8,-14,-22,-15,5,12
080600_1..N02R::1404705600.0,-128,-51,-61,4,-4,37,6,10,8,111,-39,-5,11,62,-4,-11,16,7,26,-2,-4,-9,18,-5,9,-5,-22,-6,16,14,-2,-22,-20,6,-5,8,27,-7
081200_1..N02R::1404705600.0,-107,15,7,-26,-24,-35,15,13,45,29,3,18,-19,67,21,-2,23,16,1,23,-3,-15,1,2,43,15,-28,0,-5,25,-3,-30,-1,7,5,-3,7,-4
081800_1..N02R::1404705600.0,-110,15,7,11,-31,10,0,29,17,123,-3,-9,11,70,-11,8,-12,4,2,-10,18,-3,9,1,-7,4,-23,-13,10,34,9,-20,8,10,10,-9,0,0
082400_1..N02R::1404705600.0,-135,10,19,-7,7,11,40,31,-3,3,46,4,11,51,-14,14,-6,18,6,20,-5,14,12,9,-11,-11,-5,-10,-4,23,14,43,-5,12,-14,-6,17,17
083000_1..N02R::1404705600.0,-116,10,11,12,1,33,2,-3,3,100,5,-9,11,45,-13,14,-8,5,21,-17,12,0,5,-5,1,6,-18,-14,17,35,-13,-28,15,1,-33,-3,4,4
083600_1..N02R::1404705600.0,-122,-12,-27,-5,-4,17,19,7,-4,5,-4,23,11,56,-4,-55,-13,6,12,16,-3,-17,24,13,10,-11,-34,-9,10,41,-7,49,4,18,-58,-1,-2,14
084200_1..N02R::1404705600.0,-114,5,4,-38,12,0,27,41,14,17,-40,-52,-19,51,31,2,3,16,-1,-2,-4,-21,-7,-12,-5,-23,-14,-19,-2,19,-6,55,6,-3,4,5,-42,20
084800_1..N02R::1404705600.0,-18,-8,20,56,-16,-7,5,1,-14,52,-17,-6,-19,38,2,-9,8,-13,10,0,-22,14,-2,3,-2,6,-20,-5,-25,35,-5,76,-12,-13,9,7,15,4
085400_1..N02R::1404705600.0,35,-6,16,141,5,6,15,15,-4,9,-13,-8,-19,38,-3,10,-3,-37,12,2,-36,-14,-13,-13,8,-5,-44,-9,-16,17,0,85,-4,1,-6,3,11,-10
086000_1..N02R::1404705600.0,-6,0,21,19,4,24,15,-2,1,84,16,-3,11,45,4,13,17,5,13,-6,13,10,-5,2,-38,-1,-24,12,-3,8,15,-26,10,-24,-4,16,22,13
086600_1..N02R::1404705600.0,34,1,3,4,-2,15,39,-14,,46,-13,-17,-19,71,9,-35,18,10,8,13,9,-16,9,7,12,-5,-26,4,15,39,-6,59,19,12,20,4,-1,-29
087200_1..N02R::1404705600.0,70,13,7,11,11,-8,11,9,-12,28,8,14,11,55,1,-19,-36,16,-23,12,-11,-22,-1,5,10,-15,-6,-9,-5,40,19,-14,20,-12,4,12,0,23
087800_1..N02R::1404705600.0,59,18,8,12,20,58,10,14,-3,50,-18,-23,11,22,-9,1,4,10,14,22,11,2,8,3,14,-2,-11,0,-19,23,11,-21,7,3,5,13,17,-4
088400_1..N02R::1404705600.0,87,12,-6,2,-10,-13,11,6,10,50,-9,11,-19,52,-10,-3,9,0,2,-2,6,21,13,5,-23,-4,-28,9,0,31,-1,40,-14,14,49,6,15,16
089000_1..N02R::1404705600.0,-65,2,-2,13,2,25,23,3,0,10,10,24,11,61,10,32,-5,13,18,18,17,6,6,-7,-65,-7,14,7,-7,36,16,79,1,-1,9,-5,-11,7
089600_1..N02R::1404705600.0,11,17,12,10,14,31,18,11,15,22,-10,-10,-19,41,-13,-1,-1,1,26,3,64,-20,10,8,13,7,-26,-1,2,17,22,56,-5,9,11,19,12,-3
090200_1..N02R::1404705600.0,3,-9,1,19,-15,7,23,28,38,100,-50,-6,-19,38,-9,-8,-1,40,8,3,15,2,-9,10,-4,3,-25,-6,38,24,17,-26,11,10,-4,-7,-5,11
090800_1..N02R::1404705600.0,20,-5,-3,-8,-14,1,21,16,19,26,-8,1,-19,70,-2,-3,6,-8,8,-2,21,-13,-1,-1,14,23,-19,1,3,7,28,49,-1,30,-1,12,-10,1
091400_1..N02R::1404705600.0,8,-10,14,9,8,-16,14,60,3,89,3,1,-19,74,-3,-14,-3,-9,19,-3,10,-6,0,-22,-15,3,-21,-8,-3,41,9,13,18,11,10,-11,6,7
092000_1..N02R::1404705600.0,-10,-49,-15,22,6,31,-18,19,46,90,-10,0,-19,68,-3,11,21,20,22,15,18,11,16,2,11,8,-22,-38,-5,31,15,-20,14,4,18,-8,22,-23
092600_1..N02R::1404705600.0,204,-52,22,65,0,19,11,-4,10,13,11,3,11,66,-7,-59,-13,2,-6,-27,9,4,12,11,-2,3,-23,-10,15,19,10,-27,-1,-9,-13,34,16,6
093200_1..N02R::1404705600.0,96,3,4,-2,7,24,5,1,-12,-33,27,14,11,68,6,3,11,1,26,15,-6,-15,0,0,-2,14,-9,7,1,40,16,53,21,3,3,-9,-27,19
093700_1..N02R::1404705600.0,-36,15,-2,15,6,14,12,5,4,58,6,-53,41,17,-15,-10,-8,21,-8,-5,-19,-5,0,3,4,2,-12,-7,-5,50,-20,-8,15,4,6,-15,1,14
094200_1..N02R::1404705600.0,209,-22,11,-8,-38,13,19,17,5,72,-48,14,-19,64,-1,10,9,-4,16,-9,-11,11,19,9,12,10,-30,17,6,12,-9,2,-1,16,-5,-1,16,-2
094700_1..N02R::1404705600.0,19,13,-62,-8,-9,19,13,38,4,17,20,18,-49,48,5,-9,8,1,11,-4,-11,12,17,-6,-58,-1,-33,-54,6,22,16,26,16,-3,19,17,18,-6
095200_1..N02R::1404705600.0,148,3,-11,10,8,2,35,32,5,-1,12,11,11,70,3,-24,-5,-10,-12,-10,-23,9,-5,2,-3,-3,-31,9,-3,46,13,-6,-25,3,-3,-13,17,13
095600_1..N02R::1404705600.0,24,-7,17,52,11,4,3,-3,-15,17,-8,8,11,17,-5,-13,-1,17,9,-8,-18,15,-7,1,-1,-3,-33,-7,-2,26,-9,13,18,6,-1,0,38,5
096200_1..N02R::1404705600.0,76,-15,-5,31,2,-8,18,12,-1,2,-24,-5,11,67,-7,-6,15,2,11,-16,19,1,18,-2,31,-7,-24,-7,-29,34,-4,5,16,-6,12,-3,-6,4
096700_1..N02R::1404705600.0,,,,-7,5,6,53,13,23,6,-14,2,11,,,,-11,16,2,12,23,8,,18,9,18,-13,,-10,78,16,17,290,6,,-7,36,0
097200_1..N02R::1404705600.0,13,14,-6,22,-11,68,-6,-5,6,26,4,-10,11,60,13,-11,8,-4,29,-7,-10,3,-1,-29,-3,-27,-16,-5,2,10,9,33,28,7,-3,12,18,0
097700_1..N02R::1404705600.0,16,5,-13,47,6,90,17,9,19,39,-13,-6,11,72,-18,-17,0,6,22,6,10,-22,12,-12,11,-18,-14,-12,-11,16,-6,4,2,-2,4,5,11,19
098200_1..N02R::1404705600.0,146,3,6,2,7,2,13,16,-15,100,10,-5,11,63,10,-2,20,10,7,-13,1,7,-18,4,8,-5,-15,5,-9,29,18,3,14,4,-6,-88,1,-4
098700_1..N02R::1404705600.0,53,-6,-5,-24,0,98,20,5,10,103,2,-9,-19,66,1,-9,-10,3,-3,-6,3,27,-4,6,9,2,-22,-5,14,26,-11,-14,-1,10,3,-87,-10,11
099200_1..N02R::1404705600.0,3,15,10,15,7,62,31,18,33,17,-4,18,41,57,-12,2,19,7,-7,2,4,16,3,17,9,2,-3,1,1,47,14,18,8,17,6,11,20,9
099700_1..N02R::1404705600.0,6,22,18,10,-8,57,10,11,6,12,-2,16,-19,43,15,7,11,3,7,-8,13,-10,7,3,10,-2,-14,-1,9,20,-1,35,14,0,7,3,28,-38
100200_1..N02R::1404705600.0,-5,23,15,3,25,17,18,10,-28,311,-2,2,-19,47,-7,3,3,19,20,,23,-6,19,2,3,-20,-16,6,19,9,-3,16,11,26,-59,65,25,33
100700_1..N02R::1404705600.0,-4,8,10,-9,22,39,24,4,37,8,3,8,11,68,4,9,6,7,36,6,-10,-3,-10,10,-3,3,-13,12,10,35,1,20,-6,12,-3,9,10,20
101100_1..N02R::1404705600.0,5,-3,-7,7,8,3,9,-3,7,84,-72,-9,-49,54,5,-2,0,26,13,-4,16,-50,0,2,0,0,-20,-23,-8,60,-2,60,-1,14,-1,8,27,8
101500_1..N02R::1404705600.0,43,2,2,30,20,1,42,36,10,9,-9,3,-49,63,-3,16,-5,18,13,14,9,14,17,43,20,4,-46,13,23,49,21,-14,4,11,17,-35,41,27
101900_1..N02R::1404705600.0,28,8,-19,21,-3,60,33,47,-16,40,20,10,11,47,-12,7,10,19,34,-26,7,6,15,20,19,-21,-13,14,18,94,40,225,-9,18,-7,24,5,8
102300_1..N02R::1404705600.0,483,-16,13,-4,2,17,5,23,25,41,3,9,11,65,-6,13,8,-13,38,32,-5,-4,-14,-6,9,15,-9,-13,20,67,3,-28,-1,-5,-4,-11,13,15
102700_1..N02R::1404705600.0,53,6,39,-31,-9,-26,12,47,20,12,8,14,101,48,-19,7,4,-2,36,12,3,-13,7,7,12,21,-18,10,5,43,-8,-81,2,12,487,-7,21,5
103100_1..N09R::1404705600.0,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,
103500_1..N02R::1404705600.0,,,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,
103900_1..N02R::1404705600.0,-4,-7,-20,31,12,83,39,40,7,25,8,8,-49,53,-10,19,39,35,41,12,12,27,12,15,27,1,-39,10,20,66,-14,41,30,21,8,-6,33,40
104300_1..N02R::1404705600.0,6,-15,4,4,11,62,29,48,23,10,-6,6,101,71,17,-3,23,29,24,-10,2,9,-2,13,13,22,-24,-6,14,48,17,-59,8,12,-1,7,17,24
104700_1..N02R::1404705600.0,30,-5,4,25,-4,11,13,7,8,-10,14,9,71,49,-6,-3,10,-2,32,-1,15,2,10,-9,-8,2,75,-34,34,52,3,-78,-3,-7,-2,19,4,-20
096700_1..N::1404705600.0,9,,,,,,,,,,,,,50,,,,,,,,,7,,,,,14,,,,,,,7,,152,
105100_1..N02R::1404705600.0,22,11,8,-10,15,17,23,12,11,99,4,3,101,11,5,4,-12,14,1,5,-4,-3,-9,13,8,13,-8,9,12,0,6,-97,0,-1,168,-22,1,0
105500_1..N09R::1404705600.0,,4,11,3,17,66,28,0,-20,156,-2,-18,41,,22,12,12,-13,-5,-38,-1,-40,,8,-4,1,-8,13,-4,19,6,-71,-3,14,,-16,12,13
105900_1..N02R::1404705600.0,,,,,,,,,,,,,-109,,,,,,,,,,,,,,,,,,,,,,,,,
106300_1..N02R::1404705600.0,-20,-13,12,24,9,47,36,31,11,164,4,-5,-49,47,-7,-25,14,2,22,9,407,-28,-4,10,9,13,-22,0,3,35,8,-35,9,-28,-23,0,27,33
103300_1..N02R::1404705600.0,1,28,19,13,9,120,7,3,14,32,-16,2,-19,45,-3,11,-2,31,45,-42,13,1,342,-3,5,26,-19,12,-3,29,17,-77,21,-28,115,-11,17,26
106700_1..N02R::1404705600.0,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,
107100_1..N02R::1404705600.0,,,,,,53,341,57,63,151,8,23,11,,,,,,50,22,,-4,,-30,36,17,-13,,,67,26,-75,,-5,,11,,62
107500_1..N09R::1404705600.0,,14,26,26,20,26,63,30,18,127,4,-4,11,,45,-63,0,20,17,17,4,-9,,17,3,15,1,-3,15,38,27,-149,7,22,,-7,8,50
107900_1..N02R::1404705600.0,17,31,15,17,-2,2,6,5,6,131,8,19,11,68,-9,4,-3,-7,40,15,-2,-9,10,-9,5,8,-10,18,20,66,32,-88,8,34,11,22,-28,45
108300_1..N02R::1404705600.0,,,,,,,,,43,56,22,10,221,,,,,,70,18,,10,,,,19,-24,,,491,10,9,,,,57,,
108800_1..N02R::1404705600.0,49,12,20,-1,2,44,19,55,22,-1,6,4,101,34,-14,16,19,-12,18,0,-4,-4,-22,3,16,33,-21,-13,-7,134,14,-92,1,-2,15,16,16,32
109200_1..N02R::1404705600.0,57,-2,0,-2,8,-7,29,10,1,4,15,7,11,50,-28,-5,-5,15,125,7,1,10,-7,15,18,53,-33,3,-5,51,18,-90,-1,10,-36,15,-12,4
109600_1..N02R::1404705600.0,-26,5,9,18,3,18,19,2,23,96,15,12,-19,80,-18,9,5,18,140,28,12,-28,5,10,19,19,-33,-14,4,62,2,-68,13,-1,30,-1,1,40
110000_1..N09R::1404705600.0,,-8,16,0,5,8,52,4,8,99,-10,3,-19,,30,2,-7,-7,4,15,5,-11,,16,2,10,-26,3,8,9,-5,63,10,15,,-1,-13,-1
110400_1..N02R::1404705600.0,184,-1,-4,1,17,-4,21,-6,24,5,8,12,-49,68,-4,-9,-2,10,23,13,7,2,13,7,-7,1,-28,-13,-5,33,9,-44,-12,6,40,13,-5,14
110900_1..N02R::1404705600.0,-43,10,13,-5,-3,34,15,22,14,10,-14,5,11,63,4,-16,-10,9,23,115,-4,4,377,3,-13,-24,-20,-9,1,39,17,-22,-4,1,178,-6,10,-25
111400_1..N02R::1404705600.0,8,450,-58,-34,8,10,17,20,11,53,6,-12,-19,59,2,14,-11,16,-2,-6,-7,2,7,10,17,-1,-22,19,-5,23,-25,-3,-2,47,4,8,-50,0
111900_1..N02R::1404705600.0,96,3,2,12,3,-2,-2,3,14,78,-9,7,-19,74,8,426,-6,11,3,,16,15,-3,-6,-2,5,-33,-6,-3,17,-6,13,8,0,2,1,-4,19
112400_1..N02R::1404705600.0,296,7,8,18,13,17,0,-3,2,39,-11,-24,-49,64,14,1,3,-41,23,-10,15,17,-20,21,-4,-2,-17,-24,-1,44,,79,411,-7,167,-1,6,12
112900_1..N02R::1404705600.0,3,2,7,1,15,57,25,47,15,72,-13,-4,11,75,9,6,24,26,24,12,21,13,-2,20,16,15,,10,12,73,-7,12,10,9,418,0,20,8
113400_1..N02R::1404705600.0,107,-10,-14,3,-1,8,-22,-6,10,70,-12,-7,-19,60,0,-10,0,0,23,-4,0,18,17,4,-1,6,-18,-1,19,47,-2,49,17,11,36,-3,7,7
110600_1..N02R::1404705600.0,91,9,-25,-4,24,-1,9,12,-19,3,13,-14,,4,-2,-1,-10,-10,28,16,-50,13,10,-1,-64,30,-23,-11,-3,39,17,-80,6,22,329,11,-5,-8
113900_1..N02R::1404705600.0,191,9,18,-3,-8,17,35,13,7,68,-14,0,-19,51,9,17,12,-1,21,-28,17,16,299,28,8,2,-16,-15,7,15,-9,8,-5,22,154,-5,11,-7
107100_1..N::1404705600.0,,611,29,7,10,341,,,,,,,,54,,38,9,10,,,21,,,,,,,-61,28,,,,23,,41,,26,
108300_1..N::1404705600.0,1,9,-1,33,13,23,45,44,,,,,,66,7,19,23,12,,,18,,25,34,,,,19,8,,,,30,13,-13,,3,
114400_1..N02R::1404705600.0,-4,-3,2,18,7,28,24,31,-1,29,3,15,11,74,-6,-6,-4,10,19,22,-10,-5,342,12,-5,-36,-17,1,-37,37,39,2,24,9,286,-7,-20,14
114900_1..N02R::1404705600.0,-14,7,9,-4,6,-7,26,35,-26,11,-12,-9,11,51,-18,12,-2,11,11,-13,-27,12,1,-14,-6,-5,-26,-11,-8,42,-65,28,302,-4,13,0,2,17
115400_1..N02R::1404705600.0,-1,23,15,0,11,43,3,14,10,16,0,0,131,54,14,6,-7,3,23,10,23,-14,106,20,7,7,-41,4,7,37,2,18,8,17,28,5,22,3
115900_1..N02R::1404705600.0,-49,-3,-6,7,2,13,18,5,-5,95,-11,-5,11,48,204,-17,-6,-3,-8,-6,-19,-6,7,-17,0,-5,-17,8,-5,21,8,10,-5,7,-17,-9,-15,-10
116400_1..N02R::1404705600.0,89,-12,-3,12,-4,23,26,32,19,70,10,12,-19,52,17,242,-12,3,4,-2,-12,6,3,-12,-6,-23,-3,-6,9,29,-13,2,-35,-4,8,-3,-11,11
116900_1..N02R::1404705600.0,249,2,11,1,-6,19,10,14,-34,80,6,13,-19,53,-16,14,18,8,12,19,395,-3,7,7,2,-9,-6,18,7,36,6,24,20,-14,12,-17,5,2
117400_1..N02R::1404705600.0,71,9,-5,-16,9,9,20,26,-3,58,-16,-1,11,47,-18,-5,12,7,14,-17,7,-17,4,20,138,-24,-27,24,-20,67,25,-24,14,-7,-22,-13,-4,26
117900_1..N09R::1404705600.0,,,,14,-17,-12,12,19,-10,81,-1,-9,-49,,,,1,6,8,19,6,-12,,12,46,21,-19,,12,33,-5,-2,-108,-10,,6,,6
118400_1..N02R::1404705600.0,21,-6,2,25,2,130,36,13,-27,82,6,-8,-19,50,-7,1,12,19,21,-10,7,-8,21,8,193,-10,-48,1,-6,6,7,4,13,11,138,12,-2,-8
118900_1..N02R::1404705600.0,103,0,4,-7,14,31,22,-2,11,66,-15,-11,-49,23,1,7,13,4,22,-7,-9,10,58,-21,2,0,-1,11,2,-15,17,1,12,-13,81,-5,-2,7
119400_1..N02R::1404705600.0,143,-7,-9,-5,18,10,20,27,11,92,-1,-17,11,57,0,-4,6,1,0,-40,-5,-13,237,11,14,0,-26,-3,5,23,2,37,-5,17,148,3,12,7
119900_1..N02R::1404705600.0,15,-1,-8,-11,-13,20,29,19,6,68,-10,-9,11,29,8,-3,-23,1,-1,-6,-8,-51,22,19,-11,0,-20,2,4,22,-9,8,-6,-6,61,-1,-15,-1
120350_1..N02R::1404705600.0,67,-9,-12,3,-9,-1,-5,12,-6,0,15,-78,-19,50,-7,-12,-17,-8,12,-25,8,5,113,-3,-15,-15,-23,-4,5,14,-19,51,17,3,106,-12,10,1
120800_1..N02R::1404705600.0,32,-15,-9,12,16,16,14,11,-6,8,19,2,161,73,9,-8,-4,-1,15,4,-3,-17,-6,11,11,-22,-17,-5,3,11,-8,-20,0,-12,-18,0,17,-9
121300_1..N02R::1404705600.0,214,10,-20,-2,-9,14,55,13,1,-4,-12,-21,131,46,14,10,12,-3,19,-17,-6,-14,0,18,-9,-5,-6,-15,8,53,3,-5,30,19,0,12,6,-6
121800_1..N02R::1404705600.0,,,,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,
122300_1..N02R::1404705600.0,10,3,14,16,-1,9,18,18,-21,46,-10,3,11,60,4,12,10,15,-2,5,11,-13,15,8,-11,5,-13,12,-11,53,-6,-20,9,13,14,4,19,15
122800_1..N02R::1404705600.0,17,22,-1,11,18,33,15,21,12,7,-4,13,11,55,11,-5,0,17,27,16,5,-10,-25,7,18,16,-8,-1,12,41,-3,90,15,6,29,4,-1,4
123300_1..N09R::1404705600.0,,12,11,-1,-11,11,-18,10,-1,10,19,0,-79,,2,10,8,-47,18,-12,4,-16,,5,-20,-22,-15,-14,4,9,-9,105,7,-20,,-1,2,-13
