,604N,608N,614N,613N,621N,625N,631N,632N,636N,640N,630N,638N,603N,624N,635N,639N,619N,637N,607N,623N,602N,634N,629N,601N,606N,618N,622N,633N,617N,612N,616N,626N,611N,615N,610N,609N,628N,627N
128150_6..N01R::1404360000.0,5,-4,14,26,17,21,42,14,8,11,34,-1,4,13,15,-6,24,9,10,21,13,18,8,65,-4,-11,28,126,3,7,4,-3,0,-12,-10,-7,3,-24
128750_6..N01R::1404360000.0,2,7,-12,6,-7,15,17,12,-4,32,9,-6,5,12,40,17,11,137,-3,-3,-5,-3,10,71,-11,-15,8,-11,5,-9,5,13,-8,-7,-14,-5,11,111
129350_6..N01R::1404360000.0,,,,,,,,,,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129950_6..N01R::1404360000.0,-3,18,7,14,25,14,44,27,18,-19,7,8,13,32,41,14,30,21,16,-4,19,14,26,71,27,20,-26,15,24,23,12,41,7,20,8,-1,8,2
130550_6..N01R::1404360000.0,-6,19,-5,2,5,-4,20,0,17,-19,5,10,-21,16,20,0,25,30,13,-4,13,-8,4,63,21,16,-21,12,0,20,-10,-2,15,-2,3,6,3,6
131150_6..N01R::1404360000.0,13,13,-2,16,22,2,23,16,19,-19,-1,2,-14,1,30,-11,17,30,5,12,-25,-4,-2,61,-19,-12,-3,-10,5,-6,-12,-22,-7,10,-11,0,-5,21
131750_6..N01R::1404360000.0,17,-34,-11,29,53,11,-10,6,9,-19,10,14,16,8,14,4,-6,1,20,13,0,-7,9,66,8,-8,1,15,4,8,10,8,-34,-5,-8,-5,9,13
132350_6..N01R::1404360000.0,18,2,1,17,50,2,15,-11,28,-199,32,25,17,14,62,0,7,8,16,20,1,21,18,42,9,-2,0,2,11,18,7,9,6,15,-3,0,17,18
133050_6..N01R::1404360000.0,13,-5,-3,3,6,-88,42,13,1,-49,-5,-26,-5,-9,16,-3,-17,-6,15,1,9,9,-5,55,3,1,17,-6,-12,-11,18,-9,-12,-3,10,-10,-4,2
133750_6..N01R::1404360000.0,,,14,14,16,26,5,7,19,-19,6,10,,18,18,16,22,25,,22,,18,26,,,13,0,33,15,23,5,3,10,8,24,22,17,45
134450_6..N01R::1404360000.0,7,15,10,-4,2,19,48,21,-5,-19,46,4,8,7,29,-4,10,-6,3,-10,56,-23,16,51,,10,5,118,-6,7,-1,16,4,10,-2,6,16,-9
135200_6..N01R::1404360000.0,19,24,1,5,31,-2,16,22,19,49,38,9,14,26,24,1,-10,25,7,-1,-7,16,27,66,19,5,11,3,16,18,6,7,8,14,-6,-5,20,18
136000_6..N01R::1404360000.0,1,14,12,-9,17,3,83,5,-9,-19,18,-73,-6,10,-25,3,-9,11,18,-6,3,16,-4,61,-12,-6,15,6,10,6,-9,0,-7,4,-19,16,0,9
136800_6..N01R::1404360000.0,-1,-1,-8,-15,18,-25,12,6,20,-19,49,-14,-3,15,22,3,-22,13,-7,-2,14,-9,130,42,-12,10,-14,15,1,11,6,8,13,-6,9,-11,-23,15
134150_6..N01R::1404360000.0,-11,8,15,18,15,-1,31,-4,-3,-19,12,-3,-85,-9,6,17,8,-12,-6,-1,7,14,15,47,14,-10,13,1,18,14,9,12,17,13,-22,-8,15,19
137600_6..N01R::1404360000.0,-10,13,0,15,-2,-2,54,18,8,-19,21,3,-5,-1,23,-7,-32,1,9,11,13,-1,-46,41,5,-3,-1,-7,16,1,-16,-74,-1,3,-8,2,-5,3
138400_6..N01R::1404360000.0,-45,12,7,19,6,-26,0,6,26,11,44,17,,-9,28,10,1,-6,19,2,,-3,18,,8,-9,15,16,6,0,4,6,-9,15,10,9,13,15
139200_6..N01R::1404360000.0,,,8,19,19,2,9,13,29,-19,30,5,,-3,34,-9,20,-5,,6,,7,14,,,16,-8,-2,2,7,0,3,2,12,-5,-33,10,13
140000_6..N01R::1404360000.0,,,-16,,9,-6,45,5,-6,-19,57,-71,,4,-23,1,15,14,,-10,,10,13,,,-11,10,6,11,,-10,-9,,-19,,,13,-8
140800_6..N01R::1404360000.0,,,,,31,9,16,13,22,-19,19,-11,,11,25,5,-22,16,,-5,,-1,-2,,,,9,-11,,,,5,,,,,-1,10
141800_6..N01R::1404360000.0,,,,,,,53,17,16,-19,24,8,,,26,-8,,5,,,,0,2,,,,,-5,,,,,,,,,3,6
133750_6..N::1404360000.0,,401,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,
142800_6..N01R::1404360000.0,,,,,,,-94,13,21,-19,,6,,,28,-4,,28,,,,-1,,,,,,-9,,,,,,,,,,
143800_6..N01R::1404360000.0,,,,,,,,,,-19,,-79,,,,-7,,,,,,,,,,,,,,,,,,,,,,
144800_6..N01R::1404360000.0,,,,,,,,,,-499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145800_6..N01R::1404360000.0,,,,,,,,,,-1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146800_6..N01R::1404360000.0,,,,,,,,,,-1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144800_6..N01R::1404446400.0,26,27,11,21,28,-5,38,5,5,41,14,5,14,25,13,5,13,17,7,0,-7,-26,23,56,-7,7,14,19,17,-26,9,0,24,18,5,-34,16,14
145800_6..N01R::1404446400.0,4,-14,-5,28,-2,8,42,10,-4,-19,13,11,2,11,32,8,8,2,3,-8,-12,-6,-5,38,-8,1,7,-16,-14,-6,-59,8,17,-26,6,6,22,18
146800_6..N01R::1404446400.0,-8,7,-10,2,-28,10,33,13,-2,-19,50,7,-4,17,36,-2,15,-3,-6,-6,10,1,-4,63,15,7,5,-8,21,16,15,14,10,-63,-1,1,-8,-4
138400_6..N01R::1404446400.0,11,,,,,,,,,,,,9,,,,,,,,18,,,64,,,,,,,,,,,,,,
139200_6..N01R::1404446400.0,-7,3,,,,,,,,,,,-7,,,,,,-7,,9,,,41,14,,,,,,,,,,,-1,,
140000_6..N01R::1404446400.0,4,-39,,-3,,,,,,,,,-65,,,,,,-15,,6,,,53,-16,,,,,-15,,,-10,,-11,2,,
140800_6..N01R::1404446400.0,-26,9,-6,41,,,,,,,,,6,,,,8,,-7,,-6,,,63,-14,8,,,-4,6,5,,7,-5,-1,7,,
141800_6..N01R::1404446400.0,-2,-7,-10,13,2,7,,,,,,,4,-9,,,23,,-11,7,-6,,,59,14,-8,-2,,-19,11,7,5,9,-8,4,14,,
142800_6..N01R::1404446400.0,5,20,13,9,-3,10,21,,,,47,,-2,11,,,1,,6,-10,8,,20,62,-4,-2,1,,7,-5,6,14,-10,-11,10,14,-14,-63
143800_6..N01R::1404446400.0,-11,15,10,23,17,-1,47,15,12,,40,8,-5,-8,24,,-4,5,9,7,14,-1,-1,37,5,-3,-6,-10,-13,5,-5,-1,-3,12,-5,3,-5,2
147800_6..N01R::1404446400.0,-7,4,17,19,3,-7,53,-11,0,11,20,-4,-8,-7,14,12,11,-9,-9,9,13,12,46,50,11,12,-3,-1,12,3,3,-3,-2,-8,-12,-3,-11,0
148800_6..N01R::1404446400.0,-4,8,2,13,15,7,23,19,-4,11,15,-1,-3,-3,0,18,7,-10,-2,7,10,-22,10,47,20,4,-6,-1,-8,18,-7,8,9,9,-1,3,10,17
150000_6..N01R::1404446400.0,-6,4,2,18,-8,32,63,-4,-32,-19,40,6,-4,6,36,-3,-1,-3,-12,14,11,-22,1,46,11,-1,-4,-1,16,-2,-11,5,-4,5,-12,-6,3,10
007500_6..N01R::1404446400.0,7,7,1,16,14,7,56,-6,1,-19,21,4,9,-9,25,-7,19,-2,-2,4,-4,8,6,64,-8,-10,18,0,10,4,-66,5,2,2,-7,-34,2,9
009250_6..N01R::1404446400.0,5,-1,6,-3,-22,11,96,-7,8,-19,44,0,10,5,18,-15,23,-1,-6,-13,1,-4,-9,53,-12,-8,7,-6,13,-55,-13,5,-9,5,-13,-10,-4,5
011250_6..N01R::1404446400.0,4,19,0,18,28,12,31,5,6,161,34,15,0,15,24,9,24,33,7,-7,14,-5,31,65,-5,19,7,-17,0,1,-3,100,-5,10,14,15,17,21
013250_6..N01R::1404446400.0,11,13,1,10,8,9,79,15,7,-19,34,4,13,11,19,-87,11,-35,8,-5,0,-3,10,16,,12,10,-9,-10,1,-9,5,1,3,-5,3,-3,7
015250_6..N01R::1404446400.0,0,12,-20,23,-2,17,10,0,11,-19,43,30,3,10,15,-8,-6,5,-2,-7,-9,18,39,46,-12,22,-23,6,-4,9,3,17,-22,-15,-1,6,-12,-58
017250_6..N01R::1404446400.0,14,-12,4,14,7,10,-57,-7,12,11,30,13,14,-7,34,4,5,6,12,5,-1,-24,13,59,2,5,15,-37,-7,18,-11,8,14,8,4,12,7,-14
019250_6..N01R::1404446400.0,-5,12,-2,-26,11,-2,18,-5,17,41,18,1,-3,13,26,-6,9,20,1,-5,-14,22,21,45,-15,4,12,4,-11,15,-9,-3,14,2,2,7,-2,3
021250_6..N01R::1404446400.0,13,2,-8,27,9,7,57,-2,3,-19,43,4,13,21,8,-9,-11,-2,18,0,-4,12,36,66,3,16,15,2,-12,0,16,-24,-2,-3,20,-6,9,14
023250_6..N01R::1404446400.0,-1,0,-10,3,7,-9,50,-20,-21,-19,27,10,-2,11,21,-1,10,5,-6,-5,14,-5,6,52,19,10,9,-15,-3,-6,4,-52,-7,-8,13,-8,-14,-7
025250_6..N01R::1404446400.0,-10,17,-10,10,-4,4,106,2,-5,-49,64,-13,-6,-5,10,-28,6,-15,13,9,14,23,36,68,5,9,-4,4,-1,1,5,-1,3,-7,-5,-25,-9,1
027250_6..N01R::1404446400.0,-28,22,11,20,19,19,29,8,2,-19,81,12,-33,18,34,1,24,3,10,22,10,1,15,70,26,-8,-25,18,5,5,5,20,-2,18,16,18,-2,-1
029250_6..N01R::1404446400.0,-8,-9,-3,22,71,-2,88,-4,17,-19,18,13,-7,8,30,-2,-1,8,15,-5,-18,7,-8,47,8,-4,10,1,12,14,13,-48,12,-1,2,12,-7,-2
031250_6..N01R::1404446400.0,1,4,-9,9,10,12,94,18,-61,-19,8,-10,2,10,30,-24,57,15,-31,-6,-10,5,-21,74,-12,4,10,-5,-10,-5,22,10,-7,-2,16,-5,-19,12
033250_6..N01R::1404446400.0,-11,-8,16,-2,11,0,50,16,-4,-19,10,-5,-9,-8,28,12,11,-11,13,3,9,-1,14,60,7,13,20,-9,-29,-10,0,13,-14,-10,9,15,10,18
035250_6..N01R::1404446400.0,-1,16,-10,4,50,-5,2,10,1,-19,7,8,-2,-3,39,-1,-19,-2,4,8,10,3,7,67,23,11,-8,-9,-6,-9,14,-1,17,-3,5,11,3,7
036750_6..N01R::1404446400.0,7,11,-6,-32,-3,-8,57,2,7,-49,-1,8,6,9,-17,-1,11,1,0,12,-8,-12,29,58,-6,3,1,9,16,13,12,-11,10,-3,0,5,-9,-2
038250_6..N01R::1404446400.0,-14,-7,6,21,10,-4,67,6,11,-49,-1,12,-11,-7,22,1,20,5,12,4,8,1,2,64,5,-13,15,15,1471,12,-11,-49,12,6,5,15,-7,0
039750_6..N01R::1404446400.0,-37,-36,,,16,19,70,0,3,-19,6,4,-10,4,-17,-5,256,-3,-16,14,10,-13,-4,47,8,512,23,6,,15,,18,10,,1,10,25,-7
041100_6..N01R::1404446400.0,20,16,12,17,44,23,26,7,-4,11,13,4,13,-5,31,-6,45,-6,2,2,-6,-3,10,46,16,11,16,16,11,4,7,1,-6,-13,10,14,4,5
042200_6..N01R::1404446400.0,-8,21,0,15,-60,2,103,4,10,-19,10,9,-3,-3,49,-5,32,6,12,9,-12,11,12,66,6,-6,24,6,10,5,13,15,6,-1,-1,9,18,-11
043000_6..N01R::1404446400.0,6,10,6,51,-7,-32,53,18,2,-19,4,1,9,-5,38,-6,5,-5,2,8,-2,3,2,64,-5,5,-4,-6,-12,8,-4,-1,4,10,-6,0,3,8
043800_6..N01R::1404446400.0,-8,-12,-2,10,91,-8,75,12,16,-19,-35,13,-2,-4,30,-2,-4,9,13,11,-11,-9,8,54,8,-2,3,-15,16,-1,12,-12,-2,-2,-9,5,12,-9
044600_6..N01R::1404446400.0,35,22,15,22,30,23,43,17,-38,-19,15,2,-28,24,9,-7,9,-8,9,-2,14,9,11,27,-3,4,12,-6,18,5,10,-5,-1,-7,14,21,5,6
045400_6..N01R::1404446400.0,11,-14,-14,-3,59,0,90,-8,8,-19,-12,4,14,-2,21,-12,18,-37,8,12,92,2,-8,39,1,-13,0,-4,4,8,7,-4,4,-9,-1,7,-8,1
046200_6..N01R::1404446400.0,0,5,-22,15,48,5,2,2,-2,-19,13,4,0,12,39,-8,21,-3,-4,-6,17,-12,14,42,-11,-11,8,9,2,0,2,8,-3,14,-11,-2,14,17
046950_6..N01R::1404446400.0,-1,2,12,-4,12,-3,56,2,5,-19,-4,5,0,-20,11,-9,16,-1,-6,-3,15,-16,1,58,16,8,14,6,-4,18,0,-7,-12,16,9,-11,-2,1
047750_6..N01R::1404446400.0,9,8,12,16,38,11,14,16,13,-19,17,-5,3,-32,14,19,21,12,22,7,15,15,-19,53,5,17,17,-1,19,4,16,25,26,-3,9,9,9,5
048550_6..N01R::1404446400.0,15,19,10,23,18,6,11,-1,1,-19,13,3,-14,-1,43,-12,61,-2,11,12,5,-18,-18,46,4,11,26,7,-2,8,-1,5,7,13,-2,7,10,15
049350_6..N01R::1404446400.0,13,-5,15,26,63,19,10,11,-16,-19,4,18,11,14,22,14,12,9,15,-5,-35,0,3,64,5,1,7,-11,16,4,12,18,-3,-8,17,-10,-1,-1
050150_6..N01R::1404446400.0,-31,-60,5,13,1,-9,76,8,-2,-19,14,-6,0,10,20,12,0,-13,-36,-8,80,-13,-11,60,17,0,8,12,-11,17,-8,-10,-16,7,6,17,-10,-3
050950_6..N01R::1404446400.0,13,-7,-2,-23,4,24,39,12,-1,-19,18,3,13,16,34,-10,9,-7,11,-4,-1,2,17,64,3,10,8,-7,-2,-7,-51,1,-10,5,10,15,12,15
051750_6..N01R::1404446400.0,6,22,7,29,5,11,33,2,2,-19,12,-13,7,-2,26,18,3,9,2,6,-4,-9,6,51,-6,-9,18,12,-27,21,24,19,9,-6,2,12,-3,1
052550_6..N01R::1404446400.0,12,5,-6,13,19,-2,74,12,2,-19,0,2,-14,-6,14,-13,4,-4,3,6,5,-2,5,35,-1,6,-9,-14,-5,-5,5,,-5,-6,-13,-3,9,114
053350_6..N01R::1404446400.0,15,18,-6,-3,-2,-7,47,17,8,-19,-2,8,-59,11,46,-5,13,2,8,-7,6,2,0,53,-18,14,4,-7,-2,15,16,-6,13,-1,5,10,-4,3
054150_6..N01R::1404446400.0,-1,-11,2,17,95,8,81,9,-25,-19,9,13,6,15,20,-2,6,4,-15,-2,296,-10,8,46,11,4,15,12,-8,2,3,6,4,4,-1,10,3,12
054950_6..N01R::1404446400.0,-2,10,14,14,0,-5,55,0,5,-19,3,11,-3,19,18,0,3,1,-2,-5,12,-11,32,59,18,-2,6,8,-18,20,8,-3,13,-11,-27,8,6,10
055750_6..N01R::1404446400.0,-19,-7,5,56,70,-12,84,11,4,-19,10,-3,-8,-15,19,18,14,-7,-12,-2,77,-17,13,52,-10,-14,11,-18,11,1,-15,16,2,7,-2,13,10,-7
056550_6..N01R::1404446400.0,8,14,5,11,84,3,26,-1,-6,11,-2,-3,10,2,37,15,21,19,0,12,-1,6,2,47,-9,-16,-4,0,-27,10,-1,1,5,10,-2,8,1,-24
057350_6..N01R::1404446400.0,6,6,10,9,80,31,-15,13,7,-19,2,-1,9,17,25,-9,5,17,-3,23,-6,-6,25,40,-8,1,1,-11,11,-6,12,-17,-10,24,-5,-3,18,16
058150_6..N01R::1404446400.0,-6,7,10,10,50,14,22,0,-9,-19,20,4,-6,13,21,-1,1,23,-2,18,8,-10,21,29,16,1,-3,8,16,-1,6,15,-9,-10,8,3,-9,26
058950_6..N01R::1404446400.0,-11,-12,-9,6,16,21,52,11,6,-19,13,6,-7,-11,14,-1,87,-2,12,4,13,-8,18,64,6,9,22,-15,-6,-10,3,17,-10,-10,14,7,12,-11
059750_6..N01R::1404446400.0,-43,-10,13,22,61,7,71,11,11,-19,9,12,-11,6,18,0,21,6,13,19,5,-4,9,70,5,-9,2,-13,7,9,1,9,5,-13,30,22,10,16
060550_6..N01R::1404446400.0,-11,4,-11,1,14,13,78,11,-4,-19,-7,-1,-9,6,32,-13,-10,-9,-11,18,9,-6,22,45,9,12,0,-14,-2,9,-11,14,-26,1,-6,-3,18,-6
061350_6..N01R::1404446400.0,1,10,8,26,14,17,14,6,14,-139,18,15,-6,2,294,5,16,8,-5,13,13,-11,15,48,-12,-14,-3,11,2,11,5,24,9,-10,0,7,-3,0
062150_6..N01R::1404446400.0,9,-11,17,15,-26,25,5,6,14,-169,8,-9,6,4,226,14,3,12,10,11,-8,-5,8,19,1,0,16,14,16,-2,10,0,-10,-5,10,14,7,10
062950_6..N01R::1404446400.0,-14,3,-3,8,90,10,4,-11,8,-19,7,1,-7,-2,75,-16,14,0,2,14,165,-2,14,60,-1,15,3,-5,4,-7,11,26,-9,-2,16,-7,17,-5
063750_6..N01R::1404446400.0,13,-15,1,-15,19,-11,40,14,28,-19,19,2,10,0,84,-7,-1,-6,7,7,-5,19,15,63,1,-4,22,3,9,-4,10,22,-82,15,-17,11,2,1
064550_6..N01R::1404446400.0,-4,9,-25,12,17,-6,34,1,16,-19,-9,13,-4,15,84,-2,60,6,2,-3,10,11,23,62,-8,9,16,5,-7,-5,-5,-12,-6,-18,-15,-3,-9,-2
065350_6..N01R::1404446400.0,-1,18,1,37,-16,21,14,23,26,-19,13,21,26,11,25,20,13,6,6,-18,3,-4,36,75,24,-24,20,9,12,1,5,4,16,14,20,18,20,19
066150_6..N01R::1404446400.0,-2,-16,-6,10,67,11,55,11,10,-19,-4,0,4,10,81,-10,14,0,13,-7,-1,-11,-1,59,12,-16,-20,-16,3,12,7,10,6,-5,-5,5,2,11
066950_6..N01R::1404446400.0,10,-3,-1,5,21,-7,20,-23,1,-19,-27,19,14,15,34,16,11,6,12,-8,-15,-4,28,58,4,0,0,16,9,13,1,1,3,10,-10,-6,14,14
067750_6..N01R::1404446400.0,-18,3,6,-8,88,-2,16,7,9,-19,19,10,-20,4,84,-4,21,-26,-3,-12,-14,-9,21,61,-25,-15,6,13,3,14,2,-8,15,15,9,-9,-12,-3
068550_6..N01R::1404446400.0,16,5,14,19,46,14,38,16,6,-19,27,17,18,15,70,5,8,9,19,-5,2,5,17,70,7,6,34,-6,20,5,6,23,3,-8,-7,0,-1,2
069350_6..N01R::1404446400.0,12,-9,-8,6,-23,-2,3,-3,11,-19,-6,-6,12,-12,8,15,10,13,11,-2,-1,12,25,67,4,-24,12,4,19,-8,15,96,-12,-3,9,17,9,14
070150_6..N01R::1404446400.0,4,5,-16,50,6,-10,34,-5,-1,-19,-10,7,9,-19,102,-3,10,-1,-6,0,0,6,22,56,-13,10,13,-2,2,-13,6,-11,-13,-66,-18,-8,-61,0
070950_6..N01R::1404446400.0,0,23,6,34,15,8,44,18,22,-19,10,12,-7,15,41,10,31,1,9,-10,7,20,6,53,22,17,32,6,0,27,16,12,12,19,-8,24,-7,-3
071750_6..N01R::1404446400.0,6,5,-1,5,11,-6,9,7,-6,-19,8,-34,3,0,66,-8,9,-10,-16,-1,135,-8,5,64,1,2,12,12,-11,-6,-9,-45,-14,6,6,9,-3,4
072550_6..N01R::1404446400.0,12,-1,-6,-5,8,11,26,16,11,11,5,-11,6,15,44,13,17,9,17,-6,12,10,1,53,5,16,10,-1,0,20,-8,16,8,2,-37,3,-6,-3
073350_6..N01R::1404446400.0,-5,3,-4,24,15,22,30,9,-2,-19,16,6,-6,-3,92,0,14,-4,15,7,7,3,8,56,23,12,17,17,-3,4,-9,-2,-7,1,2,-28,5,8
074150_6..N01R::1404446400.0,-3,19,-8,0,12,5,5,-7,12,-19,12,11,-2,3,78,0,50,4,2,14,15,11,13,48,20,-3,29,3,-16,11,15,3,-5,-36,12,14,9,9
074950_6..N01R::1404446400.0,-5,3,16,27,109,-4,31,-2,9,-19,-6,-4,-2,-6,43,-8,-13,14,-7,7,14,11,-2,44,15,-14,19,4,2,7,7,-2,1,-10,-10,-4,-2,4
075750_6..N01R::1404446400.0,-4,8,-10,4,21,11,8,6,16,-19,-1,-1,0,4,80,-6,27,21,-4,13,-11,-4,26,58,20,10,0,-16,-6,21,-13,42,9,0,-4,1,-12,21
076550_6..N01R::1404446400.0,-11,-18,4,31,3,3,37,-19,6,-19,15,-2,15,1,6,26,7,11,2,5,-1,3,8,63,13,-6,21,-9,22,6,18,4,-5,-2,10,12,6,9
077350_6..N01R::1404446400.0,6,17,-11,3,26,21,10,3,14,-49,10,18,4,0,52,13,-2,10,-20,7,-11,-78,9,58,-3,-6,11,10,13,-9,14,-4,16,-4,5,10,4,3
078150_6..N01R::1404446400.0,9,14,-34,47,-4,15,45,7,-4,-19,19,1,9,7,65,-36,3,-11,7,-9,116,-7,19,59,0,-3,1,17,-16,-6,-10,14,13,4,-2,6,16,-11
078950_6..N01R::1404446400.0,-6,8,-2,8,-4,8,34,8,20,-19,-5,7,-5,3,50,-2,8,21,-4,16,11,-4,23,66,15,4,1,15,-7,22,15,17,16,0,3,6,20,-4
079750_6..N01R::1404446400.0,-1,-2,-3,9,12,-22,30,5,21,-19,25,-4,1,-3,48,26,20,17,-11,7,17,-11,14,50,16,-9,24,10,8,0,13,8,-4,-1,16,-7,-21,13
080550_6..N01R::1404446400.0,17,26,16,15,1,2,21,27,9,-19,16,26,-18,22,35,24,4,10,6,-1,21,-6,11,62,14,3,7,9,16,3,15,17,25,-5,4,-2,-26,3
081350_6..N01R::1404446400.0,10,-38,-1,29,16,8,25,11,18,-19,18,-23,12,19,41,13,1,-10,13,-4,-2,1,8,56,0,-7,0,-10,5,9,-9,15,-2,7,-11,-24,-1,2
082150_6..N01R::1404446400.0,7,19,3,-14,57,14,34,-1,3,-49,25,-15,3,8,13,10,10,1,8,-8,19,-10,23,59,-3,4,6,11,20,-26,-7,17,0,8,17,21,-9,-4
082950_6..N01R::1404446400.0,-8,19,3,13,52,7,29,32,25,-19,23,6,-9,0,56,4,7,-7,-2,11,9,-9,13,57,16,-21,-4,9,-5,-8,-8,9,19,6,8,14,12,17
083750_6..N01R::1404446400.0,-5,9,1,13,8,15,32,-7,4,-19,19,14,-6,-31,35,21,20,2,-3,6,8,9,13,63,15,-15,16,0,0,-6,-3,22,16,9,5,6,6,6
084550_6..N01R::1404446400.0,-36,-6,-1,18,1,11,22,24,11,-19,-20,-3,-6,11,9,56,8,14,15,-16,14,11,26,51,6,11,2,-1,1,6,-17,-16,6,2,2,12,12,-11
085350_6..N01R::1404446400.0,-10,-36,-2,16,20,-3,37,-44,12,-19,13,1,-10,-10,48,0,23,10,18,9,7,12,8,54,10,-10,-8,3,3,-5,9,5,-81,0,16,-7,3,9
086150_6..N01R::1404446400.0,0,31,11,7,33,6,79,28,25,11,16,-3,-5,10,39,3,30,20,8,13,6,8,28,61,-8,17,19,13,-32,10,18,21,27,-5,6,3,12,8
086950_6..N01R::1404446400.0,16,8,3,16,4,11,23,13,7,-49,1,18,12,5,40,12,30,6,-9,20,27,4,1,44,9,-2,-24,-10,11,8,-12,17,92,7,18,6,1,124
087750_6..N01R::1404446400.0,5,5,2,13,23,6,45,21,26,-19,13,2,8,-47,13,-1,17,-11,0,4,-7,11,8,74,-8,-14,-7,2,7,-1,13,6,-6,-37,-14,-6,4,10
