,604N,608N,614N,613N,621N,625N,631N,632N,636N,640N,630N,638N,603N,624N,635N,639N,619N,637N,607N,623N,602N,634N,629N,601N,606N,618N,622N,633N,617N,612N,616N,626N,611N,615N,610N,609N,628N,627N
116950_6..N02R::1404360000.0,4,,,,,,,,,,,,28,,,,,,,,0,,,55,,,,,,,,,,,,,,
117450_6..N01R::1404360000.0,-7,75,,,,,,,,,,,-3,,,,,,11,,66,,,67,6,,,,,,,,,,,,,
117950_6..N02R::1404360000.0,7,66,,,,,,,,,,,0,,,,,,15,,12,,,64,-2,,,,,,,,,,,,,
118450_6..N01R::1404360000.0,19,46,9,147,,,,,,,,,13,,,,,,20,,23,,,65,21,,,,,-3,,,21,,4,12,,
118950_6..N02R::1404360000.0,-1,-34,,20,,,,,,,,,-7,,,,,,3,,0,,,61,-11,,,,,,,,,,,,,
119450_6..N03R::1404360000.0,,11,-9,18,53,,,,,,,,,,,,1,,,,,,,,,3,,,-3,6,4,,7,-8,-2,2,,
119950_6..N02R::1404360000.0,14,4,,25,37,-5,,,,,,,14,-8,,,15,,-17,2,263,,,40,1,,17,,,,,,,,,,,
120450_6..N01R::1404360000.0,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120950_6..N02R::1404360000.0,,,,,,,187,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121950_6..N02R::1404360000.0,3,44,,27,,372,298,7,2,,105,,7,,38,,92,,0,,-6,-7,,61,-9,,,14,,,,,,,,,185,
122450_6..N01R::1404360000.0,5,18,2,6,15,11,58,111,37,-19,3,18,8,-10,26,17,19,8,13,13,-6,16,28,50,1,0,10,269,7,15,-6,4,5,-20,-6,145,-10,-8
122950_6..N01R::1404360000.0,-24,-82,14,16,45,0,32,-10,5,36,-36,14,-2,21,40,10,-1,2,11,18,4,243,1,67,-2,-4,19,2,5,2,-3,24,-1,3,10,53,-2,7
123450_6..N01R::1404360000.0,,,,,,,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123950_6..N01R::1404360000.0,-11,0,9,18,22,-2,26,-45,5,-19,29,-16,14,-4,65,3,25,5,-1,7,-30,10,8,50,-18,-10,-7,0,5,-7,16,-1,21,27,441,9,-4,1
124450_6..N01R::1404360000.0,-10,3,-17,24,5,21,28,-41,-14,-19,10,8,75,-2,21,-12,19,23,-6,8,12,-12,3,52,10,4,24,12,-11,0,-3,18,208,-13,14,7,-4,3
124950_6..N01R::1404360000.0,2,6,15,22,20,18,30,9,-3,11,3,21,13,-1,44,24,19,4,-16,5,79,3,21,54,-2,12,9,-8,21,-15,18,-43,-4,-4,-21,7,9,9
125450_6..N01R::1404360000.0,8,-48,-17,27,9,3,-10,27,8,-19,-8,19,68,4,50,4,21,7,11,-12,70,-9,-6,52,-2,11,8,102,13,15,-10,22,-14,10,11,9,-36,4
120500_6..N01R::1404360000.0,,-6,-9,6,15,24,,,,,1263,,,5,,,23,,,0,,,29,,,7,27,,-13,17,-15,32,8,2,-9,-3,-7,38
122150_6..N03R::1404360000.0,,14,-14,22,6,15,78,235,36,,-10,-3,,22,86,,2,13,,22,,-5,13,,,5,37,8,14,-11,9,8,9,-6,-6,24,10,-20
120450_6..N::1404360000.0,12,9,0,16,37,,,,,,,,6,,,,39,,20,,-6,,52,60,5,12,,,27,0,-10,44,24,4,-24,8,,
125950_6..N01R::1404360000.0,-6,-6,-6,28,23,1,35,-38,15,-19,20,16,42,-1,55,1,30,6,15,10,126,165,15,53,10,-17,-3,3,-25,14,8,14,15,-35,7,15,9,15
120950_6..N::1404360000.0,1,-23,,-3,37,,641,,,,,,1,,,,6,,-1,,-13,,33,47,20,,,,,,,15,,,,,,
126450_6..N01R::1404360000.0,-10,-8,-12,7,43,26,33,-3,-15,191,13,10,-9,19,38,2,-18,23,15,-3,175,11,11,12,6,-18,14,3,1,-11,7,-2,17,-7,9,14,-1,6
126950_6..N01R::1404360000.0,4,25,2,14,-5,-6,10,10,2,102,31,7,29,19,37,4,25,-4,9,-3,-17,-1,1,64,-4,-11,8,-10,3,-6,3,-5,8,13,-7,-4,1,2
127550_6..N01R::1404360000.0,6,8,8,2,9,7,26,23,-7,11,-1,1,20,6,29,-8,-6,20,4,-10,21,4,155,54,-5,-6,11,-4,10,-8,-10,-26,-9,9,-13,-4,-14,24
124400_6..N02R::1404360000.0,-12,71,,,,,,,,,,,8,,,,,,2,,19,,,65,11,,,,,,,,,,,,,
