,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
76,1404433451,116600_3..N01R,20140703,227N,1404433428,1404433428,3,1404360000.0,116600_3..N01R::1404360000.0,False,True
294,1404433481,120600_3..N01R,20140703,239N,1404433458,1404433458,3,1404360000.0,120600_3..N01R::1404360000.0,False,True
298,1404433481,122200_3..N01R,20140703,255N,1404433470,1404433470,3,1404360000.0,122200_3..N01R::1404360000.0,False,True
488,1404433511,115800_3..N01R,20140703,224N,1404433477,1404433477,3,1404360000.0,115800_3..N01R::1404360000.0,False,True
490,1404433511,116600_3..N01R,20140703,226N,1404433504,1404433504,3,1404360000.0,116600_3..N01R::1404360000.0,False,True
492,1404433511,117300_3..N01R,20140703,123N,1404433489,1404433489,3,1404360000.0,117300_3..N01R::1404360000.0,False,True
496,1404433511,119000_3..N01R,20140703,232N,1404433514,1404433514,3,1404360000.0,119000_3..N01R::1404360000.0,False,False
911,1404433571,121450_3..N01R,20140703,250N,1404433577,1404433577,3,1404360000.0,121450_3..N01R::1404360000.0,False,False
913,1404433571,122200_3..N01R,20140703,254N,1404433574,1404433574,3,1404360000.0,122200_3..N01R::1404360000.0,False,False
1103,1404433601,116600_3..N01R,20140703,225N,1404433590,1404433590,3,1404360000.0,116600_3..N01R::1404360000.0,False,True
1107,1404433601,118200_3..N01R,20140703,128N,1404433577,1404433577,3,1404360000.0,118200_3..N01R::1404360000.0,False,True
1113,1404433601,120600_3..N01R,20140703,238N,1404433586,1404433586,3,1404360000.0,120600_3..N01R::1404360000.0,False,True
1304,1404433631,115800_3..N01R,20140703,302N,1404433621,1404433621,3,1404360000.0,115800_3..N01R::1404360000.0,False,True
1508,1404433661,117300_3..N01R,20140703,120N,1404433669,1404433669,3,1404360000.0,117300_3..N01R::1404360000.0,False,False
1512,1404433661,119000_3..N01R,20140703,231N,1404433640,1404433640,3,1404360000.0,119000_3..N01R::1404360000.0,False,True
1514,1404433661,119800_3..N01R,20140703,235N,1404433469,1404433469,3,1404360000.0,119800_3..N01R::1404360000.0,False,True
1518,1404433661,121450_3..N01R,20140703,249N,1404433673,1404433673,3,1404360000.0,121450_3..N01R::1404360000.0,False,False
1520,1404433661,122200_3..N01R,20140703,253N,1404433652,1404433652,3,1404360000.0,122200_3..N01R::1404360000.0,False,True
1904,1404433721,118200_3..N01R,20140703,127N,1404433689,1404433689,3,1404360000.0,118200_3..N01R::1404360000.0,False,True
1910,1404433721,120600_3..N01R,20140703,237N,1404433701,1404433701,3,1404360000.0,120600_3..N01R::1404360000.0,False,True
2101,1404433751,115800_3..N01R,20140703,301N,1404433695,1404433695,3,1404360000.0,115800_3..N01R::1404360000.0,False,True
2102,1404433751,116600_3..N01R,20140703,224N,1404433728,1404433728,3,1404360000.0,116600_3..N01R::1404360000.0,False,True
2110,1404433751,119800_3..N01R,20140703,234N,1404433736,1404433736,3,1404360000.0,119800_3..N01R::1404360000.0,False,True
2114,1404433751,121450_3..N01R,20140703,248N,1404433764,1404433764,3,1404360000.0,121450_3..N01R::1404360000.0,False,False
2116,1404433751,122200_3..N01R,20140703,252N,1404433732,1404433732,3,1404360000.0,122200_3..N01R::1404360000.0,False,True
2702,1404433841,119800_3..N01R,20140703,233N,1404433850,1404433850,3,1404360000.0,119800_3..N01R::1404360000.0,False,False
2704,1404433841,120600_3..N01R,20140703,236N,1404433829,1404433829,3,1404360000.0,120600_3..N01R::1404360000.0,False,True
2708,1404433841,122200_3..N01R,20140703,251N,1404433841,1404433841,3,1404360000.0,122200_3..N01R::1404360000.0,False,False
2890,1404433871,116600_3..N01R,20140703,302N,1404433884,1404433884,3,1404360000.0,116600_3..N01R::1404360000.0,False,False
2896,1404433871,119000_3..N01R,20140703,230N,1404433866,1404433866,3,1404360000.0,119000_3..N01R::1404360000.0,False,True
3086,1404433901,117300_3..N01R,20140703,227N,1404433903,1404433903,3,1404360000.0,117300_3..N01R::1404360000.0,False,False
3096,1404433901,121450_3..N01R,20140703,239N,1404433890,1404433890,3,1404360000.0,121450_3..N01R::1404360000.0,False,True
3286,1404433931,120600_3..N01R,20140703,235N,1404433904,1404433904,3,1404360000.0,120600_3..N01R::1404360000.0,False,True
3292,1404433931,123200_3..N01R,20140703,257N,0,1404433920,3,1404360000.0,123200_3..N01R::1404360000.0,True,True
3471,1404433961,118200_3..N01R,20140703,123N,1404433947,1404433947,3,1404360000.0,118200_3..N01R::1404360000.0,False,True
3473,1404433961,119000_3..N01R,20140703,229N,1404433948,1404433948,3,1404360000.0,119000_3..N01R::1404360000.0,False,True
3660,1404433991,117300_3..N01R,20140703,226N,1404433974,1404433974,3,1404360000.0,117300_3..N01R::1404360000.0,False,True
