,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
042000_5..N01R::1404446400.0,,58,16,,,,,,,,,,14,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042300_5..N73R::1404446400.0,,66,17,21,6,4,0,,,,,,17,23,7,,48,-8,21,,,22,18,5,29,,,-14,,,-81,6,,-35,,,-7,,11,,-6,13,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
043300_5..N73R::1404446400.0,,61,12,26,6,17,-2,,,,,,13,3,11,,28,-9,7,,,23,14,23,25,,,-2,,,1,-15,,5,,,6,,11,,15,3,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
040950_5..N73R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043700_5..N01R::1404446400.0,,23,6,24,,,,,,,,,0,,,,131,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044500_5..N73R::1404446400.0,,48,13,23,9,40,0,,,,,,30,18,-8,,38,802,-8,,,13,21,0,19,,,-1,,,10,-23,,11,,,2,,11,,19,10,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
045700_5..N73R::1404446400.0,,,,,,12,6,,,,,,,,16,,,,18,,,,,31,30,,,,,,3,,,,,,0,,11,,1,7,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
047100_5..N73R::1404446400.0,,65,3,6,13,-3,24,,,,,,1,20,-14,,16,-28,3,,,7,-3,13,95,,,-11,,,-33,4,,10,,,-7,,-19,,-9,-8,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
048100_5..N73R::1404446400.0,,47,12,30,-9,2,19,,,,,,18,3,10,,14,4,3,,,29,20,27,45,,,-5,,,6,1,,21,,,2,,-19,,-36,19,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
049500_5..N73R::1404446400.0,,59,9,13,-14,6,14,,,,,,11,-4,-80,,35,5,1,,,15,5,22,70,,,-8,,,-2,10,,8,,,10,,-49,,10,-2,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,
050500_5..N73R::1404446400.0,,67,25,-15,3,28,11,,,,,,-4,25,3,,19,15,26,,,11,31,28,12,,,1,,,4,-19,,3,,,19,,-19,,9,10,,,,-11,,,,,,,,,,,,,,,,,,,,,,,,
045700_5..N::1404446400.0,,69,4,20,,,,,,,,,6,,,,48,,,,,18,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051900_5..N73R::1404446400.0,,67,18,9,-26,3,-1,,,,,,12,-12,-9,,21,-7,15,,,13,-16,-17,94,,,-3,,,12,-10,,-38,,,4,,11,,9,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
052900_5..N73R::1404446400.0,,31,-4,30,-8,18,8,,,,,,-4,1,1,,3,-5,24,,,1,-1,1,102,,,-19,,,3,6,,10,,,6,,11,,4,112,,,,-18,,,,,,,,,,,,,,,,,,,,,,,,
054300_5..N73R::1404446400.0,,55,-1,18,-5,3,22,,,,,,-25,17,-4,,28,11,26,,,16,-1,4,39,,,14,,,6,16,,-12,,,-6,,11,,-8,30,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
055300_5..N73R::1404446400.0,,61,26,31,12,21,10,,,,,,-1,22,29,,40,-1,25,,,-1,9,-11,62,,,-6,,,5,73,,6,,,182,,-19,,18,48,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
056700_5..N73R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057700_5..N73R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059100_5..N73R::1404446400.0,,55,6,12,12,21,23,,,,,,-24,24,-2,,30,0,7,,,13,23,11,90,,,-11,,,-3,4,,6,,,-8,,-19,,-6,76,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
060100_5..N73R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057200_5..N73R::1404446400.0,,13,26,20,15,37,10,,,,,,10,19,-12,,57,20,49,,,32,7,36,17,,,17,,,-3,22,,13,,,-10,,16,,11,-25,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,
061500_5..N73R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062500_5..N73R::1404446400.0,,67,-28,28,0,24,-5,,,,,,8,18,16,,32,12,15,,,26,3,9,57,,,9,,,16,1,,9,,,23,,-19,,16,20,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
063900_5..N73R::1404446400.0,,58,17,4,10,24,11,,,,,,26,29,-2,,15,-4,25,,,4,15,0,72,,,-5,,,15,4,,13,,,-1,,-19,,-7,18,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,
060800_5..N73R::1404446400.0,,70,22,17,15,25,12,,,,,,10,1,68,,50,2,13,,,17,-5,27,32,,,13,,,8,0,,14,,,2,,18,,-1,18,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,
064900_5..N73R::1404446400.0,,51,16,28,-10,21,20,,,,,,19,0,12,,20,3,3,,,25,18,8,12,,,-3,,,13,6,,-12,,,-3,,11,,-8,15,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
066300_5..N73R::1404446400.0,,64,13,24,-5,-9,7,,,,,,14,-1,46,,34,-17,17,,,20,10,10,24,,,-5,,,13,14,,-12,,,23,,-19,,-20,-7,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,
063250_5..N73R::1404446400.0,,58,-20,15,12,4,-4,,,,,,2,12,12,,20,1,16,,,18,-6,16,102,,,-14,,,-6,26,,6,,,1,,-19,,-4,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
067300_5..N73R::1404446400.0,,60,15,33,15,7,1,,,,,,19,16,12,,-1,2,33,,,28,21,21,40,,,10,,,4,6,,13,,,4,,-19,,19,19,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
068700_5..N73R::1404446400.0,,57,22,34,-14,-7,-1,,,,,,21,9,7,,46,2,9,,,32,20,29,3,,,-8,,,22,1,,-19,,,7,,167,,7,9,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
069700_5..N73R::1404446400.0,,77,14,32,-13,-37,24,,,,,,23,14,14,,22,2,6,,,-1,16,19,30,,,8,,,-3,16,,15,,,0,,41,,17,4,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
067500_5..N73R::1404446400.0,,59,27,35,18,5,22,,,,,,28,15,21,,65,1,-6,,,14,21,21,18,,,13,,,30,13,,18,,,-2,,101,,13,18,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
071100_5..N73R::1404446400.0,,51,20,33,-17,13,-12,,,,,,-3,20,62,,40,3,1,,,1,24,84,18,,,4,,,85,-5,,7,,,11,,-19,,2,3,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,
072100_5..N73R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,-38,,,,,,,,,,,,,,,,,,,,,,,,
073500_5..N73R::1404446400.0,,51,13,41,9,25,14,,,,,,24,29,27,,44,10,23,,,32,21,37,24,,,-4,,,-4,4,,12,,,19,,41,,33,31,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,
074500_5..N73R::1404446400.0,,61,8,12,-1,5,21,,,,,,8,11,50,,26,-11,6,,,12,13,-25,17,,,2,,,13,-9,,-5,,,17,,-19,,16,-4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
075900_5..N73R::1404446400.0,,45,14,13,6,19,6,,,,,,25,14,-3,,39,16,9,,,9,3,14,32,,,19,,,15,0,,8,,,-8,,-19,,21,5,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,
076900_5..N73R::1404446400.0,,63,31,17,0,7,27,,,,,,30,-8,42,,25,1,-26,,,32,16,27,39,,,12,,,17,4,,16,,,-2,,-49,,9,46,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
078300_5..N73R::1404446400.0,,60,26,27,2,-10,23,,,,,,3,21,59,,57,5,10,,,15,18,11,27,,,2,,,12,-2,,12,,,18,,-49,,13,-3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
079300_5..N73R::1404446400.0,,70,27,22,5,8,15,,,,,,2,12,15,,34,13,2,,,16,1,31,37,,,19,,,4,1,,9,,,-4,,11,,18,25,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
080700_5..N73R::1404446400.0,,31,26,16,9,11,18,,,,,,7,22,-1,,15,11,3,,,14,13,14,35,,,15,,,-8,-3,,17,,,9,,-19,,6,6,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
081700_5..N73R::1404446400.0,,42,-3,3,-3,5,30,,,,,,-2,24,72,,23,11,6,,,-26,5,-2,4,,,-7,,,12,8,,-9,,,6,,-49,,8,-2,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
083100_5..N73R::1404446400.0,,59,0,-2,-32,-3,1,,,,,,-2,-8,8,,27,-25,47,,,2,23,22,45,,,6,,,15,-4,,-11,,,-1,,-19,,21,-8,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
084100_5..N73R::1404446400.0,,65,12,31,-4,5,-7,,,,,,20,22,60,,23,12,12,,,-2,4,21,26,,,-6,,,-9,8,,-2,,,-8,,-19,,15,11,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
085500_5..N73R::1404446400.0,,57,14,35,2,20,18,,,,,,24,14,15,,46,13,15,,,11,-7,23,2,,,19,,,25,20,,5,,,-8,,38,,13,10,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
086500_5..N73R::1404446400.0,,56,32,17,-11,16,7,,,,,,7,15,33,,-13,6,29,,,15,21,-34,31,,,16,,,15,-5,,14,,,16,,-19,,-2,23,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
087900_5..N73R::1404446400.0,,51,7,16,-26,3,12,,,,,,11,11,1,,30,17,26,,,15,7,11,19,,,-35,,,-9,11,,-1,,,-3,,3,,1,-7,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,
088900_5..N73R::1404446400.0,,55,18,12,2,15,1,,,,,,26,5,15,,28,8,16,,,7,-2,15,62,,,12,,,19,-5,,2,,,3,,-19,,23,14,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
090300_5..N73R::1404446400.0,,51,3,34,6,2,16,,,,,,13,2,21,,12,19,17,,,0,0,12,27,,,18,,,19,-5,,7,,,22,,29,,13,-3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
091300_5..N73R::1404446400.0,,61,16,31,14,18,-5,,,,,,19,-5,16,,49,-4,14,,,28,14,24,126,,,-1,,,17,14,,18,,,10,,11,,3,25,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
092700_5..N73R::1404446400.0,,47,26,19,3,-10,8,,,,,,6,4,33,,19,16,17,,,15,4,-18,53,,,-10,,,-5,-3,,1,,,-2,,-19,,23,10,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
093700_5..N73R::1404446400.0,,75,11,31,5,-5,24,,,,,,19,-5,28,,20,-10,25,,,28,15,6,46,,,-4,,,10,11,,10,,,0,,-19,,-8,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
095100_5..N73R::1404446400.0,,67,29,28,-8,13,24,,,,,,6,16,11,,33,3,1,,,21,24,25,57,,,4,,,19,14,,21,,,27,,11,,8,52,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
096100_5..N73R::1404446400.0,,44,15,11,-26,0,18,,,,,,25,15,52,,25,-12,-3,,,5,7,16,4,,,-7,,,-2,5,,4,,,14,,-19,,11,24,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
097500_5..N73R::1404446400.0,,44,17,32,9,8,28,,,,,,2,9,4,,28,17,15,,,22,26,-24,31,,,-6,,,18,3,,15,,,10,,161,,-2,0,,,,14,,,,,,,,,,,,,,,,,,,,,,,,
098500_5..N73R::1404446400.0,,49,24,8,-2,-1,9,,,,,,-6,12,11,,16,13,23,,,5,7,10,59,,,0,,,-13,18,,-3,,,1,,-19,,-4,10,,,,-14,,,,,,,,,,,,,,,,,,,,,,,,
103300_5..N73R::1404446400.0,,13,19,20,-10,17,13,,,,,,-4,4,52,,17,8,20,,,6,-3,2,28,,,15,,,14,-1,,18,,,6,,-19,,0,8,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,
100900_5..N73R::1404446400.0,,46,27,27,-17,8,8,,,,,,-6,-12,2,,17,-1,23,,,-4,-6,24,50,,,15,,,-3,-31,,8,,,4,,-19,,4,41,,,,29,,,,,,,,,,,,,,,,,,,,,,,,
102300_5..N73R::1404446400.0,,67,4,5,30,10,12,,,,,,3,-6,25,,16,-2,25,,,6,19,8,13,,,4,,,-5,-13,,3,,,4,,11,,3,26,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,
104700_5..N73R::1404446400.0,,50,2,15,-7,13,34,,,,,,8,7,18,,5,12,-3,,,14,8,15,30,,,-7,,,-10,13,,-2,,,-11,,-19,,6,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
105700_5..N73R::1404446400.0,,46,23,8,-5,21,6,,,,,,-2,0,20,,31,10,33,,,7,-27,26,42,,,-6,,,21,10,,-8,,,27,,-19,,12,6,,,,22,,,,,,,,,,,,,,,,,,,,,,,,
107100_5..N73R::1404446400.0,,61,-26,22,-10,8,7,,,,,,8,10,12,,38,6,20,,,19,-1,11,57,,,17,,,20,2,,19,,,-6,,-19,,16,19,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
109500_5..N73R::1404446400.0,,43,13,32,-33,-14,16,,,,,,16,1,21,,40,13,20,,,28,13,16,7,,,-35,,,-7,3,,-2,,,7,,11,,177,30,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
108100_5..N73R::1404446400.0,,44,30,9,-12,8,21,,,,,,2,5,72,,7,4,7,,,10,26,22,6,,,5,,,23,-8,,16,,,-8,,-19,,20,15,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
110500_5..N73R::1404446400.0,,45,5,28,-24,-15,2,,,,,,9,-8,19,,26,-6,17,,,21,-10,17,2,,,-15,,,-32,3,,2,,,-6,,30,,18,19,,,,11,,,,,,,,,,,,,,,,,,,,,,,,
111900_5..N73R::1404446400.0,,60,34,42,0,5,32,,,,,,18,3,15,,26,11,22,,,33,24,-1,-27,,,25,,,11,-6,,3,,,20,,32,,5,23,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
112900_5..N73R::1404446400.0,,79,7,36,-3,25,8,,,,,,16,15,-21,,35,12,-20,,,26,-28,16,29,,,-11,,,-9,4,,-4,,,12,,11,,2,6,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,
114300_5..N73R::1404446400.0,,54,23,14,-6,4,10,,,,,,4,20,39,,17,4,22,,,11,15,31,7,,,-3,,,10,11,,-11,,,16,,-19,,9,16,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,
115350_5..N73R::1404446400.0,,44,13,12,6,-4,20,,,,,,11,12,32,,19,-10,23,,,13,14,14,34,,,8,,,-6,-5,,0,,,-4,,-19,,18,11,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
116750_5..N73R::1404446400.0,,51,-18,19,-14,22,23,,,,,,-22,-1,8,,28,6,30,,,-10,2,8,9,,,-10,,,9,8,,8,,,-9,,-19,,19,10,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
117750_5..N73R::1404446400.0,,72,10,9,8,6,-1,,,,,,24,-32,22,,42,-8,28,,,5,1,39,6,,,17,,,0,-5,,5,,,12,,-19,,-3,7,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
119150_5..N73R::1404446400.0,,67,17,23,30,23,7,,,,,,17,28,54,,204,-11,21,,,22,16,-22,58,,,-8,,,-12,10,,-3,,,-10,,11,,18,16,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
120450_5..N73R::1404446400.0,,60,25,24,23,10,24,,,,,,3,18,-2,,66,1,29,,,19,17,16,26,,,-7,,,28,4,,-6,,,-24,,22,,18,23,,,,26,,,,,,,,,,,,,,,,,,,,,,,,
121550_5..N73R::1404446400.0,,58,13,26,16,-2,-20,,,,,,20,18,18,,20,2,-21,,,27,-2,14,41,,,13,,,-2,-1,,13,,,17,,-19,,17,17,,,,-9,,,,,,,,,,,,,,,,,,,,,,,,
122850_5..N73R::1404446400.0,,50,16,9,-8,8,8,,,,,,19,2,65,,57,7,28,,,35,20,6,30,,,-21,,,13,19,,20,,,23,,-19,,-6,14,,,,26,,,,,,,,,,,,,,,,,,,,,,,,
124150_5..N73R::1404446400.0,,42,13,16,8,-26,21,,,,,,24,2,0,,44,18,38,,,7,13,10,10,,,1,,,10,-1,,12,,,22,,-19,,8,20,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
125350_5..N73R::1404446400.0,,14,29,25,-10,14,8,,,,,,12,13,7,,39,3,15,,,24,25,19,1,,,15,,,16,-2,,20,,,19,,-19,,2,0,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
126550_5..N73R::1404446400.0,,43,-18,10,9,-5,9,,,,,,1,-10,53,,23,-4,-3,,,-24,-9,7,10,,,-15,,,-8,5,,4,,,9,,-19,,7,3,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
127750_5..N73R::1404446400.0,,58,25,7,5,-3,25,,,,,,-2,24,6,,49,14,40,,,4,3,22,14,,,15,,,-3,28,,2,,,-2,,11,,-5,23,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
128950_5..N73R::1404446400.0,,53,2,15,-6,-1,29,,,,,,7,0,21,,36,5,44,,,12,12,-6,25,,,19,,,0,-4,,-9,,,-17,,11,,-4,9,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
130150_5..N73R::1404446400.0,,62,19,11,6,9,25,,,,,,9,-3,18,,46,9,35,,,-28,16,13,-12,,,14,,,12,24,,8,,,-3,,-19,,18,10,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
131350_5..N73R::1404446400.0,,66,5,23,7,18,-15,,,,,,14,20,14,,42,-6,44,,,23,12,30,17,,,-28,,,6,10,,-27,,,21,,-19,,4,28,,,,-33,,,,,,,,,,,,,,,,,,,,,,,,
132550_5..N73R::1404446400.0,,49,2,5,10,6,54,,,,,,1,23,36,,28,-9,45,,,4,-10,21,53,,,13,,,-2,4,,4,,,-6,,-19,,-22,23,,,,33,,,,,,,,,,,,,,,,,,,,,,,,
133750_5..N73R::1404446400.0,,51,10,18,29,32,107,,,,,,25,25,70,,31,0,155,,,6,7,14,74,,,18,,,-77,-4,,-35,,,29,,-109,,20,148,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
134950_5..N73R::1404446400.0,,49,18,25,-3,16,47,,,,,,20,2,113,,26,-16,25,,,27,8,7,49,,,-3,,,13,15,,-9,,,1,,-229,,23,-1,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
136150_5..N73R::1404446400.0,,44,19,18,4,40,138,,,,,,6,4,17,,44,-12,30,,,15,3,16,32,,,-11,,,-2,0,,5,,,24,,-379,,-1,6,,,,-31,,,,,,,,,,,,,,,,,,,,,,,,
137350_5..N73R::1404446400.0,,-72,19,11,14,11,56,,,,,,-26,12,43,,49,-4,51,,,10,13,33,44,,,-9,,,28,1,,18,,,16,,-19,,1,55,,,,138,,,,,,,,,,,,,,,,,,,,,,,,
138550_5..N73R::1404446400.0,,,-79,35,-10,23,138,,,,,,1,2,193,,85,-3,36,,,31,17,25,30,,,4,,,-7,10,,18,,,-3,,-349,,16,24,,,,-28,,,,,,,,,,,,,,,,,,,,,,,,
139750_5..N73R::1404446400.0,,,,,19,21,27,,,,,,,8,274,,-51,0,25,,,,-7,3,66,,,11,,,16,-3,,17,,,16,,-349,,7,26,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
140950_5..N12R::1404446400.0,,,,,,-21,17,,,,,,,,26,,,,9,,,,,10,29,,,,,,-12,,,,,,7,,-19,,5,33,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
142150_5..N12R::1404446400.0,,,,,,,31,,,,,,,,51,,,,20,,,,,,47,,,,,,,,,,,,-87,,39,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32R::1404532800.0,,,,,,,,,,,,,,,,,6641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137350_5..N73R::1404532800.0,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138550_5..N73R::1404532800.0,,44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139750_5..N73R::1404532800.0,,41,0,12,,,,,,,,,5,,,,24,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140950_5..N12R::1404532800.0,,,,,13,,,,,,,,,0,,,11,26,,,,,5,,,,,16,,,,-2,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142150_5..N12R::1404532800.0,,,,,9,6,,,,,,,,17,,,35,-7,,,,,15,18,,,,12,,,11,-2,,11,,,14,,,,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004300_5..N32R::1404532800.0,,,,,,,,,,,,,,,,,4241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006300_5..N32R::1404532800.0,,,,,,,,,,,,,,,,,6641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008300_5..N32R::1404532800.0,,,,,,,,,,,,,,,,,5441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010300_5..N32R::1404532800.0,,,,,,,,,,,,,,,,,4241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012300_5..N32R::1404532800.0,,,,,,,,,,,,,,,,,6641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014300_5..N32R::1404532800.0,,,,,,,,,,,,,,,,,5441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016300_5..N32R::1404532800.0,,,,,,,,,,,,,,,,,4241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018300_5..N32R::1404532800.0,,25,11,,,,,,,,,,-19,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020300_5..N32R::1404532800.0,,50,5,13,,,,,,,,,4,,,,11,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022300_5..N32R::1404532800.0,,62,6,0,,,,,,,,,2,,,,71,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024300_5..N32X002::1404532800.0,,66,14,-10,,,,,,,,,18,,,,311,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026300_5..N32X002::1404532800.0,,57,2,0,,,,,,,,,-4,,,,-19,,,,,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028300_5..N32X002::1404532800.0,,58,10,4,,,,,,,,,3,,,,-19,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030300_5..N32X002::1404532800.0,,51,-2,23,,,,,,,,,-8,,,,-109,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032300_5..N32X002::1404532800.0,,352,-10,9,,,,,,,,,2,,,,-199,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033300_5..N01X004::1404532800.0,,65,24,2,,,,,,,,,-4,,,,-79,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034500_5..N01X004::1404532800.0,,50,-2,-130,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036500_5..N01X004::1404532800.0,,42,18,25,,,,,,,,,16,,,,-49,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
038100_5..N01X004::1404532800.0,,65,23,10,,,,,,,,,-26,,,,161,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039300_5..N01X004::1404532800.0,,54,25,-17,,,,,,,,,-5,,,,191,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040500_5..N01X004::1404532800.0,,41,7,19,,,,,,,,,9,,,,-19,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041700_5..N01X004::1404532800.0,,54,-3,25,,,,,,,,,-6,,,,-79,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042600_5..N01X004::1404532800.0,,40,11,10,,,,,,,,,-1,,,,71,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043800_5..N01X004::1404532800.0,,48,21,17,,,,,,,,,21,,,,-19,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045000_5..N01X004::1404532800.0,,68,13,7,,,,,,,,,11,,,,131,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046200_5..N01X004::1404532800.0,,46,2,28,,,,,,,,,-2,,,,-49,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047400_5..N01X004::1404532800.0,,36,19,12,,,,,,,,,23,,,,-49,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048600_5..N01X004::1404532800.0,,63,26,34,,,,,,,,,-30,,,,-49,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049800_5..N01X004::1404532800.0,,50,9,-12,,,,,,,,,12,,,,-109,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051000_5..N01X004::1404532800.0,,45,16,11,,,,,,,,,12,,,,41,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052200_5..N01X004::1404532800.0,,2,2,15,,,,,,,,,4,,,,71,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
