,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
062000_5..N66R::1404792000.0,,,,-207,-6,-16,22,-26,7,3,-79,,,52,20,68,29,6,33,,13,,26,1,20,25,16,4,80,,0,16,,28,-21,-1,22,,33,,16,-26,,,,9,,,,,,,,,,,,,,,,,,,,,,,,
053300_5..N::1404792000.0,,,,,,,,,,,,,,,,,-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062800_5..N66R::1404792000.0,,,,,-13,24,-2,9,2,6,41,,,,23,-2,,3,15,,-5,,,16,47,178,25,,138,,11,,,21,20,6,4,,21,,18,22,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
054900_5..N::1404792000.0,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
057600_5..N69R::1404792000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063400_5..N66R::1404792000.0,,,,,-78,19,-5,14,5,2,11,,,,2,7,,,15,,13,,,21,38,13,34,,53,,10,,,5,20,-9,-12,,36,,11,-2,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
060750_5..N01R::1404792000.0,,66,28,-21,,,,,,,,,8,,,,101,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064250_5..N66R::1404792000.0,,,,,,,32,2,1,-5,-79,,,,26,-7,,,4,,-1,,,,-17,6,65,,792,,,,,,-3,26,,,24,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,
057600_5..N::1404792000.0,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,12,-9,-3,-4,12,-9,-6,19,,,,,,,,,,12
065100_5..N67R::1404792000.0,,,,,,-4,6,,,,,,,,17,,,,21,,,,,8,37,,,,,,18,,,,,,13,,11,,7,32,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
056750_5..N::1404792000.0,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065350_5..N66R::1404792000.0,,,,,,,5,15,8,-3,-79,,,,-228,60,,,11,,7,,,,,14,105,,32,,,,,,18,-10,,,9,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
