,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
147,1404433451,121800_5..N71R,20140703,245N,1404433449,1404433449,5,1404360000.0,121800_5..N71R::1404360000.0,False,True
154,1404433451,115400_5..N71R,20140703,214N,1404433440,1404433440,5,1404360000.0,115400_5..N71R::1404360000.0,False,True
361,1404433481,114200_5..N71R,20140703,503N,1404433466,1404433466,5,1404360000.0,114200_5..N71R::1404360000.0,False,True
548,1404433511,113750_5..N71R,20140703,502N,1404433385,1404433385,5,1404360000.0,113750_5..N71R::1404360000.0,False,True
551,1404433511,115700_5..N71R,20140703,219N,1404433508,1404433508,5,1404360000.0,115700_5..N71R::1404360000.0,False,True
555,1404433511,117850_5..N71R,20140703,418N,1404433488,1404433488,5,1404360000.0,117850_5..N71R::1404360000.0,False,True
657,1404433541,118900_5..N,20140703,231N,1404433523,1404433523,5,1404360000.0,118900_5..N::1404360000.0,False,True
766,1404433541,121800_5..N71R,20140703,244N,1404433535,1404433535,5,1404360000.0,121800_5..N71R::1404360000.0,False,True
1161,1404433601,114750_5..N71R,20140703,505N,1404433560,1404433560,5,1404360000.0,114750_5..N71R::1404360000.0,False,True
1163,1404433601,115700_5..N71R,20140703,218N,1404433599,1404433599,5,1404360000.0,115700_5..N71R::1404360000.0,False,True
1165,1404433601,116750_5..N71R,20140703,416N,1404433579,1404433579,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
1181,1404433601,117300_5..N76R,20140703,635N,1404433592,1404433592,5,1404360000.0,117300_5..N76R::1404360000.0,False,True
1360,1404433631,112950_5..N74R,20140703,501N,1404433564,1404433564,5,1404360000.0,112950_5..N74R::1404360000.0,False,True
1371,1404433631,119700_5..N71R,20140703,234N,1404433584,1404433584,5,1404360000.0,119700_5..N71R::1404360000.0,False,True
1374,1404433631,121800_5..N71R,20140703,243N,1404433617,1404433617,5,1404360000.0,121800_5..N71R::1404360000.0,False,True
1381,1404433631,115400_5..N71R,20140703,213N,1404433582,1404433582,5,1404360000.0,115400_5..N71R::1404360000.0,False,True
1567,1404433661,117850_5..N71R,20140703,640N,1404433639,1404433639,5,1404360000.0,117850_5..N71R::1404360000.0,False,True
1574,1404433661,123100_5..N71R,20140703,247N,0,1404433860,5,1404360000.0,123100_5..N71R::1404360000.0,True,False
1757,1404433691,114750_5..N71R,20140703,504N,1404433661,1404433661,5,1404360000.0,114750_5..N71R::1404360000.0,False,True
1759,1404433691,115700_5..N71R,20140703,217N,1404433685,1404433685,5,1404360000.0,115700_5..N71R::1404360000.0,False,True
1768,1404433691,121800_5..N71R,20140703,242N,1404433701,1404433701,5,1404360000.0,121800_5..N71R::1404360000.0,False,False
1864,1404433721,119700_5..N71R,20140703,423N,1404433759,1404433759,5,1404360000.0,119700_5..N71R::1404360000.0,False,False
1974,1404433721,114200_5..N71R,20140703,502N,1404433698,1404433698,5,1404360000.0,114200_5..N71R::1404360000.0,False,True
2067,1404433751,118900_5..N,20140703,230N,1404433741,1404433741,5,1404360000.0,118900_5..N::1404360000.0,False,True
2162,1404433751,116750_5..N71R,20140703,222N,1404433744,1404433744,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
2555,1404433811,114750_5..N71R,20140703,503N,1404433795,1404433795,5,1404360000.0,114750_5..N71R::1404360000.0,False,True
2557,1404433811,115700_5..N71R,20140703,216N,1404433799,1404433799,5,1404360000.0,115700_5..N71R::1404360000.0,False,True
2573,1404433811,115400_5..N71R,20140703,505N,1404433796,1404433796,5,1404360000.0,115400_5..N71R::1404360000.0,False,True
2661,1404433841,118900_5..N,20140703,229N,1404433818,1404433818,5,1404360000.0,118900_5..N::1404360000.0,False,True
2950,1404433871,116750_5..N71R,20140703,221N,1404433859,1404433859,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
2956,1404433871,121800_5..N71R,20140703,241N,1404433781,1404433781,5,1404360000.0,121800_5..N71R::1404360000.0,False,True
2958,1404433871,123100_5..N,20140703,247N,0,1404433860,5,1404360000.0,123100_5..N::1404360000.0,True,True
2965,1404433871,117300_5..N76R,20140703,631N,1404433821,1404433821,5,1404360000.0,117300_5..N76R::1404360000.0,False,True
3145,1404433901,117850_5..N71R,20140703,635N,1404433903,1404433903,5,1404360000.0,117850_5..N71R::1404360000.0,False,False
3148,1404433901,120950_5..N71R,20140703,235N,1404433891,1404433891,5,1404360000.0,120950_5..N71R::1404360000.0,False,True
3157,1404433901,115400_5..N71R,20140703,504N,1404433894,1404433894,5,1404360000.0,115400_5..N71R::1404360000.0,False,True
3333,1404433931,115700_5..N71R,20140703,215N,1404433928,1404433928,5,1404360000.0,115700_5..N71R::1404360000.0,False,True
3435,1404433961,118900_5..N,20140703,228N,1404433957,1404433957,5,1404360000.0,118900_5..N::1404360000.0,False,True
3717,1404433991,116750_5..N71R,20140703,220N,1404433979,1404433979,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
3723,1404433991,121800_5..N71R,20140703,239N,1404433973,1404433973,5,1404360000.0,121800_5..N71R::1404360000.0,False,True
3725,1404433991,123100_5..N,20140703,246N,1404433980,1404433980,5,1404360000.0,123100_5..N::1404360000.0,False,True
3917,1404434021,120950_5..N71R,20140703,234N,1404433999,1404433999,5,1404360000.0,120950_5..N71R::1404360000.0,False,True
4220,1404434081,118900_5..N,20140703,137N,1404434054,1404434054,5,1404360000.0,118900_5..N::1404360000.0,False,True
4311,1404434081,115700_5..N71R,20140703,214N,1404434055,1404434055,5,1404360000.0,115700_5..N71R::1404360000.0,False,True
4313,1404434081,116750_5..N71R,20140703,219N,1404434073,1404434073,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
4321,1404434081,123100_5..N,20140703,245N,1404434074,1404434074,5,1404360000.0,123100_5..N::1404360000.0,False,True
4330,1404434081,117300_5..N76R,20140703,629N,1404434067,1404434067,5,1404360000.0,117300_5..N76R::1404360000.0,False,True
4417,1404434111,119700_5..N,20140703,234N,1404432870,1404432870,5,1404360000.0,119700_5..N::1404360000.0,False,True
4900,1404434171,116750_5..N71R,20140703,218N,1404434152,1404434152,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
4906,1404434171,121800_5..N71R,20140703,235N,1404434233,1404434233,5,1404360000.0,121800_5..N71R::1404360000.0,False,False
5003,1404434201,119700_5..N,20140703,230N,1404434168,1404434168,5,1404360000.0,119700_5..N::1404360000.0,False,True
5102,1404434201,123100_5..N,20140703,244N,1404434161,1404434161,5,1404360000.0,123100_5..N::1404360000.0,False,True
5197,1404434231,121800_5..N,20140703,235N,1404434010,1404434010,5,1404360000.0,121800_5..N::1404360000.0,False,True
5288,1404434231,116750_5..N71R,20140703,217N,1404434229,1404434229,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
5293,1404434231,120950_5..N71R,20140703,423N,1404434190,1404434190,5,1404360000.0,120950_5..N71R::1404360000.0,False,True
5387,1404434261,119700_5..N,20140703,229N,1404434255,1404434255,5,1404360000.0,119700_5..N::1404360000.0,False,True
5475,1404434261,113750_5..N71R,20140703,501N,1404434198,1404434198,5,1404360000.0,113750_5..N71R::1404360000.0,False,True
5477,1404434261,115700_5..N71R,20140703,213N,1404434202,1404434202,5,1404360000.0,115700_5..N71R::1404360000.0,False,True
5486,1404434261,123100_5..N,20140703,243N,1404434269,1404434269,5,1404360000.0,123100_5..N::1404360000.0,False,False
5685,1404434291,117300_5..N76R,20140703,626N,1404434265,1404434265,5,1404360000.0,117300_5..N76R::1404360000.0,False,True
5769,1404434321,118900_5..N,20140703,132N,1404434300,1404434300,5,1404360000.0,118900_5..N::1404360000.0,False,True
5771,1404434321,121800_5..N,20140703,234N,1404434303,1404434303,5,1404360000.0,121800_5..N::1404360000.0,False,True
5860,1404434321,114750_5..N71R,20140703,502N,1404434313,1404434313,5,1404360000.0,114750_5..N71R::1404360000.0,False,True
5865,1404434321,117850_5..N71R,20140703,631N,1404434310,1404434310,5,1404360000.0,117850_5..N71R::1404360000.0,False,True
5878,1404434321,115400_5..N71R,20140703,503N,1404434025,1404434025,5,1404360000.0,115400_5..N71R::1404360000.0,False,True
6059,1404434351,116750_5..N71R,20140703,216N,1404434341,1404434341,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
6066,1404434351,123100_5..N,20140703,242N,1404434356,1404434356,5,1404360000.0,123100_5..N::1404360000.0,False,False
6164,1404434381,119700_5..N,20140703,228N,1404434381,1404434381,5,1404360000.0,119700_5..N::1404360000.0,False,False
6650,1404434441,123100_5..N,20140703,241N,1404434442,1404434442,5,1404360000.0,123100_5..N::1404360000.0,False,False
6835,1404434471,116750_5..N71R,20140703,215N,1404434459,1404434459,5,1404360000.0,116750_5..N71R::1404360000.0,False,True
6936,1404434501,118900_5..N,20140703,128N,1404434459,1404434459,5,1404360000.0,118900_5..N::1404360000.0,False,True
