,224N,227N,123N,128N,232N,235N,239N,250N,255N,257N,226N,238N,254N,302N,225N,120N,231N,249N,253N,127N,237N,301N,230N,234N,248N,252N,236N,233N,251N,229N,256N,228N,137N,132N
084600_3..N01R::1404446400.0,12,-35,18,1,9,20,22,71,-12,-19,-14,-5,-15,12,-10,-58,15,-4,2,27,-16,54,8,12,2,11,-2,-1,-1,2,8,28,-5,6
085800_3..N01R::1404446400.0,2,9,19,-4,17,20,24,44,2,11,-36,-9,-9,61,2,15,-7,1,-24,23,-8,62,6,27,8,-9,-4,6,17,1,15,13,-33,-7
087000_3..N01R::1404446400.0,21,21,12,13,20,4,40,73,-6,11,10,-1,-6,-1,5,13,18,-3,5,27,16,57,15,-24,-1,13,-6,19,3,7,4,6,-7,15
088200_3..N01R::1404446400.0,23,25,8,13,-13,2,17,44,-9,-19,9,7,10,8,-22,8,-9,5,24,27,10,55,2,38,4,21,12,8,6,25,-2,22,19,14
089400_3..N01R::1404446400.0,4,20,5,6,17,-8,24,86,5,-19,10,-7,-9,-15,14,4,4,4,10,8,9,73,0,6,6,-9,-5,3,-15,1,-19,-10,63,51
090600_3..N01R::1404446400.0,8,7,3,32,28,13,27,-13,7,11,-7,19,-2,15,-9,-4,-8,-5,11,41,19,64,8,18,21,-7,-6,-4,12,23,-7,-5,-2,12
091800_3..N01R::1404446400.0,6,1,10,9,1,20,20,87,7,-19,-12,-10,5,-5,-10,-12,10,1,-8,-4,-6,78,-1,24,5,4,-1,-15,-12,-9,-9,5,-19,9
093000_3..N01R::1404446400.0,15,10,7,16,-9,-7,24,-5,-3,41,2,-14,-2,108,-5,9,5,11,-15,13,-6,75,15,6,10,-1,-27,-11,19,10,3,-14,-8,-12
094200_3..N01R::1404446400.0,16,3,7,11,-8,12,15,97,-17,-19,-7,-8,11,-11,-3,-25,3,-69,-4,1,7,60,-13,-6,2,9,-16,12,1,-15,-9,3,11,57
095400_3..N01R::1404446400.0,30,-1,3,12,-4,3,14,89,11,-19,-12,-15,9,95,21,-20,6,-8,-3,15,-2,61,2,16,-8,9,6,9,-12,-8,-10,5,10,5
096600_3..N01R::1404446400.0,8,17,3,13,10,9,27,10,-17,-19,9,-11,-13,-3,15,12,-2,-17,6,11,0,53,-12,83,-10,-9,-17,-2,-7,18,-7,19,-5,49
097800_3..N01R::1404446400.0,-3,17,200,21,-61,8,31,73,12,-19,33,-7,5,-10,6,19,-4,-8,-14,31,9,61,8,9,21,-7,-13,-12,14,0,-4,9,2,-10
099000_3..N01R::1404446400.0,10,14,31,13,22,5,-23,120,-30,-19,5,12,4,-16,12,-1,9,1,-35,7,-3,52,11,52,8,9,10,6,8,8,8,-5,4,100
100200_3..N01R::1404446400.0,9,12,12,14,21,8,24,123,7,-19,6,0,-17,3,-17,-8,-1,-1,-29,12,-9,50,-7,55,7,-9,-21,8,-13,19,-18,0,-18,82
101400_3..N01R::1404446400.0,17,12,2,-1,5,-4,3,-30,10,161,0,-2,-1,116,4,2,3,-4,-14,-3,2,70,3,-1,-3,-2,3,-7,-9,30,-6,-30,1,-12
102600_3..N01R::1404446400.0,12,-4,-3,16,18,8,18,-2,1,-19,19,11,-9,1,-14,-9,22,-2,8,31,15,58,-6,75,3,-12,-17,12,-15,14,9,17,-8,15
103800_3..N01R::1404446400.0,-3,6,-8,16,14,22,20,99,-1,-19,0,-3,-5,-3,4,25,-1,-4,-20,56,17,48,9,4,2,-4,-2,6,-8,-1,5,11,17,67
105000_3..N01R::1404446400.0,15,-2,-2,-3,13,28,27,90,3,-19,-14,-3,0,52,-11,16,14,3,15,5,4,73,3,29,9,-5,13,14,13,23,12,-1,-5,-2
106200_3..N01R::1404446400.0,32,13,25,30,16,31,27,-25,11,-19,-49,16,-1,16,-10,10,7,12,6,38,17,50,12,23,0,15,10,10,4,20,-1,26,48,16
107400_3..N01R::1404446400.0,26,16,11,6,10,42,34,79,8,-19,-1,-13,4,-14,3,17,7,-3,16,-6,5,72,15,34,-37,14,-14,7,6,9,-15,19,15,8
108600_3..N01R::1404446400.0,-7,-10,-11,18,15,-7,29,73,-3,11,-12,-2,0,-4,-5,-82,-4,-3,-10,46,20,71,-1,16,8,0,-6,0,-5,16,7,-1,-3,94
109800_3..N01R::1404446400.0,-9,14,-2,22,14,17,23,105,0,-19,5,-9,-5,0,3,-3,17,9,11,17,-1,62,24,20,12,-12,1,-21,9,-20,11,21,-8,-10
111000_3..N01R::1404446400.0,18,11,26,17,-22,-24,20,-9,-11,11,0,3,-10,8,-4,23,4,11,7,14,-20,27,11,6,12,6,11,-4,25,10,7,16,13,10
112200_3..N01R::1404446400.0,18,21,16,16,3,12,18,49,5,-19,-4,-9,-2,6,59,12,34,0,13,178,14,82,26,23,3,-4,-13,-2,-22,9,-16,14,21,-9
113500_3..N01R::1404446400.0,22,4,-7,19,23,28,16,-20,-14,11,-11,13,10,6,13,21,-5,0,0,21,-5,59,14,8,1,10,6,-3,1,17,-4,2,0,18
114800_3..N01R::1404446400.0,1,5,6,12,20,42,26,-27,1,-19,-9,-6,21,-5,18,-10,23,-12,0,1,-5,70,14,2,16,36,-6,18,1,1,14,-21,7,13
116000_3..N01R::1404446400.0,13,13,-5,14,103,12,8,79,-7,-19,-38,-26,-17,-2,0,6,10,-9,-28,12,14,75,17,19,-8,13,-7,12,4,9,5,9,16,5
117200_3..N01R::1404446400.0,14,1,-27,13,80,1,9,65,-8,11,-9,9,9,14,-5,14,1,-12,-5,1,-1,55,21,11,-7,2,13,15,-4,9,-4,16,10,15
118400_3..N01R::1404446400.0,-8,-1,-7,-2,39,17,28,-35,12,-19,-8,1,10,-16,-6,-1,8,-14,-4,19,13,65,-9,19,17,5,-4,1,19,16,18,-3,30,-5
119600_3..N01R::1404446400.0,0,9,-7,18,138,24,18,58,-12,11,3,-7,-7,-1,-6,-12,-27,3,7,20,14,65,22,-6,-1,-7,-25,-55,17,12,-2,-4,12,15
120800_3..N01R::1404446400.0,10,18,-6,15,17,5,23,-1,-8,11,7,13,12,-5,2,-2,-5,13,24,8,15,67,-4,8,13,20,16,-4,-3,13,27,19,18,1
122000_3..N01R::1404446400.0,-13,-9,-4,-12,69,36,25,-26,-4,-49,-16,12,18,-19,-12,2,-33,-4,25,143,25,59,7,19,3,23,18,8,3,-3,7,6,9,11
123200_3..N01R::1404446400.0,7,8,11,1,10,24,20,-28,19,11,-1,15,28,-18,-3,8,20,10,-3,0,50,57,11,15,10,4,27,8,-5,-1,11,4,9,1
124400_3..N01R::1404446400.0,10,-2,11,8,22,36,29,9,11,-19,-13,-4,14,-38,-57,20,23,-17,0,22,6,46,6,-34,15,10,-21,23,2,14,-12,11,-13,5
125600_3..N01R::1404446400.0,12,-37,-7,-1,-6,26,34,-63,-12,41,-15,-7,2,10,-9,20,18,-4,-13,18,-1,4,15,22,-4,-1,0,13,-24,10,0,-6,-1,-2
126800_3..N01R::1404446400.0,10,-3,-4,-50,21,4,14,65,-3,-19,-11,8,-10,2,-9,-1,19,0,1,167,-4,51,8,16,7,8,9,8,-3,3,7,11,0,-4
128000_3..N01R::1404446400.0,-6,9,-3,28,182,-12,24,80,6,-19,3,1,3,-3,0,6,15,1,-7,32,-3,42,28,-23,2,6,-10,-4,2,32,17,10,1,-3
129200_3..N01R::1404446400.0,25,28,22,30,48,-7,-2,-56,18,71,10,19,5,-3,29,25,26,31,12,41,-20,68,50,3,3,16,1,19,5,55,17,76,65,57
130400_3..N01R::1404446400.0,8,12,30,24,16,-5,12,53,-5,11,-1,-18,-9,-42,23,17,6,-4,7,56,-4,53,45,3,1,-14,3,4,9,38,10,88,14,15
131600_3..N01R::1404446400.0,2,20,8,31,0,0,30,77,-18,-49,9,2,10,-96,11,33,19,5,-6,30,-11,33,46,15,10,-6,4,-15,11,31,-11,18,34,27
132800_3..N01R::1404446400.0,23,20,1,73,29,10,19,-26,-15,11,3,-7,8,-199,-27,21,32,-3,-9,71,4,9,63,57,0,5,-18,-10,-6,59,-2,52,32,57
134000_3..N01R::1404446400.0,18,4,31,8,29,10,18,132,13,-79,14,-8,8,-224,1,16,41,-7,-34,35,10,64,56,17,-1,7,-13,-3,-28,56,-7,59,45,30
135200_3..N01R::1404446400.0,17,-6,5,28,25,-3,29,67,8,-19,-14,-3,-32,-203,16,1,-5,-3,9,8,16,73,16,19,5,-6,-2,15,-13,34,-17,32,18,22
136400_3..N01R::1404446400.0,-3,7,8,10,30,3,22,31,8,-19,0,6,3,-188,6,11,13,9,-9,27,-4,50,7,-6,14,-1,16,-10,22,11,-5,38,0,22
137600_3..N01R::1404446400.0,,1,10,34,51,14,8,-4,-11,11,18,10,9,,13,51,19,-11,-9,23,14,,40,0,-7,-1,-6,-1,-9,54,-2,41,8,11
139000_3..N01R::1404446400.0,,,,,45,22,8,10,-6,311,,5,47,,,,57,-9,-3,,-9,,35,-3,-10,6,-1,2,-1,64,5,25,32,-22
140400_3..N01R::1404446400.0,,,,,18,17,44,76,-8,-19,,1,-15,,,,19,-15,5,,-1,,21,1,19,-10,-2,16,8,10,1,-103,,
144300_3..N42R::1404446400.0,,,704,,,,,,,,,,,,,,,,,-1129,,,,,,,,,,,,,,
146400_3..N42R::1404446400.0,,,,,,,,,,,,,,,,,,,,-1459,,,,,,,,,,,,,,
144300_3..N42R::1404532800.0,30,19,559,,,,,,,,8,,,-202,9,-9,,,,-979,,56,,,,,,,,,,,,
146400_3..N42R::1404532800.0,39,17,16,,,,,,,,-4,,,-179,-11,23,,,,-1459,,67,,,,,,,,,,,,
137600_3..N01R::1404532800.0,1,15,6,15,12,-3,34,-1,-32,-19,5,2,17,-344,8,18,9,-8,,42,11,25,23,11,-10,2,5,5,22,16,-20,-1,11,14
139000_3..N01R::1404532800.0,44,6,-173,27,1,7,33,5,-16,-19,-3,11,2,-140,-2,30,8,-6,16,-2,18,57,14,18,-6,-7,-13,-14,9,0,-1,17,-9,105
140400_3..N01R::1404532800.0,25,-5,-20,6,11,6,9,0,-1,11,-9,28,6,-216,-6,-5,21,-3,-13,3,10,67,2,6,-3,-3,20,9,20,,11,14,13,6
004700_3..N42R::1404532800.0,7,-14,-1,,,,,,,,-27,,,-204,-2,32,,,,-1099,,70,,,,,,,,,,,,
006700_3..N42R::1404532800.0,-25,16,-7,,,,,,,,6,,,-156,10,30,,,,-139,,64,,,,,,,,,,,,
008700_3..N42R::1404532800.0,-2,-11,86,,,,,,,,13,,,-221,15,37,,,,-19,,54,,,,,,,,,,,,
010700_3..N42R::1404532800.0,20,-7,37,,,,,,,,-12,,,-222,-6,7,,,,-949,,32,,,,,,,,,,,,
012700_3..N42R::1404532800.0,6,8,3,,,,,,,,4,,,-152,3,0,,,,-1129,,52,,,,,,,,,,,,
014700_3..N42R::1404532800.0,-3,8,4,,,,,,,,4,,,-228,7,13,,,,-1099,,84,,,,,,,,,,,,
016700_3..N42R::1404532800.0,14,0,-12,,,,,,,,-5,,,-203,0,22,,,,-1219,,71,,,,,,,,,,,,
018700_3..N42R::1404532800.0,34,-11,-9,,,,,,,,14,,,-223,15,8,,,,-1279,,88,,,,,,,,,,,,
020700_3..N42R::1404532800.0,12,17,13,,,,,,,,10,,,-216,-14,45,,,,-1129,,57,,,,,,,,,,,,
022700_3..N42R::1404532800.0,-6,-8,9,,,,,,,,-12,,,-226,-9,27,,,,-889,,70,,,,,,,,,,,,
024700_3..N42R::1404532800.0,26,16,-5,,,,,,,,26,,,-194,29,-22,,,,-1009,,55,,,,,,,,,,,,
026700_3..N42R::1404532800.0,35,9,-6,,,,,,,,-15,,,-206,16,49,,,,-1189,,46,,,,,,,,,,,,
028700_3..N42R::1404532800.0,-8,27,23,,,,,,,,0,,,-216,4,10,,,,-829,,58,,,,,,,,,,,,
030700_3..N42R::1404532800.0,6,2,1,,,,,,,,-8,,,-151,19,7,,,,-1219,,14,,,,,,,,,,,,
032700_3..N42R::1404532800.0,4,4,-20,,,,,,,,-44,,,-39,23,-23,,,,-829,,77,,,,,,,,,,,,
034700_3..N42R::1404532800.0,26,3,10,,,,,,,,-2,,,-2,-2,-4,,,,-1129,,46,,,,,,,,,,,,
036550_3..N01R::1404532800.0,-8,12,5,5,-1,14,5,75,-1,-49,4,-1,-13,8,6,10,12,-4,2,-4,-25,66,19,22,-4,13,-7,-38,-3,-20,8,16,-9,7
036700_3..N42R::1404532800.0,-6,19,2,,,,,,,,10,,,12,14,73,,,,-589,,75,,,,,,,,,,,,
038050_3..N01R::1404532800.0,-1,19,0,28,16,17,29,16,-7,11,8,-19,12,-55,11,2,10,5,-32,15,9,51,15,25,2,6,-1,15,9,0,4,-4,-3,15
038700_3..N42R::1404532800.0,-1,10,15,,,,,,,,3,,,19,7,10,,,,-769,,59,,,,,,,,,,,,
039250_3..N01R::1404532800.0,33,12,6,0,20,15,13,21,-24,-19,-1,9,-6,1,-3,-4,1,-8,7,4,19,67,21,19,15,-11,-1,8,10,14,-13,17,18,13
040450_3..N01R::1404532800.0,10,7,2,-4,-5,-5,4,10,7,11,-12,2,5,0,-12,-18,2,7,-3,53,-13,67,-6,69,11,-16,-1,-9,8,-8,-17,6,12,-6
041650_3..N01R::1404532800.0,-4,3,-6,2,19,-24,18,46,-10,11,-11,-11,-9,-16,-3,3,4,-4,6,-1,3,58,5,13,1,21,14,3,3,-11,-2,5,13,6
042700_3..N01R::1404532800.0,12,-10,0,4,9,12,13,68,-1,-19,-17,-45,0,76,-11,9,-10,-7,-14,7,0,17,-3,0,0,-1,-16,-4,-4,-4,8,16,-7,53
043800_3..N01R::1404532800.0,52,16,0,8,2,-5,16,68,-7,11,-23,9,15,9,5,-38,-5,0,-31,6,-4,70,-4,28,1,8,6,-8,-1,-10,-31,29,26,10
045000_3..N01R::1404532800.0,3,1,7,-4,-1,-4,14,139,4,-19,-6,-10,8,11,1,27,-12,2,1,-1,8,40,0,84,-13,-8,-2,-18,-8,2,7,0,46,71
046200_3..N01R::1404532800.0,22,15,16,9,-24,9,40,72,7,-19,7,12,-3,1,7,21,-5,18,-15,29,22,,-16,23,0,-1,-23,-23,24,7,-13,21,-3,-1
047400_3..N01R::1404532800.0,-67,7,-9,1,14,17,2,84,-19,-19,0,6,-13,,6,8,-4,1,3,3,-2,,90,59,-22,4,-14,-2,-3,4,-14,-1,-1,16
048600_3..N01R::1404532800.0,,,-105,9,0,15,26,41,-7,11,,10,-13,,,,11,3,4,2,-14,,-6,4,23,14,-12,-13,-2,-5,-30,-14,-5,-8
049800_3..N01R::1404532800.0,,,,,1,-12,-3,75,7,-19,,-2,-10,,,,-14,-11,8,,15,,9,0,-17,-7,-10,-8,11,2,-11,13,-45,
051000_3..N01R::1404532800.0,,,,,,14,22,122,2,-19,,1,2,,,,,-12,-8,,-4,,,15,0,6,-12,-20,3,,16,,,
052200_3..N01R::1404532800.0,,,,,,,,-6,15,11,,,3,,,,,0,-15,,,75,,,,-5,,,6,,2,,,
053400_3..N01R::1404532800.0,2,-7,,,,,,,-28,-19,-17,,,-3,18,2,,,,,,72,,,,,,,,,11,,,
054600_3..N01R::1404532800.0,21,6,3,17,,,,,,-619,-6,,,119,1,12,,,,-2,,76,,,,,,,,,,,,
055800_3..N01R::1404532800.0,13,24,-6,-1,,,,,,-1339,8,,,-8,0,306,0,,,48,,71,-6,,,,,,,-11,,0,-4,-6
057000_3..N01R::1404532800.0,24,19,28,23,6,-1,27,,,,8,-6,,7,-22,17,6,,,4,-1,77,-1,25,,,12,1,,15,,21,-7,3
058200_3..N01R::1404532800.0,12,19,18,181,20,17,14,-6,,,4,5,2,-10,-1,18,-4,10,-15,9,1,64,24,20,11,-4,-3,15,8,11,,-15,12,-1
059400_3..N01R::1404532800.0,23,11,26,26,21,21,27,-27,41,11,-7,20,1,-8,19,16,19,-8,13,25,-1,63,0,12,8,-6,-11,0,-11,-25,10,0,-30,1
060600_3..N01R::1404532800.0,-1,-7,-7,3,4,-12,18,-23,28,-19,5,-12,8,14,2,5,10,-74,-7,-2,9,49,12,64,-26,4,-7,-49,-1,6,1,12,-6,-4
061800_3..N01R::1404532800.0,0,15,16,-4,3,13,19,-14,27,-19,-27,-10,1,97,9,-6,-11,-1,-11,53,8,58,-10,-5,-1,4,-11,-10,1,17,42,2,11,-17
063000_3..N01R::1404532800.0,10,44,11,-24,18,10,22,-5,38,-19,10,20,3,9,18,-35,-6,11,14,24,-4,49,12,13,10,-91,-3,15,12,-2,4,7,10,3
064200_3..N01R::1404532800.0,29,8,-6,-8,-1,-9,23,-13,8,11,22,14,14,34,16,-5,-51,13,-2,15,-9,54,17,1,-13,10,-1,-12,4,13,3,-12,8,-100
065400_3..N01R::1404532800.0,13,-8,-11,14,-9,9,-52,-10,35,71,-14,-6,8,-21,-8,177,-5,-15,-5,42,6,59,8,-6,-10,8,-16,16,-9,12,24,-1,-25,6
066600_3..N01R::1404532800.0,18,-19,2,7,8,-6,21,1,16,-19,-2,19,-7,-2,-50,11,14,1,-53,13,-28,62,14,36,0,37,9,-1,9,-3,5,8,13,44
067800_3..N01R::1404532800.0,5,14,10,-10,-10,-11,23,33,21,-19,4,-7,5,8,9,12,8,-8,-36,84,11,25,8,70,-35,-20,-4,6,-20,7,9,-5,11,11
069000_3..N01R::1404532800.0,26,-1,33,18,13,-5,8,-8,21,-49,13,4,-15,30,7,-2,-10,-12,1,27,-10,51,15,9,-7,-15,0,1,7,35,24,-3,-2,16
070200_3..N01R::1404532800.0,7,7,-2,22,24,5,35,-17,4,11,18,-2,-3,-2,-13,28,23,5,5,37,-3,63,11,12,0,11,-6,21,22,22,-4,-2,27,25
071400_3..N01R::1404532800.0,8,7,11,-3,-7,-2,22,61,-15,-49,-6,-12,-16,-4,-1,-12,-28,2,3,-5,-2,76,3,14,7,-12,3,-20,9,-3,-9,2,88,-6
072600_3..N01R::1404532800.0,-3,16,24,2,3,2,16,-4,14,41,-2,-9,-24,4,4,17,12,13,-5,28,5,63,-5,12,-16,6,9,-4,-3,17,-8,1,11,0
073800_3..N01R::1404532800.0,10,-9,-4,2,12,8,4,51,-36,11,12,1,-10,46,-14,3,-10,0,-20,32,11,63,11,18,-3,-11,-13,1,8,5,20,-10,-10,-7
075000_3..N01R::1404532800.0,1,21,1,14,36,5,23,110,13,-19,5,14,-20,-12,7,10,-21,-3,0,34,3,63,5,-17,9,11,12,-38,-2,-2,-12,-27,2,-21
076200_3..N01R::1404532800.0,7,79,6,7,7,-1,29,83,6,11,-7,11,-3,-18,18,16,9,6,5,25,-5,58,15,9,13,16,8,-2,8,6,-14,18,9,6
077400_3..N01R::1404532800.0,13,6,11,21,2,8,33,-30,-10,-19,-45,-31,0,-12,-4,10,9,-79,10,18,11,59,6,45,-7,10,-15,1,-3,25,-26,0,11,14
078600_3..N01R::1404532800.0,32,16,12,19,-7,14,18,5,-2,11,-1,-11,27,14,7,-4,30,11,-43,321,8,59,10,-4,15,-1,-11,-14,-6,4,6,-2,-4,-21
079800_3..N01R::1404532800.0,28,21,20,13,18,-2,5,60,2,-19,4,9,-1,-11,7,-4,-28,-14,15,11,-6,63,4,12,-8,-12,6,5,14,-2,11,11,49,-24
081000_3..N01R::1404532800.0,15,3,17,25,21,14,22,-11,-2,11,15,15,24,-10,8,9,-5,6,2,19,-11,56,9,22,9,2,-8,15,11,1,13,16,14,-6
082200_3..N01R::1404532800.0,57,16,-3,6,-5,48,15,100,2,-19,-3,9,3,-12,3,-12,3,-11,-11,33,17,72,17,48,-5,4,-6,-1,-2,10,10,-1,9,0
083400_3..N01R::1404532800.0,-1,25,15,8,-4,17,19,75,14,-19,5,14,6,18,5,-14,1,1,-12,27,18,55,30,24,7,-3,-5,-11,12,13,-3,17,-20,6
084600_3..N01R::1404532800.0,35,34,0,24,21,6,36,63,3,-19,33,1,-7,10,10,14,-11,-3,3,12,8,51,6,10,-9,8,15,16,3,-3,16,26,11,9
085800_3..N01R::1404532800.0,31,19,3,31,-4,-13,41,-24,3,-19,9,10,21,-8,13,-4,2,-10,-2,9,-9,69,5,-14,-12,1,-1,-11,7,19,17,22,19,9
087000_3..N01R::1404532800.0,25,18,14,12,11,9,24,76,1,-19,2,13,-4,-17,3,14,14,-25,3,38,-6,70,21,-8,26,13,-7,19,-1,10,15,12,33,23
088200_3..N01R::1404532800.0,-3,17,29,-56,18,8,23,63,8,11,-25,-9,2,74,6,-3,-1,0,15,90,4,63,-2,22,8,-6,-15,14,-52,-7,-13,10,-10,-15
089400_3..N01R::1404532800.0,15,-1,22,3,17,25,39,-17,12,11,14,-4,-2,-5,4,21,-6,1,7,16,0,73,12,21,0,15,4,12,-1,4,-3,7,12,6
090600_3..N01R::1404532800.0,41,6,20,29,-3,12,52,10,16,281,-18,-4,0,14,3,1,4,-4,14,31,-1,34,18,8,21,-10,-3,-7,6,31,3,16,14,22
091800_3..N01R::1404532800.0,15,19,-9,26,-8,18,11,93,1,-19,10,2,0,4,12,-8,2,-9,-18,47,12,55,25,20,-34,-3,-29,8,-7,10,8,8,17,16
093000_3..N01R::1404532800.0,24,-35,0,-1,3,12,13,52,-3,-19,18,3,10,28,12,-2,14,-3,-6,26,12,62,-3,-4,-1,-36,-13,-6,13,-10,9,6,10,-1
094200_3..N01R::1404532800.0,-5,11,-2,16,-4,14,17,49,-11,11,-2,7,15,-14,2,-3,2,0,-8,6,-8,64,-18,21,-9,0,-7,-5,19,-2,4,12,12,10
095400_3..N01R::1404532800.0,24,18,39,19,1,11,39,68,-6,-19,8,-3,-11,15,-14,8,10,-4,3,7,3,58,-14,23,-5,12,-72,-15,6,8,2,16,23,15
096600_3..N01R::1404532800.0,3,-17,0,7,24,-8,11,83,9,-19,7,-16,8,-13,4,-1,11,4,-11,4,-33,52,13,4,5,3,-4,-5,-7,6,-16,13,11,6
097800_3..N01R::1404532800.0,-10,-1,29,17,3,-9,13,-6,-12,11,16,9,-18,-5,69,558,13,13,-6,-28,-7,70,-4,5,-4,3,-3,-4,21,22,19,0,-2,21
099000_3..N01R::1404532800.0,16,9,16,10,21,12,6,87,5,-19,-2,8,1,-11,2,26,-3,-9,18,27,-9,65,11,27,-4,-5,-10,12,15,-7,16,1,-7,426
100200_3..N01R::1404532800.0,-8,17,8,23,19,19,32,0,-9,71,1,-5,-15,-14,-3,-4,-3,11,2,18,-15,65,4,58,-13,12,-4,9,5,-26,2,83,359,12
101400_3..N01R::1404532800.0,,,,,,,,158,7,11,,,2,,,,,,-15,,,,,,,-5,,,-11,,-15,,,
102600_3..N01R::1404532800.0,,,,,,,,60,6,41,,,-11,,,,,-93,-1,,,,,,,5,,,12,,3,,,
103800_3..N01R::1404532800.0,,,,,-4,7,34,21,-5,-19,,24,16,,,,-1,6,14,,22,,23,14,41,-10,-12,-8,12,16,11,,,
105000_3..N01R::1404532800.0,,,,,,-3,25,78,-12,-19,,20,15,,,,,3,-6,,-5,,,4,11,4,6,,3,,1,,,
101400_3..N::1404532800.0,,16,13,28,24,22,6,131,,,1,,,,,14,173,,,18,,,12,-36,,,,12,,4,,0,4,-4
106200_3..N01R::1404532800.0,,,,,,,,51,9,11,,,0,,,,,-70,14,,,,,,,-10,,,10,,-6,,,
102600_3..N::1404532800.0,,,,38,5,22,100,,,,,,,,,,-7,,,,,,36,27,,,,1,,37,,18,1,15
107400_3..N01R::1404532800.0,,,,,,,,,-53,-19,,,,,,,,,,,,,,,,,,,,,-13,,,
108600_3..N01R::1404532800.0,,,,,,,,,,-649,,,,,,,,,,,,,,,,,,,,,,,,
109800_3..N01R::1404532800.0,,,,,,,,,,-1369,,,,,,,,,,,,,,,,,,,,,,,,
128000_3..N01R::1404532800.0,3,24,,,,,,,,,11,,,123,-15,,,,,,,59,,,,,,,,,,,,
129200_3..N01R::1404532800.0,15,18,17,,,,,,,,11,,,-1,12,4,,,,,,0,,,,,,,,,,,,
130400_3..N01R::1404532800.0,11,27,1,19,,,,,,,4,,,-37,-4,24,,,,12,,62,,,,,,,,8,,11,6,23
131600_3..N01R::1404532800.0,28,-4,-15,-1,-3,-6,,,,,-18,,,-99,11,-18,8,,,24,,57,-3,5,,,1,14,,-4,,6,5,2
132800_3..N01R::1404532800.0,-12,14,-9,1,14,10,19,-14,,,4,-6,,-224,7,13,12,-5,,26,-6,15,-7,23,1,,-15,4,,17,,-4,6,-28
134000_3..N01R::1404532800.0,2,4,8,2,-12,-5,13,-32,0,41,-6,10,14,-223,224,19,-4,-6,-4,8,13,53,-8,0,-7,7,2,-11,-4,9,13,-16,-1,7
135200_3..N01R::1404532800.0,3,4,17,-8,7,-6,10,57,5,-19,23,13,-5,-212,10,9,12,-5,10,18,22,72,26,6,-6,-10,-22,-37,14,11,15,11,29,-6
136400_3..N01R::1404532800.0,19,17,20,-11,6,9,11,129,-16,-49,-15,14,-19,-212,-13,-1,-11,-21,1,27,3,47,6,-33,-60,11,-13,-54,4,7,-7,18,-6,-7
144300_3..N42R::1404619200.0,7,14,-52,,,,,,,,-8,,,-221,-4,8,,,,,,47,,,,,,,,,,,,
146400_3..N42R::1404619200.0,9,17,15,,,,,,,,4,,,128,2,13,,,,-1459,,-7,,,,,,,,,,,,
137600_3..N01R::1404619200.0,1,15,20,-7,-10,15,12,-12,13,-19,-1,-19,4,-277,13,8,-2,-12,-10,20,9,29,2,94,-4,4,-12,5,-2,-4,-13,-28,2,-11
139000_3..N01R::1404619200.0,8,9,15,16,10,-42,-1,4,-16,11,2,-11,13,-205,-2,-96,-9,-15,-11,4,-20,63,20,9,-8,-1,-5,0,-12,-17,4,30,21,-2
140400_3..N01R::1404619200.0,32,29,-6,3,8,17,-4,-11,-2,101,8,-29,-14,-211,2,4,-5,8,2,12,13,56,18,3,13,-16,-11,-8,8,13,14,-1,13,53
004700_3..N42R::1404619200.0,15,-3,9,,,,,,,,-10,,,-228,-7,5,,,,-1219,,61,,,,,,,,,,,,
006700_3..N42R::1404619200.0,47,-2,7,,,,,,,,-8,,,-205,-4,17,,,,-1129,,44,,,,,,,,,,,,
008700_3..N42R::1404619200.0,19,7,16,,,,,,,,24,,,-188,15,65,,,,-79,,59,,,,,,,,,,,,
010700_3..N42R::1404619200.0,34,8,26,,,,,,,,-1,,,-221,3,9,,,,-859,,70,,,,,,,,,,,,
012700_3..N42R::1404619200.0,48,-9,10,,,,,,,,18,,,-244,14,3,,,,-1039,,58,,,,,,,,,,,,
014700_3..N42R::1404619200.0,-16,5,10,,,,,,,,-6,,,-205,1,16,,,,-1159,,50,,,,,,,,,,,,
016700_3..N42R::1404619200.0,5,12,10,,,,,,,,6,,,-199,-18,16,,,,-1159,,49,,,,,,,,,,,,
018700_3..N42R::1404619200.0,28,6,5,,,,,,,,14,,,-213,30,19,,,,-979,,64,,,,,,,,,,,,
020700_3..N42R::1404619200.0,-2,17,4,,,,,,,,4,,,-220,-25,5,,,,-1249,,71,,,,,,,,,,,,
022700_3..N42R::1404619200.0,-2,4,7,,,,,,,,-2,,,-208,1,59,,,,-1159,,72,,,,,,,,,,,,
024700_3..N42R::1404619200.0,6,-8,-7,,,,,,,,-17,,,-211,16,2,,,,-1069,,75,,,,,,,,,,,,
026700_3..N42R::1404619200.0,9,-7,15,,,,,,,,-15,,,-209,-8,18,,,,-1219,,45,,,,,,,,,,,,
028700_3..N42R::1404619200.0,23,20,16,,,,,,,,32,,,-191,11,2,,,,-1159,,82,,,,,,,,,,,,
030700_3..N42R::1404619200.0,-6,-35,-19,,,,,,,,-11,,,-171,-36,-2,,,,-1129,,64,,,,,,,,,,,,
032700_3..N42R::1404619200.0,-5,-1,-2,,,,,,,,-9,,,31,0,-7,,,,-1159,,69,,,,,,,,,,,,
034700_3..N42R::1404619200.0,16,-6,7,,,,,,,,-16,,,-44,-9,-13,,,,-1159,,66,,,,,,,,,,,,
