,224N,227N,123N,128N,232N,235N,239N,250N,255N,257N,226N,238N,254N,302N,225N,120N,231N,249N,253N,127N,237N,301N,230N,234N,248N,252N,236N,233N,251N,229N,256N,228N,137N,132N
052400_3..N01R::1404792000.0,-168,230,22,6,10,13,-1,15,-9,11,51,-6,-17,1,-21,-22,-3,-71,2,22,0,62,26,20,-79,12,-7,1,0,12,15,-8,-5,50
053000_3..N01R::1404792000.0,-23,71,69,28,23,4,-60,37,-5,-19,-12,-4,-12,-126,-11,23,-12,-13,-28,54,12,,28,191,-10,9,-16,-6,-7,7,5,34,30,50
053700_3..N01R::1404792000.0,25,-232,-3,2,23,24,35,47,-9,11,,10,-23,125,7,24,19,-3,-6,,8,-82,-7,23,20,0,2,14,-22,82,6,30,66,85
054300_3..N01R::1404792000.0,-5,27,-8,23,25,16,-21,28,15,71,5,-56,8,-114,-4,-174,51,8,17,20,7,64,25,18,28,16,12,12,5,83,-5,80,76,-151
055000_3..N01R::1404792000.0,21,3,,0,67,0,64,31,20,161,-13,0,3,-111,8,-13,70,5,12,6,4,8,84,28,0,21,42,6,-2,,6,-137,,1
055600_3..N01R::1404792000.0,,,,,,,,,,-109,,,,,,,,,,,,,,,,,,,,,,,,
055950_3..N01R::1404792000.0,23,16,10,23,25,,1,52,-14,41,6,-93,7,-106,7,3,-12,-10,-6,-30,88,72,-21,,49,0,5,-7,22,,-3,,14,-6
056800_3..N01R::1404792000.0,11,2,10,12,26,5,220,51,-1,-19,-8,33,-7,44,-8,17,,-10,8,27,,65,,13,54,13,-12,-4,35,14,10,9,18,-159
057600_3..N01R::1404792000.0,24,13,-6,11,12,,29,94,-20,-19,4,49,-26,-119,10,-3,-9,52,19,10,-20,64,12,,-17,56,-25,,48,8,22,12,13,6
058400_3..N01R::1404792000.0,8,-28,-37,6,-18,0,,120,72,-19,-7,,61,-112,-5,12,-4,1,-16,5,-8,64,0,-20,77,-58,4,-2,,-3,54,17,-9,116
059100_3..N01R::1404792000.0,,,,,,,,-199,-19,-109,,,-19,,,,,,-19,,,,,,,-19,,,-49,,,,,
059700_3..N01R::1404792000.0,87,12,15,24,20,6,22,-150,,191,5,11,,100,9,0,31,-11,5,12,-4,63,0,21,211,-11,10,8,13,-2,,12,-9,-10
060800_3..N01R::1404792000.0,14,11,-1,2,23,22,43,72,-8,-79,-38,-3,11,-15,-4,7,8,-2,-31,22,-1,71,34,26,50,0,2,14,13,10,12,18,21,4
059500_3..N01R::1404792000.0,5,16,8,-23,22,17,-72,-31,-7,161,4,-10,,-110,6,21,-6,-7,,24,9,49,1,22,43,,-5,13,8,19,8,3,14,68
061700_3..N01R::1404792000.0,30,6,10,-7,10,13,-10,-27,-8,-19,20,6,11,24,14,12,1,-13,-9,20,-4,65,6,14,181,3,-7,-1,24,-8,10,16,5,18
062500_3..N01R::1404792000.0,5,0,-6,18,-4,-2,26,40,9,11,-50,-5,35,-21,18,-2,0,-6,17,16,10,67,16,9,142,15,7,-7,-2,0,-6,12,28,14
063300_3..N01R::1404792000.0,,-38,-10,9,-9,-2,44,51,-8,11,,6,18,,,-4,-14,-7,3,29,8,,2,22,183,-15,5,-17,-24,-9,-27,4,-11,8
059150_3..N01R::1404792000.0,-1,-7,13,12,36,-6,10,,,,-16,-25,,-131,21,7,3,5,,7,-6,61,-4,64,-26,,2,4,,18,,4,6,49
064000_3..N01R::1404792000.0,,,15,29,14,0,7,4,12,41,,10,19,,,-69,4,16,0,40,-3,,12,4,26,14,21,13,26,0,2,-25,14,3
064700_3..N01R::1404792000.0,,,-195,20,0,-75,2,105,-8,11,,-12,-8,,,,13,-1,-17,8,9,,11,6,11,-2,-33,-14,-1,5,4,11,12,165
065700_3..N01R::1404792000.0,,,,,20,9,-26,20,-6,41,,47,17,,,,9,33,13,,18,,-99,16,300,22,-32,-9,-8,,16,,,
066300_3..N01R::1404792000.0,,,,,,37,-120,2,-15,41,,-8,30,,,,,-12,13,,4,,,14,304,-6,-16,-6,-76,,-6,,,
067000_3..N01R::1404792000.0,,,,,,,-112,27,-11,11,,,21,,,,,213,5,,,,,,345,13,,,39,,-4,,,
067800_3..N01R::1404792000.0,,,,,,,,54,14,131,,,7,,,,,11,-12,,,,,,84,-30,,,8,,2,,,
068600_3..N01R::1404792000.0,,,,,,,,-1,7,-19,,,2,,,,,-10,12,,,,,,,-8,,,12,,-11,,,
069400_3..N01R::1404792000.0,,,,,,,,,0,-49,,,-7,,,,,,-27,,,,,,,,,,,,16,,,
070200_3..N01R::1404792000.0,,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,
071000_3..N01R::1404792000.0,,,,,,,,,,-679,,,,,,,,,,,,,,,,,,,,,,,,
071800_3..N01R::1404792000.0,,,,,,,,,,-1159,,,,,,,,,,,,,,,,,,,,,,,,
072600_3..N01R::1404792000.0,,,,,,,,,,-1639,,,,,,,,,,,,,,,,,,,,,,,,
