,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
067600_4..N06R::1404446400.0,41,8,13,17,17,5,2,34,2,71,45,19,18,-4,1,17,9,5,-30,-4,27,-7,11,36,22,-60,5,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
068400_4..N06R::1404446400.0,52,-11,12,15,21,3,14,19,-2,-19,35,2,-3,2,22,23,-3,16,61,18,25,3,2,-13,11,-11,6,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
069200_4..N06R::1404446400.0,52,-2,-3,2,24,-2,1,12,7,-19,22,-10,-10,-1,13,64,-14,-48,-2,-2,78,6,9,-5,0,8,-7,-13,,,,,,,,,,,,,,,,,,,,,,,,,,
072000_4..N06R::1404446400.0,64,0,25,16,21,34,-22,15,5,-19,10,0,27,-24,4,16,15,12,22,6,19,1,15,-23,5,-3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,
070000_4..N06R::1404446400.0,56,-10,11,-5,7,15,21,15,21,-19,11,5,0,-9,-6,108,-1,14,5,-15,9,-8,-5,4,18,-18,1,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
070800_4..N06R::1404446400.0,41,-2,4,18,3,19,12,-5,14,-19,21,4,6,-3,18,16,19,19,71,7,9,-4,31,4,-2,3,11,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
071600_4..N06R::1404446400.0,21,1,2,17,13,-28,32,7,-2,-19,17,13,-8,0,10,16,1,22,7,33,36,-6,21,4,7,3,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,
072400_4..N06R::1404446400.0,61,5,15,3,21,4,7,77,-1,-19,9,13,-6,4,17,-6,22,9,9,13,25,1,2,9,5,18,-3,6,,,,,,,,,,,,,,,,,,,,,,,,,,
073200_4..N06R::1404446400.0,74,-4,-2,-18,40,-10,5,-24,-8,11,57,20,16,5,7,121,6,26,-84,15,5,1,-16,9,-19,4,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,
074000_4..N06R::1404446400.0,69,12,12,17,7,23,22,16,25,11,33,14,7,25,11,26,-2,-7,19,2,18,17,10,25,3,10,16,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
074800_4..N06R::1404446400.0,60,11,-7,56,25,23,8,4,18,41,38,19,-5,14,37,13,4,5,15,-20,26,9,16,16,7,-3,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,
075600_4..N06R::1404446400.0,61,14,21,7,15,16,-12,5,5,-19,17,30,-1,-3,14,-3,29,21,-66,6,21,16,28,16,28,10,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
076400_4..N06R::1404446400.0,52,-11,0,29,36,-5,5,0,13,-19,9,21,8,-22,-5,41,19,-7,12,-5,5,3,20,35,25,5,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,
077200_4..N06R::1404446400.0,56,9,1,38,25,46,11,19,21,11,35,36,7,23,21,24,9,10,21,10,-1,13,11,19,28,-2,10,-39,,,,,,,,,,,,,,,,,,,,,,,,,,
078000_4..N06R::1404446400.0,43,8,21,10,27,28,34,11,-5,-19,62,-9,2,9,17,8,13,3,-75,1,-17,3,17,11,1,17,-5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
078800_4..N06R::1404446400.0,45,0,-8,17,3,20,12,-10,-5,11,8,13,26,-8,4,56,5,12,7,-8,98,-7,8,2,-6,-5,5,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
079600_4..N06R::1404446400.0,42,11,2,13,2,19,-4,8,5,-19,27,-4,13,1,4,76,13,-4,12,-10,54,-1,15,11,23,7,13,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
080400_4..N06R::1404446400.0,36,17,8,8,14,-16,21,15,20,11,25,-11,1,-7,8,13,8,-3,46,6,52,19,3,-7,27,8,17,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
081200_4..N06R::1404446400.0,55,-16,-4,-2,16,-1,-1,9,5,-19,13,16,113,3,24,26,-4,35,-13,14,11,8,10,16,15,1,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
082000_4..N06R::1404446400.0,38,-8,5,-4,5,11,16,22,6,161,30,2,-1,-8,22,21,-12,12,3,12,-34,-11,22,3,5,-17,-1,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
082800_4..N06R::1404446400.0,30,1,3,-8,38,37,68,20,-7,-19,41,8,33,7,25,26,18,-2,-89,18,16,3,2,12,32,1,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,
083600_4..N06R::1404446400.0,38,10,5,22,15,22,-4,3,9,11,18,-9,12,7,5,27,-18,4,13,18,-2,2,24,13,8,11,-7,8,,,,,,,,,,,,,,,,,,,,,,,,,,
084400_4..N06R::1404446400.0,40,10,19,11,36,33,11,32,27,41,44,13,8,24,8,41,-2,3,13,32,21,15,18,21,11,-18,20,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
085200_4..N06R::1404446400.0,11,-11,0,8,22,-16,-18,12,-4,-19,28,-32,6,8,4,56,-9,-5,59,9,18,7,-14,-10,2,3,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,
086000_4..N06R::1404446400.0,45,-7,16,16,23,37,17,14,35,-19,44,8,8,-4,15,51,-3,-3,18,0,14,19,7,-1,28,2,10,-38,,,,,,,,,,,,,,,,,,,,,,,,,,
086800_4..N06R::1404446400.0,48,10,3,-6,11,21,17,-8,-5,-19,-15,-8,1,6,9,29,14,14,5,-8,10,2,-2,13,12,-22,-12,4,,,,,,,,,,,,,,,,,,,,,,,,,,
087600_4..N06R::1404446400.0,45,12,16,-26,20,2,155,-3,4,-19,30,-3,-9,2,14,12,-11,18,-83,7,13,2,3,15,-26,-9,8,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
088400_4..N06R::1404446400.0,45,-4,7,3,-26,-14,20,-2,29,-19,38,8,3,12,-4,14,3,18,10,5,70,14,-6,-5,-1,14,-7,12,,,,,,,,,,,,,,,,,,,,,,,,,,
089200_4..N06R::1404446400.0,56,-25,0,27,42,9,28,14,-2,-19,35,8,23,14,32,33,22,22,14,158,34,7,23,11,13,2,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,
090000_4..N06R::1404446400.0,53,13,145,6,15,-18,-4,0,34,-19,17,15,-9,9,14,120,3,10,-79,-9,20,5,15,16,22,15,-3,-16,,,,,,,,,,,,,,,,,,,,,,,,,,
090800_4..N06R::1404446400.0,50,7,-6,24,15,8,-4,-9,9,11,9,-10,-5,-5,10,20,12,3,20,29,24,-2,-21,9,19,-27,11,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
091600_4..N06R::1404446400.0,51,0,-6,49,11,20,3,10,-8,-49,46,10,8,-1,-1,10,0,-1,-5,-2,21,-5,14,5,18,2,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,
092400_4..N06R::1404446400.0,73,14,13,44,-9,23,7,19,0,11,23,-7,9,8,18,89,17,8,-87,23,20,7,-2,16,18,13,-8,9,,,,,,,,,,,,,,,,,,,,,,,,,,
093200_4..N06R::1404446400.0,44,10,47,13,4,19,10,20,34,-19,7,-5,4,3,23,24,-12,6,5,16,82,3,6,14,9,-4,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
094000_4..N06R::1404446400.0,52,16,8,12,14,13,-8,19,22,11,28,3,-6,7,7,34,-19,26,24,6,29,3,10,8,32,3,-31,11,,,,,,,,,,,,,,,,,,,,,,,,,,
094800_4..N06R::1404446400.0,66,-36,-2,11,29,2,19,1,-21,101,8,4,17,11,15,22,12,27,-74,16,-17,-3,2,1,6,-1,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,
095600_4..N06R::1404446400.0,47,-4,20,-23,35,26,23,20,6,11,48,6,7,0,11,40,21,10,19,19,24,-4,15,4,-22,21,-7,5,,,,,,,,,,,,,,,,,,,,,,,,,,
096400_4..N06R::1404446400.0,66,15,14,8,33,32,18,10,-3,-19,21,-5,7,8,20,4,15,-20,-10,-2,-6,6,-1,16,-6,-14,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,
097200_4..N06R::1404446400.0,40,30,27,27,-1,18,1,4,31,11,46,3,-8,-7,11,128,-6,8,-78,3,100,-7,13,2,6,7,8,-11,,,,,,,,,,,,,,,,,,,,,,,,,,
098000_4..N06R::1404446400.0,68,3,10,34,16,32,6,8,11,11,51,13,-26,2,6,19,5,15,-13,27,5,-7,-3,2,17,9,-9,6,,,,,,,,,,,,,,,,,,,,,,,,,,
098800_4..N06R::1404446400.0,43,0,6,163,8,27,3,40,-13,41,38,11,30,3,29,37,-9,22,-4,2,10,-8,-3,0,-3,8,20,-26,,,,,,,,,,,,,,,,,,,,,,,,,,
099600_4..N06R::1404446400.0,60,4,28,14,27,20,22,2,-8,-19,28,14,21,-1,58,51,1,7,-78,18,27,-5,20,7,3,5,8,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
100400_4..N06R::1404446400.0,67,-1,1,19,11,36,4,-2,-26,-19,47,17,12,14,16,25,11,8,1,-2,65,13,13,-4,-6,10,-65,12,,,,,,,,,,,,,,,,,,,,,,,,,,
101200_4..N06R::1404446400.0,50,20,0,-3,14,28,3,-2,-2,-19,32,-3,9,17,-1,75,16,18,9,14,70,15,26,-5,-17,0,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,
102000_4..N06R::1404446400.0,62,-12,13,12,17,1,10,18,1,11,7,5,-8,6,41,85,1,-8,-86,5,80,7,-5,21,1,-10,8,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
102800_4..N06R::1404446400.0,51,-2,14,94,28,52,6,9,5,11,70,12,37,-4,36,29,4,-3,50,37,40,19,-1,-2,18,52,9,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
103600_4..N06R::1404446400.0,40,-4,13,21,28,-2,2,-11,2,-19,27,1,-8,-5,-18,87,24,6,4,-8,-1,-8,18,2,15,-11,4,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
104400_4..N06R::1404446400.0,50,14,9,8,28,9,21,9,58,11,7,-5,-5,14,15,51,-11,-9,-96,14,72,10,-3,18,11,13,-4,14,,,,,,,,,,,,,,,,,,,,,,,,,,
105200_4..N06R::1404446400.0,65,4,-12,-8,24,22,17,-12,20,-19,2,-9,-18,14,10,86,15,15,9,-6,95,-13,0,0,-4,-2,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,
106000_4..N06R::1404446400.0,34,20,-12,-2,17,50,20,-1,2,-19,3,4,14,7,6,33,-5,13,8,12,8,7,47,-9,-17,-3,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
106800_4..N06R::1404446400.0,54,10,-2,15,26,3,8,5,17,-19,50,-1,-9,-6,11,2,-5,23,47,13,5,-5,57,11,17,8,-5,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
107600_4..N06R::1404446400.0,40,-23,4,10,27,3,38,46,6,11,55,-11,-17,-9,36,32,-16,18,3,1,11,-8,-13,5,-4,11,-6,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
108400_4..N06R::1404446400.0,55,15,-11,13,48,11,32,39,20,41,26,-1,30,-23,6,3,-6,11,-2,6,2,6,2,17,55,0,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
109200_4..N06R::1404446400.0,58,18,-7,0,17,31,20,-7,19,-19,8,3,13,11,3,24,-2,-16,71,19,10,11,55,-11,2,2,-12,6,,,,,,,,,,,,,,,,,,,,,,,,,,
110000_4..N06R::1404446400.0,60,0,17,25,18,26,48,22,53,11,34,13,26,3,58,44,-25,19,19,8,32,-3,19,2,28,22,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,
110800_4..N06R::1404446400.0,42,-4,-10,15,24,-9,7,-12,8,-49,22,10,6,11,23,24,5,-5,66,-3,16,12,11,-3,-5,1,-14,5,,,,,,,,,,,,,,,,,,,,,,,,,,
111600_4..N06R::1404446400.0,73,-34,-5,10,-18,-18,21,27,5,-49,12,9,21,-2,6,20,2,18,92,12,3,-5,13,6,12,-4,8,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
