,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
146000_4..N01R::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,,,,,,,,,,,,,,,,,,,,,,,,,
137650_4..N06R::1404532800.0,23,20,7,42,22,2,1,36,45,11,22,21,-12,-4,13,10,-25,30,26,16,-415,21,33,-32,33,10,16,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
138850_4..N06R::1404532800.0,53,-6,,6,22,17,18,21,52,11,50,7,-6,11,14,2,-6,18,2,21,-410,8,436,-6,13,,-12,9,,,,,,,,,,,,,,,,,,,,,,,,,,
140050_4..N02R::1404532800.0,41,19,10,-10,22,5,16,-10,3,16,-171,22,-9,11,10,50,9,0,5,-20,24,10,9,-9,18,11,-7,8,11,10,-3,-9,34,10,3,-5,-5,,,,,,,,,,,,,,,,,
140050_4..N06R::1404532800.0,53,8,9,-24,21,27,8,10,14,11,12,17,5,-19,26,30,4,-87,18,-2,8,5,-36,10,21,19,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
141250_4..N02R::1404532800.0,24,16,12,31,54,27,,,,,46,15,22,21,0,35,15,21,,36,32,2,6,32,46,11,15,25,251,,,,,,,,,,,,,,,,,,,,,,,,,
142450_4..N02R::1404532800.0,52,8,2,12,13,28,6,8,-57,24,30,-6,8,-4,20,28,-50,-7,-13,20,23,-3,15,7,28,-17,2,-8,-19,-6,13,0,13,21,19,1,-6,,,,,,,,,,,,,,,,,
143650_4..N02R::1404532800.0,68,23,20,19,18,6,15,17,1,20,30,-5,20,-8,18,31,12,40,-2,-7,36,-11,10,-31,23,-7,5,-43,,,,16,-5,6,-42,3,-1,,,,,,,,,,,,,,,,,
147900_4..N01R::1404532800.0,59,-12,-6,20,22,15,28,-10,14,11,18,-4,16,-1,6,19,-17,1,59,-8,22,19,15,-5,7,21,-5,10,41,13,0,17,-2,8,-2,-3,-1,-2,-16,2,,,,,,,,,,,,,,
148850_4..N13R::1404532800.0,65,12,-11,8,40,9,13,-2,19,11,56,-2,1,3,23,53,-11,16,-23,-1,42,3,6,14,-6,-3,8,-2,11,2,-9,15,-2,9,-2,4,6,15,12,286,2,-12,12,42,4,-4,20,21,-8,-1,-10,-5,3,17
003300_4..N01R::1404532800.0,,,21,25,36,-6,47,4,28,9,37,,-2,,19,60,,12,3,23,37,,19,,14,22,10,-46,11,13,120,0,13,13,-3,3,8,11,22,14,,,,,,,,,,,,,,
150850_4..N13R::1404532800.0,67,-3,0,8,33,19,37,6,36,103,19,4,6,-4,-2,21,-6,14,2,-21,30,-7,9,4,8,3,13,-3,-19,19,3,-14,-32,1,5,9,5,2,-6,15,15,24,9,40,7,1,-4,9,10,19,9,10,-35,12
152850_4..N13R::1404532800.0,52,-11,8,10,-28,-7,21,-8,-1,69,334,8,-12,8,13,33,-24,2,13,12,4,-20,-5,-16,-2,-12,7,0,-19,10,0,-1,-13,-2,-7,5,10,0,-14,0,10,-65,19,18,-5,-6,-12,8,-16,-3,6,4,-9,10
010850_4..N13R::1404532800.0,30,-6,-8,-12,1,18,27,17,-28,64,20,-21,13,9,10,50,2,-8,-3,0,-225,9,280,-35,3,1,19,5,-19,18,4,0,15,-6,-11,5,9,1,-16,-2,-16,-1,-4,2,-18,6,2,-6,1,12,10,5,-8,-17
012850_4..N13R::1404532800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6311,,,,,,,,,,,,,,,,,,,,,,,,,
013850_4..N13R::1404532800.0,41,8,15,5,19,-6,4,-8,24,23,10,-13,14,-3,-1,31,13,12,4,21,-232,-3,-2,8,-3,-10,6,-7,-19,10,-6,12,-8,-3,10,-1,19,19,19,7,-6,0,-8,-1,-2,18,10,-50,-9,-2,-2,3,-13,4
003300_4..N::1404532800.0,48,,,,,,,,,,,-1,,24,,,,,,,,,,,,,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,
016850_4..N13R::1404532800.0,14,-11,5,12,12,24,10,15,-14,5,40,3,8,14,-3,39,-6,16,23,-7,-234,11,-4,-10,-9,13,-3,12,-19,14,0,-8,3,11,-1,0,3,11,22,-3,8,-12,11,45,-5,15,7,1,-8,-2,20,18,-1,15
018850_4..N13R::1404532800.0,64,-2,13,13,-6,13,3,1,34,44,4,17,10,6,3,28,12,-1,-7,-10,-246,7,-4,-7,2,-7,9,-35,-19,18,4,-7,-23,-10,9,-2,12,0,7,12,11,-2,-9,64,-12,14,7,15,-7,5,6,9,-6,12
016400_4..N13R::1404532800.0,62,2,13,26,25,71,,,,,-18,4,6,12,27,30,14,21,,-4,-235,0,73,7,-7,15,-3,11,,,,,,,,,,,,,-1,-20,-1,26,-9,12,5,-6,-5,1,-85,14,-8,6
020850_4..N13R::1404532800.0,50,18,15,16,22,19,15,0,39,-4,-17,-9,4,0,14,63,9,18,34,7,-233,15,2,-8,-6,20,19,4,-19,16,2,17,-6,5,14,10,28,12,-6,14,18,-1,-49,26,3,-42,16,-13,-35,6,-6,-2,12,20
022850_4..N13R::1404532800.0,20,-12,-12,20,-19,6,14,11,27,61,9,4,0,24,-6,37,-6,14,4,26,-173,7,179,-12,14,27,29,0,-19,11,0,-4,13,-4,-7,1,5,-25,14,-11,-17,-5,22,55,-18,8,2,-5,5,-14,18,-8,6,-10
024850_4..N13R::1404532800.0,70,-7,2,7,18,4,21,23,-7,-25,,4,-5,-19,14,,-4,5,5,3,-67,10,60,-8,10,9,-10,9,-19,-2,-15,5,-13,-4,8,-9,-15,9,10,5,359,,,,350,,,2,4,14,12,11,-10,6
026850_4..N13R::1404532800.0,,,,,,8,2,8,34,0,,,-1,,-79,,,,29,,,,,,,,,,-49,3,-12,11,-9,-1,18,-7,-8,0,7,-12,,,,,,,,,,,,,,
028850_4..N13R::1404532800.0,65,7,0,66,-36,6,0,2,29,10,18,-9,-7,16,14,6,17,9,20,13,4,-10,-9,6,8,7,-10,11,-19,-11,8,3,17,-8,8,0,20,-12,1,13,1,-13,-17,24,-13,11,8,8,15,17,10,-3,6,13
030850_4..N13R::1404532800.0,51,4,-16,44,5,5,4,-2,32,-8,35,5,-8,10,14,42,-36,15,16,-6,13,14,-2,-2,1,-2,-14,-25,11,1,-10,17,-1,13,7,-15,15,-3,7,10,11,-3,14,49,4,-1,-3,-9,-3,5,3,5,-10,13
032850_4..N13R::1404532800.0,51,-10,-6,7,-1,0,-7,13,22,9,14,2,-4,-7,17,46,-6,9,-5,31,25,21,9,-6,-26,-1,9,-5,11,-2,8,-27,0,6,11,3,25,14,8,-3,1,12,1,3,12,1,-9,8,18,16,-1,-1,5,17
026850_4..N::1404532800.0,34,-1,-11,20,40,,,,,,,10,,-8,71,121,1,-16,,-36,6,-10,4,1,3,-5,8,-6,,,,,,,,,,,,,,,,,325,,,-21,3,-21,3,-2,-21,-4
034450_4..N01R::1404532800.0,41,-10,-14,95,-5,-5,-6,9,24,6,49,4,-9,4,15,-1,-3,-1,23,19,49,4,3,-13,6,-7,10,0,-19,18,2,0,10,-8,-12,6,61,13,-12,-8,,,,,,,,,,,,,,
036050_4..N01R::1404532800.0,64,-14,-11,20,6,-20,14,2,19,51,4,8,-3,-10,17,-16,5,14,20,-9,15,-8,43,9,-3,-2,-13,-19,-19,-6,-16,-15,3,-13,8,-1,-1,-9,10,-11,,,,,,,,,,,,,,
037750_4..N03R::1404532800.0,63,12,6,14,28,18,22,2,17,0,25,-13,1,10,16,17,8,-8,34,13,13,-27,-4,15,13,13,-4,13,-19,-2,12,4,14,-9,7,,,,,,,,,,,,,,,,,,,
040450_4..N06R::1404532800.0,66,2,8,18,22,17,20,8,0,-19,87,17,7,-9,1,-2,8,-1,-4,17,114,-8,-8,9,18,16,2,-13,,,,,,,,,,,,,,,,,,,,,,,,,,
041450_4..N06R::1404532800.0,61,8,1,5,22,17,23,10,16,-19,7,15,4,24,14,-4,3,18,16,15,10,13,22,17,13,7,13,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
042450_4..N06R::1404532800.0,40,18,1,34,34,-26,21,8,25,11,274,-5,-8,-4,3,103,14,21,34,8,7,20,25,-36,6,6,14,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
043450_4..N06R::1404532800.0,45,-2,-14,10,9,24,-10,-33,8,11,57,6,12,-4,2,80,20,10,-17,17,-39,-8,-28,3,5,-6,9,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
044250_4..N06R::1404532800.0,34,-6,4,15,24,5,15,13,-5,-19,47,11,-5,-20,13,41,4,16,-5,10,9,8,-6,-10,8,4,-14,6,,,,,,,,,,,,,,,,,,,,,,,,,,
044950_4..N06R::1404532800.0,,,,,74,-1,8,11,14,11,-39,,18,,10,65,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045650_4..N06R::1404532800.0,,,,,-7,2,15,17,11,41,,,-10,,14,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046350_4..N06R::1404532800.0,,,,,,21,16,23,34,41,,,2,,-80,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047250_4..N06R::1404532800.0,,,,,,-38,1,-4,-4,11,,,-8,,-80,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048250_4..N06R::1404532800.0,,,,,-60,25,0,4,-3,41,,,14,,30,,,,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049250_4..N06R::1404532800.0,,,,,,10,4,4,21,-49,,,22,,-22,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050150_4..N06R::1404532800.0,,,,,,17,11,7,0,-19,,,16,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045650_4..N::1404532800.0,62,-1,10,21,12,,,,,,61,16,,-10,,66,9,12,,28,66,-12,14,1,19,15,-2,15,,,,,,,,,,,,,-18,-27,-34,-18,-14,-35,-8,,,,,,,
050850_4..N06R::1404532800.0,,,,,,11,2,8,11,-19,,,-1,,-82,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044950_4..N::1404532800.0,36,-8,14,14,,,,,,,24,2,,17,,,-9,6,,331,22,13,6,-8,5,-9,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,
046350_4..N::1404532800.0,63,23,-1,14,25,,,,,,25,24,,10,131,54,7,67,,16,-24,2,78,6,-3,23,2,14,,,,,,,,,,,,,-9,,-16,-16,-32,-53,-19,,,,,,,
051550_4..N06R::1404532800.0,,,,,,15,3,19,-11,-19,,,7,,-70,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052250_4..N06R::1404532800.0,69,,,,,-282,16,0,11,-19,,9,,,,,-7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047250_4..N::1404532800.0,,0,11,67,10,,,,,,175,-13,,8,-19,98,,12,,29,9,10,-7,-5,40,-8,11,2,,,,,,,,,,,,,-20,-38,,-34,-34,-43,-10,,,,,,,
052950_4..N06R::1404532800.0,71,-9,,,,,,-64,24,-19,,3,,,,,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048250_4..N::1404532800.0,,,18,5,33,,,,,,34,,,,,35,,-4,,5,17,,3,,11,-60,,,,,,,,,,,,,,,-24,-33,-46,-9,-20,-37,8,,,,,,,
053650_4..N06R::1404532800.0,47,-8,,,,,,,,-49,,4,,-4,,,27,,,,,20,,-2,,4,12,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
049250_4..N::1404532800.0,,,,3,16,,,,,,137,,,,101,33,,,,14,,,,,13,,,,,,,,,,,,,,,,-96,-25,-27,-18,-81,-14,-17,,,,,,,
054350_4..N06R::1404532800.0,70,14,13,,,,,,,-469,,0,,3,,,19,,,,241,2,-1,11,,-7,9,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
055050_4..N06R::1404532800.0,54,15,-11,-27,,,,,,-889,,33,,-6,,,15,19,,,-76,-2,165,-14,,2,-8,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
050150_4..N::1404532800.0,,,,,142,,,,,,-252,,,,71,124,,,,,,,,,,,,,,,,,,,,,,,,,-37,-26,-10,-12,,,,,,,,,,
055750_4..N06R::1404532800.0,67,20,14,-29,,,,,,-1309,,3,,0,,,12,-3,,19,177,26,48,-2,18,-7,7,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
050850_4..N::1404532800.0,,,,,58,,,,,,,,,,11,62,,,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,,,,,,
051550_4..N::1404532800.0,65,,,,42,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,-111,,,,,,,,,,,,,
056450_4..N06R::1404532800.0,56,7,-7,-36,,,,,,-1729,49,16,,0,,28,15,18,,25,-67,-1,52,10,19,0,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,
057150_4..N06R::1404532800.0,49,15,0,-30,25,,,,,,73,-1,14,12,7,13,20,20,,6,311,14,15,-2,5,6,-10,9,,,,,,,,,,,,,,,,,,,,,,,,,,
057850_4..N06R::1404532800.0,,,,,11,-1,-2,,,,-101,,-6,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058550_4..N06R::1404532800.0,66,14,1,-34,18,-2,-7,20,29,,29,18,16,14,-1,158,-3,23,30,22,-81,7,25,15,8,1,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,
059250_4..N06R::1404532800.0,63,-3,5,-69,19,29,4,4,11,-19,281,9,7,19,18,-1,2,-35,10,-5,-69,-14,28,0,19,13,-3,16,,,,,,,,,,,,,,,,,,,,,,,,,,
059950_4..N06R::1404532800.0,52,14,-9,-61,8,24,8,3,-3,-49,11,-5,10,13,25,-3,12,15,10,28,335,9,18,18,14,21,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,
060650_4..N06R::1404532800.0,63,25,16,-52,20,30,38,31,26,-19,14,16,9,19,22,13,-34,8,4,13,-2,3,16,8,0,13,18,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
061350_4..N06R::1404532800.0,60,10,-6,-42,-5,-2,-3,8,8,-19,23,-8,-9,-10,16,5,16,3,6,49,172,-5,71,-22,3,4,-10,12,,,,,,,,,,,,,,,,,,,,,,,,,,
062050_4..N06R::1404532800.0,49,11,15,-28,23,14,25,21,9,-19,33,-9,-5,13,12,24,43,-5,2,3,-81,8,166,15,21,19,2,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
062750_4..N06R::1404532800.0,65,19,-9,-36,35,16,-25,-3,-2,-19,198,-1,-4,-2,37,18,20,-21,5,24,-49,18,27,-7,15,20,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,
063450_4..N06R::1404532800.0,60,16,-55,12,51,35,25,2,37,105,51,25,23,8,32,28,21,-8,6,-28,-64,18,3,-7,-14,-5,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,
064150_4..N06R::1404532800.0,49,11,10,-45,9,39,17,18,68,41,40,9,15,8,4,21,-3,10,23,24,-72,6,196,15,-7,8,-9,8,,,,,,,,,,,,,,,,,,,,,,,,,,
064850_4..N06R::1404532800.0,41,5,-1,-54,33,7,16,2,19,11,25,17,-1,-9,23,11,9,-9,17,-30,228,-8,18,6,-11,8,-5,-15,,,,,,,,,,,,,,,,,,,,,,,,,,
065550_4..N06R::1404532800.0,47,-2,11,15,8,-27,40,26,13,11,-19,1,1,18,19,56,11,6,17,5,-69,13,7,19,28,13,10,22,,,,,,,,,,,,,,,,,,,,,,,,,,
066250_4..N06R::1404532800.0,24,10,0,-21,28,29,9,13,4,11,39,-10,12,14,27,46,9,10,-6,-2,-58,9,26,18,21,-3,6,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
066950_4..N06R::1404532800.0,50,-28,6,-45,19,14,18,18,12,101,14,-12,1,-54,22,36,13,1,2,10,-62,-6,19,7,36,15,-36,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
067650_4..N06R::1404532800.0,61,16,19,-46,12,-8,1,-8,7,-19,-4,-5,-17,-11,1,32,15,-1,2,18,-72,12,5,-10,0,-60,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,
068350_4..N06R::1404532800.0,,,3,-16,216,41,14,4,18,-19,66,,-1,,8,42,,30,-22,18,-52,,6,,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069050_4..N06R::1404532800.0,48,-5,-5,-21,110,4,12,10,-19,-49,267,5,-4,16,16,45,0,1,85,15,-72,12,15,-4,19,7,-7,15,,,,,,,,,,,,,,,,,,,,,,,,,,
069750_4..N06R::1404532800.0,54,-1,-6,-3,145,13,23,6,-1,11,53,9,-5,-3,14,58,-1,8,14,2,-57,-9,30,1,-6,-4,9,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
070450_4..N06R::1404532800.0,,,,,-16,30,15,28,-2,11,,,-25,,19,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071150_4..N06R::1404532800.0,,,,,,30,17,12,2,41,,,-26,,20,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071850_4..N06R::1404532800.0,,,,,-45,5,10,-1,5,-19,,,-9,,11,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072550_4..N06R::1404532800.0,66,-11,-24,-31,12,28,15,20,9,-19,32,0,6,13,-70,29,16,-2,-6,4,-69,4,-3,-14,-1,13,-6,-19,,,,,,,,,,,,,,,,,,,,,,,,,,
073250_4..N06R::1404532800.0,47,-19,8,-50,15,9,47,-5,-2,-19,10,-5,-3,11,16,53,3,9,5,12,-66,5,-2,15,33,13,-6,10,,,,,,,,,,,,,,,,,,,,,,,,,,
073950_4..N06R::1404532800.0,61,17,6,-45,22,13,17,9,29,-19,40,3,19,5,30,52,13,6,17,1,-57,4,-10,15,-6,-16,25,-25,,,,,,,,,,,,,,,,,,,,,,,,,,
074650_4..N06R::1404532800.0,,,,,-84,28,6,14,22,11,,,15,,4,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075350_4..N06R::1404532800.0,,,,,,15,9,36,11,41,,,-5,,-81,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070450_4..N::1404532800.0,48,8,16,-36,461,,,,,,39,19,,15,,84,2,1,,18,-83,11,12,12,40,19,-2,11,,,,,,,,,,,,,-111,,,,,,,,,,,,,
076050_4..N06R::1404532800.0,,,,,,19,3,5,19,11,,,11,,-36,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071150_4..N::1404532800.0,18,22,10,-35,26,,,,,,34,35,,-14,,42,-23,26,,25,-54,-23,5,12,22,8,9,23,,,,,,,,,,,,,-25,-15,-23,10,,,,,,,,,,
076750_4..N06R::1404532800.0,45,11,-1,180,10,38,16,-9,21,11,35,-8,-15,10,32,48,14,10,4,21,-58,-20,16,20,14,4,-10,9,,,,,,,,,,,,,,,,,,,,,,,,,,
071850_4..N::1404532800.0,56,-6,10,-51,116,,,,,,35,10,,14,,22,1,-3,,12,-71,10,0,-6,2,12,-66,10,,,,,,,,,,,,,-17,-35,-50,-2,-31,-18,-28,,,,,,,
077450_4..N06R::1404532800.0,59,-2,9,-16,19,17,12,26,3,101,26,4,23,7,31,46,26,-36,-17,-1,-77,-4,10,2,22,2,11,14,,,,,,,,,,,,,,,,,,,,,,,,,,
068350_4..N::1404532800.0,38,,,,,,,,,,,27,,74,,,-16,,,,,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078150_4..N06R::1404532800.0,45,0,14,-48,34,3,6,9,-27,-19,18,7,20,2,26,40,21,29,8,12,-55,-3,6,5,2,16,-8,6,,,,,,,,,,,,,,,,,,,,,,,,,,
078850_4..N06R::1404532800.0,,,,,,30,6,3,16,-19,,,6,,-71,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079550_4..N06R::1404532800.0,51,14,1,-27,16,20,27,11,26,41,39,12,25,-2,31,19,2,-7,15,10,-77,18,21,-6,1,8,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
074650_4..N::1404532800.0,52,5,-13,-48,13,,,,,,182,19,,-5,,49,10,20,,22,-76,-4,210,9,0,-7,7,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
080250_4..N06R::1404532800.0,56,20,8,-38,34,20,16,4,8,-49,-11,2,6,8,-1,-14,-7,-3,36,-13,-83,7,5,-12,-6,10,-9,9,,,,,,,,,,,,,,,,,,,,,,,,,,
075350_4..N::1404532800.0,18,-2,3,-43,57,,,,,,11,11,,1,71,56,-2,13,,8,-80,-1,25,5,20,6,12,0,,,,,,,,,,,,,-83,-83,-36,4,-69,-23,-19,,,,,,,
076050_4..N::1404532800.0,47,-3,15,-41,94,,,,,,87,6,,-9,11,43,-5,-2,,16,167,-57,0,-1,13,-8,6,-6,,,,,,,,,,,,,-24,-35,,-12,-77,-17,-20,,,,,,,
080950_4..N06R::1404532800.0,70,12,13,-35,7,10,13,11,6,-19,33,-5,-5,-2,-23,21,16,1,8,28,49,2,1,12,1,-10,5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
081650_4..N06R::1404532800.0,75,-9,12,-52,40,17,-15,-5,22,-19,28,-2,7,5,22,20,-7,-3,10,9,230,-23,-3,-9,8,-8,9,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
082350_4..N06R::1404532800.0,29,-19,14,-33,25,15,1,-32,11,-19,36,-8,22,-16,23,9,14,2,6,-1,-73,10,71,-11,21,17,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,
083050_4..N06R::1404532800.0,56,14,-7,-34,37,36,28,20,2,41,58,-5,35,8,30,21,18,16,3,5,-55,6,50,17,3,-3,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
083750_4..N06R::1404532800.0,,,,,,,,,,-319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078850_4..N::1404532800.0,47,13,19,-50,101,,,,,,95,18,,17,41,44,1,6,,0,-69,11,97,-9,-83,17,-1,16,,,,,,,,,,,,,,,,,,,,,,,,,,
084450_4..N06R::1404532800.0,,491,12,-22,41,46,26,17,24,-109,74,-98,33,13,60,63,,15,80,34,-44,-3,27,29,20,4,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,
085150_4..N06R::1404532800.0,51,-4,20,-16,47,47,3,21,24,11,21,17,10,17,20,20,-1,29,-6,-3,-61,6,21,-2,19,12,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,
085850_4..N06R::1404532800.0,35,10,1,-9,32,-20,15,29,0,-19,12,-9,-5,4,17,24,11,-4,-7,0,198,4,19,14,-1,5,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
086550_4..N06R::1404532800.0,52,-10,-7,-33,-24,20,1,1,-5,-19,23,4,21,-19,5,33,-4,10,10,30,-69,9,65,-11,12,1,-14,7,,,,,,,,,,,,,,,,,,,,,,,,,,
087250_4..N06R::1404532800.0,55,-1,7,-59,30,3,9,-30,10,11,29,10,5,-56,27,24,4,4,14,25,82,-9,-7,3,8,11,-3,-14,,,,,,,,,,,,,,,,,,,,,,,,,,
087950_4..N06R::1404532800.0,68,18,-6,-39,33,8,-16,-17,-7,-19,20,0,19,17,37,8,23,1,-2,38,175,17,42,22,18,-3,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,
088650_4..N06R::1404532800.0,62,7,38,-19,29,37,22,16,-17,-19,49,12,33,6,40,33,28,31,41,33,-48,22,-22,27,49,-14,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,
089350_4..N06R::1404532800.0,49,-4,16,-29,50,52,23,27,14,-19,51,17,13,20,23,10,0,23,15,16,-53,16,9,21,6,10,12,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
090050_4..N06R::1404532800.0,66,15,15,-50,33,14,9,29,22,-19,26,-8,22,-13,30,60,10,16,27,9,-58,15,41,-7,21,18,-2,17,,,,,,,,,,,,,,,,,,,,,,,,,,
090750_4..N06R::1404532800.0,54,69,-3,-30,3,15,3,19,17,11,56,8,4,8,5,18,8,-14,-2,77,233,-16,9,3,-2,-17,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
091450_4..N06R::1404532800.0,45,19,5,-33,10,30,0,8,2,-19,16,5,14,8,30,35,-1,-4,-6,17,109,9,-2,-10,7,6,-11,6,,,,,,,,,,,,,,,,,,,,,,,,,,
092150_4..N06R::1404532800.0,14,7,-7,-51,21,6,23,8,4,-49,37,18,19,1,30,22,9,14,14,35,-83,-2,102,8,6,-3,12,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
092850_4..N06R::1404532800.0,68,8,-7,-16,15,23,12,11,19,103,31,-8,1,3,44,37,13,-32,15,34,-68,1,36,12,43,2,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
093550_4..N06R::1404532800.0,56,-9,13,-56,51,19,2,8,22,11,30,11,9,9,27,18,6,3,12,3,200,6,-8,22,51,-60,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,
094250_4..N06R::1404532800.0,54,19,-10,-15,61,28,16,21,9,-19,63,-5,23,25,44,31,15,7,-5,-5,-36,12,-12,-7,30,-3,8,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
084450_4..N::1404532800.0,55,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094950_4..N06R::1404532800.0,46,-3,16,-25,12,16,22,-2,1,-19,29,13,5,-7,19,5,0,6,8,41,97,-8,7,1,-4,-7,4,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
095650_4..N06R::1404532800.0,35,20,1,-33,23,18,0,31,22,-19,38,-4,25,-6,26,36,14,-5,13,14,48,21,28,-6,28,3,12,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
096350_4..N06R::1404532800.0,59,-35,19,-36,37,34,-18,12,29,-19,38,-17,29,18,36,1,6,8,0,16,150,19,6,-4,0,13,-3,14,,,,,,,,,,,,,,,,,,,,,,,,,,
097050_4..N06R::1404532800.0,63,-7,16,-48,17,10,-20,8,-18,41,56,4,7,2,13,46,20,30,13,31,-47,-4,15,4,13,14,-10,3,,,,,,,,,,,,,,,,,,,,,,,,,,
097750_4..N06R::1404532800.0,48,-34,-12,-32,27,31,22,4,14,131,51,-76,13,12,23,9,12,1,13,30,-66,-14,7,1,17,-37,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,
098450_4..N06R::1404532800.0,48,-7,5,-60,18,29,7,20,-9,-19,18,7,11,15,57,22,-2,14,-13,13,188,13,26,-6,7,13,-4,14,,,,,,,,,,,,,,,,,,,,,,,,,,
099150_4..N06R::1404532800.0,41,2,20,-4,37,13,24,23,12,11,21,15,-3,6,13,46,9,-3,-4,11,-52,-5,23,6,17,18,-5,10,,,,,,,,,,,,,,,,,,,,,,,,,,
099850_4..N06R::1404532800.0,51,16,11,-55,15,24,-2,25,10,11,32,-2,28,1,8,-3,-10,9,2,6,83,0,-6,-16,-5,-11,5,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
100550_4..N06R::1404532800.0,54,6,10,-49,31,21,5,16,16,11,32,17,0,8,18,28,1,22,21,16,136,5,-1,13,4,14,-3,10,,,,,,,,,,,,,,,,,,,,,,,,,,
101250_4..N06R::1404532800.0,,11,10,-41,46,-16,0,8,21,11,50,-68,18,14,-10,48,,7,19,29,-44,6,4,16,38,13,-3,13,,,,,,,,,,,,,,,,,,,,,,,,,,
