,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
54,1404433451,117450_2..N01R,20140703,120N,1404433438,1404433438,2,1404360000.0,117450_2..N01R::1404360000.0,False,True
57,1404433451,119100_2..N01R,20140703,229N,1404433438,1404433438,2,1404360000.0,119100_2..N01R::1404360000.0,False,True
59,1404433451,119900_2..N01R,20140703,234N,1404433409,1404433409,2,1404360000.0,119900_2..N01R::1404360000.0,False,True
72,1404433451,114550_2..N01R,20140703,215N,1404433444,1404433444,2,1404360000.0,114550_2..N01R::1404360000.0,False,True
253,1404433481,114050_2..N01R,20140703,213N,1404433449,1404433449,2,1404360000.0,114050_2..N01R::1404360000.0,False,True
260,1404433481,116450_2..N01R,20140703,225N,1404433480,1404433480,2,1404360000.0,116450_2..N01R::1404360000.0,False,True
272,1404433481,122350_2..N01R,20140703,247N,0,1404433410,2,1404360000.0,122350_2..N01R::1404360000.0,True,True
455,1404433511,112450_2..N01R,20140703,205N,1404433506,1404433506,2,1404360000.0,112450_2..N01R::1404360000.0,False,True
457,1404433511,113200_2..N01R,20140703,208N,1404433483,1404433483,2,1404360000.0,113200_2..N01R::1404360000.0,False,True
461,1404433511,114950_2..N01R,20140703,216N,1404433495,1404433495,2,1404360000.0,114950_2..N01R::1404360000.0,False,True
464,1404433511,115850_2..N01R,20140703,220N,1404433502,1404433502,2,1404360000.0,115850_2..N01R::1404360000.0,False,True
487,1404433511,121650_2..N01R,20140703,242N,1404433517,1404433517,2,1404360000.0,121650_2..N01R::1404360000.0,False,False
678,1404433541,119900_2..N01R,20140703,233N,1404433521,1404433521,2,1404360000.0,119900_2..N01R::1404360000.0,False,True
864,1404433571,111800_2..N01R,20140703,204N,1404433496,1404433496,2,1404360000.0,111800_2..N01R::1404360000.0,False,True
880,1404433571,119100_2..N01R,20140703,228N,1404433562,1404433562,2,1404360000.0,119100_2..N01R::1404360000.0,False,True
887,1404433571,122350_2..N01R,20140703,246N,1404433576,1404433576,2,1404360000.0,122350_2..N01R::1404360000.0,False,False
1072,1404433601,114050_2..N01R,20140703,212N,1404433599,1404433599,2,1404360000.0,114050_2..N01R::1404360000.0,False,True
1082,1404433601,118250_2..N01R,20140703,132N,1404433596,1404433596,2,1404360000.0,118250_2..N01R::1404360000.0,False,True
1089,1404433601,121350_2..N01R,20140703,239N,1404433581,1404433581,2,1404360000.0,121350_2..N01R::1404360000.0,False,True
1099,1404433601,114550_2..N01R,20140703,214N,1404433577,1404433577,2,1404360000.0,114550_2..N01R::1404360000.0,False,True
1100,1404433601,121650_2..N01R,20140703,241N,1404433605,1404433605,2,1404360000.0,121650_2..N01R::1404360000.0,False,False
1277,1404433631,114950_2..N01R,20140703,215N,1404433616,1404433616,2,1404360000.0,114950_2..N01R::1404360000.0,False,True
1280,1404433631,115850_2..N01R,20140703,219N,1404433615,1404433615,2,1404360000.0,115850_2..N01R::1404360000.0,False,True
1282,1404433631,116450_2..N01R,20140703,224N,1404433608,1404433608,2,1404360000.0,116450_2..N01R::1404360000.0,False,True
1473,1404433661,113200_2..N01R,20140703,207N,1404433629,1404433629,2,1404360000.0,113200_2..N01R::1404360000.0,False,True
1487,1404433661,119100_2..N01R,20140703,137N,1404433662,1404433662,2,1404360000.0,119100_2..N01R::1404360000.0,False,False
1489,1404433661,119900_2..N01R,20140703,232N,1404433639,1404433639,2,1404360000.0,119900_2..N01R::1404360000.0,False,True
1494,1404433661,122350_2..N01R,20140703,245N,1404433662,1404433662,2,1404360000.0,122350_2..N01R::1404360000.0,False,False
1681,1404433691,117450_2..N01R,20140703,227N,1404433686,1404433686,2,1404360000.0,117450_2..N01R::1404360000.0,False,True
1688,1404433691,120550_2..N01R,20140703,236N,1404433485,1404433485,2,1404360000.0,120550_2..N01R::1404360000.0,False,True
1868,1404433721,112450_2..N01R,20140703,204N,1404433690,1404433690,2,1404360000.0,112450_2..N01R::1404360000.0,False,True
1870,1404433721,114050_2..N01R,20140703,211N,1404433706,1404433706,2,1404360000.0,114050_2..N01R::1404360000.0,False,True
1887,1404433721,121350_2..N01R,20140703,238N,1404433713,1404433713,2,1404360000.0,121350_2..N01R::1404360000.0,False,True
2069,1404433751,111800_2..N01R,20140703,201N,1404433683,1404433683,2,1404360000.0,111800_2..N01R::1404360000.0,False,True
2071,1404433751,113200_2..N01R,20140703,206N,1404433729,1404433729,2,1404360000.0,113200_2..N01R::1404360000.0,False,True
2074,1404433751,114950_2..N01R,20140703,214N,1404433744,1404433744,2,1404360000.0,114950_2..N01R::1404360000.0,False,True
2077,1404433751,115850_2..N01R,20140703,218N,1404433726,1404433726,2,1404360000.0,115850_2..N01R::1404360000.0,False,True
2091,1404433751,122350_2..N01R,20140703,244N,1404433746,1404433746,2,1404360000.0,122350_2..N01R::1404360000.0,False,True
2099,1404433751,114550_2..N01R,20140703,213N,1404433721,1404433721,2,1404360000.0,114550_2..N01R::1404360000.0,False,True
2281,1404433781,117450_2..N01R,20140703,226N,1404433765,1404433765,2,1404360000.0,117450_2..N01R::1404360000.0,False,True
2282,1404433781,118250_2..N01R,20140703,128N,1404433744,1404433744,2,1404360000.0,118250_2..N01R::1404360000.0,False,True
2286,1404433781,119900_2..N01R,20140703,231N,1404433770,1404433770,2,1404360000.0,119900_2..N01R::1404360000.0,False,True
2288,1404433781,120550_2..N01R,20140703,235N,1404433780,1404433780,2,1404360000.0,120550_2..N01R::1404360000.0,False,True
2300,1404433781,121650_2..N01R,20140703,239N,1404433745,1404433745,2,1404360000.0,121650_2..N01R::1404360000.0,False,True
2469,1404433811,114050_2..N01R,20140703,210N,1404433820,1404433820,2,1404360000.0,114050_2..N01R::1404360000.0,False,False
2488,1404433811,122350_2..N01R,20140703,243N,1404433825,1404433825,2,1404360000.0,122350_2..N01R::1404360000.0,False,False
