,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
036300_5..N01R::1404705600.0,,1404728141,1404727961,1404727601,,,,,,,,,1404727871,,,,1404727391,,,,,1404727721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037850_5..N71R::1404705600.0,,1404733211,1404733031,1404732671,1404731861,1404731411,1404730001,1404729431,1404729341,1404728561,1404728351,,1404732911,1404732311,1404730361,1404728651,1404732461,1404731921,1404730121,,1404728741,1404732761,1404731981,1404731561,1404730601,1404729581,1404728831,1404732101,1404728921,,1404731651,1404732221,,1404731771,1404729041,1404728471,1404730751,,1404729851,,1404730931,1404731231,,,,1404729941,,,,,,,,,,,,,,,,,,,,,,,,
038300_5..N01R::1404705600.0,,1404729491,1404729311,1404728981,,,,,,,,,1404729191,,,,1404728741,,,,,1404729071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034600_5..N01R::1404705600.0,,1404727391,1404726851,,,,,,,,,,1404726731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039050_5..N71R::1404705600.0,,1404733751,1404733541,1404733241,1404732431,1404731951,1404730571,1404730031,1404729971,1404729191,1404728981,,1404733421,1404732881,1404730961,1404729311,1404733031,1404732491,1404730691,,1404729371,1404733331,1404732551,1404732131,1404731171,1404730181,1404729461,1404732671,1404729551,,1404732221,1404732761,,1404732341,1404729701,1404729131,1404731321,,1404730421,,1404731501,1404731771,,,,1404730511,,,,,,,,,,,,,,,,,,,,,,,,
040050_5..N71R::1404705600.0,,1404734231,1404734051,1404733751,1404733001,1404732551,1404731171,1404730661,1404730601,1404729851,1404729641,,1404733931,1404733421,1404731561,1404729971,1404733541,1404733061,1404731291,,1404730031,1404733811,1404733121,1404732701,1404731771,1404730811,1404730121,1404733211,1404730211,,1404732791,1404733331,,1404732911,1404730361,1404729791,1404731921,,1404731051,,1404732131,1404732401,,,,1404731111,,,,,,,,,,,,,,,,,,,,,,,,
040300_5..N01R::1404705600.0,,1404730511,1404730331,1404729971,,,,,,,,,1404730211,,,,1404729761,,,,,1404730061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040900_5..N71R::1404705600.0,,1404735881,1404735671,1404735281,1404734351,1404733841,1404732161,1404731501,1404731411,1404730481,1404730211,,1404735551,1404734861,1404732611,1404730571,1404735041,1404734441,1404732311,,1404730661,1404735401,1404734531,1404734021,1404732911,1404731651,1404730751,1404734621,1404730931,,1404734141,1404734741,,1404734261,1404731111,1404730391,1404733091,,1404731951,,1404733331,1404733631,,,,1404732041,,,,,,,,,,,,,,,,,,,,,,,,
042050_5..N71R::1404705600.0,,1404736181,1404736001,1404735641,1404734771,1404734291,1404732581,1404731981,1404731891,1404731021,1404730811,,1404735851,1404735281,1404733061,1404731141,1404735431,1404734861,1404732701,,1404731231,1404735731,1404734921,1404734471,1404733331,1404732161,1404731321,1404735041,1404731411,,1404734561,1404735161,,1404734651,1404731561,1404730931,1404733511,,1404732431,,1404733721,1404734111,,,,1404732491,,,,,,,,,,,,,,,,,,,,,,,,
042950_5..N71R::1404705600.0,,1404736721,1404736451,1404736121,1404735251,1404734741,1404733061,1404732491,1404732401,1404731591,1404731381,,1404736301,1404735731,1404733481,1404731651,1404735881,1404735311,1404733181,,1404731771,1404736211,1404735401,1404734921,1404733721,1404732641,1404731861,1404735491,1404731951,,1404735041,1404735611,,1404735161,1404732101,1404731501,1404733901,,1404732881,,1404734081,1404734531,,,,1404732971,,,,,,,,,,,,,,,,,,,,,,,,
043850_5..N71R::1404705600.0,,1404737051,1404736841,1404736511,1404735641,1404735101,1404733631,1404733031,1404732941,1404732161,1404731951,,1404736721,1404736151,1404734021,1404732251,1404736301,1404735701,1404733751,,1404732341,1404736601,1404735791,1404735281,1404734291,1404733181,1404732431,1404735911,1404732521,,1404735401,1404736031,,1404735521,1404732671,1404732071,1404734441,,1404733421,,1404734651,1404734921,,,,1404733541,,,,,,,,,,,,,,,,,,,,,,,,
044450_5..N71R::1404705600.0,,1404737441,1404737141,1404736811,1404735821,1404735371,1404733901,1404733361,1404733241,1404732491,1404732311,,1404737021,1404736391,1404734321,1404732581,1404736571,1404735941,1404733991,,1404732671,1404736901,1404736001,1404735521,1404734561,1404733511,1404732731,1404736121,1404732821,,1404735611,1404736241,,1404735731,1404732971,1404732401,1404734741,,1404733751,,1404734921,1404735191,,,,1404733811,,,,,,,,,,,,,,,,,,,,,,,,
045050_5..N71R::1404705600.0,,1404737861,1404737681,1404737291,1404736421,1404735911,1404734411,1404733841,1404733751,1404732821,1404732611,,1404737531,1404736901,1404734801,1404732941,1404737051,1404736511,1404734531,,1404733031,1404737411,1404736571,1404736121,1404735041,1404733991,1404733121,1404736661,1404733271,,1404736241,1404736781,,1404736301,1404733421,1404732761,1404735221,,1404734261,,1404735401,1404735731,,,,1404734321,,,,,,,,,,,,,,,,,,,,,,,,
045600_5..N71R::1404705600.0,,1404738011,1404737861,1404737471,1404736571,1404736061,1404734591,1404734051,1404733991,1404733151,1404732941,,1404737741,1404737021,1404734981,1404733241,1404737171,1404736631,1404734711,,1404733331,1404737591,1404736721,1404736241,1404735221,1404734201,1404733391,1404736811,1404733541,,1404736361,1404736901,,1404736451,1404733721,1404733091,1404735491,,1404734441,,1404735671,1404735941,,,,1404734531,,,,,,,,,,,,,,,,,,,,,,,,
046400_5..N71R::1404705600.0,,1404738611,1404738341,1404738011,1404737141,1404736691,1404735221,1404734621,1404734411,1404733631,1404733421,,1404738221,1404737621,1404735611,1404733721,1404737771,1404737231,1404735341,,1404733811,1404738071,1404737291,1404736841,1404735881,1404734771,1404733901,1404737381,1404733991,,1404736961,1404737501,,1404737081,1404734141,1404733541,1404736031,,1404735041,,1404736241,1404736511,,,,1404735131,,,,,,,,,,,,,,,,,,,,,,,,
046950_5..N24R::1404705600.0,,,,,1404737681,1404737081,1404735641,1404735041,1404734831,1404733991,1404733751,,,1404738191,1404736031,1404734111,1404738341,1404737771,1404735761,,1404734201,,1404737861,1404737351,1404736271,1404735191,1404734261,1404737951,1404734381,,1404737471,1404738071,,1404737591,1404734531,1404733931,1404736421,,1404735461,,1404736631,1404736901,,,,1404735551,,,,,,,,,,,,,,,,,,,,,,,,
047450_5..N14R::1404705600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404734831,,,,,,,,,
047500_5..N71R::1404705600.0,,1404739151,1404738971,1404738641,1404737801,1404737321,1404735881,1404735311,1404735251,1404734381,1404734171,,1404738851,1404738311,1404736271,1404734471,1404738431,1404737891,1404736001,,1404734561,1404738731,1404737951,1404737471,1404736511,1404735461,1404734621,1404738071,1404734831,,1404737591,1404738191,,1404737711,1404734921,1404734291,1404736661,,1404735731,,1404736841,1404737141,,,,1404735791,,,,,,,,,,,,,,,,,,,,,,,,
048250_5..N71R::1404705600.0,,1404739961,1404739601,1404739301,1404738401,1404737891,1404736391,1404735791,1404735701,1404734801,1404734591,,1404739511,1404738911,1404736811,1404734891,1404739061,1404738491,1404736511,,1404734981,1404739361,1404738581,1404738071,1404737051,1404735941,1404735071,1404738671,1404735191,,1404738191,1404738791,,1404738311,1404735371,1404734711,1404737201,,1404736211,,1404737381,1404737711,,,,1404736301,,,,,,,,,,,,,,,,,,,,,,,,
048750_5..N71R::1404705600.0,,1404740471,1404740261,1404739901,1404739031,1404738551,1404736931,1404736271,1404736151,1404735311,1404735101,,1404740141,1404739541,1404737351,1404735401,1404739691,1404739121,1404737081,,1404735521,1404739991,1404739181,1404738731,1404737591,1404736421,1404735581,1404739301,1404735701,,1404738851,1404739421,,1404738941,1404735851,1404735221,1404737861,,1404736751,,1404738041,1404738401,,,,1404736811,,,,,,,,,,,,,,,,,,,,,,,,
049600_5..N64R::1404705600.0,,,,,,,,,,,1404735701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050050_5..N71R::1404705600.0,,1404741041,1404740891,1404740561,1404739691,1404739181,1404737561,1404736871,1404736751,1404735911,1404735701,,1404740771,1404740231,1404737891,1404736001,1404740381,1404739751,1404737651,,1404736061,1404740651,1404739871,1404739361,1404738161,1404737081,1404736181,1404739991,1404736271,,1404739511,1404740111,,1404739601,1404736421,1404735821,1404738341,,1404737351,,1404738551,1404739061,,,,1404737441,,,,,,,,,,,,,,,,,,,,,,,,
050550_5..N71R::1404705600.0,,1404741341,1404741131,1404740801,1404739961,1404739511,1404737831,1404737261,1404737051,1404736211,1404736001,,1404740981,1404740441,1404738221,1404736301,1404740591,1404740021,1404737981,,1404736391,1404740891,1404740111,1404739661,1404738491,1404737411,1404736451,1404740201,1404736571,,1404739751,1404740321,,1404739871,1404736691,1404736121,1404738671,,1404737681,,1404738851,1404739331,,,,1404737741,,,,,,,,,,,,,,,,,,,,,,,,
051650_5..N66R::1404705600.0,,1404742271,1404741731,1404741341,1404740531,1404740021,1404738551,1404737891,1404737711,1404736811,1404736601,,1404741581,1404740981,1404738911,1404736901,1404741161,1404740591,1404738641,,1404736991,1404741461,1404740681,1404740201,1404739151,1404738071,1404737081,1404740771,1404737231,,1404740291,1404740891,,1404740411,1404737411,1404736721,1404739331,,1404738371,,1404739541,1404739871,,,,1404738431,,,,,,,,,,,,,,,,,,,,,,,,
051900_5..N73R::1404705600.0,,1404740261,1404740081,1404739751,1404738881,1404738431,1404736691,,,,,,1404739961,1404739361,1404737171,,1404739541,1404738971,1404736901,,,1404739841,1404739031,1404738581,1404737441,,,1404739151,,,1404738701,1404739241,,1404738821,,,1404737741,,1404736511,,1404737951,1404738221,,,,1404736601,,,,,,,,,,,,,,,,,,,,,,,,
052200_5..N65R::1404705600.0,,,,,,,,,,,,1404737381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052350_5..N66R::1404705600.0,,1404742691,1404742361,,1404741161,1404740561,1404739031,1404738311,1404738191,1404737111,1404736931,,1404742241,1404741641,1404739421,1404737291,,1404741221,1404739151,,1404737381,1404742091,1404741311,1404740801,1404739691,1404738521,1404737471,1404741401,1404737681,,1404740891,1404741491,,1404741071,1404737831,1404737021,1404739841,,1404738881,,1404740051,1404740411,,,,1404738941,,,,,,,,,,,,,,,,,,,,,,,,
052950_5..N66R::1404705600.0,,1404742991,1404742571,1404742241,1404741431,1404740891,1404739301,1404738641,1404738461,1404737651,1404737411,,1404742451,1404741881,1404739721,1404737741,1404742031,1404741491,1404739451,,1404737831,1404742331,1404741581,1404741131,1404739961,1404738851,1404737891,1404741671,1404738011,,1404741221,1404741761,,1404741341,1404738191,1404737561,1404740111,,1404739151,,1404740321,1404740711,,,,1404739241,,,,,,,,,,,,,,,,,,,,,,,,
053400_5..N66R::1404705600.0,,1404743531,1404743081,1404742571,1404741731,1404741161,1404739571,1404738971,1404738821,1404737981,1404737771,,1404742751,1404742211,1404740021,1404738071,1404742391,1404741791,1404739691,,1404738161,1404742661,1404741881,1404741401,1404740261,1404739151,1404738221,1404742001,1404738431,,1404741491,1404742091,,1404741641,1404738581,1404737891,1404740441,,1404739421,,1404740621,1404740981,,,,1404739451,,,,,,,,,,,,,,,,,,,,,,,,
054250_5..N66R::1404705600.0,,1404743771,1404743591,1404743261,1404742391,1404741731,1404740171,1404739361,1404739211,1404738371,1404738161,,1404743471,1404742871,1404740561,1404738461,1404743051,1404742451,1404740291,,1404738551,1404743351,1404742541,1404742031,1404740861,1404739571,1404738641,1404742631,1404738791,,1404742151,1404742751,,1404742301,1404738941,1404738311,1404741041,,1404739991,,1404741251,1404741581,,,,1404740051,,,,,,,,,,,,,,,,,,,,,,,,
054850_5..N66R::1404705600.0,,1404744221,1404743861,1404743501,1404742631,1404742001,1404740411,1404739721,1404739601,1404738761,1404738551,,1404743711,1404743141,1404740861,1404738851,1404743321,1404742721,1404740531,,1404738941,1404743591,1404742811,1404742301,1404741131,1404739931,1404739001,1404742901,1404739151,,1404742421,1404742991,,1404742541,1404739301,1404738671,1404741311,,1404740201,,1404741491,1404741821,,,,1404740321,,,,,,,,,,,,,,,,,,,,,,,,
054900_5..N67R::1404705600.0,,,,,,1404740411,1404738941,,,,,,,,1404739301,,,,1404739031,,,,,1404740711,1404739571,,,,,,1404740831,,,,,,1404739721,,1404738761,,1404739931,1404740291,,,,1404738851,,,,,,,,,,,,,,,,,,,,,,,,
052700_5..N65R::1404705600.0,,,,,,1404740231,1404738671,1404738071,1404737891,,,1404737321,,,1404739061,,,,1404738791,,,,,1404740471,1404739331,1404738251,,,,,1404740621,,,,1404737531,,1404739451,,1404738521,,1404739661,1404740021,,,,1404738581,,,,,,,,,,,,,,,,,,,,,,,,
056050_5..N66R::1404705600.0,,1404744881,1404744281,1404743951,1404743141,1404742541,1404741041,1404740381,1404740201,1404739421,1404739211,,1404744161,1404743651,1404741461,1404739511,1404743801,1404743231,1404741221,,1404739571,1404744041,1404743321,1404742811,1404741731,1404740621,1404739661,1404743411,1404739841,,1404742931,1404743501,,1404743051,1404739961,1404739331,1404741911,,1404740891,,1404742151,1404742391,,,,1404740951,,,,,,,,,,,,,,,,,,,,,,,,
056600_5..N69R::1404705600.0,,,,,,1404741641,1404739991,,,,,,,,1404740411,,1404742511,,1404740171,,,,,1404741821,1404740711,,,,,,1404741911,,,,,,1404740891,,1404739841,,1404741101,1404741431,,,,1404739901,,,,,,1404742691,1404742751,1404742901,1404742931,1404743081,1404743141,1404743261,1404743351,1404743441,,,,,,,,,,1404743801
056350_5..N65R::1404705600.0,,,,,,1404742301,1404740651,1404740051,1404739931,,,1404739421,,,1404741101,,1404743561,,1404740771,,,,,1404742511,1404741491,1404740231,,,,,1404742661,,,,1404739601,,1404741641,,1404740501,,1404741821,1404742121,,,,1404740561,,,,,,,,,,,,,,,,,,,,,,,,
057050_5..N66R::1404705600.0,,1404745211,1404745031,1404744671,1404743801,1404743321,1404741821,1404741251,1404741161,1404740231,1404740081,,1404744881,1404744311,1404742181,1404740321,1404744461,1404743891,1404741941,,1404740381,1404744761,1404743951,1404743501,1404742421,1404741401,1404740471,1404744071,1404740591,,1404743621,1404744161,,1404743711,1404740771,1404740171,1404742601,,1404741671,,1404742751,1404743111,,,,1404741731,,,,,,,,,,,,,,,,,,,,,,,,
057750_5..N66R::1404705600.0,,1404745721,1404745541,1404745181,1404744311,1404743801,1404742331,1404741701,1404741581,1404740741,1404740531,,1404745391,1404744791,1404742691,1404740861,1404744971,1404744371,1404742451,,1404740951,1404745271,1404744461,1404743981,1404742931,1404741881,1404741041,1404744551,1404741131,,1404744101,1404744671,,1404744221,1404741311,1404740681,1404743111,,1404742151,,1404743291,1404743621,,,,1404742241,,,,,,,,,,,,,,,,,,,,,,,,
056750_5..N65R::1404705600.0,,,,,,1404742871,1404741341,1404740501,1404740381,,,1404739751,,,1404741701,,1404744191,,1404741461,,,,,1404743141,1404741971,1404740741,,,,,1404743291,,,,1404740081,,1404742151,,1404741131,,1404742361,1404742691,,,,1404741191,,,,,,,,,,,,,,,,,,,,,,,,
058950_5..N69R::1404705600.0,,,,,,1404742721,1404741161,,,,,,,,1404741551,,1404744101,,1404741311,,,,,1404743021,1404741851,,,,,,1404743141,,,,,,1404742031,,1404740981,,1404742241,1404742571,,,,1404741101,,,,,,1404744251,1404744341,1404744461,1404744581,1404744671,1404744761,1404744851,1404744971,1404745211,,,,,,,,,,1404745631
058850_5..N66R::1404705600.0,,1404746291,1404746111,1404745751,1404744881,1404744401,1404742871,1404742241,1404742181,1404741251,1404741071,,1404745961,1404745361,1404743261,1404741371,1404745541,1404744941,1404743021,,1404741461,1404745841,1404745031,1404744551,1404743501,1404742421,1404741551,1404745151,1404741671,,1404744671,1404745241,,1404744791,1404741821,1404741221,1404743681,,1404742721,,1404743861,1404744191,,,,1404742751,,,,,,,,,,,,,,,,,,,,,,,,
059300_5..N66R::1404705600.0,,1404746651,1404746471,1404746081,1404745151,1404744611,1404743261,1404742691,1404742631,1404741611,1404741401,,1404746321,1404745691,1404743621,1404741701,1404745871,1404745211,1404743381,,1404741791,1404746171,1404745331,1404744791,1404743861,1404742871,1404741881,1404745421,1404742211,,1404744881,1404745541,,1404745061,1404742361,1404741491,1404744011,,1404743111,,1404744221,1404744461,,,,1404743141,,,,,,,,,,,,,,,,,,,,,,,,
060350_5..N66R::1404705600.0,,1404747311,1404747131,1404746771,1404745871,1404745361,1404743921,1404743321,1404743231,1404742151,1404741941,,1404747011,1404746351,1404744281,1404742241,1404746501,1404745931,1404744041,,1404742331,1404746861,1404746021,1404745541,1404744551,1404743501,1404742421,1404746111,1404742661,,1404745661,1404746231,,1404745781,1404742811,1404742091,1404744731,,1404743771,,1404744881,1404745181,,,,1404743861,,,,,,,,,,,,,,,,,,,,,,,,
060950_5..N64R::1404705600.0,,,,,,1404745691,1404744161,1404743561,1404743441,1404742451,1404742211,,,,1404744551,1404742541,1404747011,,1404744281,,1404742631,,,1404745901,1404744791,1404743741,1404742721,,1404742871,,1404746051,,,,1404743021,1404742361,1404744971,,1404744011,,1404745151,1404745511,,,,1404744071,,,,,,,,,,,,,,,,,,,,,,,,
061500_5..N66R::1404705600.0,,1404748151,1404747971,1404747611,1404746501,1404745931,1404744311,1404743681,1404743591,1404742811,1404742601,,1404747821,1404747071,1404744701,1404742901,1404747281,1404746621,1404744431,,1404742991,1404747701,1404746711,1404746141,1404744941,1404743891,1404743081,1404746831,1404743141,,1404746261,1404746951,,1404746411,1404743321,1404742721,1404745061,,1404744131,,1404745271,1404745751,,,,1404744221,,,,,,,,,,,,,,,,,,,,,,,,
052700_5..N::1404705600.0,,,,,,,,,,,,,,,,,1404741251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054900_5..N::1404705600.0,,,,,,,,,,,,,,,,,1404741731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062000_5..N66R::1404705600.0,,1404748421,1404748271,1404747911,1404746801,1404746321,1404744611,1404743981,1404743921,1404743051,1404742841,,1404748121,1404747341,1404744971,1404743201,1404747551,1404746861,1404744731,,1404743321,1404748001,1404746951,1404746501,1404745241,1404744161,1404743411,1404747011,1404743531,,1404746591,1404747191,,1404746711,1404743651,1404742931,1404745391,,1404744431,,1404745571,1404746141,,,,1404744521,,,,,,,,,,,,,,,,,,,,,,,,
062800_5..N66R::1404705600.0,,1404749261,1404749081,1404748751,1404747581,1404746891,1404745001,1404744431,1404744371,1404743591,1404743411,,1404748961,1404748151,1404745391,1404743681,1404748391,1404747671,1404745121,,1404743771,1404748841,1404747731,1404747191,1404745721,1404744551,1404743831,1404747851,1404743951,,1404747341,1404747971,,1404747491,1404744101,1404743531,1404745871,,1404744791,,1404746081,1404746711,,,,1404744881,,,,,,,,,,,,,,,,,,,,,,,,
063400_5..N66R::1404705600.0,,1404749501,1404749321,1404748991,1404747971,1404747461,1404745691,1404745061,1404744941,1404744071,1404743861,,1404749201,1404748481,1404746111,1404744161,1404748631,1404748061,1404745841,,1404744251,1404749081,1404748121,1404747641,1404746351,1404745241,1404744311,1404748241,1404744431,,1404747761,1404748361,,1404747881,1404744611,1404743981,1404746531,,1404745541,,1404746741,1404747281,,,,1404745601,,,,,,,,,,,,,,,,,,,,,,,,
064250_5..N66R::1404705600.0,,1404749921,1404749711,1404749351,1404748211,1404747731,1404745961,1404745391,1404745301,1404744521,1404744311,,1404749561,1404748751,1404746351,1404744611,1404748961,1404748301,1404746051,,1404744701,1404749441,1404748361,1404747911,1404746621,1404745541,1404744791,1404748451,1404744881,,1404748001,1404748601,,1404748121,1404745031,1404744461,1404746801,,1404745811,,1404746981,1404747551,,,,1404745871,,,,,,,,,,,,,,,,,,,,,,,,
065100_5..N67R::1404705600.0,,,,,,1404746771,1404744881,,,,,,,,1404745301,,1404748091,,1404745001,,,,,1404746951,1404745571,,,,,,1404747101,,,,,,1404745751,,1404744731,,1404745991,1404746531,,,,1404744791,,,,,,,,,,,,,,,,,,,,,,,,
065350_5..N66R::1404705600.0,,1404750311,1404750131,1404749801,1404748601,1404748151,1404746441,1404745871,1404745781,1404744971,1404744761,,1404750011,1404749081,1404746831,1404745061,1404749441,1404748691,1404746531,,1404745121,1404749891,1404748751,1404748301,1404747071,1404746021,1404745211,1404748841,1404745361,,1404748421,1404748961,,1404748541,1404745511,1404744881,1404747221,,1404746291,,1404747431,1404748001,,,,1404746351,,,,,,,,,,,,,,,,,,,,,,,,
066150_5..N66R::1404705600.0,,1404750941,1404750731,1404750371,1404749231,1404748691,1404747161,1404746501,1404746411,1404745481,1404745241,,1404750581,1404749771,1404747551,1404745571,1404749981,1404749291,1404747281,,1404745661,1404750461,1404749381,1404748901,1404747791,1404746711,1404745751,1404749501,1404745931,,1404748991,1404749621,,1404749141,1404746111,1404745391,1404747971,,1404746981,,1404748181,1404748481,,,,1404747071,,,,,,,,,,,,,,,,,,,,,,,,
066950_5..N66R::1404705600.0,,1404751331,1404751121,1404750731,1404749741,1404749111,1404747611,1404746951,1404746891,1404746051,1404745841,,1404750971,1404750251,1404748031,1404746141,1404750431,1404749801,1404747761,,1404746231,1404750881,1404749891,1404749381,1404748271,1404747131,1404746321,1404750011,1404746441,,1404749531,1404750131,,1404749651,1404746591,1404745961,1404748451,,1404747431,,1404748631,1404748931,,,,1404747521,,,,,,,,,,,,,,,,,,,,,,,,
067750_5..N66R::1404705600.0,,1404751901,1404751661,1404751301,1404750371,1404749861,1404748361,1404747791,1404747701,1404746831,1404746591,,1404751541,1404750851,1404748751,1404746921,1404751031,1404750461,1404748481,,1404747011,1404751391,1404750521,1404750041,1404748991,1404747941,1404747101,1404750611,1404747221,,1404750161,1404750731,,1404750281,1404747401,1404746741,1404749171,,1404748211,,1404749351,1404749681,,,,1404748271,,,,,,,,,,,,,,,,,,,,,,,,
068550_5..N66R::1404705600.0,,1404752261,1404752081,1404751721,1404750821,1404750281,1404748721,1404748151,1404748061,1404747131,1404746921,,1404751961,1404751331,1404749081,1404747221,1404751481,1404750911,1404748841,,1404747311,1404751841,1404750971,1404750521,1404749351,1404748331,1404747401,1404751091,1404747641,,1404750611,1404751211,,1404750731,1404747791,1404747011,1404749531,,1404748571,,1404749711,1404750071,,,,1404748631,,,,,,,,,,,,,,,,,,,,,,,,
069350_5..N66R::1404705600.0,,1404752441,1404752261,1404751901,1404750941,1404750461,1404749081,1404748541,1404748481,1404747581,1404747401,,1404752111,1404751451,1404749441,1404747671,1404751631,1404751031,1404749201,,1404747761,1404751991,1404751091,1404750611,1404749651,1404748691,1404747821,1404751211,1404748061,,1404750731,1404751331,,1404750851,1404748211,1404747491,1404749831,,1404748961,,1404750011,1404750281,,,,1404748991,,,,,,,,,,,,,,,,,,,,,,,,
070150_5..N66R::1404705600.0,,1404752861,1404752651,1404752321,1404751511,1404751061,1404749741,1404749201,1404749111,1404748241,1404748061,,1404752501,1404751961,1404750101,1404748331,1404752111,1404751571,1404749831,,1404748421,1404752411,1404751661,1404751211,1404750341,1404749321,1404748511,1404751751,1404748691,,1404751331,1404751841,,1404751421,1404748841,1404748151,1404750461,,1404749561,,1404750611,1404750911,,,,1404749651,,,,,,,,,,,,,,,,,,,,,,,,
070950_5..N66R::1404705600.0,,1404753491,1404753311,1404752951,1404752051,1404751571,1404750071,1404749501,1404749411,1404748601,1404748361,,1404753191,1404752501,1404750461,1404748691,1404752711,1404752111,1404750191,,1404748781,1404753071,1404752201,1404751751,1404750731,1404749681,1404748841,1404752291,1404748961,,1404751841,1404752411,,1404751961,1404749111,1404748511,1404750941,,1404749921,,1404751121,1404751391,,,,1404750011,,,,,,,,,,,,,,,,,,,,,,,,
071750_5..N66R::1404705600.0,,1404753851,1404753671,1404753311,1404752441,1404751991,1404750521,1404749951,1404749861,1404748961,1404748751,,1404753521,1404752921,1404750911,1404749051,1404753101,1404752501,1404750611,,1404749111,1404753401,1404752591,1404752141,1404751151,1404750101,1404749201,1404752651,1404749441,,1404752261,1404752801,,1404752381,1404749591,1404748841,1404751331,,1404750371,,1404751511,1404751811,,,,1404750461,,,,,,,,,,,,,,,,,,,,,,,,
072550_5..N66R::1404705600.0,,1404754271,1404754031,1404753671,1404752741,1404752291,1404750821,1404750281,1404750161,1404749351,1404749141,,1404753881,1404753221,1404751181,1404749441,1404753431,1404752831,1404750911,,1404749531,1404753761,1404752921,1404752441,1404751451,1404750401,1404749621,1404753011,1404749711,,1404752561,1404753101,,1404752651,1404749861,1404749261,1404751571,,1404750671,,1404751751,1404752141,,,,1404750731,,,,,,,,,,,,,,,,,,,,,,,,
073350_5..N66R::1404705600.0,,1404755171,1404754961,1404754571,1404753641,1404753011,1404751421,1404750791,1404750701,1404749801,1404749561,,1404754841,1404754211,1404751871,1404749921,1404754391,1404753701,1404751571,,1404750011,1404754721,1404753821,1404753311,1404752141,1404750941,1404750101,1404753941,1404750191,,1404753401,1404754061,,1404753521,1404750401,1404749711,1404752291,,1404751271,,1404752501,1404752801,,,,1404751331,,,,,,,,,,,,,,,,,,,,,,,,
074150_5..N66R::1404705600.0,,1404755321,1404755141,1404754781,1404753731,1404753281,1404751811,1404751211,1404751121,1404750251,1404750041,,1404755021,1404754301,1404752171,1404750371,1404754511,1404753851,1404751931,,1404750461,1404754871,1404753911,1404753431,1404752411,1404751361,1404750521,1404754031,1404750701,,1404753521,1404754151,,1404753671,1404750851,1404750161,1404752561,,1404751631,,1404752741,1404753101,,,,1404751691,,,,,,,,,,,,,,,,,,,,,,,,
074950_5..N66R::1404705600.0,,1404755771,1404755321,1404754931,1404754001,1404753551,1404752201,1404751631,1404751541,1404750731,1404750521,,1404755171,1404754541,1404752561,1404750791,1404754721,1404754061,1404752321,,1404750881,1404755021,1404754151,1404753731,1404752801,1404751781,1404750971,1404754271,1404751151,,1404753821,1404754421,,1404753911,1404751301,1404750611,1404752951,,1404752051,,1404753101,1404753401,,,,1404752111,,,,,,,,,,,,,,,,,,,,,,,,
075750_5..N66R::1404705600.0,,1404756341,1404756131,1404755771,1404754871,1404754361,1404752831,1404752231,1404752111,1404751271,1404751031,,1404755981,1404755411,1404753221,1404751361,1404755561,1404754961,1404752951,,1404751451,1404755861,1404755051,1404754541,1404753491,1404752381,1404751541,1404755171,1404751631,,1404754631,1404755291,,1404754781,1404751781,1404751151,1404753671,,1404752651,,1404753881,1404754181,,,,1404752741,,,,,,,,,,,,,,,,,,,,,,,,
076550_5..N66R::1404705600.0,,,,,,,,,,,1404751871,,,,,,,,,,,,,,,,,,,,,,,,,1404751961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077350_5..N66R::1404705600.0,,1404757151,1404756941,1404756581,1404755741,1404755261,1404753791,1404753221,1404753191,1404752411,1404752231,,1404756791,1404756191,1404754151,1404752501,1404756371,1404755801,1404753881,,1404752591,1404756671,1404755891,1404755441,1404754391,1404753371,1404752651,1404755981,1404752801,,1404755531,1404756071,,1404755651,1404752951,1404752321,1404754571,,1404753641,,1404754751,1404755081,,,,1404753701,,,,,,,,,,,,,,,,,,,,,,,,
