,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
001500_4..S13R::1404532800.0,,,,,,,,,,,-919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000400_4..S01X003::1404619200.0,24,-488,20,0,24,12,30,15,-5,-25,-19,149,-2,-12,7,-28,3,-75,-1,18,41,6,-20,-77,12,-35,9,56,0,-2,0,-5,-3,9,-4,4,12,52,-64,11,20,-6,12,-11,-16,-10,4,,,,,,,
001500_4..S13R::1404619200.0,-10,-451,27,45,-8,-2,27,11,6,-6,-919,29,12,25,27,-10,-3,-2,9,7,26,6,16,34,21,0,9,3,3,-7,19,14,10,-3,8,10,10,64,12,57,23,3,13,10,-5,-3,22,-1,13,0,22,-1,10,-6
135450_4..S01X003::1404619200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,17,5,,,,,,,,,,,,,,
136650_4..S01X003::1404619200.0,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-27,-22,-6,46,6,,,,,,,,,,,,,,,
137850_4..S01X003::1404619200.0,,-3,18,,,,,,,,,,,-20,,,,,,,,,,-14,,,,46,4,1,2,7,3,0,4,8,12,47,17,3,,,,,,,,,,,,,,
139050_4..S01X003::1404619200.0,0,-195,23,,,,,,,,,,,2,,,,,,20,,,,4,13,,,20,-18,-1,-3,25,-9,-2,16,-8,1,58,5,-4,,,,,,,,,,,,,,
140250_4..S01X003::1404619200.0,12,-61,18,14,-20,,,,,,,33,,1,,,,,,18,39,,,10,7,,,47,3,2,-1,2,0,14,-11,-4,-4,50,5,-5,,,,,,,-31,,,,,,,
141450_4..S01X003::1404619200.0,17,-431,30,10,53,19,,,,,,-24,,23,,,,,,9,34,,,32,14,,,45,17,10,-9,1,-2,7,13,16,-9,61,-3,12,14,-2,6,4,-14,3,3,,,,,,,
142500_4..S01X003::1404619200.0,9,-572,9,23,34,10,20,,,,,18,,12,-11,,12,,,25,14,-34,,14,8,,,25,15,8,1,17,15,-7,-25,11,13,50,14,-1,20,2,17,-60,-5,-8,2,,,,,,,
003500_4..S13R::1404619200.0,5,-445,4,7,-11,-19,25,-2,-13,6,11,87,-8,-4,14,4,9,6,4,8,1,5,-15,-77,-75,5,-10,38,-6,-10,22,7,6,-4,14,-8,1,35,8,-6,23,0,-14,-6,-14,-11,12,-8,16,-8,0,17,4,-2
005500_4..S13R::1404619200.0,-5,-447,-4,2,52,-72,-6,15,-37,11,11,32,0,-7,1,7,2,-14,1,16,28,3,11,-77,8,0,13,21,6,2,4,0,4,-9,4,13,-8,48,0,-11,-7,8,-6,0,1,7,12,1,-40,-5,-6,10,0,-4
007500_4..S13R::1404619200.0,13,-453,27,20,38,-6,40,7,-34,-23,11,5,-5,13,19,5,1,-20,2,21,5,-1,6,-71,4,-38,4,43,-3,17,-22,14,9,5,18,-7,-4,22,0,18,8,-7,6,8,-2,1,0,-10,12,1,2,6,-8,-5
009500_4..S13R::1404619200.0,-2,-443,13,20,29,3,6,-16,-9,-87,11,2,-19,-4,10,-18,-8,11,19,10,140,89,-7,-66,6,-18,0,21,-20,-19,-13,2,4,-69,4,-13,-33,40,11,3,-9,10,-6,4,-20,-11,2,1,-5,19,4,-11,-18,9
011500_4..S13R::1404619200.0,-2,,,31,41,-7,27,-4,9,-1,41,-36,-15,12,9,-7,-2,1,-10,-6,28,171,475,562,13,-9,1,1,,,,,,,,,,,,,17,-3,13,-14,-5,-33,-4,35,-6,5,-27,15,2,21
013500_4..S13R::1404619200.0,-3,-478,28,7,21,16,41,8,-15,15,11,2,-7,15,0,2,14,5,-10,11,8,33,1,-1,-3,-11,3,20,-14,15,15,7,5,-8,6,-17,-10,53,-35,19,-18,-2,-16,-8,-9,-2,1,-15,-18,-1,12,-8,12,4
015500_4..S13R::1404619200.0,5,-433,28,5,28,12,17,-2,8,-12,251,-2,-22,30,-10,-40,-1,-37,-10,14,17,-4,-1,-84,7,-14,-3,34,1,-1,3,23,-9,-2,-14,-5,0,21,7,56,14,3,16,-10,-16,-10,2,-7,-10,-13,-1,15,5,2
017500_4..S13R::1404619200.0,-4,-315,18,15,30,21,10,1,-11,-31,71,17,7,5,5,-1,13,13,16,-28,11,25,15,-65,15,-4,3,13,-10,-16,2,3,2,13,12,11,9,63,7,16,21,-6,8,8,-10,19,4,22,14,30,18,-7,8,26
019500_4..S13R::1404619200.0,-1,-197,14,14,22,14,38,-1,16,-8,-19,15,-3,18,16,-2,24,11,7,29,6,565,13,-55,4,-6,1,20,12,16,13,0,-1,6,-6,21,9,47,7,11,28,6,12,41,-15,13,-16,-22,-40,6,8,-22,16,3
021500_4..S13R::1404619200.0,11,-99,13,25,19,10,26,18,-10,-11,-19,7,0,-2,-27,6,-22,11,4,-1,50,17,-15,-70,-6,-26,15,26,-9,16,16,-11,-6,5,12,-2,21,44,18,29,-3,3,9,-13,6,-20,-24,-10,-50,8,-8,4,-3,-8
023500_4..S13R::1404619200.0,17,3,20,42,11,-4,53,5,5,4,11,11,-14,4,24,17,11,5,20,-3,25,0,-6,-78,10,7,-14,28,-11,15,9,4,2,-23,-36,-4,-35,67,3,17,21,11,-4,1,1,8,16,-8,-12,9,18,1,-10,14
011500_4..S::1404619200.0,,-431,32,,,,,,,,,,,,,,,,,,,,,,,,,1751,,,,-5,-1,-9,1,6,2,48,4,17,,,,,,,,,,,,,,
025500_4..S13R::1404619200.0,-8,8,-1,25,25,-5,5,20,5,-45,11,-2,-25,-118,4,18,2,12,1,-3,26,8,-1,-84,14,16,-7,-13,14,0,20,22,19,1,14,17,17,33,16,0,14,-4,5,5,-4,-4,-4,-6,12,0,-9,-35,14,-36
027500_4..S13R::1404619200.0,10,11,64,-4,-20,-4,13,2,-6,8,-19,71,-1,10,12,-4,-2,13,16,8,-9,25,-6,-91,-2,12,-7,20,-10,14,13,11,14,1,-12,-2,8,39,-15,5,6,-9,4,5,3,-23,10,-63,-10,14,-7,-24,-2,-8
029500_4..S13R::1404619200.0,-7,0,-1,-3,12,-69,6,-8,14,-9,-19,73,9,-10,-19,-3,-10,3,-2,13,23,-87,11,-76,8,1,73,13,14,8,9,3,5,-21,-5,-31,9,13,13,0,6,-71,1,8,2,5,9,-11,-12,16,-12,5,-3,-8
031500_4..S13R::1404619200.0,-8,0,17,14,91,5,16,5,-5,8,11,16,-2,16,21,-19,-4,-77,-24,-4,26,-5,7,-70,11,-8,1,5,2,-4,-6,12,-16,11,-9,-7,3,58,10,1,6,-8,8,11,10,12,14,13,9,3,-6,4,-7,14
033500_4..S13R::1404619200.0,-5,-4,314,18,-19,-11,6,10,4,-10,41,-11,-9,-6,7,-6,-11,-11,2,-19,15,-7,-12,-39,4,-20,-1,-5,10,9,-14,-9,-4,7,1,-17,-1,49,10,6,13,-1,-11,-7,-1,6,-5,-19,12,4,-6,-19,8,7
035350_4..S01R::1404619200.0,14,0,17,-1,35,14,-2,20,7,8,11,9,1,15,64,-4,15,-5,-8,11,3,-17,1,8,2,-7,9,27,-6,-9,-9,16,13,11,-5,-4,-3,59,-2,-12,,,,,,,,,,,,,,
036350_4..S01R::1404619200.0,16,10,17,10,10,11,32,22,22,-11,101,14,8,19,24,26,-4,19,2,3,25,14,6,-46,17,19,-4,21,10,27,8,-1,-7,-31,1,-30,1,44,2,17,,,,,,,,,,,,,,
037850_4..S01R::1404619200.0,25,12,12,7,30,18,18,-2,17,18,11,2,-28,18,22,-1,1,9,17,13,12,18,-6,34,2,10,-9,15,9,3,1,17,15,6,12,-12,-7,54,0,-74,,,,,,,,,,,,,,
039350_4..S01R::1404619200.0,-6,0,-7,21,9,14,15,13,-12,1,-19,-1,19,0,91,10,6,6,14,9,58,-3,-4,2,4,-11,4,27,4,0,-2,-38,-2,9,-29,5,-13,47,-2,442,,,,,,,,,,,,,,
040850_4..S01R::1404619200.0,-5,17,4,-26,12,18,35,18,7,7,11,-4,0,-4,73,-2,1,-8,0,13,16,31,10,19,-20,-2,15,10,8,6,7,-3,1,5,21,-4,7,39,12,91,,,,,,,,,,,,,,
042350_4..S01R::1404619200.0,7,11,20,15,14,-16,29,6,3,3,11,4,14,12,-7,-40,-25,-3,11,24,-11,22,19,28,7,-4,5,38,-1,21,16,26,-7,5,-17,15,13,43,6,22,,,,,,,,,,,,,,
043850_4..S01R::1404619200.0,19,7,32,0,37,-1,-6,14,7,-12,-19,18,4,1,16,16,7,-25,19,2,35,19,-8,29,16,5,13,3,23,11,-7,-27,24,9,12,-19,15,64,-15,61,,,,,,,,,,,,,,
045150_4..S06R::1404619200.0,0,7,17,31,33,12,24,7,4,-7,-19,9,-26,33,-5,-10,2,-6,5,12,17,17,14,19,-2,1,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,
046300_4..S06R::1404619200.0,8,-8,20,-16,11,18,51,25,5,4,-19,21,1,24,11,14,-8,-3,1,6,48,7,7,34,-4,-7,-2,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
047500_4..S06R::1404619200.0,9,6,-1,21,28,23,16,-7,14,11,11,-13,-9,-9,11,-3,-10,9,15,11,2,41,-8,13,-1,8,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,
048700_4..S06R::1404619200.0,18,-6,16,30,20,14,51,-34,8,-7,11,21,10,3,20,14,11,1,2,37,27,31,10,24,9,-5,6,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
049900_4..S06R::1404619200.0,13,-41,28,30,38,18,36,3,-22,11,-19,8,19,-4,3,-6,-2,5,-21,24,19,21,15,29,7,-36,10,-23,,,,,,,,,,,,,,,,,,,,,,,,,,
051100_4..S06R::1404619200.0,-44,6,15,-68,52,18,48,-4,-34,12,11,10,-20,-12,20,7,-3,13,6,8,9,28,-15,13,0,3,-12,-68,,,,,,,,,,,,,,,,,,,,,,,,,,
052300_4..S06R::1404619200.0,3,-50,3,22,48,20,81,22,9,8,11,-4,35,-5,10,-7,3,3,-7,14,16,24,-2,10,,10,-6,120,,,,,,,,,,,,,,,,,,,,,,,,,,
053500_4..S06R::1404619200.0,6,-63,18,23,17,11,17,-9,-6,5,101,1,15,0,9,7,13,17,6,6,70,12,-16,35,-7,2,-14,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
054700_4..S06R::1404619200.0,41,-76,19,10,64,25,-4,15,20,0,41,10,28,17,22,18,5,20,1,10,34,27,-3,15,19,8,-15,2,,,,,,,,,,,,,,,,,,,,,,,,,,
055800_4..S06R::1404619200.0,6,-4,-4,20,38,-2,29,0,-13,-8,11,1,-5,9,21,-1,-9,11,-43,12,18,13,2,11,-1,,2,-27,,,,,,,,,,,,,,,,,,,,,,,,,,
057000_4..S06R::1404619200.0,25,12,14,11,45,29,17,-4,25,16,-19,28,-16,12,9,0,0,14,-2,5,37,44,-1,28,20,19,-8,22,,,,,,,,,,,,,,,,,,,,,,,,,,
058050_4..S06R::1404619200.0,41,7,12,12,12,35,35,1,16,-7,-19,-14,-8,12,22,-7,-12,6,12,15,30,-13,7,23,-26,20,-3,16,,,,,,,,,,,,,,,,,,,,,,,,,,
058700_4..S06R::1404619200.0,37,8,6,104,111,16,10,13,8,-12,11,-10,15,18,25,21,11,2,6,9,13,33,15,4,-3,2,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
059400_4..S06R::1404619200.0,17,-44,7,8,58,-26,-19,17,20,5,11,-19,24,13,-4,0,14,12,-43,19,32,5,2,13,8,18,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,
060100_4..S06R::1404619200.0,23,-6,17,34,76,22,9,34,-38,4,41,-8,25,12,-3,6,12,10,5,2,11,6,16,46,18,1,12,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
060800_4..S06R::1404619200.0,16,6,21,-3,27,21,29,-18,20,11,41,21,25,18,25,1,2,23,3,31,55,25,-28,17,28,10,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,
061500_4..S06R::1404619200.0,30,6,27,26,36,1,7,1,11,-4,11,2,12,43,13,-6,20,-12,-22,41,16,9,12,46,2,-8,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,
062200_4..S06R::1404619200.0,16,8,-5,21,55,4,27,12,8,-60,11,42,34,16,0,-7,-9,5,17,9,16,19,12,28,1,-3,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,
062900_4..S06R::1404619200.0,21,5,8,24,31,5,24,13,0,2,-19,-22,25,3,20,13,16,12,-2,14,46,33,3,19,19,23,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,
063600_4..S06R::1404619200.0,12,7,17,2,34,-17,0,6,-6,-5,-19,-10,5,1,-33,-18,18,23,10,6,26,13,-5,11,12,10,-35,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
064300_4..S06R::1404619200.0,5,5,14,26,33,14,2,8,-7,-8,11,22,12,1,0,-17,3,30,17,15,18,6,-11,15,-6,-18,-32,17,,,,,,,,,,,,,,,,,,,,,,,,,,
065000_4..S06R::1404619200.0,12,3,38,5,42,11,41,24,-36,-23,11,8,34,23,29,5,0,-2,-4,37,54,25,5,30,-23,-12,-1,19,,,,,,,,,,,,,,,,,,,,,,,,,,
065700_4..S06R::1404619200.0,-13,5,-3,2,58,25,18,5,17,8,71,3,25,-2,5,-5,14,29,15,33,42,35,17,27,9,2,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,
066400_4..S06R::1404619200.0,312,-5,26,8,19,-1,35,-5,11,0,-19,13,-4,-3,14,-6,15,3,15,9,-10,27,-8,10,17,7,-12,18,,,,,,,,,,,,,,,,,,,,,,,,,,
067100_4..S06R::1404619200.0,20,2,6,24,-10,46,32,0,-4,15,-19,16,122,14,19,5,18,-10,-5,6,36,25,2,24,14,17,-4,15,,,,,,,,,,,,,,,,,,,,,,,,,,
067800_4..S06R::1404619200.0,9,-58,-1,29,34,26,61,0,16,14,101,17,14,26,18,20,32,9,4,7,31,14,6,24,17,17,-6,15,,,,,,,,,,,,,,,,,,,,,,,,,,
068500_4..S06R::1404619200.0,,,,,,,,15,-11,15,11,,12,,148,4,,12,-4,,,,-34,,,17,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
069200_4..S06R::1404619200.0,,,,,,,,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069900_4..S06R::1404619200.0,,,,,,,,,,,-919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070600_4..S06R::1404619200.0,,,,,,,,,7,19,11,,34,,,-7,,1,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071300_4..S06R::1404619200.0,,,,,,,,,3,16,131,,7,,,-11,,-7,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072000_4..S06R::1404619200.0,,,,,,,,,-7,4,71,,26,,,8,,22,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069550_4..S06R::1404619200.0,,,,,,,,,-5,-4,-19,,-17,,,2,,-9,105,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072700_4..S06R::1404619200.0,,,,,,,,,6,16,-19,,2,,,11,,8,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073400_4..S06R::1404619200.0,,,,,,,,,12,5,11,,9,,,-7,,2,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074100_4..S06R::1404619200.0,,,,,,,,,-58,13,-19,,52,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074800_4..S06R::1404619200.0,,,,,,,,,,-12,11,,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069550_4..S::1404619200.0,24,4,11,46,47,36,30,,,,,12,,15,,,163,,,-12,51,,,35,18,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
070600_4..S::1404619200.0,15,3,3,25,73,22,76,,,,,12,,-18,,,,,311,12,24,451,,25,23,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
075500_4..S06R::1404619200.0,,,,,,,,,-10,0,71,,-26,,,8,,-24,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071300_4..S::1404619200.0,13,5,22,-8,107,9,74,,,,,8,,0,,,,,371,-25,31,421,,25,19,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
076200_4..S06R::1404619200.0,,,,,,,,,4,3,101,,30,,,-9,,-7,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072000_4..S::1404619200.0,13,0,89,34,47,22,193,,,,,1,,1,,,,,341,8,42,571,,48,15,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
076900_4..S06R::1404619200.0,,,,,,,,,-3,-6,11,,4,,,8,,-14,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072700_4..S::1404619200.0,15,-5,7,29,29,2,269,,,,,3,,8,,,,,311,21,40,691,,11,33,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
077600_4..S06R::1404619200.0,3,8,8,13,39,2,-3,8,0,-4,-19,-6,16,17,3,-13,30,-4,94,12,-23,2,-8,24,-6,15,-1,24,,,,,,,,,,,,,,,,,,,,,,,,,,
073400_4..S::1404619200.0,4,3,28,6,30,-4,91,,,,,-4,,25,,,,,311,13,13,481,,29,20,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
078300_4..S06R::1404619200.0,17,2,8,18,46,29,51,26,26,14,11,17,0,37,29,1,14,-13,14,31,52,31,-14,16,8,-18,-7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
074100_4..S::1404619200.0,20,-6,27,32,55,33,187,,-3,,,1,,31,,5,,,401,18,30,661,,27,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
074800_4..S::1404619200.0,6,11,3,10,19,-5,63,,-20,,,2,11,14,,-8,,7,191,5,65,361,,36,21,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
079000_4..S06R::1404619200.0,19,0,25,16,58,0,0,-63,4,9,71,-2,-8,13,15,9,4,-64,-1,8,43,-3,11,-3,13,-2,11,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
079700_4..S06R::1404619200.0,12,3,10,44,58,34,39,23,9,13,11,14,-4,26,54,-12,27,2,12,12,50,40,16,39,13,14,-3,24,,,,,,,,,,,,,,,,,,,,,,,,,,
075500_4..S::1404619200.0,2,16,6,17,22,39,50,,,,,-8,,6,,,,,191,22,19,241,,36,8,,,-21,,,,,,,,,,,,,,,,,,,,,,,,,,
080400_4..S06R::1404619200.0,-3,9,21,10,25,15,35,12,-5,-7,-19,10,7,2,25,-24,23,19,-5,17,38,39,-5,27,25,4,13,-17,,,,,,,,,,,,,,,,,,,,,,,,,,
076200_4..S::1404619200.0,30,14,21,10,44,28,60,,,,,-8,,8,,,,,221,9,34,421,,16,19,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
081100_4..S06R::1404619200.0,2,-3,25,24,39,23,21,18,18,15,-49,1,-4,-2,0,-2,-7,9,19,8,11,14,-6,2,22,7,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,
076900_4..S::1404619200.0,13,7,16,21,20,27,98,,,,,-8,,-10,,,,,71,-27,16,151,,15,21,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
081800_4..S06R::1404619200.0,6,5,11,23,40,10,57,15,4,3,11,24,18,13,25,17,-6,2,4,8,38,6,7,23,12,18,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,
078800_4..S06R::1404619200.0,6,-1,14,13,27,-14,41,,,,,-10,,16,,,58,,,17,36,-73,,28,-1,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
082500_4..S06R::1404619200.0,43,-2,15,11,62,21,32,18,9,0,-19,20,-16,7,5,-6,11,4,-9,21,32,0,-1,26,2,12,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,
083200_4..S06R::1404619200.0,18,0,31,30,56,24,3,21,7,12,131,2,14,6,9,19,3,0,1,38,35,13,0,40,33,11,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,
083900_4..S06R::1404619200.0,33,11,9,13,29,18,36,18,-10,10,41,31,18,2,18,-1,-18,20,23,14,38,59,-5,23,25,9,17,13,,,,,,,,,,,,,,,,,,,,,,,,,,
084600_4..S06R::1404619200.0,-7,11,14,32,17,13,20,19,12,19,-19,16,-9,0,6,-5,-5,-23,16,-2,36,12,-64,1,15,8,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,
085300_4..S06R::1404619200.0,,,,,,,,,,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086000_4..S06R::1404619200.0,,,,,,,,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086700_4..S06R::1404619200.0,22,5,1,36,50,8,44,11,18,-3,-19,20,16,8,31,-7,10,12,11,10,53,20,12,41,21,27,-5,16,,,,,,,,,,,,,,,,,,,,,,,,,,
087400_4..S06R::1404619200.0,27,13,-3,4,39,33,40,3,15,10,71,30,-10,19,23,-6,-24,8,18,9,23,19,-7,32,24,8,-7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
088100_4..S06R::1404619200.0,-4,4,-20,114,28,12,7,-27,-4,12,41,-4,3,-4,25,11,-12,-11,-4,21,41,13,-1,-21,-1,18,-2,26,,,,,,,,,,,,,,,,,,,,,,,,,,
085650_4..S06R::1404619200.0,27,-3,21,32,38,46,58,27,-36,0,-19,23,17,5,60,5,7,-8,6,28,50,22,16,14,22,-7,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
088800_4..S06R::1404619200.0,17,10,26,30,54,13,50,17,0,10,41,11,13,20,35,-18,-5,-70,25,19,46,6,15,44,26,1,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,
089500_4..S06R::1404619200.0,15,4,10,18,-14,14,43,-3,5,-1,161,2,9,6,5,-14,4,-6,8,23,20,32,1,29,6,17,-3,10,,,,,,,,,,,,,,,,,,,,,,,,,,
090200_4..S06R::1404619200.0,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090900_4..S06R::1404619200.0,26,4,15,32,62,19,51,-8,8,14,-19,7,6,10,42,-6,-6,-4,16,10,46,21,27,24,23,3,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,
091600_4..S06R::1404619200.0,25,11,17,27,59,23,27,17,17,5,41,-2,14,3,4,25,11,4,5,34,50,36,9,34,11,-1,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,
092300_4..S06R::1404619200.0,-2,11,11,0,15,10,23,13,-1,-13,41,14,5,3,-5,14,3,-10,11,9,8,1,-12,24,15,6,16,-16,,,,,,,,,,,,,,,,,,,,,,,,,,
093000_4..S06R::1404619200.0,10,3,21,15,36,4,25,6,-7,18,-19,2,1,-8,20,3,13,14,-2,20,21,35,4,9,-3,-9,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,
093700_4..S06R::1404619200.0,10,-47,17,50,16,13,44,18,10,15,-19,29,-9,20,4,10,-5,-26,-4,20,48,77,1,18,22,14,24,36,,,,,,,,,,,,,,,,,,,,,,,,,,
094400_4..S06R::1404619200.0,-10,5,6,24,29,12,31,10,5,13,-19,8,-11,15,20,-10,17,-35,3,24,26,28,9,36,12,1,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,
091900_4..S06R::1404619200.0,9,9,21,14,3,11,12,-4,11,-12,41,15,11,7,16,-3,12,1,-11,24,38,0,-37,8,-3,11,-9,21,,,,,,,,,,,,,,,,,,,,,,,,,,
095100_4..S06R::1404619200.0,14,9,19,23,26,16,19,-6,5,1,-19,-1,14,8,14,-12,7,-4,11,23,44,1,-8,26,11,11,-13,12,,,,,,,,,,,,,,,,,,,,,,,,,,
095800_4..S06R::1404619200.0,17,6,14,20,15,2,1,14,-7,-11,-19,-2,4,7,2,8,-17,21,3,17,74,10,12,29,6,1,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,
096500_4..S06R::1404619200.0,29,1,-8,33,26,21,34,4,19,14,11,18,1,-9,22,-5,-1,9,-7,7,28,21,-1,12,15,-13,-31,-6,,,,,,,,,,,,,,,,,,,,,,,,,,
097200_4..S06R::1404619200.0,14,-1,1,17,33,20,27,-55,27,-2,11,16,7,-2,15,-2,8,-8,16,35,55,64,-10,-15,11,8,-10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
097900_4..S06R::1404619200.0,-8,2,9,1,19,-2,4,-10,-6,14,-49,8,1,-7,-24,-19,17,15,6,16,58,10,-68,-23,6,5,-14,5,,,,,,,,,,,,,,,,,,,,,,,,,,
098600_4..S06R::1404619200.0,9,7,23,24,46,22,8,13,-24,13,-19,16,-11,-2,24,-12,13,0,-17,15,35,6,14,-21,-2,0,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,
099300_4..S06R::1404619200.0,16,3,2,14,13,16,40,7,-16,-4,11,20,4,9,-5,1,7,3,-2,114,39,25,4,28,6,-9,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
100000_4..S06R::1404619200.0,13,5,8,10,62,2,26,20,0,-6,11,-1,8,8,4,13,21,-6,9,28,24,13,-12,24,8,5,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,
100700_4..S06R::1404619200.0,40,-37,37,36,56,30,47,-11,11,11,11,-16,-7,11,13,-4,24,6,15,47,32,-23,-8,33,10,9,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,
101400_4..S06R::1404619200.0,12,12,14,11,12,10,18,-14,-4,-3,191,20,-8,-2,-17,-13,1,-17,-13,40,42,32,4,25,9,-4,13,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
102100_4..S06R::1404619200.0,14,-1,6,21,48,17,17,18,-6,10,41,11,-7,-14,10,9,9,15,7,22,36,23,-69,31,9,5,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,
102800_4..S06R::1404619200.0,-4,4,12,18,33,19,21,-19,14,-6,-19,20,-27,11,23,27,25,11,-4,4,71,9,-5,39,16,9,16,-8,,,,,,,,,,,,,,,,,,,,,,,,,,
103500_4..S06R::1404619200.0,20,-3,1,17,24,18,63,15,-4,-14,-19,9,1,12,-4,12,13,-14,-35,21,27,8,11,15,-22,-1,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,
104200_4..S06R::1404619200.0,22,15,18,17,-8,4,4,17,-10,11,11,0,1,10,5,8,10,17,-1,0,79,9,7,21,13,-4,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,
104900_4..S06R::1404619200.0,45,-5,20,29,36,10,18,3,14,17,11,6,-6,10,19,-3,-8,15,-6,33,63,17,0,37,8,13,-5,16,,,,,,,,,,,,,,,,,,,,,,,,,,
105850_4..S06R::1404619200.0,13,-3,2,19,41,26,24,8,16,-9,-19,10,-1,5,24,-2,9,5,-5,28,60,6,5,24,4,-6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
106850_4..S06R::1404619200.0,28,6,176,15,30,6,24,-7,2,-13,-19,17,-1,12,7,-14,19,-11,-12,3,32,10,-36,23,22,11,-10,14,,,,,,,,,,,,,,,,,,,,,,,,,,
107850_4..S06R::1404619200.0,,,,,,,32,4,-22,-38,-19,,-20,,23,-15,8,-2,5,,,-100,3,,,16,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
109050_4..S06R::1404619200.0,,,,,,,57,18,-2,-4,11,,6,,9,11,7,-8,-10,,,-113,-4,,,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
