,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
052250_4..S06R::1404532800.0,,,,,,,,,13,-7,-19,,1,,,21,,8,4,,,,10,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052950_4..S06R::1404532800.0,,3,16,,,,,,,-3,11,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053650_4..S06R::1404532800.0,,-45,14,,,,,,,,-49,,,6,,,,,,,,,,16,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
054350_4..S06R::1404532800.0,7,10,15,18,154,,,,,,-469,,,20,,,,,,20,,,,28,-2,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
055050_4..S06R::1404532800.0,19,-7,-9,42,55,,,,,,-889,39,,12,,,,,,11,58,,,38,18,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
055750_4..S06R::1404532800.0,29,3,42,39,40,2,,,,,-1309,-2,,-2,,,,,,21,54,,,24,2,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
056450_4..S06R::1404532800.0,45,20,15,11,38,16,42,,,,-1729,15,,-20,,,-1,,,23,30,20,,38,9,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
057150_4..S06R::1404532800.0,27,9,1,13,70,33,56,25,,,,3,,16,27,,16,,,28,46,123,,14,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
057850_4..S06R::1404532800.0,-2,3,24,2,36,24,58,7,,,,9,,15,20,16,22,,5,11,18,39,11,30,23,-1,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,
058550_4..S06R::1404532800.0,40,4,-4,-21,16,0,23,-3,-12,-4,,-24,9,9,7,6,10,19,3,15,22,55,-13,25,3,5,-11,11,,,,,,,,,,,,,,,,,,,,,,,,,,
059250_4..S06R::1404532800.0,8,12,12,18,14,9,39,-5,16,1,41,3,-8,16,16,1,19,7,-9,-4,18,15,-4,9,13,11,-10,20,,,,,,,,,,,,,,,,,,,,,,,,,,
059950_4..S06R::1404532800.0,79,6,1,60,77,24,68,8,19,16,-19,5,2,5,19,1,-2,11,-5,25,23,19,4,19,23,-8,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,
060650_4..S06R::1404532800.0,7,-3,0,4,23,-5,28,-1,-10,27,11,31,14,-11,22,10,21,4,9,219,11,9,-63,12,4,-16,-2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
061350_4..S06R::1404532800.0,19,8,22,20,46,17,130,15,-1,23,-19,3,3,3,27,12,18,-12,7,14,40,15,-13,42,14,4,16,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
062050_4..S06R::1404532800.0,-18,-7,24,31,31,18,38,15,2,13,-19,6,19,-3,1,8,-4,-7,-38,-37,33,15,-2,6,20,12,14,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
062750_4..S06R::1404532800.0,24,5,16,29,23,21,32,13,-1,-2,-19,14,-16,12,29,6,7,-4,7,26,38,15,7,24,30,17,17,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
063450_4..S06R::1404532800.0,-6,16,-1,36,42,11,12,-10,24,1,-19,15,-4,3,3,-14,10,15,6,-28,-19,22,9,17,14,26,-8,4,,,,,,,,,,,,,,,,,,,,,,,,,,
064150_4..S06R::1404532800.0,36,10,16,30,46,9,94,8,-12,-7,11,23,3,7,30,2,2,7,17,6,50,20,-3,24,6,17,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
064850_4..S06R::1404532800.0,8,1,21,29,13,20,40,10,-16,10,11,17,5,14,1,1,-68,4,-9,19,34,10,0,25,8,-11,2,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
065550_4..S06R::1404532800.0,5,2,13,26,24,-8,24,-4,1,26,41,16,5,1,-11,-13,1,-6,7,24,4,28,-12,18,5,5,-69,13,,,,,,,,,,,,,,,,,,,,,,,,,,
066250_4..S06R::1404532800.0,24,5,36,13,42,-12,46,12,4,11,-19,12,26,13,-8,-45,4,-6,3,21,32,-2,-18,16,12,-2,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,
066950_4..S06R::1404532800.0,7,2,-3,16,50,32,35,-27,4,8,41,22,-24,13,18,2,14,-5,-4,19,38,7,5,15,3,-40,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,
067650_4..S06R::1404532800.0,10,11,24,15,38,17,31,7,-10,8,11,8,-9,12,-12,6,0,10,2,26,33,19,11,16,9,-2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
068350_4..S06R::1404532800.0,55,-5,178,15,59,19,71,3,-5,12,-19,43,-1,-3,13,7,-3,45,2,38,63,41,11,38,25,-6,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,
069050_4..S06R::1404532800.0,11,-3,6,37,40,19,24,24,12,-14,11,30,-37,24,24,-8,23,5,12,26,40,13,19,18,7,-5,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
069750_4..S06R::1404532800.0,30,2,14,17,20,19,42,25,31,17,-19,8,16,23,6,0,17,-5,13,25,30,32,12,37,0,21,-1,22,,,,,,,,,,,,,,,,,,,,,,,,,,
070450_4..S06R::1404532800.0,23,-7,6,10,48,10,40,19,2,-6,-19,16,7,19,9,16,23,-6,11,7,6,18,19,27,16,0,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,
071150_4..S06R::1404532800.0,6,-4,8,20,61,1,18,15,9,12,11,10,-4,4,17,-10,12,11,-15,30,45,4,19,20,3,-28,12,-28,,,,,,,,,,,,,,,,,,,,,,,,,,
071850_4..S06R::1404532800.0,11,-54,-1,17,20,6,36,19,-29,17,-19,5,22,25,9,9,16,21,17,10,56,34,-63,14,15,9,19,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
072550_4..S06R::1404532800.0,-24,6,10,61,15,26,0,8,8,8,-19,23,-10,25,27,-5,3,-23,-12,20,41,19,1,3,3,-11,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,
073250_4..S06R::1404532800.0,34,17,17,-8,38,7,40,4,9,-12,-19,28,5,16,18,-4,0,-3,-10,4,41,60,0,6,-10,20,-5,23,,,,,,,,,,,,,,,,,,,,,,,,,,
073950_4..S06R::1404532800.0,4,10,-1,33,34,19,44,0,-2,13,-19,12,-4,8,10,9,2,-1,1,25,-4,20,8,14,-2,-8,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,
074650_4..S06R::1404532800.0,24,9,13,27,29,25,23,-4,-8,12,11,35,5,29,20,5,4,-7,-7,42,67,146,2,27,24,9,-10,24,,,,,,,,,,,,,,,,,,,,,,,,,,
075350_4..S06R::1404532800.0,9,-70,31,45,54,19,80,24,-1,10,-19,28,7,7,35,6,26,0,20,46,87,29,15,33,8,-5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
076050_4..S06R::1404532800.0,,,,,,,,,,,-469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076750_4..S06R::1404532800.0,3,5,20,10,33,35,44,6,19,12,71,30,2,9,-17,-6,-4,13,17,7,56,38,-12,20,-9,3,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
077450_4..S06R::1404532800.0,41,9,8,22,59,22,19,-5,-27,8,-49,13,24,-6,10,-10,-4,2,-10,35,48,-5,-1,16,0,16,-10,8,,,,,,,,,,,,,,,,,,,,,,,,,,
078150_4..S06R::1404532800.0,18,2,12,86,40,20,36,18,11,4,11,26,-14,-19,2,-24,-2,-23,22,21,62,32,-10,43,21,5,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,
078850_4..S06R::1404532800.0,13,17,3,38,89,-1,5,7,9,18,-19,-2,-36,-6,16,-3,7,1,-6,-3,14,33,2,5,13,-12,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,
079550_4..S06R::1404532800.0,26,2,1,2,25,33,19,5,3,16,-49,18,4,10,60,17,-3,-1,-3,14,57,19,6,26,-5,-9,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,
080250_4..S06R::1404532800.0,31,0,26,40,79,35,16,18,-2,19,-79,66,4,11,56,9,10,-2,-4,16,36,25,1,12,13,9,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,
080950_4..S06R::1404532800.0,31,12,19,34,54,26,24,-16,19,27,-139,7,16,16,84,-6,4,18,-1,22,16,11,-3,33,11,10,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,
081650_4..S06R::1404532800.0,27,-6,-4,14,44,27,53,15,-9,13,161,16,-5,-13,24,-1,-10,30,-11,25,41,39,-4,26,29,11,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,
082350_4..S06R::1404532800.0,42,9,6,9,35,21,12,13,1,-9,-19,6,5,6,50,-42,4,-8,12,10,9,16,-7,26,16,6,16,-23,,,,,,,,,,,,,,,,,,,,,,,,,,
083050_4..S06R::1404532800.0,24,-1,-6,-1,30,1,19,-9,16,-1,-19,-5,14,-18,16,0,-7,3,-10,5,46,7,0,29,19,-11,1,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
