,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
136,1404433451,115250_5..S07R,20140703,239S,1404433408,1404433408,5,1404360000.0,115250_5..S07R::1404360000.0,False,True
148,1404433451,122650_5..S08R,20140703,501S,0,1404433590,5,1404360000.0,122650_5..S08R::1404360000.0,True,False
554,1404433511,117050_5..S07R,20140703,640S,1404433483,1404433483,5,1404360000.0,117050_5..S07R::1404360000.0,False,True
559,1404433511,120450_5..S07R,20140703,217S,1404433484,1404433484,5,1404360000.0,120450_5..S07R::1404360000.0,False,True
757,1404433541,116050_5..S07R,20140703,234S,1404433505,1404433505,5,1404360000.0,116050_5..S07R::1404360000.0,False,True
762,1404433541,119200_5..S08R,20140703,416S,1404433522,1404433522,5,1404360000.0,119200_5..S08R::1404360000.0,False,True
968,1404433571,120450_5..S07R,20140703,218S,1404433561,1404433561,5,1404360000.0,120450_5..S07R::1404360000.0,False,True
1174,1404433601,122650_5..S08R,20140703,502S,1404433583,1404433583,5,1404360000.0,122650_5..S08R::1404360000.0,False,True
1365,1404433631,116050_5..S07R,20140703,235S,1404433613,1404433613,5,1404360000.0,116050_5..S07R::1404360000.0,False,True
1367,1404433631,117050_5..S07R,20140703,418S,1404433610,1404433610,5,1404360000.0,117050_5..S07R::1404360000.0,False,True
1570,1404433661,120450_5..S07R,20140703,219S,1404433648,1404433648,5,1404360000.0,120450_5..S07R::1404360000.0,False,True
1961,1404433721,117050_5..S07R,20140703,419S,1404433705,1404433705,5,1404360000.0,117050_5..S07R::1404360000.0,False,True
1964,1404433721,119200_5..S08R,20140703,621S,1404433657,1404433657,5,1404360000.0,119200_5..S08R::1404360000.0,False,True
1968,1404433721,122650_5..S08R,20140703,503S,1404433714,1404433714,5,1404360000.0,122650_5..S08R::1404360000.0,False,True
2165,1404433751,118150_5..S07R,20140703,501S,0,1404430890,5,1404360000.0,118150_5..S07R::1404360000.0,True,True
2167,1404433751,120450_5..S07R,20140703,220S,1404433747,1404433747,5,1404360000.0,120450_5..S07R::1404360000.0,False,True
2560,1404433811,117050_5..S07R,20140703,420S,1404433785,1404433785,5,1404360000.0,117050_5..S07R::1404360000.0,False,True
2947,1404433871,115250_5..S07R,20140703,250S,1404433850,1404433850,5,1404360000.0,115250_5..S07R::1404360000.0,False,True
2957,1404433871,122650_5..S08R,20140703,504S,1404433851,1404433851,5,1404360000.0,122650_5..S08R::1404360000.0,False,True
3142,1404433901,116050_5..S07R,20140703,239S,1404433836,1404433836,5,1404360000.0,116050_5..S07R::1404360000.0,False,True
3339,1404433931,120450_5..S07R,20140703,221S,1404433911,1404433911,5,1404360000.0,120450_5..S07R::1404360000.0,False,True
3724,1404433991,122650_5..S08R,20140703,505S,1404433971,1404433971,5,1404360000.0,122650_5..S08R::1404360000.0,False,True
3915,1404434021,119200_5..S08R,20140703,626S,1404434008,1404434008,5,1404360000.0,119200_5..S08R::1404360000.0,False,True
4114,1404434051,117050_5..S07R,20140703,423S,1404434046,1404434046,5,1404360000.0,117050_5..S07R::1404360000.0,False,True
