,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
063200_2..N01R::1404792000.0,,,,,,,28,36,-14,1,17,3,23,-19,,23,26,3,17,,,5,-1,,,191,20,,-2,-28,,27,1,,-207,,-5,22,5,14,,9,,-8,-19,12,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063750_2..N01R::1404792000.0,,,,,,,-3,6,2,-8,22,16,35,-79,,120,-2,5,-9,,,-78,18,,,38,2,,6,8,,-49,1,,,,6,74,17,5,,7,,12,17,1,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065050_2..N01R::1404792000.0,,,,,,,,,,3,0,-61,25,-79,,602,,10,-8,,,,-17,,,68,22,,119,-4,,,-63,,,,4,123,,-86,,15,,11,,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065850_2..N01R::1404792000.0,,,,,,,,,,,1,13,23,-79,,39,,,-9,,,,7,,,261,9,,,14,,,26,,,,12,71,,-1,,16,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066650_2..N01R::1404792000.0,,,,,,,,,,,,-67,45,-79,,156,,,,,,,16,,,157,,,,-5,,,0,,,,,48,,,,16,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064300_2..N01R::1404792000.0,,,,,,,,,-6,-9,-72,0,5,11,,52,,3,7,,,,6,,,43,12,,3,9,,-147,-1,,,,18,-25,,-11,,-25,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067350_2..N01R::1404792000.0,,,,,,,,,,,,,25,131,,158,,,,,,,-76,,,42,,,,7,,,14,,,,,-16,,,,-24,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068150_2..N01R::1404792000.0,,,,,,,,,,,,,,-19,,82,,,,,,,-5,,,123,,,,5,,,,,,,,4,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068950_2..N01R::1404792000.0,,,,,,,,,,,,,,-49,,-19,,,,,,,0,,,,,,,8,,,,,,,,43,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069750_2..N01R::1404792000.0,,,,,,,,,,,,,,-79,,,,,,,,,-16,,,,,,,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070550_2..N01R::1404792000.0,,,,,,,,,,,,,,-409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_2..N01R::1404792000.0,,,,,,,,,,,,,,-889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072150_2..N01R::1404792000.0,,,,,,,,,,,,,,-1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072950_2..N01R::1404792000.0,,,,,,,,,,,,,,-1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
