,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
013150_2..N08R::1404446400.0,92,8,12,72,11,14,-3,19,8,17,-76,37,21,101,17,15,5,-2,15,-2,2,16,14,-6,-10,135,-7,56,10,-5,-8,7,13,6,16,3,4,12,-7,35,3,15,-6,7,6,-7,12,8,14,,,,,,,,,,,13,-27,17,-5,-2,-28,-16,-1,-5,6,17,17,,,,,,,,,,
015150_2..N08R::1404446400.0,-2,2,-5,5,-7,16,13,8,-3,-12,-99,0,12,-19,-14,6,20,-25,-68,4,4,7,-4,14,-9,16,-1,52,7,10,-6,6,16,8,12,-4,10,31,10,10,-22,-11,4,-3,12,-34,-9,5,13,,,,,,,,,,,-6,-11,0,11,-9,0,11,-12,-16,-2,-8,3,,,,,,,,,,
017150_2..N08R::1404446400.0,23,-2,2,9,-32,-10,-5,14,19,4,-71,3,15,-259,14,14,7,6,-2,-3,-2,14,21,16,-33,14,4,72,30,-4,16,22,14,-15,21,-7,4,125,-4,-18,-1,8,7,7,15,12,6,10,14,,,,,,,,,,,0,-18,-3,6,27,-10,1,0,17,-13,3,10,,,,,,,,,,
019150_2..N08R::1404446400.0,179,14,4,61,-9,4,-7,10,-63,6,-60,4,44,-19,1,0,20,11,9,11,6,11,12,20,6,-11,11,50,32,-10,-8,1,20,-9,9,10,8,4,-3,35,3,12,8,-6,23,16,9,-6,-38,,,,,,,,,,,8,0,8,14,30,14,16,-8,-14,-2,-29,-24,,,,,,,,,,
021150_2..N08R::1404446400.0,20,-1,-7,57,-7,1,3,86,-22,12,-96,-1,12,11,6,10,19,20,-11,12,16,20,6,-18,3,83,,63,21,16,3,19,0,17,9,-5,4,-13,4,17,16,-2,7,-6,259,22,-36,-5,14,,,,,,,,,,,0,-10,-7,-2,-6,-7,0,4,-3,5,-13,-3,,,,,,,,,,
023150_2..N08R::1404446400.0,26,42,-31,-5,6,-8,-3,17,11,36,-104,-16,21,-19,-22,-3,14,13,-45,1,-1,16,13,-3,-3,20,26,54,3,-9,12,6,1,11,9,8,14,-7,-2,-27,-8,-3,-9,-53,29,16,-32,-2,9,,,,,,,,,,,-3,20,-7,0,-3,4,-18,1,-2,6,9,15,,,,,,,,,,
025150_2..N08R::1404446400.0,13,-12,12,1,10,11,-7,13,-7,13,-89,0,11,-49,-7,-11,4,-7,3,6,8,12,-7,2,14,-25,13,52,60,4,-5,288,12,1,21,14,-5,-23,-6,-12,5,-8,18,14,469,19,12,5,10,,,,,,,,,,,16,3,13,-14,13,-12,-1,6,-5,1,-27,10,,,,,,,,,,
027150_2..N08R::1404446400.0,-18,12,45,20,-4,0,-8,69,8,-36,-71,-11,29,41,14,-12,18,-22,7,-2,13,33,-6,-6,3,-7,15,48,36,-1,-3,-37,-6,-10,31,-80,-8,5,-1,8,8,-4,8,10,21,7,16,-4,-2,,,,,,,,,,,-8,5,-10,-3,-38,-3,9,-12,15,-10,-1,8,,,,,,,,,,
029150_2..N08R::1404446400.0,8,6,-29,2,-11,1,-10,14,-70,8,-75,16,-1,11,7,-14,-6,28,-9,3,10,18,15,-15,9,-3,-26,38,54,-5,-26,3,-3,-3,20,2,-12,-3,-12,3,-14,-19,-6,5,62,11,-4,13,18,,,,,,,,,,,12,0,-11,1,-17,-5,9,-4,-5,11,-8,6,,,,,,,,,,
031150_2..N08R::1404446400.0,116,0,9,36,-7,-5,3,1,-7,18,-90,1,27,-19,9,-2,18,17,11,25,-6,-3,-2,-22,-1,3,13,80,18,8,15,-2,-7,-13,14,-6,13,12,-33,-10,-4,-3,5,-10,26,-3,5,-32,14,,,,,,,,,,,9,-4,9,10,11,3,18,13,1,-20,-12,-1,,,,,,,,,,
033150_2..N08R::1404446400.0,19,-14,-1,11,-18,12,14,15,-10,16,51,-17,15,-49,4,-7,20,-29,-3,1,6,11,13,-7,-11,3,11,68,11,-6,-3,-85,13,-21,19,8,-7,5,11,7,-18,0,9,-16,9,-7,-8,1,-31,,,,,,,,,,,-16,6,-9,3,-15,-4,-17,1,0,8,-2,10,,,,,,,,,,
034750_2..N01R::1404446400.0,18,-1,16,59,6,-19,20,-5,-10,7,20,-2,25,-19,16,10,5,15,-4,22,2,3,3,-4,10,12,24,60,3,8,14,10,16,-5,-2,2,-3,7,-6,17,18,-35,17,6,18,19,19,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036300_2..N01R::1404446400.0,7,-23,-1,15,-11,-8,1,17,-4,17,3,1,33,-49,2,5,20,-7,-36,17,13,14,8,-4,-8,9,9,56,2,-14,-11,25,-6,6,9,7,15,-57,5,-7,-5,-1,-3,22,3,-6,-1,-6,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
037800_2..N01R::1404446400.0,7,3,-11,10,-8,-3,-10,-7,-10,4,20,13,7,-49,12,-60,-7,15,-16,6,-7,9,-12,11,6,-2,-9,46,-4,3,-13,22,10,-2,-2,-4,7,-19,-16,6,3,-4,-3,12,13,-24,-14,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039100_2..N01R::1404446400.0,8,6,-14,37,-5,-12,9,-2,24,-8,16,-35,2,-19,12,1,9,1,-37,15,-1,20,-4,-18,-7,9,6,67,-4,9,-12,-6,7,-22,21,0,15,-16,13,43,3,15,4,-8,-3,-7,16,-24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040300_2..N01R::1404446400.0,17,-12,14,89,1063,13,8,-6,24,1,2,5,35,191,18,-8,23,8,-5,4,-4,25,11,2,18,0,-3,54,7,16,16,14,-4,-8,14,14,5,2,5,-6,-3,-3,17,12,2,13,7,5,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041500_2..N01R::1404446400.0,,,,,,-81,11,16,-35,31,32,4,15,-19,,-2,-3,4,17,,,5,-17,,,8,-5,,10,-2,,5,13,,-1,,5,7,12,19,,-8,,-13,5,173,,45,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042650_2..N01R::1404446400.0,,,,,,,3,19,2,10,9,-7,16,11,,13,29,11,15,,,21,-6,,,18,17,,30,2,,9,4,,0,,11,3,2,9,,0,,8,29,26,,10,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043800_2..N01R::1404446400.0,-2,-3,-14,45,-1,14,-10,-2,10,-16,59,-11,25,-19,-8,-1,-8,3,2,13,-8,13,-11,11,-59,10,17,42,9,0,-18,-7,-7,-16,-5,-7,-1,7,-15,12,-4,8,-18,-12,-6,20,10,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044950_2..N01R::1404446400.0,22,-3,17,14,-4,1,7,-26,1,14,3,-1,18,41,4,-63,23,19,-10,22,6,-3,-11,20,33,-5,-4,56,19,0,13,21,14,-14,10,-7,-2,5,4,-12,-8,4,9,12,19,22,-5,-5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046150_2..N01R::1404446400.0,15,-9,16,35,-4,7,-4,9,22,28,13,16,6,11,11,17,18,25,-3,21,12,12,-6,-26,9,18,1,56,14,4,-2,22,0,-7,22,-16,-3,7,-2,0,12,21,9,10,10,9,-36,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047350_2..N01R::1404446400.0,26,-7,-5,49,10,-1,-6,14,9,-47,27,6,33,-19,-5,9,6,-1,11,15,-1,13,-12,8,5,7,16,57,-36,-1,-13,6,-4,-5,6,-12,-10,2,-7,-9,-27,2,-10,6,0,-26,-5,-6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048550_2..N01R::1404446400.0,25,0,-3,31,17,-6,11,5,20,5,19,-36,4,-19,-1,9,22,17,5,9,0,-6,22,-10,-4,-26,13,60,-6,-5,14,24,-28,-16,-4,2,15,-2,11,9,-8,11,0,3,13,12,-3,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049750_2..N01R::1404446400.0,17,-14,-4,12,-11,11,-9,-5,15,6,0,0,29,-19,4,0,3,20,16,17,-12,11,-4,-2,-14,-23,23,67,19,37,-1,18,18,5,25,11,-6,-60,-10,19,11,-7,1,-5,11,15,-9,12,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050950_2..N01R::1404446400.0,-1,-2,-8,10,-6,13,16,-4,85,-1,75,9,27,-19,13,-3,3,18,9,7,4,7,-3,11,19,7,20,37,-6,8,-6,11,5,2,14,-8,3,14,16,3,9,-6,-2,-8,10,5,-35,-1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041500_2..N::1404446400.0,0,-1,-11,52,,,,,,,,,,,,,,,,,-5,,,16,,,,58,,,-14,,,,,-31,,,,,1,,,,,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052150_2..N01R::1404446400.0,20,-10,-10,23,0,8,-9,1,35,-51,13,-9,11,-19,-10,-5,2,10,8,4,-66,9,19,8,11,0,12,37,13,20,2,23,4,-12,11,18,14,-11,-8,7,-19,13,14,-7,14,2,-13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042650_2..N::1404446400.0,22,-8,16,29,,,,,,,,,,,,,,,,,-13,,,6,,,,49,,,2,,,,,16,,,,,10,,,,,,-13,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053350_2..N01R::1404446400.0,10,7,-11,25,-5,-12,17,-12,66,14,17,-38,9,-19,13,0,-32,-4,5,27,3,6,3,0,-7,8,15,58,3,13,-9,14,-27,-15,21,1,-4,-12,18,-22,4,13,9,-7,13,19,-16,9,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054550_2..N01R::1404446400.0,48,-16,12,4,-10,5,-14,10,95,-2,93,-8,13,-19,8,-6,-13,-9,4,26,-4,-19,-87,8,11,3,5,61,4,-3,13,12,-13,0,14,8,-6,3,11,17,-5,9,-4,-17,11,-2,7,-4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055750_2..N01R::1404446400.0,,,,71,-2,2,21,18,16,34,45,2,32,-19,6,9,19,15,17,13,2,9,16,,2,17,12,,8,18,10,4,-2,14,-1,,2,16,-2,6,12,23,32,8,15,15,-14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056950_2..N01R::1404446400.0,5,8,14,26,11,-11,-3,-4,7,-7,11,-32,18,-19,-7,2,15,-1,-3,16,-7,28,-10,9,-11,5,3,60,0,-3,16,3,15,4,8,12,11,-3,1,-24,11,20,23,-1,21,-1,13,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
058150_2..N01R::1404446400.0,18,-6,17,7,-7,7,14,1,71,-14,77,5,27,11,13,-7,16,-16,-11,-1,2,10,-9,28,13,2,0,50,60,3,-11,17,0,-1,-38,-9,12,-23,10,-1,1,-13,-5,-13,11,16,12,-6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059350_2..N01R::1404446400.0,3,11,-16,31,4,-11,2,-2,36,0,58,-8,16,-19,-12,-61,254,2,4,6,-7,22,-5,5,-4,-4,12,73,9,9,-16,10,-11,-16,-2,5,-12,48,1,15,-2,7,14,11,-1,7,9,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060550_2..N01R::1404446400.0,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
061750_2..N01R::1404446400.0,1,2,8,35,6,-14,5,4,15,19,20,12,31,11,14,-8,7,-7,0,17,-6,19,15,-11,-17,23,32,51,21,21,4,15,20,0,10,-1,-2,20,20,31,11,16,17,18,30,1,13,-6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062950_2..N01R::1404446400.0,14,12,-6,10,0,5,15,-4,16,6,8,6,32,11,-4,-8,-3,21,-47,9,9,-44,10,-5,-6,57,4,72,21,22,-2,22,6,12,15,9,13,17,-15,-4,10,19,9,19,18,13,-10,-24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064150_2..N01R::1404446400.0,-20,8,-12,60,-1,11,-11,12,89,-2,16,13,21,-19,7,18,-3,-11,-14,-2,2,10,-14,-55,-14,53,-5,64,-4,-3,-9,9,-9,6,12,3,9,2,17,4,-26,2,1,11,12,3,13,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065350_2..N01R::1404446400.0,-1,5,13,3,5,3,9,-5,0,2,55,-4,16,-19,-11,-8,21,14,12,5,8,22,12,-6,6,19,-9,50,13,20,-4,-1,8,-38,0,3,1,-11,9,14,7,18,17,24,20,-16,10,-5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064750_2..N01R::1404446400.0,22,-30,14,26,66,-11,2,20,11,-3,-4,-8,38,-19,37,2,16,14,0,-28,-27,-7,-4,5,-8,134,8,89,-14,6,-6,5,0,-18,22,14,-15,-17,4,16,6,12,11,-4,6,2,-16,-3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066550_2..N01R::1404446400.0,24,-3,8,71,-11,22,-3,-5,69,18,5,3,35,11,8,18,24,17,8,18,7,11,-5,20,18,20,8,43,34,4,16,7,-5,0,16,-9,5,12,-3,22,-3,-4,-4,16,20,5,7,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067750_2..N01R::1404446400.0,784,10,17,32,-10,24,15,13,50,2,80,13,13,-19,3,18,17,22,-1,7,-12,-2,-17,21,-10,-28,8,71,-11,-5,4,14,14,4,18,8,16,3,20,5,10,0,0,10,2,11,-13,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
055750_2..N::1404446400.0,,8,15,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068950_2..N01R::1404446400.0,552,533,-6,35,-13,-2,7,6,61,-9,15,10,5,41,8,-11,15,6,7,0,12,-3,10,20,6,-3,-9,54,7,-5,2,14,9,-6,1,-67,3,2,4,2,15,-4,-8,12,12,-1,-5,-11,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070150_2..N01R::1404446400.0,80,-3,402,113,17,-10,23,5,23,16,29,1,25,-19,-6,-1,22,8,-5,2,-1,5,13,31,16,4,28,55,3,-11,17,40,13,27,24,-4,-2,-9,24,19,20,13,6,-5,39,18,18,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071350_2..N01R::1404446400.0,101,15,91,244,-6,3,-21,12,6,-3,32,2,14,11,9,11,18,9,4,22,-6,13,35,7,-23,15,14,51,13,-7,10,9,12,-13,7,16,-13,0,7,-9,16,-4,-15,-28,25,6,18,-1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072550_2..N01R::1404446400.0,248,8,-6,50,-4,-4,14,21,13,22,21,0,30,-19,9,9,3,17,-10,8,-1,2,13,-24,29,8,-8,64,7,-10,13,14,-9,-7,24,10,-5,-5,15,16,-10,-5,11,1,4,3,-4,-3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073750_2..N01R::1404446400.0,62,1,0,28,-4,12,3,7,2,11,23,-11,21,71,9,5,13,-7,3,19,-10,-7,19,-7,-14,12,11,62,1,-6,-22,-25,9,6,-4,8,-8,-1,2,12,-10,13,3,-2,23,15,-4,17,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074950_2..N01R::1404446400.0,40,15,17,110,3,7,-2,20,63,-5,19,-10,33,-19,7,20,14,8,12,10,10,9,13,3,3,-11,-7,39,8,-8,16,3,3,9,9,14,2,-7,0,11,18,12,21,28,25,0,-12,15,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
076150_2..N01R::1404446400.0,29,5,6,13,14,-9,0,2,19,3,-1,-14,-1,11,-4,3,12,20,-53,14,-5,19,12,-5,-11,7,2,49,-4,-10,4,19,15,5,0,2,13,-6,-1,7,1,2,-4,-4,3,10,6,13,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077350_2..N01R::1404446400.0,-18,-5,2,39,5,-5,-4,1,6,4,22,-9,27,11,14,3,20,18,15,22,-12,15,-7,-12,23,11,24,51,16,0,2,5,-7,-1,13,-4,-1,15,1,13,7,7,23,-21,26,14,9,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078550_2..N01R::1404446400.0,37,17,28,39,-3,3,17,23,85,5,16,16,4,-19,11,19,-9,-9,6,21,-9,8,-16,7,6,-8,18,64,-38,-4,-22,17,2,-9,14,15,1,4,13,6,-10,11,13,12,4,11,-3,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079750_2..N01R::1404446400.0,60,-2,16,30,-53,16,25,23,19,11,21,-9,12,-19,9,2,9,20,13,-6,18,0,22,9,15,10,18,62,-10,-5,1,20,10,-30,24,-8,-8,-5,-3,14,9,15,-41,-5,18,33,14,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080950_2..N01R::1404446400.0,26,-8,-1,19,-6,-11,-11,29,6,-9,80,9,9,-19,10,-4,-4,7,7,22,3,-25,-17,-1,-5,2,18,49,11,-4,-6,8,4,11,8,-71,60,5,17,3,9,-4,8,-15,33,-6,-10,14,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082150_2..N01R::1404446400.0,45,-7,15,22,-1,10,2,6,104,2,100,2,36,-49,9,-5,17,-2,-13,10,-11,21,7,6,13,4,0,18,8,1,8,11,5,-6,14,-10,5,6,6,-3,14,-10,13,15,3,6,16,0,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083350_2..N01R::1404446400.0,7,12,1,33,10,-16,-8,3,-15,6,69,6,19,-49,-34,-2,0,14,2,7,-8,8,-7,-5,-13,6,12,49,-34,-1,9,20,16,4,30,6,-10,7,-10,-3,-10,-2,-2,-13,36,14,-3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
084550_2..N01R::1404446400.0,10,14,19,49,16,-1,22,24,20,-4,-7,7,21,-19,-10,-8,14,5,5,28,-1,10,21,13,-5,0,16,57,31,17,12,25,8,7,24,23,-10,18,25,-14,17,-7,-28,-12,43,2,-11,-6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085750_2..N01R::1404446400.0,19,-32,4,45,10,10,6,18,14,38,6,-1,8,-49,-2,2,23,7,-9,11,-10,23,19,-4,10,8,-2,50,13,-11,8,3,4,-8,-7,11,39,-4,7,-7,-9,-8,19,-6,24,14,0,8,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
086950_2..N01R::1404446400.0,25,-5,-9,125,24,15,8,15,-3,,22,-7,15,-49,-4,-11,29,-2,-9,29,-8,28,9,10,9,-8,-6,53,2,-14,9,3,2,18,26,-11,1,50,8,16,-12,12,7,11,-3,30,-7,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088150_2..N01R::1404446400.0,16,16,6,59,-2,-1,11,20,79,-5,52,17,36,-19,13,14,23,-15,-22,-3,-3,0,1,-1,-2,18,18,63,-6,2,16,13,-1,15,15,13,1,0,10,8,-3,8,9,6,8,-3,5,-8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089350_2..N01R::1404446400.0,13,23,-10,40,5,1,-15,12,101,12,12,-11,21,-19,-11,5,-68,1,4,7,-2,7,21,13,4,5,-15,41,11,-11,14,4,-7,-10,11,-8,26,-5,15,6,18,10,17,-2,25,18,-8,-6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090550_2..N01R::1404446400.0,15,-8,-36,19,-5,10,16,20,23,12,3,14,14,161,11,-8,10,22,12,21,-11,24,7,-19,14,22,16,57,15,11,35,39,5,-14,19,21,15,-12,19,25,-3,8,8,23,46,24,-5,23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091750_2..N01R::1404446400.0,5,15,8,41,2,18,11,23,18,5,39,13,31,-19,13,2,5,3,12,19,-11,19,33,9,14,6,11,46,3,-6,-1,16,-6,0,16,16,-21,-6,14,26,7,23,19,-3,20,20,12,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092950_2..N01R::1404446400.0,12,19,29,35,3,-27,14,14,3,8,8,20,16,41,6,10,11,9,-10,-18,18,14,19,13,-3,12,19,57,23,18,2,27,-18,4,4,20,20,10,23,5,6,16,23,9,30,23,6,-15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094150_2..N01R::1404446400.0,12,10,7,14,9,9,3,8,55,15,62,-6,12,-19,-5,0,10,1,5,12,1,17,-1,-8,-15,7,16,39,3,-18,-12,26,-10,2,16,4,-3,15,2,-14,-1,8,27,-9,12,22,6,1,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
095350_2..N01R::1404446400.0,9,16,0,48,-9,39,-1,20,9,25,23,-2,45,-19,-1,17,-30,27,5,2,15,40,3,-25,11,18,5,46,19,7,0,34,-5,-7,17,13,1,9,-19,16,4,0,9,13,43,7,7,33,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
096550_2..N01R::1404446400.0,11,14,4,11,14,8,17,24,17,23,18,2,42,-49,2,-13,3,0,2,21,-1,5,20,-6,11,21,8,56,-1,-5,-38,-20,21,-3,18,8,14,1,20,21,-1,-6,-7,9,19,-28,5,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
097750_2..N01R::1404446400.0,16,-8,-6,34,15,6,7,275,6,17,10,-33,32,-19,-4,0,3,22,12,8,5,7,-11,18,3,1,16,59,18,-4,17,30,17,17,23,-4,24,-4,12,8,-8,21,6,-2,19,-2,-4,-23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098950_2..N01R::1404446400.0,0,3,9,37,16,24,1,17,13,-3,-1,-19,39,-19,-2,-19,0,4,18,9,-16,18,2,-3,-12,14,-4,62,5,-21,-2,37,2,2,20,4,3,11,-19,0,4,7,-3,10,10,6,9,-6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100150_2..N01R::1404446400.0,1,-2,17,29,-12,0,11,26,39,17,20,4,21,-19,28,28,25,-3,15,17,1,24,13,-20,6,17,-5,61,6,-8,-8,27,39,17,19,-8,10,-54,33,25,6,5,2,-2,18,-10,15,-3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101350_2..N01R::1404446400.0,7,16,13,14,-8,-7,13,8,-1,-52,51,10,25,-49,9,12,0,-24,10,24,12,29,-10,0,-2,-11,18,48,5,1,-3,21,-10,-13,12,13,21,-1,14,92,7,0,15,4,12,0,13,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102550_2..N01R::1404446400.0,22,-3,19,13,1,-1,-3,13,60,7,43,11,3,-49,-12,14,9,-7,4,9,-13,13,-1,15,-26,-9,9,62,0,9,4,11,7,-10,10,-4,17,3,-3,1,14,-5,13,7,6,15,-11,-7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103750_2..N01R::1404446400.0,-30,-27,-14,32,11,-1,-4,6,0,-2,87,6,6,-49,0,-15,13,7,0,-7,1,16,14,13,7,-28,1,9,6,-6,-9,30,7,-6,7,-5,10,1,-36,27,3,-9,-9,8,13,9,-16,-7,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104950_2..N01R::1404446400.0,26,-23,-31,-11,7,-3,18,30,67,20,-2,-1,13,11,-11,-6,4,5,-7,0,16,2,-10,-7,5,3,-1,67,5,-27,5,18,4,12,8,4,6,11,17,20,-70,18,-2,16,14,-1,-3,27,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106150_2..N01R::1404446400.0,218,-10,-8,-20,12,-19,13,-1,6,-3,10,10,29,-49,-34,3,0,9,-9,14,16,-2,10,12,8,10,-5,40,-22,-12,3,2,19,-4,18,24,2,-8,13,-1,13,-5,22,-2,20,-21,-9,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107350_2..N01R::1404446400.0,26,-1,0,31,25,19,-8,5,54,9,91,-27,0,-19,-1,-7,-3,23,-1,11,1,-2,-10,16,-9,2,13,66,-10,3,-9,44,5,11,39,-4,24,11,-12,25,-2,-10,4,13,14,17,2,-19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108550_2..N01R::1404446400.0,22,-10,1,6,-13,0,18,1,24,-3,89,-4,7,-49,7,-16,-1,12,1,2,7,10,-15,0,7,-5,14,69,17,-4,-2,20,5,-2,4,14,16,-25,18,19,-18,11,0,3,22,5,-34,-4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109750_2..N01R::1404446400.0,18,-14,1,-25,-7,7,-10,-2,-3,25,-3,4,29,11,6,-11,6,-1,17,7,-2,6,-6,-6,12,-7,23,64,-26,0,19,23,-9,-13,25,9,21,9,20,25,-12,-2,8,10,30,8,-2,-6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110950_2..N01R::1404446400.0,12,13,3,30,-9,-4,5,13,-2,2,72,-10,7,-49,12,-13,-4,9,13,3,-14,-6,-2,-6,-26,-7,21,62,10,1,5,30,-3,-8,9,10,-7,6,11,1,-13,-24,-8,14,16,12,-2,-3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112150_2..N01R::1404446400.0,20,-2,10,23,8,12,5,24,6,6,18,-28,24,-49,-12,15,11,16,2,-1,15,-19,13,21,13,-10,6,62,15,15,3,9,-15,-4,-1,-3,12,-15,14,12,8,-9,19,13,35,27,11,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113450_2..N01R::1404446400.0,10,9,-5,15,11,5,20,41,11,5,14,15,23,-19,-1,-5,33,11,12,17,11,21,-11,-6,11,5,20,66,39,-1,-25,11,-6,-2,8,5,29,6,-3,4,-22,8,-7,-14,22,11,-33,-6,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114800_2..N01R::1404446400.0,34,0,-14,-1,-14,-6,-1,13,3,19,14,-8,18,-19,7,0,8,-4,10,-1,-9,-9,8,10,3,11,16,47,-2,-12,14,2,-12,-10,14,-5,17,-7,-6,16,-1,29,-10,2,16,1,10,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116000_2..N01R::1404446400.0,10,21,6,33,3,-4,16,31,10,-3,5,-7,28,-19,13,8,16,28,7,26,16,-7,-11,15,-8,5,68,52,19,0,-3,8,-15,5,11,22,7,-1,20,35,2,11,19,28,23,15,7,20,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117200_2..N01R::1404446400.0,24,10,-3,65,0,-6,8,-32,19,6,14,-4,31,11,16,-2,29,13,-1,5,9,1,6,-9,-1,1,100,69,19,14,-1,18,0,-13,-3,4,0,18,11,16,12,14,13,-11,41,26,-8,16,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118400_2..N01R::1404446400.0,15,15,17,18,-4,-2,15,27,8,31,29,-8,25,11,8,9,15,22,12,23,-14,27,-9,0,3,13,40,66,21,-3,-28,28,10,17,3,12,3,-1,26,5,6,26,8,3,7,7,15,-10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
