,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
046250_5..S04R::1404705600.0,-61,6,19,-79,77,,,-9,17,,-6,30,,-13,24,,24,25,1,19,22,-22,20,-3,31,38,,47,,,,,,-4,6,4,1,-3,46,41,,,,,,,,,,,,,,,,,,,,,,,,
047100_5..S04R::1404705600.0,-33,36,42,-49,127,,,20,19,,9,51,,30,10,,26,52,15,82,2,39,38,21,38,51,,256,,,,,,5,1,27,-116,-4,27,46,,,,,,,,,,,,,,,,,,,,,,,,
047150_5..S11R::1404705600.0,,,32,,189,,,,62,,,34,,,10,,4,58,,6,,,48,43,14,58,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,41,3,5,-5,-2,4,7,2,9,
048150_5..S04R::1404705600.0,52,10,26,41,131,,,-2,26,,-27,33,,16,28,,24,12,12,39,0,15,36,25,26,57,,68,,,,,,1,21,17,6,4,370,40,,,,,,,,,,,,,,,,,,,,,,,,
048250_5..S09R::1404705600.0,33,37,44,,134,,,,28,,-12,73,,,26,,42,33,,23,9,,41,43,24,19,,56,,,,,,24,21,19,-65,54,61,14,,,,,,,,,,,,,,,101,4,7,18,11,4,-1,15,38,
048400_5..S23R::1404705600.0,,,21,,,,,,30,,,-169,,,38,,-43,9,,,,,,,20,52,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048950_5..S09R::1404705600.0,-6,5,-4,,38,,,,76,,0,59,,,50,,22,19,,38,1,,33,35,19,100,,47,,,,,,20,-13,-5,-158,-5,7,38,,,,,,,,,,,,,,,-49,0,8,-1,15,-10,-1,3,32,
049100_5..S14R::1404705600.0,,,22,41,149,,,15,-22,,,78,,9,5,,10,30,11,39,,16,32,18,24,33,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049950_5..S04R::1404705600.0,12,31,5,-79,126,,,10,45,,-9,58,,32,13,,16,20,25,39,15,26,38,19,11,97,,48,,,,,,4,15,-62,-144,3,55,59,,,,,,,,,,,,,,,,,,,,,,,,
050550_5..S14R::1404705600.0,,,57,41,55,,,-25,12,,,34,,20,23,,1,31,12,34,,7,36,4,15,37,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051600_5..S04R::1404705600.0,-39,14,13,-19,31,,,-3,78,,-28,17,,17,51,,23,14,13,35,24,10,22,22,35,17,,16,,,,,,5,10,9,21,11,21,57,,,,,,,,,,,,,,,,,,,,,,,,
052200_5..S04R::1404705600.0,5,3,41,-19,33,,,16,45,,-53,21,,12,27,,46,30,0,-13,-26,3,20,26,18,33,,28,,,,,,12,21,11,-83,17,-14,39,,,,,,,,,,,,,,,,,,,,,,,,
052850_5..S04R::1404705600.0,1,25,22,-79,2,,,20,81,,1,17,,31,32,,37,22,20,23,26,14,52,33,4,91,,40,,,,,,26,-3,-6,-45,7,42,51,,,,,,,,,,,,,,,,,,,,,,,,
053050_5..S03R::1404705600.0,24,29,-4,71,24,10,,29,8,20,29,25,0,19,14,-5,32,11,12,34,12,7,61,30,37,70,7,38,7,24,,,,45,0,25,-9,8,129,62,,,,,,,,,,,,,,,,,,,,,,,,
053650_5..S03R::1404705600.0,-37,-5,19,101,20,17,,1,34,4,28,14,-9,-2,15,-6,33,18,34,37,2,2,22,18,17,64,12,32,-6,16,,,,34,19,4,-139,16,34,61,,,,,,,,,,,,,,,,,,,,,,,,
054800_5..S03R::1404705600.0,1,19,27,-79,21,37,,10,7,6,16,9,14,5,172,179,2,20,3,1,18,3,34,-94,13,27,22,21,2,19,,,,11,-9,24,-174,11,24,48,,,,,,,,,,,,,,,,,,,,,,,,
055500_5..S12R::1404705600.0,,,28,,23,26,,,9,11,,6,18,,11,71,22,11,,9,,,46,-109,-15,53,18,53,13,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056100_5..S03R::1404705600.0,-42,8,87,-19,9,3,,6,21,-11,25,26,5,-17,25,4,28,-9,0,22,8,3,12,11,11,30,9,30,-5,-11,,,,27,21,19,-201,6,-34,48,,,,,,,,,,,,,,,,,,,,,,,,
056900_5..S03R::1404705600.0,229,17,9,-19,14,,,11,32,,8,20,5,6,-1,-27,24,20,37,13,88,3,31,29,18,33,2,29,-3,,,,,-11,-21,9,-239,-3,2,30,,,,,,,,,,,,,,,,,,,,,,,,
057700_5..S03R::1404705600.0,-57,14,3,-19,-8,12,,4,7,16,26,15,0,1,45,-3,22,-1,-1,13,1,7,44,0,6,-5,134,-24,,7,,,,6,11,5,-190,15,12,26,,,,,,,,,,,,,,,,,,,,,,,,
058500_5..S03R::1404705600.0,21,32,15,-49,-3,31,,14,12,-2,12,12,11,5,24,7,24,-16,5,15,-5,4,41,2,-8,18,-7,18,5,-2,,,,16,21,20,-191,8,0,63,,,,,,,,,,,,,,,,,,,,,,,,
059300_5..S03R::1404705600.0,19,119,2,11,-79,4,,3,11,16,5,16,-10,0,1,18,11,1,0,20,30,4,19,10,0,24,2,46,11,3,,,,25,17,19,-200,1,27,53,,,,,,,,,,,,,,,,,,,,,,,,
060100_5..S03R::1404705600.0,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060900_5..S03R::1404705600.0,32,25,12,-79,3,20,,5,14,5,12,22,21,4,-1,-10,6,22,35,14,-2,37,49,24,14,58,4,40,-15,11,,,,-25,1,1,-107,2,19,56,,,,,,,,,,,,,,,,,,,,,,,,
