,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
098850_5..S03R::1404705600.0,31,34,-28,-19,12,10,,19,30,-4,10,15,7,13,4,4,39,22,8,53,30,-24,16,31,20,51,26,32,-1,12,,,,14,7,3,24,17,112,54,,,,,,,,,,,,,,,,,,,,,,,,
099550_5..S07R::1404705600.0,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100150_5..S03R::1404705600.0,,,,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101050_5..S03R::1404705600.0,12,34,53,-49,-8,-2,,-8,13,17,25,26,-3,19,23,-5,24,21,17,41,12,-12,164,23,155,78,-18,29,16,5,,,,-5,24,4,24,19,16,44,,,,,,,,,,,,,,,,,,,,,,,,
097350_5..S::1404705600.0,5,58,25,,-18,17,,,6,,0,-4,,,8,,38,14,,17,9,,0,,10,35,,11,,,,,,-2,-6,3,11,-56,42,39,,,,,,,,,,,,,,,,,,,,,,,,
102000_5..S03R::1404705600.0,45,26,21,-49,4,19,,6,28,-25,12,40,16,3,37,13,21,30,5,-4,28,10,31,16,23,31,6,18,247,12,,,,1,5,4,27,22,59,55,,,,,,,,,,,,,,,,,,,,,,,,
102800_5..S03R::1404705600.0,26,-23,12,-19,12,-2,,2,7,9,20,-99,19,21,12,-23,36,25,17,10,16,9,39,12,10,38,23,33,-1,20,,,,9,5,19,13,112,21,45,,,,,,,,,,,,,,,,,,,,,,,,
099900_5..S07R::1404705600.0,31,21,28,-49,14,12,5,34,3,-2,28,10,7,20,-22,19,13,36,12,-26,22,7,33,7,29,42,25,50,-6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104000_5..S03R::1404705600.0,9,28,8,-229,-2,12,,10,27,2,20,21,9,3,2,8,35,38,27,-2,32,24,25,1,-7,29,14,120,23,11,,,,36,11,6,19,-6,83,35,,,,,,,,,,,,,,,,,,,,,,,,
104800_5..S03R::1404705600.0,17,57,67,-49,11,10,,11,45,20,-20,13,-12,28,46,12,41,15,22,35,35,16,54,24,30,70,35,86,1,20,,,,5,-15,7,23,8,13,55,,,,,,,,,,,,,,,,,,,,,,,,
106000_5..S03R::1404705600.0,17,22,25,-139,-10,26,,-6,27,-25,28,16,-8,-8,82,-7,6,-22,27,12,9,29,41,48,7,42,-10,36,3,-6,,,,3,5,4,-35,17,-5,50,,,,,,,,,,,,,,,,,,,,,,,,
107200_5..S03R::1404705600.0,2,15,37,-19,-7,9,,25,28,-8,29,6,4,19,-50,1,19,19,20,13,20,-5,52,4,13,69,8,70,16,12,,,,20,25,-22,18,5,12,47,,,,,,,,,,,,,,,,,,,,,,,,
108000_5..S03R::1404705600.0,6,6,0,-49,12,-7,,13,23,-12,-2,5,1,9,7,4,39,9,8,20,3,12,27,18,19,-1,15,15,2,-36,,,,9,17,16,-32,-4,5,52,,,,,,,,,,,,,,,,,,,,,,,,
109200_5..S03R::1404705600.0,45,35,37,-19,24,7,,4,43,-8,28,5,2,16,38,1,20,26,37,19,44,27,34,21,26,57,18,41,-4,15,,,,11,17,2,18,-37,-25,46,,,,,,,,,,,,,,,,,,,,,,,,
110400_5..S03R::1404705600.0,34,16,32,-49,6,-16,,17,13,6,29,-4,-11,10,-3,21,7,15,9,10,9,9,44,9,4,38,8,32,-10,12,,,,-5,-2,-7,-25,-3,-19,31,,,,,,,,,,,,,,,,,,,,,,,,
111250_5..S03R::1404705600.0,58,18,10,-49,-3,-19,,12,1,-3,5,21,13,9,16,15,1,-9,12,11,-5,15,100,-38,20,15,-2,35,11,7,,,,1,-27,5,8,6,16,38,,,,,,,,,,,,,,,,,,,,,,,,
112450_5..S03R::1404705600.0,0,17,18,-49,2,13,,8,25,5,6,9,15,-3,3,21,-31,21,-2,17,7,-3,81,5,30,38,4,33,15,6,,,,5,7,5,27,-9,-3,40,,,,,,,,,,,,,,,,,,,,,,,,
113250_5..S03R::1404705600.0,21,62,-1,-79,7,-55,,35,7,-14,10,3,-25,18,11,13,34,-6,22,20,42,-2,34,3,-5,16,8,29,-4,-9,,,,-16,-8,19,11,-2,29,54,,,,,,,,,,,,,,,,,,,,,,,,
114050_5..S03R::1404705600.0,12,129,2,11,-8,-13,,1,11,12,14,-14,-15,22,-6,-11,2,33,20,19,12,21,30,1,22,8,-6,27,15,-18,,,,11,-67,46,8,0,13,40,,,,,,,,,,,,,,,,,,,,,,,,
115250_5..S07R::1404705600.0,34,28,28,-19,16,-5,15,23,24,17,26,7,0,16,7,2,9,-50,8,0,18,10,33,14,-8,38,21,36,1,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116050_5..S07R::1404705600.0,67,36,19,-19,-10,23,15,1,36,8,23,12,-6,29,-28,-1,36,21,15,28,28,20,11,23,6,10,30,22,-2,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117050_5..S07R::1404705600.0,29,38,10,-19,0,7,9,4,41,-8,16,22,6,-2,13,29,21,-1,27,12,4,24,45,15,-1,165,11,37,-36,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118150_5..S07R::1404705600.0,34,26,32,221,30,-18,21,21,26,-8,27,11,-27,9,3,5,12,6,8,25,26,6,45,37,6,51,35,53,-4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119200_5..S08R::1404705600.0,,,40,11,6,20,,1,23,6,,44,17,20,20,15,19,8,17,-30,,13,28,11,-23,46,26,42,-1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120400_5..S08R::1404705600.0,,,15,11,13,25,,6,2,14,,-5,0,3,-49,3,-87,-4,4,28,,7,36,5,1,11,9,8,-9,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121650_5..S08R::1404705600.0,,,0,-169,-40,10,,6,14,2,,21,-42,-17,2,18,7,-60,5,-5,,7,117,-4,-8,9,-8,26,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122650_5..S08R::1404705600.0,,,-1,-109,-75,5,,20,4,-6,,-7,6,17,12,27,7,23,16,20,,11,60,5,5,21,20,5,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123500_5..S08R::1404705600.0,,,26,-49,5,31,,26,5,-19,,13,13,10,13,-18,-68,3,28,4,,17,18,52,17,43,3,47,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124800_5..S08R::1404705600.0,,,14,-19,27,5,,19,34,-2,,-5,12,16,13,13,13,-27,15,0,,19,37,12,-8,3,-19,30,-4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125900_5..S08R::1404705600.0,,,10,-49,19,11,,9,18,13,,11,-3,4,28,-9,,11,5,21,,10,47,40,-2,14,11,38,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126600_5..S08R::1404705600.0,,,-5,11,20,12,,13,10,6,,-8,-34,11,-5,6,5,13,6,-23,,13,99,17,4,34,-8,13,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127600_5..S08R::1404705600.0,,,1,71,34,9,,30,16,-3,,19,10,12,1,12,9,14,-26,2,,4,35,18,0,8,12,25,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128650_5..S08R::1404705600.0,,,10,191,23,38,,10,-11,9,,2,12,3,3,-5,6,5,27,-22,,-4,54,29,-1,17,1,45,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129750_5..S08R::1404705600.0,,,27,41,-21,22,,32,26,12,,1,-10,19,6,16,6,-2,16,21,,18,45,0,-4,10,-2,60,1,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131050_5..S08R::1404705600.0,,,19,11,-30,24,,16,16,8,,-7,16,-28,28,14,21,23,26,35,,17,50,12,11,42,24,20,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132200_5..S08R::1404705600.0,,,-3,41,11,13,,5,10,2,,4,12,24,18,1,18,11,22,19,,18,-5,34,17,35,21,27,3,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133300_5..S01R::1404705600.0,,,,11,,,,32,,,,,,13,,,,,37,,,25,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134600_5..S01R::1404705600.0,,,,41,,,,-13,,,,,,-26,,,,,-15,,,-16,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136600_5..S01R::1404705600.0,,,,-19,,,,0,,,,,,24,,,,,25,,,-1,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138200_5..S01R::1404705600.0,,,,41,,,,30,,,,,,14,,,,,9,,,-6,,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140200_5..S01R::1404705600.0,,,,11,,,,13,,,,,,9,,,,,6,,,9,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142200_5..S32R::1404705600.0,,,,71,,,,-15,,,,,,,,,,,1,,,22,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32R::1404792000.0,,,,,,,,109,,,,,,14,,,,,21,,,21,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32R::1404792000.0,,,,221,,,,31,,,,,,18,,,,,45,,,5,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004200_5..S32R::1404792000.0,,,,-49,,,,32,,,,,,5,,,,,32,,,28,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006200_5..S32R::1404792000.0,,,,131,,,,17,,,,,,6,,,,,30,,,16,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008200_5..S32R::1404792000.0,,,,11,,,,6,,,,,,8,,,,,16,,,23,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010200_5..S32R::1404792000.0,,,,-19,,,,-8,,,,,,10,,,,,3,,,-9,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012200_5..S32R::1404792000.0,,,,11,,,,-18,,,,,,1,,,,,33,,,6,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014200_5..S32R::1404792000.0,,,,71,,,,15,,,,,,16,,,,,-5,,,5,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016200_5..S32R::1404792000.0,,,,-19,,,,23,,,,,,16,,,,,20,,,22,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018200_5..S32R::1404792000.0,,,,-19,,,,13,,,,,,2,,,,,-12,,,7,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020200_5..S32R::1404792000.0,,,,11,,,,2,,,,,,6,,,,,15,,,9,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022200_5..S32R::1404792000.0,,,,101,,,,8,,,,,,26,,,,,22,,,7,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024200_5..S32R::1404792000.0,,,,71,,,,12,,,,,,-12,,,,,29,,,6,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026200_5..S32R::1404792000.0,,,,-19,,,,-20,,,,,,8,,,,,36,,,2,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028200_5..S32R::1404792000.0,,,,-19,,,,9,,,,,,1,,,,,1,,,53,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029900_5..S32R::1404792000.0,,,,101,,,,21,,,,,,17,,,,,15,,,12,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031200_5..S02R::1404792000.0,4,20,38,,5,30,,,28,14,29,11,-5,,30,21,24,23,,11,2,,41,41,15,33,20,-5,23,37,,,,11,19,17,-34,19,29,39,,,,,,,,,,,,,,,,,,,,,,,,
031250_5..S03R::1404792000.0,-26,43,32,101,12,9,,2,24,-7,18,-34,4,-2,30,-3,14,23,26,9,15,26,39,19,1,39,3,26,1,21,,,,3,18,12,-143,,,,,,,,,,,,,,,,,,,,,,,,,,,
032450_5..S03R::1404792000.0,13,16,14,41,3,6,,4,28,-2,30,18,13,-5,14,15,12,-3,26,95,-2,1,50,13,-1,39,2,36,18,11,,,,15,-6,-4,12,4,12,67,,,,,,,,,,,,,,,,,,,,,,,,
033300_5..S03R::1404792000.0,18,33,14,161,9,15,,5,17,1,14,56,16,29,1,7,5,4,21,15,17,22,38,21,-3,13,18,34,-2,16,,,,18,16,13,0,-7,-3,50,,,,,,,,,,,,,,,,,,,,,,,,
034300_5..S03R::1404792000.0,17,35,9,41,0,13,,19,-31,5,-6,23,-7,16,15,-3,23,18,20,-1,-6,-17,33,4,-4,20,0,27,14,-24,,,,8,4,9,-50,6,18,36,,,,,,,,,,,,,,,,,,,,,,,,
035100_5..S03R::1404792000.0,18,15,17,11,-1,21,,-26,27,12,7,15,-3,-8,32,-5,23,10,21,18,19,20,17,-3,32,36,21,46,1,-11,,,,31,21,-14,-89,19,-9,60,,,,,,,,,,,,,,,,,,,,,,,,
036350_5..S04R::1404792000.0,21,14,7,11,20,,,15,7,,0,10,,11,10,,12,22,9,18,18,13,49,40,24,30,,36,,,,,,1,5,8,-34,18,-7,35,,,,,,,,,,,,,,,,,,,,,,,,
036950_5..S04R::1404792000.0,2,-2,4,11,3,,,19,14,,10,24,,31,19,,-1,2,20,22,-17,23,32,46,22,29,,13,,,,,,18,21,-10,10,7,103,37,,,,,,,,,,,,,,,,,,,,,,,,
037550_5..S04R::1404792000.0,29,74,14,-49,-6,,,20,5,,14,26,,12,16,,-28,-4,38,38,22,24,33,12,22,28,,19,,,,,,25,21,16,26,15,24,47,,,,,,,,,,,,,,,,,,,,,,,,
037800_5..S09R::1404792000.0,35,13,17,,29,,,,18,,-6,3,,,28,,-5,2,,43,38,,63,42,-4,38,,21,,,,,,13,13,8,-44,10,97,62,,,,,,,,,,,,,,,-19,21,21,-3,21,6,5,21,12,
038700_5..S04R::1404792000.0,38,3,0,11,7,,,21,27,,0,49,,33,24,,18,26,-9,-3,8,-16,38,23,-5,19,,0,,,,,,-14,-9,-8,22,20,87,61,,,,,,,,,,,,,,,,,,,,,,,,
038750_5..S09R::1404792000.0,7,36,16,,-114,,,,21,,25,13,,,16,,17,30,,44,-4,,31,32,17,36,,43,,,,,,25,3,3,-2,-8,61,64,,,,,,,,,,,,,,,71,7,17,5,-26,8,-22,-10,-1,
039900_5..S04R::1404792000.0,19,42,7,-49,-26,,,20,26,,18,20,,4,24,,14,14,25,26,-33,17,33,28,36,56,,52,,,,,,10,7,27,25,34,11,43,,,,,,,,,,,,,,,,,,,,,,,,
040200_5..S09R::1404792000.0,3,25,15,,6,,,,11,,28,40,,,-53,,20,23,,9,20,,23,21,30,31,,30,,,,,,26,14,-22,-23,23,17,56,,,,,,,,,,,,,,,71,10,12,-7,27,-10,-3,16,25,
040950_5..S09R::1404792000.0,12,17,16,,-91,,,,25,,8,23,,,-2,,4,-1,,14,29,,34,26,-6,43,,25,,,,,,5,-19,8,60,26,3,50,,,,,,,,,,,,,,,191,-2,9,1,1,7,-14,12,24,
041100_5..S04R::1404792000.0,17,69,-17,-19,7,,,2,14,,35,25,,23,18,,20,35,22,91,-2,26,38,21,21,46,,41,,,,,,35,22,-10,-51,3,21,40,,,,,,,,,,,,,,,,,,,,,,,,
041900_5..S04R::1404792000.0,219,-15,25,11,28,,,1,28,,16,11,,21,-3,,-1,-14,-11,1,7,-6,98,29,-23,32,,18,,,,,,6,14,13,5,3,35,43,,,,,,,,,,,,,,,,,,,,,,,,
042050_5..S09R::1404792000.0,-77,377,27,,-30,,,,13,,11,30,,,-7,,39,24,,11,-128,,106,23,22,24,,4,,,,,,29,-1,0,-69,-14,-9,55,,,,,,,,,,,,,,,-19,-9,0,-13,18,-10,-3,-14,20,
031250_5..S::1404792000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,39,,,,,,,,,,,,,,,,,,,,,,,,
042900_5..S04R::1404792000.0,,,523,41,-62,,,8,,,,52,,22,,,,27,12,11,,11,42,4,37,23,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043050_5..S15R::1404792000.0,37,-18,54,,9,,4,,51,,49,44,,,65,,16,31,,13,9,,50,6,28,52,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,71,4,11,-4,-35,-3,3,-8,38,
043750_5..S09R::1404792000.0,73,12,38,,-96,,,,36,,10,84,,,10,,50,7,,20,26,,79,24,32,248,,60,,,,,,0,3,60,-89,-38,32,27,,,,,,,,,,,,,,,41,17,-10,4,4,4,10,1,10,
043900_5..S04R::1404792000.0,10,25,42,-19,108,,,22,43,,18,37,,10,6,,23,19,34,30,19,2,48,24,27,32,,256,,,,,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044750_5..S04R::1404792000.0,37,33,16,41,20,,,22,34,,13,79,,11,18,,29,25,7,35,17,27,40,-35,11,57,,56,,,,,,12,-53,11,-70,6,6,57,,,,,,,,,,,,,,,,,,,,,,,,
044950_5..S09R::1404792000.0,35,33,65,,43,,,,45,,39,52,,,32,,14,18,,32,37,,30,-131,68,68,,68,,,,,,19,10,5,16,16,68,39,,,,,,,,,,,,,,,-19,4,4,12,-21,6,10,-2,51,
045700_5..S06R::1404792000.0,30,-9,47,11,131,,6,-25,33,,20,59,,27,22,,68,18,24,67,-12,21,21,-49,22,82,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046250_5..S15R::1404792000.0,-20,17,4,,-36,,2,,7,,31,44,,,-10,,2,41,,25,-12,,47,5,37,69,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,-19,20,-5,-16,-12,-6,0,-4,20,
046250_5..S04R::1404792000.0,,,,-79,,,,-1,,,,,,-4,,,,,20,29,,21,-110,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047100_5..S04R::1404792000.0,42,17,18,-139,-64,,,-1,-30,,12,20,,24,38,,10,22,23,71,4,-2,44,24,42,85,,49,,,,,,11,-11,-6,-102,-14,1,60,,,,,,,,,,,,,,,,,,,,,,,,
047150_5..S11R::1404792000.0,,,27,,2,,,,-9,,,22,,,27,,-2,47,,52,,,70,24,29,54,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,41,18,-7,9,3,7,10,-6,35,
048150_5..S04R::1404792000.0,122,25,32,-19,79,,,-16,32,,16,52,,30,7,,26,32,-7,62,20,13,37,30,58,54,,48,,,,,,80,75,76,39,-49,,45,,,,,,,,,,,,,,,,,,,,,,,,
048250_5..S09R::1404792000.0,116,13,64,,69,,,,35,,26,47,,,7,,31,21,,18,27,,52,17,7,-14,,52,,,,,,-57,7,5,-68,17,-63,-87,,,,,,,,,,,,,,,41,10,42,14,8,3,1,15,13,
048400_5..S23R::1404792000.0,,,,,,,,,,,,6581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
048950_5..S09R::1404792000.0,7,-23,13,,-85,,,,28,,26,30,,,28,,189,39,,27,21,,42,23,21,54,,45,,,,,,17,12,-13,-145,,,11,,,,,,,,,,,,,,,191,,,-19,16,16,17,6,39,
049100_5..S14R::1404792000.0,,,29,-49,140,,,15,24,,,38,,12,6,,16,7,15,35,,20,44,17,21,47,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049950_5..S04R::1404792000.0,35,99,36,-49,-41,,,29,75,,91,62,,18,99,,21,-12,13,28,70,9,47,89,23,58,,64,,,,,,-18,,,-146,-38,66,36,,,,,,,,,,,,,,,,,,,,,,,,
050550_5..S14R::1404792000.0,,,107,-49,-7,,,1,-8,,,43,,22,-2,,4,-6,28,47,,0,44,8,11,40,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051600_5..S04R::1404792000.0,-15,45,73,-79,34,,,19,135,,10,22,,2,93,,27,36,26,0,17,21,22,17,42,38,,52,,,,,,-1,-27,-7,-55,-5,199,52,,,,,,,,,,,,,,,,,,,,,,,,
046250_5..S::1404792000.0,104,14,,,,,,,,,401,,,,,,,,,,,,59,,,,,,,,11,57,27,16,-6,-1,-7,-8,91,42,14,10,12,37,34,43,17,13,25,11,29,39,19,19,,,,,,,,,,-58
052200_5..S04R::1404792000.0,-10,-1,126,11,13,,,8,9,,,26,,37,,,19,60,18,52,4,20,54,35,22,53,,-24,,,,,,13,,1,-67,2,14,55,,,,,,,,,,,,,,,,,,,,,,,,
052850_5..S04R::1404792000.0,-16,2,28,-109,6,,,12,47,,36,19,,31,31,,12,48,23,102,-283,-10,38,15,4,-24,,96,,,,,,12,2,1,-45,11,115,58,,,,,,,,,,,,,,,,,,,,,,,,
053050_5..S03R::1404792000.0,,,,131,,,,4,,,,,,-1,,,,,-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053650_5..S03R::1404792000.0,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054800_5..S03R::1404792000.0,45,13,-4,191,17,26,,22,32,10,1,104,-1,19,247,5,14,75,17,13,24,21,25,-96,-161,71,19,13,2,-9,,,,18,2,38,-116,36,19,48,,,,,,,,,,,,,,,,,,,,,,,,
055500_5..S12R::1404792000.0,,,-357,,11,28,,,-28,15,,13,-2,,29,2,,96,,4,,,41,101,51,-96,0,17,7,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
056100_5..S03R::1404792000.0,-47,12,207,11,-169,-29,,-13,50,14,-5,30,56,8,19,60,-3,14,6,82,12,6,19,11,-194,,14,18,22,-14,,,,19,16,13,-183,14,-5,49,,,,,,,,,,,,,,,,,,,,,,,,
043900_5..S::1404792000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,28,,,19,,,,,,,,,,,,,,,,,,,,,,,,
053850_5..S03R::1404792000.0,26,-10,28,,23,4,,,-77,15,3,64,-2,,,21,,19,-2,75,26,-4,29,23,36,158,-12,41,21,9,,,,7,16,9,5,36,123,64,,,,,,,,,,,,,,,,,,,,,,,,
056900_5..S03R::1404792000.0,-37,98,16,131,-83,-52,,14,-3,,7,9,,11,34,-6,9,-44,13,14,13,9,15,92,-115,11,79,10,92,52,,,,9,15,16,-203,7,17,66,,,,,,,,,,,,,,,,,,,,,,,,
057700_5..S03R::1404792000.0,-32,29,76,41,297,7,,-37,-28,-6,13,36,-27,63,16,,20,26,82,38,28,66,50,-45,-5,33,13,58,-5,9,,,,21,11,12,-184,-7,3,24,,,,,,,,,,,,,,,,,,,,,,,,
058500_5..S03R::1404792000.0,24,18,21,101,-5,,,78,22,4,11,5,-12,-12,21,18,18,6,,7,221,8,3,9,22,66,22,42,-29,,,,,17,-10,-5,-191,17,115,18,,,,,,,,,,,,,,,,,,,,,,,,
059300_5..S03R::1404792000.0,58,42,26,-19,-5,-3,,17,8,-15,23,17,,12,-6,19,4,4,13,26,36,-14,35,,8,29,-1,22,12,-1,,,,30,-19,-15,-227,42,51,38,,,,,,,,,,,,,,,,,,,,,,,,
060100_5..S03R::1404792000.0,-26,6,10,-49,-8,20,,15,-10,3,2,31,13,17,14,-13,-1,-6,23,32,-1,-4,35,28,10,58,-5,16,-16,-16,,,,10,-69,-1,-211,3,70,36,,,,,,,,,,,,,,,,,,,,,,,,
060900_5..S03R::1404792000.0,22,0,36,-19,10,14,,-20,-14,0,-69,59,8,-28,27,6,-7,6,27,12,2,21,28,45,0,37,8,44,7,19,,,,27,-5,20,-208,22,29,-121,,,,,,,,,,,,,,,,,,,,,,,,
061700_5..S03R::1404792000.0,29,7,19,11,32,29,,7,43,7,28,13,21,24,-1,16,33,17,15,46,36,48,32,28,38,51,25,14,-6,6,,,,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062500_5..S03R::1404792000.0,-137,44,63,-49,11,7,,24,34,-11,8,25,2,12,6,4,8,26,63,21,17,59,25,2,17,44,17,54,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063300_5..S03R::1404792000.0,,,69,11,22,19,,9,34,8,,6,18,25,7,16,10,60,57,2,,37,33,7,-2,79,19,42,-5,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064100_5..S03R::1404792000.0,,,11,-49,15,9,,12,-32,-6,,16,6,6,,5,,17,34,37,,56,42,32,37,51,17,48,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
064900_5..S03R::1404792000.0,,,,11,11,2,,11,,9,,17,16,29,,7,,34,23,39,,28,-18,19,33,-1,23,,-2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065700_5..S03R::1404792000.0,,,,41,47,30,,2,,-18,,15,-39,28,,21,,-57,25,24,,13,48,2,,,-6,,35,-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066500_5..S03R::1404792000.0,,,,-19,13,5,,-2,,-5,,-125,-21,23,,13,,,19,6,,48,34,9,,,-2,,-88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067300_5..S03R::1404792000.0,,,,-49,,21,,9,,9,,,25,-6,,7,,,17,,,-9,,6,,,5,,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068100_5..S03R::1404792000.0,,,,11,,,,9,,,,,,6,,,,,29,,,46,,14,,,1,,11,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068900_5..S03R::1404792000.0,,,,101,,,,21,,,,,,28,,,,,22,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069700_5..S03R::1404792000.0,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070500_5..S03R::1404792000.0,,,,-379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071300_5..S03R::1404792000.0,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071900_5..S03R::1404792000.0,,,,-1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072900_5..S03R::1404792000.0,,,,-1819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
