,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
75,1404433451,116100_3..S01R,20140703,255S,1404433446,1404433446,3,1404360000.0,116100_3..S01R::1404360000.0,False,True
81,1404433451,118500_3..S01R,20140703,232S,1404433453,1404433453,3,1404360000.0,118500_3..S01R::1404360000.0,False,False
285,1404433481,116900_3..S01R,20140703,249S,1404433465,1404433465,3,1404360000.0,116900_3..S01R::1404360000.0,False,True
293,1404433481,120100_3..S01R,20140703,128S,1404433461,1404433461,3,1404360000.0,120100_3..S01R::1404360000.0,False,True
295,1404433481,121000_3..S01R,20140703,123S,1404433485,1404433485,3,1404360000.0,121000_3..S01R::1404360000.0,False,False
297,1404433481,122000_3..S01R,20140703,224S,1404433467,1404433467,3,1404360000.0,122000_3..S01R::1404360000.0,False,True
489,1404433511,116100_3..S01R,20140703,256S,1404433525,1404433525,3,1404360000.0,116100_3..S01R::1404360000.0,False,False
493,1404433511,117700_3..S01R,20140703,239S,1404433505,1404433505,3,1404360000.0,117700_3..S01R::1404360000.0,False,True
700,1404433541,118500_3..S01R,20140703,233S,1404433537,1404433537,3,1404360000.0,118500_3..S01R::1404360000.0,False,True
702,1404433541,119200_3..S01R,20140703,229S,1404433528,1404433528,3,1404360000.0,119200_3..S01R::1404360000.0,False,True
717,1404433541,117300_3..S01R,20140703,248S,1404433534,1404433534,3,1404360000.0,117300_3..S01R::1404360000.0,False,True
900,1404433571,116900_3..S01R,20140703,250S,1404433566,1404433566,3,1404360000.0,116900_3..S01R::1404360000.0,False,True
912,1404433571,122000_3..S01R,20140703,225S,1404433565,1404433565,3,1404360000.0,122000_3..S01R::1404360000.0,False,True
1110,1404433601,119200_3..S01R,20140703,230S,1404433596,1404433596,3,1404360000.0,119200_3..S01R::1404360000.0,False,True
1112,1404433601,120100_3..S01R,20140703,132S,1404433600,1404433600,3,1404360000.0,120100_3..S01R::1404360000.0,False,True
1309,1404433631,117700_3..S01R,20140703,248S,1404433629,1404433629,3,1404360000.0,117700_3..S01R::1404360000.0,False,True
1328,1404433631,117300_3..S01R,20140703,249S,1404433624,1404433624,3,1404360000.0,117300_3..S01R::1404360000.0,False,True
1505,1404433661,116100_3..S01R,20140703,257S,1404433592,1404433592,3,1404360000.0,116100_3..S01R::1404360000.0,False,True
1511,1404433661,118500_3..S01R,20140703,234S,1404433645,1404433645,3,1404360000.0,118500_3..S01R::1404360000.0,False,True
1519,1404433661,122000_3..S01R,20140703,226S,1404433652,1404433652,3,1404360000.0,122000_3..S01R::1404360000.0,False,True
