,255S,249S,239S,232S,229S,128S,123S,224S,301S,248S,256S,233S,250S,132S,127S,225S,257S,234S,230S,251S,226S,231S,137S,235S,227S,252S,120S,236S,237S,253S,302S,228S,254S,238S
033400_3..S42R::1404446400.0,,,,,,,11,-19,41,,,,,,39,-17,,,,,-8,,,,-7,,8,,,,-13,,,
034100_3..S01R::1404446400.0,-13,-4,3,2,-3,-14,-2,3,41,-7,-18,-12,-1,22,12,6,62,17,-3,-18,-16,-9,13,13,-11,4,-6,2,4,-12,-15,12,1,11
035300_3..S42R::1404446400.0,,,,,,,-5,-3,-19,,,,,,40,-13,,,,,10,,,,7,,1,,,,67,,,
035650_3..S01R::1404446400.0,11,2,-33,-1,0,-10,16,-8,11,-6,0,10,3,2,21,-10,69,0,-12,-14,0,-9,23,15,-2,7,-8,4,2,-13,-16,-3,-2,8
036850_3..S01R::1404446400.0,13,-10,11,4,7,11,-3,-11,-19,18,4,9,16,9,14,-11,67,1,17,-13,-77,12,16,-12,3,2,10,8,2,-14,6,33,1,-11
038050_3..S01R::1404446400.0,16,19,15,10,8,24,20,-33,11,21,4,-9,30,31,-7,-7,72,14,3,-10,-3,1,31,16,-6,1,-6,-6,18,6,-6,15,10,18
039250_3..S01R::1404446400.0,9,11,63,10,8,-10,9,6,-19,5,-25,62,11,-12,14,5,42,171,23,2,-20,0,9,1,12,7,13,-16,9,-13,-11,11,3,11
040400_3..S01R::1404446400.0,-9,-37,40,1,22,12,-5,6,-19,-5,-13,7,-30,30,56,9,63,10,12,-12,11,-1,37,9,-3,7,56,-17,0,-11,-21,51,7,18
041600_3..S01R::1404446400.0,-5,9,10,4,18,27,-8,3,-19,0,-11,-66,-24,-6,46,0,52,45,10,8,9,-5,1,2,9,-17,64,-16,-17,-3,11,4,10,12
042800_3..S01R::1404446400.0,12,6,18,-7,-1,-14,22,44,11,4,-2,5,-31,-65,8,-19,40,22,13,4,-13,14,16,15,17,-15,-5,0,-4,-4,12,3,8,-1
044000_3..S01R::1404446400.0,-2,-8,19,-7,-8,-2,10,1,-19,19,-6,2,50,12,2,-1,54,-1,13,8,7,-10,80,-2,9,-6,93,-13,-14,7,8,18,15,-9
045200_3..S01R::1404446400.0,-20,-10,24,-17,-11,11,-12,-7,-19,15,6,-1,-11,-4,6,-8,52,28,13,-2,0,3,151,14,-3,12,55,4,4,-9,3,7,1,4
046400_3..S01R::1404446400.0,20,14,25,15,14,21,21,15,11,15,4,-10,-29,16,30,6,49,34,-4,5,5,11,39,18,-1,11,13,-2,-8,14,11,22,20,21
047600_3..S01R::1404446400.0,-11,-9,20,-9,12,63,20,1,11,23,6,-8,-16,-5,20,-8,42,41,19,7,23,-5,29,2,-4,15,8,10,-4,12,-14,7,12,11
048800_3..S01R::1404446400.0,-67,12,4,4,8,6,7,-4,11,8,-22,-9,66,-6,84,-10,59,85,-1,18,-38,-6,24,9,1,6,8,-2,0,5,17,23,11,6
050000_3..S01R::1404446400.0,14,16,22,16,0,20,7,3,41,13,2,-14,-20,-4,14,-46,62,4,13,-5,-9,-10,44,28,11,-3,52,1,-7,2,-32,13,7,9
051200_3..S01R::1404446400.0,15,-17,18,7,16,9,29,-1,11,10,3,-8,41,-5,10,-1,34,19,6,-13,5,-31,56,4,1,5,0,-45,-9,-12,-15,5,3,-4
052400_3..S01R::1404446400.0,-24,-1,4,-8,20,-9,11,5,11,-7,-31,-5,-29,-11,86,5,9,50,7,7,-17,-12,-20,7,-16,-3,13,-9,18,9,-10,15,-7,17
053600_3..S01R::1404446400.0,-7,7,49,-1,-9,9,-5,34,11,-28,-44,-14,-20,-3,11,9,51,47,16,0,-20,-6,66,12,13,-12,1,4,8,-3,-10,11,13,-12
054800_3..S01R::1404446400.0,2,3,23,11,15,10,22,6,11,14,-6,-5,85,19,25,-8,49,24,-2,21,-6,5,18,-7,22,18,22,8,3,-6,-27,198,-6,2
056000_3..S01R::1404446400.0,12,-15,34,6,-3,11,-7,16,71,12,5,6,-19,12,-1,-7,47,23,-10,-9,11,-3,27,11,7,7,-3,-1,-5,-10,4,-12,1,-3
057200_3..S01R::1404446400.0,3,11,17,-6,20,0,-12,7,11,8,270,2,-48,132,4,-1,34,44,-10,6,12,11,18,13,-8,-8,9,-1,-6,5,5,69,-9,-7
058400_3..S01R::1404446400.0,-5,-13,35,2,3,-3,0,-17,-19,14,79,0,-14,11,54,-18,36,26,11,-16,-11,3,15,-5,-11,-3,53,11,9,4,-6,7,14,12
059600_3..S01R::1404446400.0,9,-1,23,-9,10,29,9,-9,11,-6,1,2,-34,-8,54,13,42,31,-3,-7,-14,36,17,-15,13,7,16,0,-3,-14,-4,10,-1,-30
060800_3..S01R::1404446400.0,-2,-5,16,18,18,12,4,7,11,-4,-11,16,-15,15,40,1,45,30,24,-8,1,-11,10,17,24,0,8,-13,10,11,-2,-1,19,-1
062000_3..S01R::1404446400.0,12,-9,17,-5,-8,8,19,18,-19,16,-1,3,-14,-12,60,9,69,1,16,4,8,-9,16,174,5,14,-4,10,4,-9,9,10,-27,2
063200_3..S01R::1404446400.0,-6,-67,11,9,17,3,1,5,11,-24,-13,-4,47,14,15,6,47,24,0,-2,-12,-5,1,-11,-11,16,5,-21,-16,-5,-3,-8,10,-8
064400_3..S01R::1404446400.0,4,-2,14,-12,-1,29,18,16,-19,-1,-9,11,-8,-5,57,-20,67,-22,15,-9,-13,18,28,-24,12,4,-6,-7,-9,-15,8,-8,-7,-8
065600_3..S01R::1404446400.0,-15,1,-8,-1,14,9,16,-8,-49,-7,8,9,28,-4,15,-7,64,39,9,-7,1,-6,29,10,3,10,99,2,-2,-10,9,7,4,-1
066800_3..S01R::1404446400.0,20,17,-1,5,7,12,-25,-1,11,-10,5,9,-26,11,13,18,41,20,14,5,-5,0,0,10,17,10,-7,-10,15,13,-10,25,19,14
068000_3..S01R::1404446400.0,-1,-64,-1,8,3,18,55,-24,11,15,13,-7,-10,17,29,-42,65,17,-7,-8,-5,1,8,12,-14,5,7,-9,16,-20,-21,0,-10,14
069200_3..S01R::1404446400.0,-3,7,33,4,-22,5,25,24,-19,11,11,-5,-1,25,24,10,71,43,16,0,-2,11,-22,20,-8,0,8,22,-20,1,19,28,-5,-3
070400_3..S01R::1404446400.0,-3,2,48,-19,-8,-36,-2,1,-19,-4,-8,-2,-30,-12,10,4,52,27,18,8,-19,10,50,10,-15,-1,51,-13,-12,15,-9,7,17,-6
071600_3..S01R::1404446400.0,2,14,145,17,-6,18,3,5,11,13,-10,-3,-21,-4,28,-3,26,21,16,8,-1,18,7,10,-8,17,16,-12,13,-6,-14,-2,-1,12
072800_3..S01R::1404446400.0,-13,-22,29,11,13,4,25,15,71,13,7,-63,-24,14,17,8,42,42,4,11,8,12,7,7,2,-8,23,-8,-11,1,71,28,8,-12
074000_3..S01R::1404446400.0,6,11,39,-4,12,12,22,-13,11,16,17,17,-2,44,29,12,59,210,24,5,16,6,6,12,10,3,9,9,-3,-5,16,17,17,10
075200_3..S01R::1404446400.0,8,3,11,5,15,0,12,3,11,-1,-1,1,26,-8,22,-1,62,25,-2,-1,-9,3,14,24,16,12,18,-3,-9,-12,-9,18,-3,-11
076400_3..S01R::1404446400.0,-24,-8,21,12,15,-7,16,-7,11,-14,0,-3,-47,7,26,19,63,89,1,-10,13,10,7,17,-11,6,-3,-1,0,-17,0,5,-5,-1
077600_3..S01R::1404446400.0,-2,-3,26,17,19,6,-2,14,11,-1,-10,-11,-5,19,15,9,61,10,-2,-4,16,10,6,6,4,4,26,16,7,8,-2,1,-10,8
